gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_096547586.1,2,44.0,37.14
NA,WP_187706146.1,1,41.0,39.55
mrdA,WP_187706147.1,1,43.0,30.61
NA,WP_187706148.1,1,37.0,31.78
NA,WP_187706149.1,1,40.0,33.61
NA,WP_187706150.1,1,39.0,32.63
NA,WP_235678308.1,1,34.0,27.17
fetB,WP_187706152.1,1,38.0,32.93
NA,WP_187707285.1,1,43.0,36.46
NA,WP_187706153.1,1,45.0,31.8
NA,WP_187706154.1,1,44.0,34.93
NA,WP_187706155.1,1,45.0,35.69
NA,WP_187706156.1,1,41.0,34.39
NA,WP_187706157.1,1,40.0,34.94
NA,WP_187706158.1,1,37.0,30.4
NA,WP_187706159.1,1,39.0,30.39
NA,WP_141302948.1,1,39.0,30.77
NA,WP_187706160.1,1,33.0,27.6
rlmJ,WP_072149072.1,1,33.0,23.51
NA,WP_096544634.1,1,36.0,31.01
uvrC,WP_187706161.1,1,37.0,24.6
NA,WP_187707513.1,1,35.0,24.57
NA,WP_235678309.1,1,35.0,23.03
NA,WP_187707514.1,1,37.0,21.76
cmr4,WP_187706163.1,1,42.0,31.56
NA,WP_050784643.1,1,42.0,32.64
NA,WP_223007671.1,1,40.0,29.95
NA,WP_187706165.1,1,38.0,30.32
psbA,WP_006277031.1,1,48.0,50.14
NA,WP_187706166.1,1,32.0,27.78
NA,WP_187706167.1,1,34.0,13.89
NA,WP_187706168.1,1,37.0,31.9
NA,WP_187706169.1,1,38.0,29.9
NA,WP_187706170.1,1,44.0,33.93
ppc,WP_187706171.1,1,42.0,36.59
NA,WP_187706172.1,1,42.0,24.66
NA,WP_006277208.1,1,42.0,28.57
NA,WP_187706173.1,1,37.0,37.34
NA,WP_187706174.1,1,44.0,35.74
NA,WP_057178811.1,1,42.0,46.28
NA,WP_187706175.1,1,40.0,30.62
NA,WP_187706176.1,1,43.0,32.09
NA,WP_187706177.1,1,42.0,34.8
NA,WP_187706178.1,1,40.0,31.48
rfbF,WP_187706179.1,1,37.0,29.72
lhgO,WP_187706180.1,1,40.0,28.75
NA,WP_187706181.1,1,39.0,31.63
NA,WP_187706182.1,1,37.0,26.83
NA,WP_187707286.1,1,39.0,30.18
rfbC,WP_006277194.1,1,41.0,27.33
NA,WP_187706183.1,1,41.0,26.17
NA,WP_187706184.1,1,38.0,30.51
NA,WP_187706185.1,1,37.0,26.91
NA,WP_057178823.1,1,33.0,28.29
NA,WP_057178824.1,1,38.0,29.18
NA,WP_187706186.1,1,36.0,27.33
NA,WP_187706187.1,1,35.0,25.71
NA,WP_096545408.1,1,36.0,26.17
NA,WP_187706188.1,1,41.0,29.67
NA,WP_187706189.1,1,42.0,30.1
NA,WP_187706190.1,1,38.0,30.54
NA,WP_187706191.1,1,34.0,26.19
NA,WP_187706192.1,1,40.0,29.92
NA,WP_187706193.1,1,39.0,31.87
NA,WP_235678310.1,1,39.0,27.7
NA,WP_061545466.1,1,43.0,36.07
