gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_041316740.1,1,65.0,85.42
NA,WP_023785456.1,1,67.0,84.34
NA,WP_041316059.1,1,64.0,74.94
fae,WP_023785458.1,1,62.0,89.02
NA,WP_041316063.1,1,65.0,80.65
zigA,WP_023785460.1,1,64.0,83.17
ahcY,WP_023785461.1,1,63.0,90.2
NA,WP_023785462.1,1,66.0,84.78
NA,WP_023785463.1,1,65.0,84.8
NA,WP_023785464.1,1,71.0,78.57
NA,WP_023785465.1,1,67.0,83.6
NA,WP_023785466.1,1,63.0,85.4
NA,WP_023785467.1,1,67.0,76.42
NA,WP_023785468.1,1,64.0,84.99
NA,WP_023785469.1,1,66.0,79.42
NA,WP_023785470.1,1,63.0,84.98
NA,WP_023785471.1,1,67.0,80.07
NA,WP_023785472.1,1,65.0,76.79
NA,WP_023785473.1,1,62.0,73.02
pqqA,WP_023785474.1,1,56.99999999999999,80.0
NA,WP_023785476.1,1,67.0,82.98
NA,WP_144083457.1,1,69.0,79.63
NA,WP_023785478.1,1,67.0,79.71
NA,WP_023785479.1,1,65.0,85.71
NA,WP_081717578.1,1,66.0,82.94
pdeM,WP_023785481.1,1,66.0,82.7
NA,WP_023785482.1,1,68.0,83.22
NA,WP_023785483.1,1,64.0,91.67
NA,WP_023785484.1,1,68.0,80.79
NA,WP_041316762.1,1,67.0,78.1
NA,WP_158412808.1,1,64.0,79.89
NA,WP_023785487.1,1,64.0,83.97
NA,WP_023785488.1,1,67.0,79.26
NA,WP_023785489.1,1,63.0,79.15
NA,WP_244438550.1,1,63.0,75.62
NA,WP_023785491.1,1,65.0,86.92
NA,WP_023785492.1,1,66.0,83.06
NA,WP_023785493.1,1,70.0,83.29
NA,WP_023785494.1,1,65.0,83.07
NA,WP_023785495.1,1,67.0,80.73
NA,WP_023785496.1,1,65.0,76.74
bcsS,WP_023785497.1,1,64.0,79.77
murA,WP_023785499.1,1,67.0,86.94
NA,WP_023785500.1,1,64.0,73.58
NA,WP_023785502.1,1,56.99999999999999,63.87
NA,WP_158412809.1,1,67.0,70.37
