gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_145244514.1,1,79.0,96.23
NA,WP_145233171.1,1,69.0,81.82
NA,WP_145233173.1,1,69.0,89.66
dnaN,WP_145233175.1,1,70.0,96.71
NA,WP_145233177.1,1,73.0,95.05
NA,WP_145233179.1,1,57.99999999999999,70.14
NA,WP_145233181.1,1,56.99999999999999,62.96
NA,WP_145233182.1,1,69.0,98.56
NA,WP_145233184.1,1,73.0,96.7
NA,WP_145233186.1,1,64.0,80.92
NA,WP_145233188.1,1,67.0,75.49
nadA,WP_145233190.1,1,67.0,96.83
NA,WP_145233191.1,1,71.0,91.87
NA,WP_238389335.1,1,72.0,94.5
NA,WP_145233193.1,1,67.0,96.81
NA,WP_238389336.1,1,74.0,94.37
NA,WP_145233197.1,1,69.0,97.08
NA,WP_145233199.1,1,63.0,80.45
NA,WP_145233201.1,1,68.0,97.62
NA,WP_145233203.1,1,73.0,97.59
NA,WP_145233205.1,1,71.0,98.15
NA,WP_145233206.1,1,70.0,97.54
NA,WP_145233208.1,1,73.0,98.59
polX,WP_145233210.1,1,71.0,97.55
NA,WP_145233212.1,1,73.0,97.31
NA,WP_145233214.1,1,72.0,91.57
NA,WP_145233216.1,1,73.0,89.16
NA,WP_145233218.1,1,69.0,98.33
NA,WP_145233220.1,1,71.0,95.18
NA,WP_238389337.1,1,74.0,86.43
groES,WP_145233222.1,1,67.0,98.84
NA,WP_145233223.1,1,73.0,95.97
NA,WP_145233225.1,1,72.0,85.07
NA,WP_145233227.1,1,75.0,93.77
NA,WP_145233229.1,1,69.0,93.75
NA,WP_145233231.1,1,70.0,89.91
NA,WP_145233233.1,1,72.0,81.18
NA,WP_145233235.1,1,76.0,97.97
NA,WP_145233240.1,1,70.0,85.03
NA,WP_145233242.1,1,70.0,96.2
NA,WP_145233244.1,1,72.0,97.37
NA,WP_145233246.1,1,71.0,98.21
NA,WP_145233248.1,1,75.0,88.55
NA,WP_202920549.1,1,76.0,94.67
NA,WP_145233250.1,1,72.0,97.74
NA,WP_145233252.1,1,71.0,96.9
NA,WP_145233254.1,1,78.0,95.77
NA,WP_145233256.1,1,70.0,98.39
NA,WP_145233258.1,1,70.0,97.67
NA,WP_145233260.1,1,75.0,98.14
NA,WP_145233262.1,1,75.0,96.25
NA,WP_145244519.1,1,71.0,97.71
NA,WP_202920550.1,1,76.0,97.78
NA,WP_202920551.1,1,76.0,97.0
NA,WP_145233267.1,1,70.0,96.3
NA,WP_145233278.1,1,74.0,96.02
NA,WP_238389514.1,1,70.0,98.8
NA,WP_145233280.1,1,72.0,99.07
NA,WP_145233282.1,1,72.0,97.49
NA,WP_145233283.1,1,76.0,96.24
NA,WP_145233285.1,1,74.0,97.13
