gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_006192629.1,1,56.00000000000001,71.61
dnaN,WP_006192631.1,1,51.0,63.99
recF,WP_006192632.1,1,54.0,63.33
NA,WP_013740459.1,1,59.0,68.85
NA,WP_013740460.1,1,47.0,53.16
gyrB,WP_211204962.1,1,59.0,80.95
NA,WP_013740461.1,1,50.0,62.78
dhaM,WP_006192637.1,1,60.0,73.95
dhaL,WP_013740462.1,1,60.0,71.07
NA,WP_081459661.1,1,59.0,74.21
NA,WP_006192641.1,1,59.0,70.0
NA,WP_232362350.1,1,56.00000000000001,65.48
NA,WP_006192643.1,1,50.0,67.44
NA,WP_006192644.1,1,55.00000000000001,62.5
dnaX,WP_013740464.1,1,64.0,74.5
NA,WP_006192646.1,1,59.0,86.27
recR,WP_006192647.1,1,61.0,74.48
NA,WP_006192648.1,1,54.0,73.24
NA,WP_006192649.1,1,63.0,80.58
NA,WP_006192650.1,1,56.00000000000001,69.56
NA,WP_006192651.1,1,57.99999999999999,77.04
thiD,WP_013740465.1,1,61.0,80.31
NA,WP_013740466.1,1,57.99999999999999,69.74
upp,WP_006192654.1,1,62.0,78.26
NA,WP_174261614.1,1,64.0,85.36
NA,WP_006192656.1,1,60.0,83.03
NA,WP_006192657.1,1,63.0,73.91
NA,WP_006192658.1,1,61.0,77.71
NA,WP_006192659.1,1,57.99999999999999,76.88
deoC,WP_006192660.1,1,65.0,80.49
NA,WP_006192661.1,1,59.0,78.72
NA,WP_006192662.1,1,62.0,82.25
NA,WP_013740467.1,1,56.99999999999999,71.64
NA,WP_006192664.1,1,52.0,61.01
wbaP,WP_006192665.1,1,43.0,44.04
NA,WP_006192666.1,1,39.0,34.35
NA,WP_013740468.1,1,36.0,30.4
NA,WP_169311127.1,1,38.0,33.93
NA,WP_006192669.1,1,37.0,29.75
NA,WP_006192670.1,1,41.0,36.72
NA,WP_013740471.1,1,42.0,38.05
gmd,WP_006192673.1,1,47.0,45.07
NA,WP_006192674.1,1,43.0,39.47
NA,WP_006192675.1,1,43.0,44.06
NA,WP_013740472.1,1,40.0,37.57
NA,WP_006192677.1,1,42.0,35.04
NA,WP_071585616.1,1,47.0,32.47
NA,WP_006192678.1,1,39.0,40.52
NA,WP_232362352.1,1,37.0,30.0
pseB,WP_013740473.1,1,50.0,54.72
pseC,WP_006192681.1,1,48.0,49.73
NA,WP_006192682.1,1,51.0,51.76
NA,WP_006192683.1,1,49.0,52.07
NA,WP_006192684.1,1,51.0,55.34
pseG,WP_006192685.1,1,50.0,50.15
NA,WP_013740475.1,1,39.0,30.14
NA,WP_006192687.1,1,44.0,37.9
NA,WP_006192688.1,1,46.0,39.09
pseI,WP_013740476.1,1,49.0,45.48
NA,WP_169304913.1,1,41.0,34.44
NA,WP_013740477.1,1,53.0,61.68
NA,WP_006192692.1,1,49.0,56.8
NA,WP_013740478.1,1,36.0,30.26
NA,WP_013740479.1,1,37.0,25.42
NA,WP_013740480.1,1,31.0,27.0
NA,WP_006192697.1,1,53.0,65.13
NA,WP_268741245.1,1,52.0,48.33
NA,WP_013740482.1,1,42.0,43.51
NA,WP_232362355.1,1,43.0,46.6
NA,WP_006192701.1,1,61.0,77.36
NA,WP_006192702.1,1,46.0,48.19
NA,WP_013740483.1,1,59.0,68.75
NA,WP_013740484.1,1,59.0,81.17
NA,WP_006192706.1,1,64.0,83.95
NA,WP_006192707.1,1,62.0,75.19
NA,WP_013740485.1,1,61.0,82.53
NA,WP_006192710.1,1,57.99999999999999,77.78
NA,WP_006192712.1,1,66.0,87.28
NA,WP_006192713.1,1,65.0,85.51
NA,WP_013740486.1,1,64.0,83.26
NA,WP_006192715.1,1,63.0,83.65
NA,WP_013740487.1,1,65.0,80.87
NA,WP_006192717.1,1,50.0,61.67
NA,WP_013740488.1,1,63.0,82.35
NA,WP_006192721.1,1,51.0,61.51
NA,WP_013740491.1,1,57.99999999999999,73.59
NA,WP_006192723.1,1,47.0,44.26
NA,WP_013740492.1,1,62.0,86.19
NA,WP_013740493.1,1,68.0,81.95
NA,WP_006192729.1,1,59.0,81.77
NA,WP_006192731.1,1,62.0,85.25
NA,WP_174261609.1,1,62.0,86.3
NA,WP_006192733.1,1,63.0,88.11
NA,WP_006192734.1,1,68.0,82.39
NA,WP_006192735.1,1,61.0,81.5
NA,WP_006192736.1,1,61.0,83.28
NA,WP_233275181.1,1,66.0,85.36
NA,WP_006192738.1,1,62.0,79.02
NA,WP_006192739.1,1,65.0,78.42
NA,WP_013740496.1,1,50.0,59.72
NA,WP_006192741.1,1,57.99999999999999,79.76
NA,WP_006192742.1,1,66.0,81.96
NA,WP_013740497.1,1,62.0,85.18
NA,WP_006192744.1,1,62.0,86.15
NA,WP_006192745.1,1,63.0,85.25
NA,WP_006192747.1,1,56.00000000000001,63.34
NA,WP_006192748.1,1,59.0,80.67
NA,WP_006192749.1,1,64.0,79.71
NA,WP_013740498.1,1,64.0,82.45
NA,WP_006192752.1,1,64.0,85.3
cybH,WP_006192753.1,1,57.99999999999999,86.9
NA,WP_006192754.1,1,59.0,74.65
hypA,WP_013740499.1,1,60.0,75.96
hypB,WP_006192756.1,1,61.0,80.66
NA,WP_006192758.1,1,64.0,82.09
hypD,WP_006192759.1,1,68.0,83.29
hypE,WP_006192760.1,1,66.0,83.95
NA,WP_006192761.1,1,66.0,83.97
bioF,WP_006192763.1,1,64.0,79.97
NA,WP_006192764.1,1,46.0,52.43
NA,WP_232362356.1,1,56.99999999999999,68.64
NA,WP_006192768.1,1,61.0,84.41
NA,WP_006192769.1,1,61.0,77.73
NA,WP_006192771.1,1,54.0,63.0
NA,WP_006192772.1,1,64.0,82.42
NA,WP_006192773.1,1,59.0,83.78
NA,WP_006192774.1,1,56.00000000000001,85.31
NA,WP_006192775.1,1,60.0,82.45
NA,WP_006192776.1,1,67.0,77.71
rfbD,WP_006192777.1,1,62.0,80.74
NA,WP_013740501.1,1,63.0,83.72
NA,WP_006192779.1,1,62.0,89.52
NA,WP_006192780.1,1,62.0,80.66
NA,WP_006192781.1,1,62.0,79.59
NA,WP_006192782.1,1,47.0,56.41
NA,WP_006192783.1,1,51.0,65.82
NA,WP_006192786.1,1,61.0,85.0
NA,WP_006192787.1,1,60.0,80.88
NA,WP_013740503.1,1,64.0,82.98
NA,WP_013740504.1,1,50.0,67.69
NA,WP_006192791.1,1,56.00000000000001,71.3
NA,WP_006192792.1,1,64.0,82.5
