gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_154399697.1,1,31.0,12.27
prmA,WP_121123772.1,1,41.0,29.23
NA,WP_121123774.1,1,40.0,31.12
NA,WP_121123776.1,1,39.0,30.61
glmS,WP_121123778.1,1,41.0,28.79
rplJ,WP_121123780.1,1,41.0,19.48
rplL,WP_121123782.1,1,41.0,13.16
rpoB,WP_121123784.1,1,40.0,26.78
rpoC,WP_154399687.1,1,41.0,26.42
tldD,WP_121123789.1,1,42.0,26.27
lysA,WP_121123791.1,1,40.0,28.36
NA,WP_121123793.1,1,37.0,10.71
NA,WP_121123795.1,1,32.0,19.61
NA,WP_121123797.1,1,31.0,20.43
msrP,WP_121123799.1,1,38.0,24.35
NA,WP_121123801.1,1,33.0,27.37
NA,WP_121123802.1,1,34.0,20.35
rimO,WP_121123804.1,1,35.0,18.43
mtnN,WP_121123806.1,1,35.0,17.19
NA,WP_121123808.1,1,28.000000000000004,15.07
NA,WP_121123810.1,1,32.0,21.54
fkpA,WP_121123812.1,1,33.0,14.78
NA,WP_121123814.1,1,34.0,25.36
tusD,WP_121123824.1,1,36.0,20.37
tusC,WP_121123816.1,1,31.0,16.52
tusB,WP_121123818.1,1,34.0,20.73
NA,WP_121122839.1,1,38.0,25.2
NA,WP_121122843.1,1,36.0,13.08
atpD,WP_121122845.1,1,40.0,23.21
atpG,WP_121122847.1,1,36.0,22.94
atpA,WP_121122849.1,1,39.0,18.06
atpH,WP_121122851.1,1,35.0,22.62
atpF,WP_121122853.1,1,41.0,23.13
atpE,WP_121122855.1,1,40.0,26.67
atpB,WP_121122857.1,1,35.0,27.17
NA,WP_121122860.1,1,31.0,28.57
NA,WP_121122862.1,1,28.000000000000004,19.1
NA,WP_170143761.1,1,32.0,15.49
NA,WP_121122866.1,1,30.0,17.19
NA,WP_121122868.1,1,32.0,9.77
rsmG,WP_121122870.1,1,35.0,25.26
mnmG,WP_121122872.1,1,40.0,26.13
thiC,WP_121122874.1,1,38.0,24.37
NA,WP_121122877.1,1,36.0,23.24
thiS,WP_121122879.1,1,34.0,17.54
NA,WP_121122881.1,1,38.0,21.01
thiH,WP_229583604.1,1,35.0,22.28
nrdG,WP_121122885.1,1,38.0,25.87
nrdD,WP_121122887.1,1,35.0,26.42
nadN,WP_121122889.1,1,34.0,19.52
NA,WP_147404746.1,1,28.000000000000004,16.92
glpQ,WP_121122893.1,1,34.0,24.65
glpA,WP_121122895.1,1,43.0,28.16
glpB,WP_121122897.1,1,39.0,28.88
glpC,WP_121122898.1,1,37.0,25.36
hslU,WP_195759403.1,1,39.0,27.94
hslV,WP_121122902.1,1,40.0,26.22
NA,WP_121122904.1,1,37.0,21.43
torC,WP_121122906.1,1,36.0,22.57
torA,WP_121122908.1,1,39.0,24.08
torD,WP_121122910.1,1,32.0,24.46
secE,WP_121123234.1,1,36.0,23.44
nusG,WP_121122912.1,1,38.0,19.1
NA,WP_121122914.1,1,38.0,23.38
NA,WP_121122916.1,1,32.0,21.44
NA,WP_121122918.1,1,32.0,18.18
NA,WP_195759404.1,1,34.0,21.74
NA,WP_121122922.1,1,34.0,19.7
NA,WP_121122924.1,1,33.0,19.4
NA,WP_121122926.1,1,35.0,26.07
NA,WP_121122928.1,1,36.0,25.41
NA,WP_121122930.1,1,35.0,34.66
NA,WP_121122932.1,1,33.0,20.77
NA,WP_121122934.1,1,34.0,24.0
NA,WP_121122937.1,1,34.0,13.16
NA,WP_121122939.1,1,34.0,22.54
NA,WP_121122940.1,1,35.0,24.07
NA,WP_121122942.1,1,25.0,16.9
NA,WP_121122944.1,1,41.0,26.3
fabG,WP_121122946.1,1,41.0,27.04
NA,WP_121122948.1,1,35.0,26.43
NA,WP_121122950.1,1,39.0,25.13
NA,WP_121122952.1,1,35.0,22.67
NA,WP_121122954.1,1,38.0,21.91
NA,WP_121122956.1,1,39.0,16.46
NA,WP_121122958.1,1,38.0,17.66
lpdA,WP_121122960.1,1,37.0,21.69
NA,WP_121122961.1,1,39.0,24.12
