gene_name,prot_id,number_of_exons,GC,GC3
hemE,WP_014101572.1,1,57.99999999999999,64.51
hemH,WP_014101573.1,1,56.00000000000001,64.79
hemJ,WP_014101574.1,1,51.0,70.5
NA,WP_014101575.1,1,62.0,73.66
rho,WP_014101577.1,1,57.99999999999999,74.08
NA,WP_014101580.1,1,60.0,66.89
NA,WP_014101581.1,1,56.99999999999999,65.82
NA,WP_014101582.1,1,56.99999999999999,66.15
NA,WP_014101583.1,1,63.0,73.08
NA,WP_014101584.1,1,60.0,68.38
NA,WP_014101585.1,1,61.0,73.49
NA,WP_014101586.1,1,56.00000000000001,61.38
NA,WP_014101587.1,1,53.0,67.57
NA,WP_014101588.1,1,61.0,74.7
NA,WP_014101589.1,1,56.99999999999999,68.28
NA,WP_014101590.1,1,56.99999999999999,67.4
NA,WP_014101591.1,1,63.0,66.67
NA,WP_014101592.1,1,55.00000000000001,73.47
mnmE,WP_014101593.1,1,60.0,64.03
NA,WP_014101594.1,1,53.0,59.61
NA,WP_014101595.1,1,59.0,69.61
NA,WP_014101596.1,1,59.0,66.02
NA,WP_014101597.1,1,65.0,74.36
mnmG,WP_014101598.1,1,63.0,72.71
rsmG,WP_014101599.1,1,60.0,67.51
NA,WP_236619985.1,1,56.00000000000001,66.42
NA,WP_014101601.1,1,59.0,66.67
NA,WP_014101603.1,1,56.00000000000001,75.62
NA,WP_014101605.1,1,55.00000000000001,64.94
NA,WP_014101606.1,1,60.0,76.61
NA,WP_236619915.1,1,57.99999999999999,68.64
leuS,WP_187287647.1,1,56.99999999999999,69.56
NA,WP_236619916.1,1,63.0,70.0
lptE,WP_014101610.1,1,59.0,70.56
holA,WP_014101611.1,1,59.0,70.48
NA,WP_014101612.1,1,61.0,77.91
NA,WP_014101614.1,1,56.00000000000001,56.27
NA,WP_014101615.1,1,54.0,59.83
NA,WP_014101616.1,1,57.99999999999999,60.61
NA,WP_014101617.1,1,51.0,54.31
NA,WP_014101618.1,1,57.99999999999999,62.09
NA,WP_236619917.1,1,62.0,68.04
NA,WP_236619918.1,1,64.0,70.93
NA,WP_014101621.1,1,59.0,62.98
NA,WP_236619919.1,1,56.99999999999999,71.43
NA,WP_236619920.1,1,65.0,72.22
NA,WP_014101624.1,1,61.0,69.75
NA,WP_014101625.1,1,56.99999999999999,64.21
NA,WP_014101626.1,1,53.0,69.79
NA,WP_014101627.1,1,61.0,75.51
NA,WP_014101628.1,1,56.00000000000001,73.93
NA,WP_236619921.1,1,63.0,71.7
NA,WP_014101630.1,1,56.99999999999999,63.98
NA,WP_014101631.1,1,57.99999999999999,69.03
NA,WP_014101632.1,1,55.00000000000001,68.71
NA,WP_014101633.1,1,57.99999999999999,66.34
NA,WP_014101635.1,1,43.0,41.91
NA,WP_014101636.1,1,63.0,70.22
NA,WP_014101637.1,1,60.0,66.67
NA,WP_014101638.1,1,59.0,65.08
NA,WP_014101639.1,1,55.00000000000001,63.0
NA,WP_014101640.1,1,57.99999999999999,73.1
NA,WP_014101641.1,1,57.99999999999999,60.73
NA,WP_014101642.1,1,59.0,67.79
NA,WP_014101643.1,1,60.0,68.79
NA,WP_014101644.1,1,56.99999999999999,65.18
rsmA,WP_041794120.1,1,59.0,66.55
NA,WP_014101646.1,1,53.0,63.98
NA,WP_014101647.1,1,64.0,71.54
NA,WP_269082933.1,1,53.0,48.39
NA,WP_014101648.1,1,55.00000000000001,67.71
NA,WP_014101649.1,1,56.99999999999999,64.4
NA,WP_014101650.1,1,57.99999999999999,67.06
NA,WP_014101652.1,1,63.0,69.6
NA,WP_041794122.1,1,56.00000000000001,77.17
NA,WP_041794125.1,1,50.0,57.27
NA,WP_014101656.1,1,54.0,61.41
NA,WP_014101657.1,1,56.99999999999999,69.42
NA,WP_014101658.1,1,55.00000000000001,69.65
NA,WP_014101659.1,1,59.0,64.43
NA,WP_014101660.1,1,61.0,67.08
NA,WP_014101661.1,1,59.0,75.0
NA,WP_041793695.1,1,55.00000000000001,65.62
NA,WP_014101663.1,1,52.0,52.67
NA,WP_014101664.1,1,57.99999999999999,60.42
NA,WP_014101665.1,1,52.0,62.16
NA,WP_014101666.1,1,54.0,62.24
serB,WP_014101667.1,1,57.99999999999999,68.42
NA,WP_014101668.1,1,61.0,71.25
NA,WP_014101669.1,1,57.99999999999999,67.29
serA,WP_014101670.1,1,56.99999999999999,65.57
NA,WP_014101671.1,1,47.0,45.64
NA,WP_236619922.1,1,50.0,66.47
NA,WP_014101673.1,1,56.99999999999999,68.52
NA,WP_049782069.1,1,55.00000000000001,64.67
NA,WP_014101675.1,1,59.0,69.6
NA,WP_014101676.1,1,56.00000000000001,68.46
NA,WP_014101677.1,1,56.99999999999999,65.7
NA,WP_014101678.1,1,57.99999999999999,64.27
NA,WP_014101679.1,1,53.0,61.83
NA,WP_041794127.1,1,56.99999999999999,66.97
NA,WP_014101681.1,1,54.0,64.74
NA,WP_014101682.1,1,52.0,64.57
NA,WP_041793700.1,1,54.0,67.94
NA,WP_014101684.1,1,51.0,61.67
NA,WP_014101685.1,1,55.00000000000001,70.43
thrS,WP_014101686.1,1,57.99999999999999,72.81
infC,WP_049782071.1,1,55.00000000000001,61.93
NA,WP_041794132.1,1,54.0,57.1
NA,WP_041793701.1,1,54.0,70.57
trxA,WP_014101690.1,1,56.00000000000001,67.71
addA,WP_014101691.1,1,59.0,68.3
addB,WP_236619923.1,1,60.0,66.48
NA,WP_014101693.1,1,60.0,73.28
tsaE,WP_014101694.1,1,60.0,69.93
NA,WP_014101695.1,1,62.0,70.45
NA,WP_014101696.1,1,59.0,73.26
NA,WP_014101697.1,1,56.99999999999999,64.52
