gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_212820349.1,1,68.0,80.6
NA,WP_212820351.1,1,57.99999999999999,61.19
NA,WP_212820353.1,1,63.0,73.29
NA,WP_212820355.1,1,65.0,73.01
NA,WP_212820357.1,1,68.0,86.79
NA,WP_212820359.1,1,72.0,87.88
NA,WP_212820361.1,1,67.0,81.43
NA,WP_212820363.1,1,70.0,90.13
NA,WP_212820365.1,1,71.0,88.41
NA,WP_246568166.1,1,66.0,79.43
NA,WP_212820367.1,1,72.0,80.2
NA,WP_212827267.1,1,75.0,84.66
NA,WP_212820369.1,1,74.0,84.62
NA,WP_212820371.1,1,71.0,88.3
NA,WP_212827269.1,1,75.0,89.69
NA,WP_246568168.1,1,71.0,82.42
NA,WP_212820372.1,1,67.0,87.04
NA,WP_212820374.1,1,77.0,90.73
NA,WP_212820376.1,1,75.0,86.21
NA,WP_212827271.1,1,72.0,85.83
NA,WP_212820378.1,1,72.0,86.39
NA,WP_212820380.1,1,69.0,79.32
NA,WP_212820382.1,1,65.0,84.62
NA,WP_212820384.1,1,66.0,82.22
NA,WP_212820386.1,1,64.0,73.75
NA,WP_212820388.1,1,71.0,84.55
NA,WP_212820390.1,1,70.0,87.6
NA,WP_212820392.1,1,69.0,85.85
NA,WP_212820394.1,1,71.0,89.92
NA,WP_212820396.1,1,71.0,90.38
NA,WP_212820398.1,1,74.0,86.99
NA,WP_246568170.1,1,72.0,85.8
NA,WP_212820402.1,1,68.0,95.61
NA,WP_246568172.1,1,71.0,89.33
NA,WP_212820404.1,1,72.0,85.92
NA,WP_212820406.1,1,75.0,92.99
NA,WP_212820408.1,1,69.0,82.99
NA,WP_212820410.1,1,73.0,86.64
NA,WP_246568174.1,1,69.0,86.04
NA,WP_212820412.1,1,76.0,85.61
NA,WP_212820414.1,1,72.0,90.31
NA,WP_212820416.1,1,74.0,84.62
NA,WP_212827277.1,1,73.0,83.88
NA,WP_212820418.1,1,72.0,86.23
NA,WP_212820420.1,1,71.0,89.39
NA,WP_212820422.1,1,63.0,68.25
NA,WP_212820424.1,1,72.0,78.33
NA,WP_212820426.1,1,60.0,72.52
NA,WP_212820429.1,1,66.0,85.28
NA,WP_212820431.1,1,67.0,88.89
NA,WP_212820433.1,1,69.0,85.71
NA,WP_212820435.1,1,61.0,70.69
NA,WP_246568176.1,1,72.0,85.38
NA,WP_212820439.1,1,69.0,85.95
NA,WP_212820441.1,1,67.0,83.22
NA,WP_212820444.1,1,75.0,95.2
NA,WP_212820446.1,1,68.0,97.23
NA,WP_212820448.1,1,79.0,90.95
NA,WP_246569134.1,1,74.0,94.73
NA,WP_212820453.1,1,73.0,94.74
NA,WP_212820455.1,1,77.0,92.52
NA,WP_212820457.1,1,68.0,94.84
NA,WP_212820459.1,1,70.0,88.48
NA,WP_212820461.1,1,75.0,94.2
NA,WP_212820463.1,1,73.0,93.95
NA,WP_212820464.1,1,73.0,91.59
NA,WP_212820466.1,1,73.0,92.05
uppS,WP_212820469.1,1,71.0,90.76
NA,WP_212820472.1,1,71.0,96.32
NA,WP_212820475.1,1,67.0,86.48
NA,WP_212820477.1,1,68.0,85.78
NA,WP_212820480.1,1,72.0,91.86
NA,WP_212820482.1,1,73.0,92.12
NA,WP_212820486.1,1,75.0,90.61
NA,WP_212820489.1,1,76.0,92.87
NA,WP_212820491.1,1,72.0,89.44
NA,WP_212820493.1,1,71.0,95.77
NA,WP_212820495.1,1,69.0,97.71
NA,WP_212820497.1,1,72.0,96.24
NA,WP_246568178.1,1,69.0,93.89
NA,WP_212820499.1,1,75.0,93.29
NA,WP_212820501.1,1,76.0,92.62
NA,WP_212820503.1,1,76.0,95.81
wrbA,WP_212820505.1,1,72.0,93.85
ugpC,WP_212820507.1,1,70.0,96.19
NA,WP_212820509.1,1,66.0,96.3
NA,WP_281425872.1,1,67.0,98.61
NA,WP_212820511.1,1,70.0,96.19
NA,WP_212820514.1,1,74.0,93.44
NA,WP_246568180.1,1,71.0,87.34
NA,WP_246569135.1,1,73.0,95.08
NA,WP_212820519.1,1,77.0,95.61
NA,WP_212820522.1,1,77.0,92.63
NA,WP_212820524.1,1,69.0,96.86
NA,WP_212820527.1,1,75.0,93.54
NA,WP_212820529.1,1,74.0,95.1
NA,WP_212820531.1,1,68.0,76.92
NA,WP_212820533.1,1,71.0,89.08
NA,WP_212820535.1,1,69.0,77.69
NA,WP_212820537.1,1,72.0,92.39
pip,WP_212820539.1,1,67.0,80.82
NA,WP_212820541.1,1,70.0,95.89
NA,WP_212820543.1,1,72.0,92.37
NA,WP_212820546.1,1,74.0,94.37
NA,WP_212820548.1,1,75.0,90.51
NA,WP_212820550.1,1,67.0,93.46
NA,WP_281425974.1,1,73.0,93.81
NA,WP_212820552.1,1,77.0,94.65
NA,WP_212820554.1,1,65.0,96.99
NA,WP_212820556.1,1,66.0,95.56
ngcE,WP_212820558.1,1,67.0,96.79
NA,WP_246569136.1,1,73.0,89.58
NA,WP_212820560.1,1,75.0,93.38
NA,WP_212820562.1,1,79.0,93.23
NA,WP_212820564.1,1,68.0,96.19
NA,WP_212820566.1,1,66.0,95.56
NA,WP_212820570.1,1,75.0,90.73
NA,WP_212820572.1,1,75.0,94.12
NA,WP_212820574.1,1,69.0,95.88
NA,WP_212820576.1,1,74.0,90.33
NA,WP_212820578.1,1,75.0,93.52
NA,WP_212820581.1,1,76.0,95.08
NA,WP_212820583.1,1,71.0,95.6
NA,WP_212820585.1,1,73.0,93.43
NA,WP_212820587.1,1,75.0,93.26
NA,WP_212827287.1,1,74.0,92.86
NA,WP_212820589.1,1,69.0,90.84
NA,WP_212820591.1,1,72.0,96.3
NA,WP_212820593.1,1,71.0,95.26
NA,WP_246568185.1,1,77.0,92.52
NA,WP_212820595.1,1,73.0,91.3
murD,WP_212820597.1,1,75.0,94.31
NA,WP_212820599.1,1,72.0,96.59
NA,WP_212820601.1,1,75.0,94.1
NA,WP_212820603.1,1,71.0,93.59
NA,WP_246568187.1,1,74.0,89.19
NA,WP_212820605.1,1,68.0,82.4
NA,WP_212820607.1,1,68.0,80.65
NA,WP_212820609.1,1,70.0,93.94
NA,WP_212820611.1,1,75.0,93.51
NA,WP_212820614.1,1,66.0,87.07
NA,WP_212820616.1,1,68.0,91.21
NA,WP_212820618.1,1,69.0,91.29
NA,WP_212820620.1,1,67.0,84.09
NA,WP_212820622.1,1,71.0,84.57
NA,WP_212820624.1,1,69.0,90.7
NA,WP_212820626.1,1,73.0,95.24
NA,WP_212820628.1,1,74.0,89.78
NA,WP_212820630.1,1,68.0,85.33
NA,WP_212820632.1,1,66.0,83.75
NA,WP_212820634.1,1,71.0,85.95
NA,WP_212820636.1,1,74.0,88.33
NA,WP_212820638.1,1,53.0,52.63
NA,WP_212820640.1,1,66.0,80.58
NA,WP_246568188.1,1,74.0,91.94
NA,WP_212820644.1,1,77.0,91.08
NA,WP_212820646.1,1,70.0,93.96
NA,WP_212820649.1,1,70.0,95.62
NA,WP_212820651.1,1,74.0,94.19
NA,WP_212820653.1,1,73.0,92.66
NA,WP_212820655.1,1,77.0,94.49
NA,WP_212820657.1,1,70.0,98.0
NA,WP_212820659.1,1,74.0,93.15
fabI,WP_212820661.1,1,72.0,95.12
NA,WP_212820663.1,1,71.0,94.44
NA,WP_212828985.1,1,70.0,84.78
NA,WP_212820665.1,1,72.0,95.11
NA,WP_212820667.1,1,75.0,92.63
NA,WP_246569138.1,1,71.0,96.22
NA,WP_212820671.1,1,72.0,88.06
NA,WP_246568189.1,1,73.0,93.45
NA,WP_246568191.1,1,75.0,94.07
NA,WP_281425975.1,1,71.0,93.86
NA,WP_212820677.1,1,75.0,93.7
