gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_258934022.1,2,72.0,81.25
NA,WP_258933983.1,1,66.0,82.05
NA,WP_258934023.1,1,75.0,79.31
NA,WP_258933984.1,1,68.0,82.82
NA,WP_258934024.1,1,69.0,76.95
NA,WP_258933989.1,1,70.0,84.96
NA,WP_258933990.1,1,71.0,75.68
NA,WP_258934025.1,1,70.0,84.29
NA,WP_258934026.1,1,69.0,91.39
NA,WP_258934027.1,1,69.0,86.41
NA,WP_258933992.1,1,68.0,79.71
NA,WP_258933993.1,1,63.0,89.74
NA,WP_258933994.1,1,66.0,76.97
NA,WP_258933995.1,1,59.0,62.5
NA,WP_258933996.1,1,63.0,74.71
NA,WP_258933997.1,1,68.0,77.63
NA,WP_258933998.1,1,69.0,77.89
NA,WP_258933999.1,1,65.0,89.16
NA,WP_258934000.1,1,68.0,81.75
NA,WP_258934001.1,1,68.0,81.52
NA,WP_258934028.1,1,68.0,82.26
NA,WP_258935484.1,1,68.0,84.21
NA,WP_258934002.1,1,69.0,79.1
NA,WP_258934003.1,1,69.0,84.76
NA,WP_258934004.1,1,70.0,91.26
NA,WP_258934029.1,1,65.0,87.13
NA,WP_258934030.1,1,68.0,74.46
NA,WP_258934006.1,1,64.0,82.65
NA,WP_258934007.1,1,68.0,82.26
NA,WP_258934008.1,1,67.0,86.57
NA,WP_258934009.1,1,65.0,80.95
NA,WP_258934010.1,1,67.0,87.14
NA,WP_258934011.1,1,63.0,71.19
NA,WP_258934012.1,1,69.0,80.49
gvpA,WP_258934013.1,1,64.0,80.17
NA,WP_258934031.1,1,68.0,91.15
NA,WP_258934015.1,1,60.0,80.52
NA,WP_258935510.1,1,65.0,63.87
NA,WP_258934032.1,1,67.0,81.75
NA,WP_258934017.1,1,64.0,81.25
NA,WP_258934018.1,1,68.0,87.72
NA,WP_258934019.1,1,66.0,70.83
NA,WP_258934033.1,1,67.0,77.62
NA,WP_258934020.1,1,66.0,79.0
NA,WP_258934021.1,1,67.0,82.26
NA,WP_258934034.1,1,66.0,71.01
NA,WP_258934035.1,1,73.0,80.0
NA,WP_258934036.1,1,69.0,77.46
NA,WP_258934037.1,1,60.0,71.13
NA,WP_258934038.1,1,66.0,73.27
NA,NA,1,68.0,74.19
NA,WP_258934039.1,1,64.0,78.38
NA,WP_258934040.1,1,66.0,87.18
NA,WP_258934041.1,1,67.0,63.64
serC,WP_258935485.1,1,67.0,84.72
NA,WP_146340814.1,1,67.0,82.05
NA,WP_258934042.1,1,66.0,85.8
NA,WP_146340809.1,1,66.0,91.95
NA,WP_258934043.1,1,65.0,72.05
groEL,WP_258934044.1,1,64.0,87.27
NA,WP_258934045.1,1,68.0,82.28
NA,WP_258934046.1,1,66.0,70.16
NA,WP_258934047.1,1,67.0,78.95
NA,WP_258934048.1,1,68.0,90.7
NA,WP_258934049.1,1,65.0,84.62
NA,WP_258934050.1,1,67.0,80.6
NA,WP_258934051.1,1,68.0,80.29
NA,WP_258934052.1,1,68.0,83.23
NA,WP_258934053.1,1,67.0,83.92
NA,WP_258934054.1,1,66.0,87.21
NA,WP_258934055.1,1,66.0,87.09
NA,WP_258934056.1,1,68.0,79.73
NA,WP_258934057.1,1,62.0,83.72
NA,WP_258934058.1,1,68.0,81.58
NA,WP_258934059.1,1,65.0,82.35
NA,WP_258934060.1,1,70.0,81.05
NA,WP_258934061.1,1,68.0,88.04
NA,WP_258934062.1,1,70.0,75.44
NA,WP_258934063.1,1,66.0,86.42
NA,WP_258934064.1,1,73.0,82.58
NA,WP_258934065.1,1,73.0,77.3
NA,WP_258934066.1,1,70.0,75.0
NA,WP_258934067.1,1,71.0,83.87
NA,WP_258934068.1,1,65.0,92.46
NA,WP_258934069.1,1,64.0,80.26
NA,WP_258934070.1,1,69.0,82.35
NA,WP_258934071.1,1,69.0,79.41
NA,WP_258934072.1,1,67.0,84.25
NA,WP_258934073.1,1,68.0,80.2
NA,WP_258934074.1,1,63.0,81.25
NA,WP_258934075.1,1,69.0,80.69
NA,WP_258934076.1,1,67.0,62.07
NA,WP_258934077.1,1,68.0,81.25
NA,WP_258934078.1,1,66.0,73.08
NA,WP_258934079.1,1,68.0,84.78
NA,WP_258934080.1,1,70.0,83.87
NA,WP_258935486.1,1,69.0,71.74
NA,WP_258934081.1,1,73.0,79.53
NA,WP_258934082.1,1,74.0,84.72
NA,WP_258934083.1,1,71.0,75.36
NA,WP_258934084.1,1,70.0,82.4
NA,WP_258934085.1,1,74.0,83.9
NA,WP_258935487.1,1,72.0,81.64
NA,WP_258935511.1,1,71.0,82.54
NA,WP_258934086.1,1,73.0,85.89
NA,WP_258934087.1,1,73.0,84.62
NA,WP_258934088.1,1,68.0,79.66
NA,WP_258934089.1,1,72.0,90.57
NA,WP_258934090.1,1,73.0,88.64
NA,WP_258934091.1,1,71.0,80.0
NA,WP_258934092.1,1,71.0,82.0
NA,WP_258934093.1,1,71.0,85.37
NA,WP_258934094.1,1,67.0,86.22
NA,WP_258934095.1,1,74.0,86.79
NA,WP_258934096.1,1,70.0,89.89
NA,WP_258934097.1,1,72.0,83.98
NA,WP_258934098.1,1,72.0,87.5
NA,WP_258934099.1,1,71.0,87.93
NA,WP_258934100.1,1,71.0,83.33
NA,WP_258934101.1,1,63.0,73.68
NA,WP_258934102.1,1,65.0,75.0
NA,WP_258934103.1,1,65.0,88.0
NA,WP_258934104.1,1,65.0,95.24
NA,WP_258934105.1,1,66.0,86.35
NA,WP_258934106.1,1,66.0,91.18
NA,WP_258934107.1,1,71.0,84.4
NA,WP_258934108.1,1,75.0,81.82
NA,WP_258934109.1,1,71.0,85.47
NA,WP_258934110.1,1,65.0,73.75
NA,WP_258934111.1,1,72.0,86.89
NA,WP_258934112.1,1,71.0,84.91
NA,WP_258934113.1,1,71.0,77.42
NA,WP_258934114.1,1,73.0,77.4
NA,WP_258934115.1,1,70.0,84.88
NA,WP_258934116.1,1,71.0,84.62
NA,WP_258934117.1,1,69.0,78.75
NA,WP_258934118.1,1,70.0,75.96
NA,WP_258934119.1,1,67.0,79.78
NA,WP_258934120.1,1,69.0,76.81
NA,WP_258934121.1,1,70.0,73.37
NA,WP_258934122.1,1,70.0,87.83
NA,WP_258934123.1,1,71.0,85.37
NA,WP_258934124.1,1,69.0,80.56
NA,WP_258934125.1,1,69.0,79.42
NA,WP_258934126.1,1,67.0,81.06
NA,WP_258934127.1,1,65.0,85.93
NA,WP_258934128.1,1,67.0,80.08
NA,WP_258934129.1,1,67.0,80.65
NA,WP_258934130.1,1,66.0,79.33
NA,WP_258935296.1,1,68.0,83.3
NA,WP_258934131.1,1,67.0,84.25
NA,WP_258934132.1,1,69.0,60.95
NA,WP_258934133.1,1,68.0,78.33
NA,WP_258934134.1,1,66.0,87.18
NA,WP_258934135.1,1,73.0,82.72
NA,WP_258934136.1,1,67.0,80.31
NA,WP_258934137.1,1,65.0,76.76
NA,WP_258934138.1,1,69.0,80.33
NA,WP_258934139.1,1,71.0,86.21
NA,WP_258934140.1,1,68.0,84.55
NA,WP_258934141.1,1,71.0,85.45
NA,WP_258934142.1,1,70.0,77.22
NA,WP_258934143.1,1,69.0,81.25
NA,WP_258934144.1,1,65.0,90.32
NA,WP_258934145.1,1,71.0,82.26
NA,WP_258934146.1,1,66.0,85.71
NA,WP_258934147.1,1,70.0,84.85
NA,WP_258934148.1,1,71.0,71.82
NA,WP_258934149.1,1,69.0,90.52
NA,WP_258934150.1,1,69.0,84.91
NA,WP_258934151.1,1,70.0,84.21
NA,WP_258934152.1,1,69.0,76.97
thiS,WP_258934153.1,1,74.0,90.0
NA,WP_258935297.1,1,74.0,88.74
NA,WP_258934154.1,1,68.0,82.11
NA,WP_258934155.1,1,65.0,76.09
NA,WP_258934156.1,1,70.0,78.29
NA,WP_258934157.1,1,71.0,86.84
NA,WP_258934158.1,1,66.0,89.09
NA,WP_258934159.1,1,70.0,81.58
NA,WP_258934160.1,1,67.0,91.89
NA,WP_258934161.1,1,66.0,88.8
NA,WP_258934162.1,1,71.0,85.0
NA,WP_258934163.1,1,68.0,74.49
NA,WP_258934164.1,1,74.0,77.78
NA,WP_258934165.1,1,72.0,82.24
NA,WP_258934166.1,1,69.0,82.64
NA,WP_258934167.1,1,69.0,85.71
NA,WP_258934168.1,1,68.0,83.51
NA,WP_258934169.1,1,68.0,84.68
NA,WP_258934170.1,1,66.0,78.89
NA,WP_258934171.1,1,68.0,86.08
NA,WP_258934172.1,1,67.0,93.94
NA,WP_258934173.1,1,71.0,81.69
NA,WP_258934174.1,1,70.0,78.1
NA,WP_258934175.1,1,63.0,78.76
NA,WP_258934176.1,1,61.0,70.94
NA,WP_258934177.1,1,57.99999999999999,58.24
NA,WP_258934178.1,1,67.0,80.35
NA,WP_258934179.1,1,67.0,64.86
NA,WP_258934180.1,1,57.99999999999999,65.92
NA,WP_258934181.1,1,59.0,55.46
NA,WP_258934182.1,1,57.99999999999999,61.21
NA,WP_258934183.1,1,56.00000000000001,61.43
NA,WP_258934184.1,1,56.00000000000001,58.78
NA,WP_258934185.1,1,56.99999999999999,59.26
NA,WP_258934186.1,1,57.99999999999999,63.53
dcm,WP_258934187.1,1,62.0,66.95
NA,WP_258935298.1,1,63.0,71.88
NA,WP_258934188.1,1,63.0,76.87
NA,WP_258934189.1,1,65.0,77.78
NA,WP_258934190.1,1,63.0,77.92
NA,WP_258934191.1,1,63.0,80.95
NA,WP_258934192.1,1,65.0,73.81
NA,WP_258934193.1,1,57.99999999999999,71.74
NA,WP_258934194.1,1,62.0,73.28
NA,WP_258934195.1,1,61.0,63.27
NA,WP_258934196.1,1,72.0,82.35
NA,WP_258934197.1,1,67.0,73.81
NA,WP_258934198.1,1,63.0,84.44
NA,WP_258934199.1,1,71.0,86.96
NA,WP_258934200.1,1,66.0,88.78
NA,WP_258934201.1,1,64.0,94.57
NA,WP_258934202.1,1,68.0,91.11
NA,WP_258934203.1,1,64.0,73.33
NA,WP_258934204.1,1,73.0,82.93
NA,WP_258934205.1,1,67.0,72.44
NA,WP_258934206.1,1,72.0,74.83
NA,WP_258934207.1,1,70.0,93.88
NA,WP_258934208.1,1,68.0,78.26
NA,WP_258934209.1,1,67.0,89.36
NA,WP_258934210.1,1,66.0,92.48
NA,WP_258934211.1,1,64.0,77.05
NA,WP_258935512.1,1,68.0,86.84
NA,WP_258934212.1,1,72.0,78.79
NA,WP_258934213.1,1,68.0,86.76
NA,WP_258934214.1,1,68.0,78.05
NA,WP_258934215.1,1,64.0,80.42
NA,WP_258934216.1,1,68.0,90.56
NA,WP_258934217.1,1,68.0,90.8
NA,WP_258934218.1,1,67.0,86.9
NA,WP_258934219.1,1,64.0,85.51
NA,WP_258934220.1,1,63.0,77.16
NA,WP_258934221.1,1,62.0,89.29
NA,WP_258934222.1,1,67.0,85.1
NA,WP_258935299.1,1,68.0,86.32
NA,WP_258934223.1,1,64.0,69.64
NA,WP_258934224.1,1,67.0,83.49
NA,WP_258934225.1,1,69.0,78.24
NA,WP_258934226.1,1,69.0,83.74
NA,WP_258934227.1,1,66.0,80.65
NA,WP_258934228.1,1,69.0,85.07
NA,WP_258935513.1,1,67.0,85.71
NA,WP_258935514.1,1,67.0,88.51
NA,WP_258935300.1,1,67.0,71.79
NA,WP_258934229.1,1,66.0,84.72
NA,WP_258934230.1,1,63.0,74.65
NA,WP_258934231.1,1,65.0,88.43
NA,WP_258934232.1,1,64.0,77.91
NA,WP_258935301.1,1,64.0,85.0
NA,WP_210410160.1,1,61.0,70.59
NA,WP_258934233.1,1,67.0,80.68
NA,WP_258934234.1,1,67.0,78.91
NA,WP_258934235.1,1,69.0,81.69
NA,WP_258934236.1,1,66.0,68.42
NA,WP_258934237.1,1,59.0,63.41
NA,WP_258934238.1,1,64.0,67.88
NA,WP_258934239.1,1,60.0,69.37
NA,WP_258934240.1,1,66.0,74.59
NA,WP_258934241.1,1,61.0,70.0
NA,WP_258935302.1,1,52.0,62.96
NA,WP_258934242.1,1,67.0,69.73
NA,WP_258934243.1,1,71.0,76.47
rpmH,WP_146340667.1,1,73.0,83.33
rnpA,WP_258934244.1,1,69.0,79.59
yidD,WP_258935303.1,1,67.0,83.08
NA,WP_146340664.1,1,66.0,86.01
trxA,WP_146340660.1,1,62.0,85.86
NA,WP_258934245.1,1,61.0,71.05
NA,WP_258934246.1,1,69.0,68.66
NA,WP_258934247.1,1,66.0,70.0
NA,WP_258934248.1,1,65.0,78.85
NA,WP_258934249.1,1,67.0,84.38
NA,WP_258934250.1,1,65.0,73.44
NA,WP_258934251.1,1,66.0,88.5
NA,WP_258934252.1,1,64.0,89.86
NA,WP_258934253.1,1,59.0,73.02
NA,WP_258934254.1,1,62.0,73.2
NA,WP_258934255.1,1,64.0,67.08
NA,WP_258934256.1,1,61.0,72.8
NA,WP_258934257.1,1,63.0,71.93
NA,WP_258934258.1,1,64.0,80.56
NA,WP_258934259.1,1,59.0,70.85
NA,WP_258934260.1,1,64.0,75.23
NA,WP_258934261.1,1,65.0,79.14
NA,WP_258934262.1,1,62.0,74.09
NA,WP_258934263.1,1,68.0,88.12
NA,WP_258934264.1,1,68.0,85.94
NA,WP_258934265.1,1,65.0,90.29
NA,WP_258934266.1,1,64.0,87.0
NA,WP_258934267.1,1,66.0,84.17
NA,WP_258934268.1,1,68.0,87.28
NA,WP_258934269.1,1,71.0,87.72
NA,WP_258934270.1,1,67.0,81.87
NA,WP_258934271.1,1,68.0,80.82
rpsF,WP_146340642.1,1,60.0,88.89
NA,WP_258934272.1,1,70.0,83.33
rplI,WP_258934273.1,1,67.0,82.14
NA,WP_258934274.1,1,65.0,81.97
NA,WP_258934275.1,1,68.0,75.32
NA,WP_258934276.1,1,69.0,73.17
NA,WP_258934277.1,1,66.0,80.0
NA,WP_258934278.1,1,70.0,81.19
NA,WP_258934279.1,1,67.0,81.67
NA,WP_146340636.1,1,62.0,73.33
NA,WP_258934280.1,1,66.0,82.86
NA,WP_258934281.1,1,70.0,89.13
NA,WP_258934282.1,1,68.0,90.41
NA,WP_258934283.1,1,69.0,84.85
NA,WP_258934284.1,1,73.0,83.72
NA,WP_258934285.1,1,64.0,86.08
NA,WP_258935304.1,1,68.0,85.33
NA,WP_258934286.1,1,69.0,71.7
NA,WP_258934287.1,1,73.0,84.96
NA,WP_258934288.1,1,68.0,75.0
NA,WP_258934289.1,1,72.0,81.1
NA,WP_258935305.1,1,66.0,85.0
NA,WP_258934290.1,1,66.0,81.18
NA,WP_258934291.1,1,66.0,80.77
NA,WP_258934292.1,1,64.0,73.77
NA,WP_258934293.1,1,69.0,93.37
NA,WP_258934294.1,1,71.0,91.89
NA,WP_258934295.1,1,68.0,85.33
NA,WP_258934296.1,1,69.0,92.5
NA,WP_258934297.1,1,72.0,82.69
NA,WP_258934298.1,1,60.0,91.78
NA,WP_258934299.1,1,67.0,85.5
NA,WP_258934300.1,1,65.0,73.21
NA,WP_258934301.1,1,68.0,86.02
NA,WP_258934302.1,1,68.0,85.34
NA,WP_258934303.1,1,68.0,77.78
NA,WP_258934304.1,1,64.0,79.26
NA,WP_258934305.1,1,65.0,87.01
NA,WP_258934306.1,1,67.0,69.49
NA,WP_258934307.1,1,69.0,78.75
NA,WP_258934308.1,1,71.0,88.24
NA,WP_258934309.1,1,72.0,89.14
NA,WP_258934310.1,1,73.0,83.78
NA,WP_258934311.1,1,70.0,82.09
NA,WP_258934312.1,1,65.0,83.39
NA,WP_258934313.1,1,64.0,85.19
NA,WP_258934314.1,1,69.0,89.74
NA,WP_258934315.1,1,63.0,64.29
NA,WP_258934316.1,1,69.0,80.62
NA,WP_258934317.1,1,72.0,86.96
NA,WP_258934318.1,1,72.0,80.95
NA,WP_258934319.1,1,72.0,78.46
NA,WP_258935306.1,1,72.0,87.16
NA,WP_258935515.1,1,71.0,85.93
NA,WP_258934320.1,1,68.0,76.56
NA,WP_258934321.1,1,70.0,86.27
NA,WP_258934322.1,1,72.0,80.47
NA,WP_258934323.1,1,67.0,86.05
NA,WP_258934324.1,1,74.0,90.72
NA,WP_258934325.1,1,66.0,82.35
NA,WP_258934326.1,1,61.0,73.49
NA,WP_258934327.1,1,68.0,85.71
NA,WP_258934328.1,1,67.0,70.59
NA,WP_258934329.1,1,66.0,72.5
NA,WP_258934330.1,1,66.0,81.38
NA,WP_258934331.1,1,69.0,75.0
NA,WP_258934332.1,1,69.0,80.95
NA,WP_258934333.1,1,70.0,70.83
NA,WP_258934334.1,1,67.0,77.65
NA,WP_258934335.1,1,66.0,86.02
NA,WP_258934336.1,1,64.0,86.75
NA,WP_258934337.1,1,68.0,86.23
NA,WP_258934338.1,1,63.0,76.74
NA,WP_258934339.1,1,66.0,80.85
NA,WP_258934340.1,1,59.0,76.74
NA,WP_258934341.1,1,62.0,71.53
NA,WP_258934342.1,1,63.0,65.91
NA,WP_258934343.1,1,68.0,74.83
NA,WP_258934344.1,1,66.0,84.51
NA,WP_258934345.1,1,66.0,82.55
NA,WP_258934346.1,1,64.0,88.33
nudC,WP_258934347.1,1,65.0,75.59
NA,WP_258934348.1,1,66.0,71.6
NA,WP_258934349.1,1,72.0,73.77
NA,WP_258934350.1,1,63.0,77.7
NA,WP_258934351.1,1,61.0,74.24
NA,WP_258934352.1,1,67.0,75.25
NA,WP_258934353.1,1,66.0,85.77
NA,WP_258934354.1,1,69.0,80.0
NA,WP_258934355.1,1,68.0,76.58
NA,WP_258934356.1,1,67.0,82.64
NA,WP_258934357.1,1,65.0,77.78
NA,WP_258934358.1,1,66.0,79.1
NA,WP_258934359.1,1,64.0,71.56
NA,WP_258935307.1,1,67.0,84.29
NA,WP_258935308.1,1,70.0,90.67
NA,WP_258934360.1,1,68.0,88.46
NA,WP_258934361.1,1,70.0,85.71
NA,WP_258934362.1,1,67.0,79.75
NA,WP_258934363.1,1,65.0,73.53
NA,WP_258935309.1,1,66.0,72.32
NA,WP_258934364.1,1,63.0,70.1
NA,WP_258934365.1,1,67.0,76.92
NA,WP_258934366.1,1,63.0,75.21
NA,WP_258934367.1,1,65.0,75.45
NA,WP_258934368.1,1,72.0,83.64
NA,WP_258934369.1,1,66.0,77.5
NA,WP_258934370.1,1,56.99999999999999,73.44
NA,WP_258934371.1,1,63.0,67.31
heR,WP_258934372.1,1,59.0,76.1
NA,WP_258934373.1,1,59.0,71.62
NA,WP_258934374.1,1,54.0,68.64
NA,WP_258934375.1,1,57.99999999999999,67.54
NA,WP_258934376.1,1,60.0,71.08
NA,WP_258934377.1,1,69.0,83.5
NA,WP_258935516.1,1,70.0,86.21
NA,WP_258935310.1,1,67.0,82.95
NA,WP_258934378.1,1,66.0,77.14
NA,WP_258934379.1,1,64.0,78.57
NA,WP_258934380.1,1,69.0,89.72
NA,WP_258935517.1,1,67.0,73.13
NA,WP_258935518.1,1,71.0,90.7
NA,WP_258934381.1,1,64.0,85.29
NA,WP_258934382.1,1,71.0,85.56
NA,WP_258934383.1,1,68.0,81.52
NA,WP_258934384.1,1,65.0,82.19
NA,WP_258934385.1,1,71.0,96.08
NA,WP_258934386.1,1,64.0,91.07
NA,NA,1,70.0,67.3
NA,WP_258934387.1,1,66.0,73.11
NA,WP_258935311.1,1,66.0,91.3
