gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_145266034.1,1,74.0,95.16
NA,WP_145266037.1,1,71.0,95.94
NA,WP_145266040.1,1,73.0,92.15
NA,WP_197446596.1,1,77.0,93.24
NA,WP_145266045.1,1,77.0,94.97
NA,WP_145266048.1,1,70.0,83.61
fusA,WP_145266051.1,1,68.0,98.29
NA,WP_145266054.1,1,71.0,94.23
NA,WP_197446597.1,1,71.0,95.88
NA,WP_197446598.1,1,70.0,94.01
rpsJ,WP_197446599.1,1,65.0,93.88
rplC,WP_145266059.1,1,70.0,94.53
rplD,WP_145266062.1,1,71.0,97.9
rplW,WP_145266063.1,1,64.0,96.97
rplB,WP_145266066.1,1,72.0,96.75
rpsS,WP_145266069.1,1,65.0,95.12
rplV,WP_145266072.1,1,71.0,96.03
rpsC,WP_145266075.1,1,65.0,91.56
rplP,WP_145266077.1,1,69.0,90.84
rpmC,WP_145266080.1,1,70.0,98.41
rplN,WP_145266084.1,1,68.0,96.58
rplX,WP_145266087.1,1,69.0,95.37
rplE,WP_145266089.1,1,66.0,97.18
rpsH,WP_145266091.1,1,67.0,97.54
rplF,WP_145266094.1,1,69.0,98.84
rplR,WP_197447078.1,1,69.0,92.66
rpsE,WP_197446600.1,1,70.0,93.46
rplO,WP_145266099.1,1,68.0,96.45
secY,WP_145266102.1,1,65.0,98.46
map,WP_231749366.1,1,69.0,95.0
NA,WP_145266104.1,1,68.0,74.6
rpmJ,WP_145266109.1,1,63.0,89.66
rpsM,WP_145266112.1,1,68.0,94.07
rpsK,WP_145266114.1,1,72.0,99.15
rpsD,WP_145266117.1,1,70.0,96.0
NA,WP_145266120.1,1,68.0,97.21
rplQ,WP_145266123.1,1,69.0,97.2
NA,WP_145266126.1,1,71.0,96.3
NA,WP_145266128.1,1,72.0,93.26
katG,WP_197447079.1,1,70.0,95.59
NA,WP_145266133.1,1,73.0,95.45
NA,WP_197446601.1,1,72.0,97.28
NA,WP_145266136.1,1,75.0,94.79
