gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_133593025.1,1,54.0,57.48
NA,WP_133593027.1,1,56.99999999999999,62.46
arsJ,WP_133593029.1,1,55.00000000000001,67.98
NA,WP_133593031.1,1,56.00000000000001,60.24
NA,WP_232475515.1,1,56.00000000000001,58.49
NA,WP_269769306.1,1,56.00000000000001,63.53
NA,WP_157591187.1,1,55.00000000000001,58.21
NA,WP_232475515.1,1,56.00000000000001,58.49
NA,WP_133593031.1,1,56.00000000000001,60.24
NA,WP_133593027.1,1,56.99999999999999,62.46
NA,WP_133593025.1,1,54.0,57.48
arsB,WP_133593022.1,1,55.00000000000001,66.67
NA,WP_133593020.1,1,59.0,70.47
NA,WP_133593018.1,1,55.00000000000001,58.82
merR,WP_133593016.1,1,57.99999999999999,67.19
merT,WP_133593015.1,1,62.0,76.64
merP,WP_133593013.1,1,65.0,83.13
merA,WP_133593011.1,1,65.0,77.54
NA,WP_232475439.1,1,49.0,55.79
NA,WP_157591188.1,1,53.0,56.89
NA,WP_198325191.1,1,50.0,48.67
NA,WP_133593007.1,1,46.0,54.55
NA,WP_133593006.1,1,53.0,58.24
NA,WP_133593004.1,1,56.00000000000001,62.79
NA,WP_133593002.1,1,57.99999999999999,64.54
cadR,WP_133593000.1,1,52.0,52.45
NA,WP_198325192.1,1,56.00000000000001,64.15
NA,WP_133592998.1,1,55.00000000000001,56.86
NA,WP_133592996.1,1,51.0,52.6
NA,WP_133592994.1,1,52.0,54.24
NA,WP_133592992.1,1,52.0,56.32
NA,WP_133592990.1,1,51.0,57.31
NA,WP_133592988.1,1,47.0,44.55
NA,WP_133592986.1,1,46.0,48.44
NA,WP_133592984.1,1,51.0,47.51
NA,WP_133592982.1,1,54.0,55.78
NA,WP_133592980.1,1,53.0,53.67
NA,WP_133592978.1,1,50.0,46.23
NA,WP_133592976.1,1,55.00000000000001,53.46
NA,WP_133592974.1,1,50.0,52.85
NA,WP_133592972.1,1,49.0,49.4
NA,WP_133592970.1,1,55.00000000000001,58.08
NA,WP_133592968.1,1,51.0,53.11
NA,WP_133592966.1,1,51.0,56.21
NA,WP_133592964.1,1,53.0,54.27
NA,WP_133592962.1,1,52.0,52.13
NA,WP_157591189.1,1,48.0,51.46
NA,WP_133592958.1,1,54.0,46.97
NA,WP_133592956.1,1,50.0,58.75
NA,WP_133592953.1,1,46.0,50.24
NA,WP_133592951.1,1,50.0,59.72
NA,WP_232475516.1,1,54.0,55.72
NA,WP_133592947.1,1,47.0,52.73
NA,WP_133592945.1,1,53.0,53.63
NA,WP_133592943.1,1,48.0,53.7
NA,WP_133592941.1,1,44.0,53.33
NA,WP_157591190.1,1,54.0,51.91
NA,WP_133592937.1,1,52.0,52.49
NA,WP_133592935.1,1,52.0,52.7
NA,WP_133592933.1,1,47.0,48.81
NA,WP_133592931.1,1,49.0,56.66
NA,WP_133592929.1,1,51.0,48.68
NA,WP_133592927.1,1,49.0,43.39
NA,WP_198325185.1,1,45.0,44.17
NA,WP_133592925.1,1,53.0,50.97
NA,WP_133592923.1,1,53.0,52.23
NA,WP_198325184.1,1,53.0,54.01
NA,WP_133593357.1,1,52.0,52.46
NA,WP_133593359.1,1,54.0,52.6
NA,WP_133593361.1,1,53.0,56.07
NA,WP_133593363.1,1,52.0,60.67
zigA,WP_133593365.1,1,54.0,60.41
NA,WP_133593367.1,1,60.0,69.09
NA,WP_133593369.1,1,54.0,59.03
NA,WP_133593372.1,1,60.0,62.71
NA,WP_198325194.1,1,55.00000000000001,60.98
NA,WP_162848221.1,1,56.99999999999999,62.53
NA,WP_133593376.1,1,43.0,38.04
NA,WP_133593378.1,1,42.0,44.44
