gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_012207857.1,1,33.0,28.31
NA,WP_012207858.1,1,35.0,30.86
NA,WP_012207859.1,1,37.0,31.53
NA,WP_041533977.1,1,31.0,27.69
NA,WP_012207861.1,1,39.0,36.07
NA,WP_012207862.1,1,28.000000000000004,27.63
NA,WP_231282502.1,1,30.0,24.47
NA,WP_231282503.1,1,28.999999999999996,26.83
NA,WP_012207864.1,1,36.0,29.11
deoC,WP_012207865.1,1,33.0,21.25
NA,WP_012207866.1,1,40.0,30.36
efp,WP_012207867.1,1,37.0,28.41
NA,WP_012207868.1,1,35.0,26.92
NA,WP_012207869.1,1,30.0,29.66
NA,WP_012207870.1,1,35.0,28.6
NA,WP_012207871.1,1,31.0,27.94
NA,WP_012207872.1,1,31.0,22.61
NA,WP_012207873.1,1,30.0,23.78
NA,WP_012207874.1,1,34.0,27.24
NA,WP_012207875.1,1,31.0,23.79
NA,WP_012207876.1,1,34.0,31.66
NA,WP_012207877.1,1,35.0,33.95
NA,WP_041533978.1,1,32.0,28.85
NA,WP_012207879.1,1,32.0,29.78
NA,WP_012207880.1,1,31.0,26.9
NA,WP_012207881.1,1,28.999999999999996,21.14
NA,WP_012207882.1,1,28.999999999999996,25.75
NA,WP_012207883.1,1,39.0,27.97
NA,WP_012207884.1,1,37.0,29.9
NA,WP_012207885.1,1,36.0,30.66
glmM,WP_012207886.1,1,34.0,25.29
NA,WP_012207887.1,1,39.0,29.28
pyrE,WP_012207888.1,1,35.0,27.27
NA,WP_012207889.1,1,32.0,28.39
rho,WP_012207890.1,1,37.0,30.79
NA,WP_012207891.1,1,36.0,28.62
NA,WP_231282472.1,1,32.0,31.34
NA,WP_012207893.1,1,42.0,27.78
NA,WP_012207894.1,1,36.0,30.04
NA,WP_012207895.1,1,35.0,31.5
NA,WP_012207896.1,1,34.0,31.17
NA,WP_012207897.1,1,32.0,28.63
NA,WP_012207898.1,1,33.0,26.24
NA,WP_012207899.1,1,34.0,27.33
NA,WP_012207900.1,1,33.0,30.36
NA,WP_012207901.1,1,36.0,29.33
guaA,WP_012207902.1,1,37.0,33.53
NA,WP_012207903.1,1,33.0,29.69
surE,WP_012207904.1,1,37.0,30.45
def,WP_012207905.1,1,37.0,30.18
fmt,WP_012207906.1,1,35.0,25.81
NA,WP_012207907.1,1,34.0,26.02
NA,WP_012207908.1,1,33.0,24.43
NA,WP_012207909.1,1,32.0,27.24
NA,WP_155811028.1,1,30.0,22.99
murA,WP_012207911.1,1,37.0,27.08
NA,WP_012207912.1,1,39.0,25.75
NA,WP_012207913.1,1,38.0,31.39
tyrS,WP_012207914.1,1,33.0,25.26
secG,WP_012207915.1,1,36.0,28.99
NA,WP_158245174.1,1,33.0,30.15
pulA,WP_012207917.1,1,37.0,28.99
NA,WP_012207918.1,1,37.0,28.67
NA,WP_012207919.1,1,37.0,28.35
NA,WP_012207920.1,1,35.0,30.93
NA,WP_012207921.1,1,35.0,30.32
NA,WP_012207922.1,1,36.0,28.93
NA,WP_012207923.1,1,32.0,24.11
argF,WP_012207924.1,1,35.0,29.69
arcC,WP_012207925.1,1,37.0,28.95
NA,WP_012207926.1,1,37.0,32.31
NA,WP_012207927.1,1,36.0,29.17
NA,WP_012207928.1,1,36.0,27.62
NA,WP_012207929.1,1,34.0,29.12
NA,WP_012207930.1,1,39.0,29.76
NA,WP_012207931.1,1,34.0,21.39
NA,WP_012207932.1,1,30.0,26.33
polA,WP_012207933.1,1,33.0,28.41
rimO,WP_012207934.1,1,32.0,26.06
pgsA,WP_012207935.1,1,35.0,35.0
thpR,WP_012207936.1,1,34.0,34.2
recA,WP_012207937.1,1,35.0,23.68
NA,WP_012207938.1,1,33.0,25.85
rny,WP_012207939.1,1,35.0,23.23
NA,WP_012207940.1,1,30.0,24.66
NA,WP_012207941.1,1,33.0,31.23
NA,WP_012207942.1,1,32.0,23.9
NA,WP_012207943.1,1,28.999999999999996,21.51
NA,WP_012207944.1,1,30.0,20.96
NA,WP_012207945.1,1,32.0,26.06
NA,WP_012207946.1,1,36.0,29.68
NA,WP_012207947.1,1,38.0,30.61
NA,WP_012207948.1,1,34.0,30.48
NA,WP_012207949.1,1,28.000000000000004,25.25
NA,WP_012207950.1,1,28.999999999999996,25.06
NA,WP_012207951.1,1,31.0,27.91
NA,WP_155811030.1,1,32.0,27.31
NA,WP_012207953.1,1,34.0,26.63
NA,WP_012207954.1,1,31.0,29.12
NA,WP_012207955.1,1,34.0,26.74
gmk,WP_012207956.1,1,32.0,23.83
NA,WP_012207957.1,1,28.000000000000004,23.81
serS,WP_012207958.1,1,35.0,25.3
NA,WP_012207959.1,1,28.999999999999996,21.97
NA,WP_012207960.1,1,33.0,26.39
NA,WP_012207961.1,1,33.0,25.46
NA,WP_012207962.1,1,28.999999999999996,24.0
NA,WP_012207963.1,1,38.0,33.18
NA,WP_012207964.1,1,40.0,27.13
NA,WP_012207965.1,1,32.0,36.54
NA,WP_012207966.1,1,39.0,32.8
NA,WP_012207967.1,1,36.0,30.25
NA,WP_012207968.1,1,33.0,25.3
fliM,WP_012207969.1,1,35.0,28.86
fliY,WP_012207970.1,1,34.0,29.75
NA,WP_012207971.1,1,28.000000000000004,22.06
NA,WP_012207972.1,1,33.0,29.18
NA,WP_155811031.1,1,35.0,31.39
NA,WP_012207974.1,1,33.0,30.66
NA,WP_012207975.1,1,34.0,27.71
uvrA,WP_012207976.1,1,37.0,33.33
NA,WP_081429131.1,1,31.0,25.32
wecB,WP_012207978.1,1,35.0,31.56
NA,WP_012207979.1,1,28.999999999999996,30.86
NA,WP_041533985.1,1,32.0,34.57
NA,WP_012207981.1,1,30.0,28.33
aglA,WP_012207982.1,1,37.0,32.42
NA,WP_012207983.1,1,35.0,27.8
larA,WP_269207891.1,1,34.0,27.23
NA,WP_012207985.1,1,38.0,28.74
NA,WP_012207986.1,1,37.0,28.7
NA,WP_012207987.1,1,39.0,33.26
NA,WP_269207887.1,1,34.0,29.44
NA,WP_012207989.1,1,39.0,22.77
bcp,WP_012207990.1,1,33.0,26.8
NA,WP_012207991.1,1,36.0,33.77
NA,WP_012207992.1,1,35.0,28.82
NA,WP_012207993.1,1,31.0,21.59
NA,WP_012207994.1,1,38.0,27.92
NA,WP_012207995.1,1,32.0,27.32
pgmB,WP_012207996.1,1,31.0,24.88
NA,WP_012207997.1,1,35.0,28.12
NA,WP_041533988.1,1,32.0,26.72
NA,WP_012207999.1,1,38.0,27.92
NA,WP_269207892.1,1,34.0,30.0
NA,WP_041533990.1,1,31.0,24.2
NA,WP_012208000.1,1,30.0,24.64
NA,WP_012208001.1,1,32.0,29.33
NA,WP_012208002.1,1,33.0,24.82
NA,WP_012208003.1,1,30.0,24.16
NA,WP_012208004.1,1,44.0,24.69
NA,WP_012208005.1,1,32.0,26.8
NA,WP_012208006.1,1,31.0,26.32
murI,WP_158245422.1,1,28.999999999999996,25.2
rapZ,WP_012208008.1,1,31.0,23.02
NA,WP_012208009.1,1,33.0,27.15
whiA,WP_012208010.1,1,27.0,22.9
nrdR,WP_012208011.1,1,33.0,24.82
greA,WP_012208012.1,1,35.0,30.0
lysS,WP_012208013.1,1,35.0,30.22
ispE,WP_012208014.1,1,30.0,27.02
NA,WP_012208015.1,1,35.0,25.64
ltaE,WP_012208016.1,1,38.0,29.94
NA,WP_196793032.1,1,32.0,28.1
NA,WP_012208018.1,1,32.0,21.77
NA,WP_012208019.1,1,32.0,24.0
NA,WP_012208020.1,1,34.0,24.72
NA,WP_012208021.1,1,35.0,25.31
NA,WP_012208022.1,1,40.0,28.06
NA,WP_012208023.1,1,30.0,20.78
NA,WP_012208025.1,1,30.0,24.39
NA,WP_012208026.1,1,28.999999999999996,23.86
NA,WP_012208027.1,1,30.0,25.63
ftsZ,WP_012208028.1,1,35.0,21.04
NA,WP_012208029.1,1,33.0,28.74
NA,WP_012208030.1,1,24.0,19.61
NA,WP_012208031.1,1,34.0,27.37
NA,WP_012208032.1,1,23.0,18.39
NA,WP_012208033.1,1,31.0,17.56
mtaB,WP_012208034.1,1,31.0,23.06
NA,WP_012208035.1,1,34.0,23.78
NA,WP_012208036.1,1,32.0,21.86
NA,WP_012208037.1,1,36.0,28.39
NA,WP_012208038.1,1,28.999999999999996,23.4
NA,WP_041533993.1,1,24.0,22.45
NA,WP_081429146.1,1,28.999999999999996,19.29
NA,WP_012208039.1,1,32.0,22.09
NA,WP_012208040.1,1,33.0,26.38
NA,WP_012208041.1,1,30.0,22.58
NA,WP_012208042.1,1,31.0,24.39
NA,WP_155811033.1,1,31.0,25.35
NA,WP_012208044.1,1,28.999999999999996,19.65
NA,WP_012208045.1,1,33.0,27.11
NA,WP_012208046.1,1,28.999999999999996,26.12
NA,WP_012208047.1,1,35.0,26.69
lgt,WP_012208048.1,1,34.0,26.74
recG,WP_012208049.1,1,32.0,26.68
NA,WP_041533997.1,1,27.0,25.68
NA,WP_012208051.1,1,32.0,28.67
NA,WP_012208052.1,1,32.0,24.89
NA,WP_012208053.1,1,35.0,24.28
NA,WP_012208054.1,1,28.999999999999996,22.54
NA,WP_012208055.1,1,32.0,23.71
NA,WP_012208056.1,1,37.0,32.09
NA,WP_012208057.1,1,34.0,25.62
hemW,WP_012208058.1,1,28.999999999999996,23.72
NA,WP_041533998.1,1,28.999999999999996,22.44
gatB,WP_012208060.1,1,33.0,27.99
gatA,WP_012208061.1,1,36.0,27.48
NA,WP_012208062.1,1,35.0,32.26
