gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_050428487.1,1,66.0,86.67
NA,WP_050428488.1,1,70.0,86.07
dnaK,WP_050435602.1,1,68.0,89.69
NA,WP_050428489.1,1,69.0,85.86
NA,WP_050428490.1,1,71.0,85.79
NA,WP_050428491.1,1,72.0,85.56
NA,WP_245678185.1,1,64.0,88.48
NA,WP_245678187.1,1,65.0,89.54
NA,WP_063796186.1,1,70.0,80.14
hrcA,WP_050428494.1,1,70.0,89.8
NA,WP_050428495.1,1,72.0,89.81
NA,WP_050428496.1,1,70.0,80.29
NA,WP_050428497.1,1,68.0,93.37
NA,WP_082362112.1,1,68.0,87.81
NA,WP_050428498.1,1,71.0,85.3
NA,WP_050428499.1,1,73.0,88.34
NA,WP_050428500.1,1,68.0,93.23
cobA,WP_050428501.1,1,73.0,89.18
NA,WP_050428502.1,1,73.0,88.89
NA,WP_050428503.1,1,71.0,88.82
NA,WP_156337971.1,1,60.0,66.3
hemB,WP_050435604.1,1,70.0,90.88
NA,WP_156337973.1,1,67.0,93.33
NA,WP_050428505.1,1,68.0,83.04
NA,WP_050428506.1,1,72.0,90.07
NA,WP_050428507.1,1,70.0,90.98
NA,WP_169796412.1,1,66.0,85.79
NA,WP_050428510.1,1,71.0,86.05
NA,WP_245678188.1,1,70.0,95.03
NA,WP_050428511.1,1,70.0,93.94
NA,WP_050428512.1,1,72.0,85.75
NA,WP_050428513.1,1,71.0,75.26
NA,WP_050428514.1,1,70.0,88.92
NA,WP_050428515.1,1,69.0,80.73
NA,WP_050428516.1,1,70.0,84.06
NA,WP_156337977.1,1,68.0,78.59
NA,WP_050428518.1,1,62.0,82.42
ybeY,WP_245678190.1,1,67.0,77.63
fsa,WP_050428519.1,1,65.0,88.57
secA,WP_050428520.1,1,64.0,89.34
NA,WP_050428521.1,1,68.0,73.44
rpoN,WP_050428522.1,1,61.0,84.54
NA,WP_050428523.1,1,66.0,80.0
NA,WP_050428524.1,1,67.0,83.71
NA,WP_050428525.1,1,70.0,80.35
NA,WP_082362115.1,1,65.0,76.92
NA,WP_245678192.1,1,64.0,86.26
NA,WP_050428527.1,1,64.0,83.79
NA,WP_082363340.1,1,67.0,86.28
NA,WP_050428528.1,1,68.0,77.38
NA,WP_179955506.1,1,69.0,87.87
NA,WP_050428529.1,1,74.0,86.61
NA,WP_050428530.1,1,66.0,82.47
NA,WP_050428531.1,1,65.0,85.88
NA,WP_050428532.1,1,70.0,86.87
NA,WP_050428533.1,1,72.0,85.81
NA,WP_156337979.1,1,70.0,88.47
NA,WP_050428535.1,1,73.0,84.54
NA,WP_156337981.1,1,70.0,75.03
