gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_168567328.1,1,50.0,53.47
NA,WP_168567329.1,1,46.0,47.31
aroB,WP_168567330.1,1,52.0,62.54
NA,WP_246259781.1,1,51.0,53.97
NA,WP_246259783.1,1,48.0,48.31
NA,WP_168571658.1,1,57.99999999999999,83.33
NA,WP_168567331.1,1,57.99999999999999,68.79
NA,WP_168567332.1,1,61.0,67.99
NA,WP_168567333.1,1,49.0,56.79
NA,WP_168567334.1,1,48.0,52.17
NA,WP_168567335.1,1,44.0,42.36
NA,WP_168567336.1,1,44.0,42.25
NA,WP_168567337.1,1,44.0,45.52
ilvD,WP_168571659.1,1,56.00000000000001,62.79
NA,WP_168567338.1,1,59.0,53.73
NA,WP_168567339.1,1,45.0,51.08
NA,WP_168567340.1,1,49.0,52.21
NA,WP_168567341.1,1,44.0,47.53
NA,WP_168567342.1,1,57.99999999999999,64.25
NA,WP_168567343.1,1,47.0,50.22
NA,WP_168567344.1,1,50.0,56.27
NA,WP_168567345.1,1,56.00000000000001,57.89
NA,WP_168571660.1,1,51.0,44.87
NA,WP_168567346.1,1,50.0,52.7
NA,WP_168567347.1,1,52.0,57.48
NA,WP_168567348.1,1,51.0,51.78
NA,WP_168567349.1,1,59.0,69.63
NA,WP_246259784.1,1,59.0,64.92
NA,WP_168567350.1,1,52.0,59.75
NA,WP_168571662.1,1,59.0,66.67
NA,WP_168567351.1,1,63.0,72.36
NA,WP_168567352.1,1,54.0,58.54
NA,WP_168567353.1,1,53.0,65.06
NA,WP_168567354.1,1,45.0,49.77
NA,WP_168567355.1,1,43.0,41.49
NA,WP_168567356.1,1,46.0,42.86
NA,WP_168567357.1,1,43.0,43.09
atpD,WP_281362057.1,1,57.99999999999999,65.58
NA,WP_168567358.1,1,56.99999999999999,66.89
NA,WP_168567359.1,1,54.0,66.23
NA,WP_168567360.1,1,49.0,48.92
NA,WP_168567361.1,1,48.0,49.4
map,WP_168567362.1,1,51.0,53.96
NA,WP_168567363.1,1,41.0,38.69
NA,WP_246260189.1,1,49.0,48.03
NA,WP_168567365.1,1,57.99999999999999,68.6
NA,WP_168567366.1,1,55.00000000000001,62.59
NA,WP_168567367.1,1,53.0,52.8
NA,WP_168567368.1,1,59.0,63.37
NA,WP_168567369.1,1,59.0,63.56
NA,WP_168567370.1,1,53.0,54.39
NA,WP_168567371.1,1,56.99999999999999,65.78
chlG,WP_168567372.1,1,54.0,68.73
NA,WP_168567373.1,1,59.0,62.94
feoB,WP_168567374.1,1,57.99999999999999,71.5
