gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_039806065.1,1,42.0,40.55
dnaN,WP_039806069.1,1,46.0,45.8
yaaA,WP_039812978.1,1,45.0,46.88
recF,WP_039806070.1,1,46.0,50.68
NA,WP_039806072.1,1,41.0,48.0
gyrB,WP_039806075.1,1,46.0,42.77
gyrA,WP_039806077.1,1,46.0,41.01
NA,WP_039806080.1,1,46.0,46.15
NA,WP_052268508.1,1,45.0,43.03
NA,WP_039806081.1,1,45.0,45.35
NA,WP_039806083.1,1,41.0,43.75
NA,WP_039806084.1,1,39.0,40.74
NA,WP_039806085.1,1,46.0,42.91
NA,WP_039806086.1,1,43.0,37.25
NA,WP_039806087.1,1,35.0,32.14
NA,WP_039806089.1,1,45.0,55.45
guaB,WP_039806093.1,1,45.0,36.4
NA,WP_039806095.1,1,44.0,34.23
pdxS,WP_039806097.1,1,48.0,38.38
pdxT,WP_039806098.1,1,50.0,43.55
serS,WP_039806101.1,1,50.0,51.44
NA,WP_039806102.1,1,42.0,39.71
NA,WP_039806104.1,1,41.0,47.16
NA,WP_039806106.1,1,50.0,66.67
NA,WP_039806107.1,1,44.0,48.83
NA,WP_039806108.1,1,43.0,47.06
NA,WP_039806109.1,1,50.0,54.07
tadA,WP_039806110.1,1,52.0,50.97
NA,WP_039806111.1,1,44.0,45.68
dnaX,WP_039806112.1,1,46.0,42.5
NA,WP_039806113.1,1,45.0,45.36
recR,WP_039806115.1,1,48.0,47.62
NA,WP_039806117.1,1,43.0,48.39
NA,WP_039806118.1,1,48.0,49.33
NA,WP_039806120.1,1,39.0,32.47
NA,WP_039806122.1,1,44.0,49.79
NA,WP_257720993.1,1,48.0,48.39
NA,WP_156129479.1,1,50.0,42.55
NA,WP_162182126.1,1,44.0,52.5
NA,WP_039806124.1,1,49.0,45.85
tmk,WP_039806126.1,1,47.0,41.38
NA,WP_039806128.1,1,43.0,36.0
holB,WP_039806129.1,1,46.0,49.54
NA,WP_039806131.1,1,44.0,45.86
yabA,WP_039806133.1,1,47.0,47.27
NA,WP_039806135.1,1,45.0,45.8
NA,WP_039806136.1,1,47.0,52.22
rsmI,WP_039806137.1,1,47.0,45.77
NA,WP_039806138.1,1,43.0,38.1
metG,WP_039806139.1,1,45.0,43.08
NA,WP_039806141.1,1,45.0,44.72
NA,WP_039806142.1,1,44.0,38.19
rnmV,WP_039806144.1,1,48.0,44.07
rsmA,WP_039806145.1,1,44.0,42.76
yabG,WP_039806146.1,1,46.0,43.32
NA,WP_039806148.1,1,40.0,25.64
NA,WP_039806149.1,1,52.0,53.85
ispE,WP_039806151.1,1,50.0,49.1
purR,WP_039806153.1,1,44.0,37.27
NA,WP_039806155.1,1,44.0,36.52
spoVG,WP_039806156.1,1,45.0,40.91
glmU,WP_039806157.1,1,46.0,40.4
NA,WP_039806159.1,1,46.0,44.84
NA,WP_039806161.1,1,43.0,29.77
pth,WP_039806163.1,1,43.0,43.26
NA,WP_039806164.1,1,44.0,40.91
mfd,WP_039806166.1,1,47.0,50.09
spoVT,WP_039806170.1,1,46.0,43.2
NA,WP_039806171.1,1,47.0,46.18
mazG,WP_039806173.1,1,47.0,44.96
NA,WP_039806174.1,1,48.0,50.65
yabP,WP_039812984.1,1,44.0,48.84
yabQ,WP_052268510.1,1,40.0,40.28
NA,WP_039806176.1,1,41.0,41.94
NA,WP_039806177.1,1,50.0,41.3
NA,WP_039806178.1,1,45.0,45.71
NA,WP_173425098.1,1,44.0,56.06
NA,WP_039806189.1,1,49.0,46.7
tilS,WP_039806190.1,1,46.0,41.12
hpt,WP_039806191.1,1,41.0,39.88
ftsH,WP_039806193.1,1,46.0,40.51
NA,WP_039806195.1,1,44.0,37.4
hslO,WP_039806197.1,1,46.0,38.87
NA,WP_039806199.1,1,47.0,45.39
cysK,WP_039806201.1,1,47.0,41.61
NA,WP_039806205.1,1,48.0,46.41
pabA,WP_039806206.1,1,53.0,60.96
pabC,WP_039806208.1,1,48.0,44.65
folP,WP_039806210.1,1,46.0,41.0
folB,WP_039806212.1,1,48.0,49.55
folK,WP_052268511.1,1,45.0,42.68
lysS,WP_039806214.1,1,46.0,43.62
NA,WP_039806216.1,1,44.0,45.14
NA,WP_039806218.1,1,46.0,44.51
NA,WP_039806221.1,1,47.0,46.29
clpC,WP_039806223.1,1,47.0,40.47
radA,WP_039806225.1,1,49.0,49.0
disA,WP_039806227.1,1,47.0,47.25
NA,WP_039806229.1,1,42.0,41.46
ispD,WP_039806232.1,1,46.0,42.4
ispF,WP_039806233.1,1,49.0,44.3
gltX,WP_039806235.1,1,47.0,47.27
cysE,WP_039806237.1,1,49.0,50.24
cysS,WP_039806239.1,1,45.0,42.32
NA,WP_039806241.1,1,49.0,51.91
rlmB,WP_039806243.1,1,48.0,42.02
NA,WP_039806245.1,1,45.0,52.17
sigH,WP_082029153.1,1,45.0,49.34
rpmG,WP_082028954.1,1,44.0,42.5
secE,WP_039806247.1,1,39.0,46.0
nusG,WP_039806249.1,1,47.0,47.34
rplK,WP_039806251.1,1,48.0,33.33
rplA,WP_039806253.1,1,45.0,34.98
rplJ,WP_039806255.1,1,44.0,21.66
rplL,WP_039806257.1,1,44.0,26.13
NA,WP_039806258.1,1,46.0,45.03
rpoB,WP_039806260.1,1,46.0,40.36
rpoC,WP_039806262.1,1,47.0,40.84
NA,WP_039806264.1,1,50.0,52.05
rpsL,WP_039806265.1,1,46.0,33.08
rpsG,WP_039806267.1,1,46.0,36.05
fusA,WP_039806269.1,1,46.0,37.92
tuf,WP_039806270.1,1,46.0,35.4
NA,WP_039806275.1,1,43.0,46.21
rpsJ,WP_039806276.1,1,44.0,33.33
rplC,WP_039806278.1,1,46.0,35.5
rplD,WP_039806280.1,1,47.0,34.85
rplW,WP_039806282.1,1,40.0,41.18
rplB,WP_039806283.1,1,46.0,32.96
rpsS,WP_039806285.1,1,42.0,37.35
rplV,WP_039806287.1,1,45.0,32.69
rpsC,WP_039806289.1,1,45.0,33.18
rplP,WP_039806290.1,1,46.0,33.33
rpmC,WP_039806292.1,1,43.0,35.09
rpsQ,WP_039806294.1,1,40.0,33.33
rplN,WP_039806296.1,1,46.0,32.74
rplX,WP_039806297.1,1,41.0,36.17
rplE,WP_039806300.1,1,43.0,40.0
rpsN,WP_036787751.1,1,44.0,34.62
rpsH,WP_039806304.1,1,46.0,39.84
rplF,WP_039806306.1,1,44.0,31.36
rplR,WP_039806308.1,1,48.0,32.11
rpsE,WP_039806310.1,1,48.0,35.03
rpmD,WP_039806311.1,1,45.0,39.22
rplO,WP_039806313.1,1,46.0,30.66
secY,WP_039806315.1,1,45.0,45.52
NA,WP_039806318.1,1,45.0,39.61
map,WP_039806320.1,1,49.0,45.61
infA,WP_039806323.1,1,45.0,41.27
rpmJ,WP_036787716.1,1,38.0,42.86
rpsM,WP_039806325.1,1,44.0,32.14
rpsK,WP_039806328.1,1,49.0,30.0
NA,WP_039806329.1,1,43.0,36.39
rplQ,WP_039806331.1,1,46.0,29.91
NA,WP_039806332.1,1,48.0,52.04
NA,WP_039806334.1,1,49.0,44.4
NA,WP_039806336.1,1,46.0,48.06
truA,WP_039806338.1,1,50.0,51.06
rplM,WP_039806340.1,1,47.0,41.18
rpsI,WP_039806342.1,1,48.0,33.88
NA,WP_082028955.1,1,46.0,54.1
NA,WP_039806346.1,1,45.0,46.81
NA,WP_248782140.1,1,47.0,50.77
NA,WP_039806348.1,1,48.0,42.57
NA,WP_039806350.1,1,47.0,42.32
NA,WP_039806352.1,1,46.0,46.05
NA,WP_039806354.1,1,52.0,54.09
NA,WP_236953560.1,1,47.0,54.0
NA,WP_039806356.1,1,48.0,57.28
NA,WP_039806357.1,1,43.0,32.26
NA,WP_052268513.1,1,43.0,33.91
NA,WP_039806359.1,1,47.0,41.8
NA,WP_039806361.1,1,42.0,38.79
NA,WP_039806363.1,1,42.0,46.3
NA,WP_039806365.1,1,38.0,45.41
NA,WP_039806366.1,1,49.0,37.16
NA,WP_039806367.1,1,42.0,39.44
NA,WP_039806369.1,1,37.0,35.97
NA,WP_039806370.1,1,41.0,34.55
gerD,WP_039806372.1,1,47.0,51.74
NA,WP_039806373.1,1,45.0,50.47
NA,WP_039806377.1,1,47.0,39.07
NA,WP_039806379.1,1,49.0,36.32
NA,WP_039806381.1,1,47.0,31.24
NA,WP_039806383.1,1,47.0,40.0
NA,WP_039806385.1,1,43.0,42.62
NA,WP_039806387.1,1,43.0,42.48
NA,WP_039806389.1,1,44.0,42.21
NA,WP_039806391.1,1,43.0,40.31
rocF,WP_039806393.1,1,48.0,41.58
sigW,WP_039806395.1,1,42.0,42.7
NA,WP_082028957.1,1,47.0,47.78
NA,WP_039806397.1,1,44.0,45.86
cdaA,WP_039806399.1,1,46.0,45.19
NA,WP_039806401.1,1,47.0,39.41
glmM,WP_039806403.1,1,47.0,40.45
NA,WP_156129485.1,1,36.0,33.33
NA,WP_039806406.1,1,45.0,48.93
glmS,WP_039806408.1,1,47.0,42.13
NA,WP_039812999.1,1,38.0,29.22
NA,WP_257720995.1,1,40.0,40.0
NA,WP_039806412.1,1,38.0,33.67
NA,WP_039806414.1,1,44.0,35.92
NA,WP_039806417.1,1,38.0,32.34
NA,WP_039806418.1,1,38.0,32.5
NA,WP_039806420.1,1,37.0,35.4
resA,WP_039806421.1,1,37.0,27.75
NA,WP_162182127.1,1,36.0,26.25
NA,WP_052268516.1,1,38.0,33.33
NA,WP_039806423.1,1,41.0,34.11
NA,WP_039806425.1,1,41.0,41.48
NA,WP_039806428.1,1,38.0,41.1
NA,WP_039806430.1,1,37.0,37.87
NA,WP_039806432.1,1,32.0,27.27
NA,WP_039806434.1,1,27.0,17.46
NA,WP_039806436.1,1,38.0,36.84
NA,WP_039806437.1,1,41.0,41.2
NA,WP_039806439.1,1,31.0,20.0
merA,WP_039806441.1,1,37.0,21.23
merR,WP_001863748.1,1,31.0,18.18
NA,WP_039806455.1,1,37.0,21.86
NA,WP_039806456.1,1,37.0,29.87
NA,WP_039806458.1,1,37.0,26.89
NA,WP_039806460.1,1,33.0,27.7
NA,WP_039806463.1,1,38.0,26.05
cadC,WP_003322301.1,1,34.0,26.55
NA,WP_017154440.1,1,36.0,25.14
NA,WP_039806472.1,1,37.0,29.93
NA,WP_236953561.1,1,38.0,29.18
NA,WP_236953599.1,1,42.0,28.36
NA,WP_039806474.1,1,31.0,26.94
