gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_014990834.1,1,41.0,37.78
dnaN,WP_005595575.1,1,44.0,41.06
recF,WP_014990835.1,1,44.0,41.03
NA,WP_014990836.1,1,46.0,30.17
asd,WP_014990837.1,1,42.0,33.8
NA,WP_014990838.1,1,42.0,29.7
lpxB,WP_014990839.1,1,42.0,34.38
sohB,WP_014990840.1,1,39.0,34.6
mutM,WP_014990841.1,1,43.0,37.88
brnQ,WP_039194749.1,1,39.0,33.65
fabG,WP_014990843.1,1,41.0,29.31
fabD,WP_014990844.1,1,42.0,25.5
NA,WP_039194751.1,1,43.0,42.26
ispB,WP_014990846.1,1,44.0,35.71
NA,WP_014990847.1,1,41.0,25.29
NA,WP_014990848.1,1,40.0,35.94
rplU,WP_005618624.1,1,42.0,24.47
rpmA,WP_005621788.1,1,43.0,28.95
NA,WP_179130576.1,1,38.0,35.44
NA,WP_014990850.1,1,37.0,29.53
cdd,WP_014990851.1,1,40.0,29.51
NA,WP_014990852.1,1,40.0,36.82
folB,WP_014990853.1,1,40.0,29.73
plsY,WP_014990854.1,1,42.0,29.17
NA,WP_014990855.1,1,40.0,31.89
hslO,WP_039194757.1,1,41.0,35.19
hslR,WP_014990857.1,1,42.0,26.98
nudE,WP_014990858.1,1,42.0,34.86
cysQ,WP_014990859.1,1,41.0,35.63
zwf,WP_014990860.1,1,43.0,38.48
pgl,WP_014990861.1,1,41.0,30.49
NA,WP_014990862.1,1,45.0,42.36
NA,WP_039194759.1,1,42.0,33.19
NA,WP_014990863.1,1,22.0,12.68
NA,WP_014990864.1,1,28.000000000000004,20.91
gnd,WP_014990865.1,1,43.0,37.26
NA,WP_014990866.1,1,40.0,25.25
cysZ,WP_014990867.1,1,41.0,40.14
zipA,WP_039194761.1,1,43.0,33.02
ligA,WP_014990869.1,1,46.0,40.77
NA,WP_014990870.1,1,40.0,38.01
NA,WP_014990871.1,1,43.0,36.7
NA,WP_014990872.1,1,37.0,30.28
NA,WP_039194762.1,1,38.0,32.34
NA,WP_039194764.1,1,31.0,28.61
NA,WP_014990877.1,1,35.0,30.9
NA,WP_014990878.1,1,36.0,37.66
NA,WP_014990879.1,1,31.0,25.0
galE,WP_014990880.1,1,39.0,28.27
NA,WP_014990881.1,1,42.0,37.95
NA,WP_014990882.1,1,37.0,24.48
adk,WP_014990883.1,1,40.0,22.93
NA,WP_014990884.1,1,42.0,24.36
mdh,WP_014990885.1,1,41.0,25.32
argR,WP_014990886.1,1,38.0,31.25
NA,WP_014990887.1,1,42.0,34.03
NA,WP_039194766.1,1,40.0,27.06
mlaF,WP_014990889.1,1,43.0,37.6
mlaE,WP_014990890.1,1,41.0,31.33
mlaD,WP_005624567.1,1,39.0,28.48
mlaC,WP_014990891.1,1,40.0,29.06
NA,WP_005624571.1,1,37.0,31.82
NA,WP_014990892.1,1,39.0,31.17
murA,WP_014990893.1,1,44.0,30.77
NA,WP_014990894.1,1,33.0,49.51
NA,WP_014990895.1,1,41.0,28.95
ettA,WP_014990896.1,1,45.0,38.03
dnaQ,WP_014990897.1,1,43.0,39.52
NA,WP_014990898.1,1,44.0,36.36
NA,WP_014990899.1,1,38.0,31.62
clpP,WP_014990900.1,1,40.0,29.41
clpX,WP_014990901.1,1,42.0,36.59
lpxK,WP_014990902.1,1,43.0,35.96
NA,WP_014990903.1,1,43.0,43.48
NA,WP_039194772.1,1,45.0,45.52
NA,WP_014991326.1,1,46.0,49.23
NA,WP_014991325.1,1,39.0,29.31
NA,WP_014991324.1,1,44.0,42.31
NA,WP_014991323.1,1,42.0,38.61
NA,WP_014990906.1,1,45.0,38.98
NA,WP_014990907.1,1,39.0,39.29
NA,WP_014990909.1,1,44.0,39.32
NA,WP_005612729.1,1,44.0,41.43
NA,WP_014990910.1,1,43.0,39.71
NA,WP_014990911.1,1,30.0,22.4
NA,WP_005612726.1,1,41.0,38.54
gltX,WP_039194773.1,1,43.0,35.74
NA,WP_014990913.1,1,41.0,38.02
pilW,WP_014990914.1,1,42.0,35.26
NA,WP_014990915.1,1,45.0,38.18
NA,WP_014990916.1,1,42.0,34.88
NA,WP_014990917.1,1,32.0,22.9
NA,WP_014990918.1,1,42.0,36.21
NA,WP_179130574.1,1,45.0,41.1
NA,WP_014990920.1,1,44.0,37.65
NA,WP_039195678.1,1,46.0,39.89
NA,WP_014990923.1,1,45.0,41.29
NA,WP_039194775.1,1,46.0,41.87
NA,WP_014990925.1,1,43.0,22.81
NA,WP_014990926.1,1,39.0,29.79
NA,WP_014990927.1,1,39.0,30.25
pstS,WP_231951994.1,1,43.0,38.56
NA,WP_235189032.1,1,36.0,26.97
pstC,WP_014990930.1,1,41.0,36.27
pstA,WP_014990931.1,1,44.0,43.07
pstB,WP_014990932.1,1,40.0,36.4
phoB,WP_014990933.1,1,38.0,37.73
phoR,WP_014990934.1,1,39.0,38.48
parE,WP_014990935.1,1,43.0,38.85
NA,WP_039194777.1,1,40.0,35.24
NA,WP_014990937.1,1,39.0,31.8
NA,WP_179130575.1,1,39.0,35.98
NA,WP_014990939.1,1,41.0,24.87
