gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_012787686.1,1,42.0,42.09
NA,WP_012787687.1,1,47.0,52.07
NA,WP_012787688.1,1,46.0,47.25
NA,WP_012787689.1,1,47.0,49.33
NA,WP_012787690.1,1,48.0,48.89
NA,WP_012787691.1,1,47.0,49.08
NA,WP_012787692.1,1,36.0,29.77
NA,WP_012787693.1,1,38.0,32.34
NA,WP_012787694.1,1,44.0,48.69
NA,WP_012787695.1,1,43.0,46.19
NA,WP_012787696.1,1,46.0,48.81
NA,WP_012787697.1,1,38.0,44.19
NA,WP_012787698.1,1,42.0,38.38
NA,WP_012787699.1,1,51.0,57.63
NA,WP_012787700.1,1,47.0,51.57
NA,WP_012787701.1,1,48.0,49.46
NA,WP_012787702.1,1,50.0,52.51
NA,WP_012787703.1,1,51.0,55.33
NA,WP_012787704.1,1,45.0,43.48
NA,WP_012787705.1,1,47.0,49.28
NA,WP_012787706.1,1,45.0,49.23
NA,WP_012787707.1,1,51.0,52.17
NA,WP_012787708.1,1,42.0,37.86
NA,WP_012787709.1,1,43.0,39.81
NA,WP_187294728.1,1,43.0,39.44
NA,WP_012787713.1,1,35.0,30.77
NA,WP_012787714.1,1,37.0,35.71
NA,WP_012787715.1,1,39.0,42.48
NA,WP_012787716.1,1,41.0,44.34
NA,WP_012787717.1,1,40.0,43.06
NA,WP_012787718.1,1,37.0,21.5
istA,WP_012787720.1,1,43.0,40.12
istB,WP_012787721.1,1,44.0,41.35
NA,WP_012787723.1,1,34.0,27.26
NA,WP_012787724.1,1,34.0,22.46
NA,WP_187294729.1,1,37.0,26.74
NA,WP_012787726.1,1,44.0,50.57
NA,WP_012787727.1,1,45.0,47.14
NA,WP_187294730.1,1,46.0,44.44
NA,WP_012787729.1,1,43.0,49.07
NA,WP_012787730.1,1,44.0,48.05
NA,WP_012787731.1,1,46.0,62.99
NA,WP_012787732.1,1,46.0,49.53
NA,WP_012787733.1,1,45.0,37.99
NA,WP_012787735.1,1,45.0,47.16
NA,WP_012787736.1,1,46.0,46.84
NA,WP_012787737.1,1,48.0,46.23
NA,WP_012787738.1,1,47.0,49.55
NA,WP_187294731.1,1,48.0,46.56
NA,WP_012787740.1,1,45.0,50.87
NA,WP_012787741.1,1,47.0,47.98
NA,WP_012787742.1,1,44.0,47.81
NA,WP_148230483.1,1,41.0,37.47
NA,WP_012787744.1,1,47.0,58.82
NA,WP_012787745.1,1,47.0,56.48
NA,WP_012787746.1,1,47.0,53.15
NA,WP_012787747.1,1,48.0,58.97
NA,WP_012787748.1,1,48.0,56.3
NA,WP_012787749.1,1,47.0,54.46
NA,WP_012787750.1,1,48.0,54.19
NA,WP_012787751.1,1,48.0,48.37
NA,WP_012787752.1,1,48.0,45.15
NA,WP_143087760.1,1,45.0,44.87
NA,WP_012787754.1,1,43.0,35.44
NA,WP_012787755.1,1,48.0,56.02
NA,WP_012787756.1,1,47.0,52.02
