gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_014801215.1,1,53.0,65.57
NA,WP_014801216.1,1,55.00000000000001,64.6
NA,WP_014801217.1,1,56.00000000000001,57.53
NA,WP_014801218.1,1,56.00000000000001,68.58
NA,WP_157210334.1,1,51.0,56.79
NA,WP_014801220.1,1,52.0,58.62
NA,WP_086014102.1,2,52.0,56.2
NA,WP_014801224.1,1,51.0,51.16
NA,WP_014801225.1,1,43.0,36.31
NA,WP_014801227.1,1,49.0,57.65
NA,WP_014801228.1,1,44.0,44.26
NA,WP_014801229.1,1,46.0,45.15
NA,WP_014801230.1,1,44.0,44.7
NA,WP_014801231.1,1,47.0,51.53
NA,WP_245536846.1,1,44.0,48.06
NA,WP_014801233.1,1,44.0,48.16
NA,WP_014801234.1,1,46.0,50.13
NA,WP_014801235.1,1,50.0,50.63
NA,WP_014801236.1,1,47.0,56.32
NA,WP_157210335.1,1,49.0,52.59
NA,WP_014801238.1,1,50.0,61.57
tnpA,WP_014801239.1,1,51.0,54.97
NA,WP_014801240.1,1,48.0,51.9
NA,WP_014801241.1,1,50.0,55.56
NA,WP_014801243.1,1,51.0,62.19
NA,WP_014801244.1,1,55.00000000000001,60.9
NA,WP_014801246.1,1,51.0,51.52
NA,WP_014801247.1,1,50.0,48.44
NA,WP_014801248.1,1,49.0,46.05
NA,WP_014801249.1,1,50.0,49.33
NA,WP_281054988.1,1,48.0,56.78
NA,WP_014801227.1,1,49.0,57.65
NA,WP_014801251.1,1,48.0,47.73
NA,WP_157210336.1,1,49.0,51.55
NA,WP_014801255.1,1,51.0,56.03
NA,WP_014801256.1,1,55.00000000000001,59.42
NA,WP_014801257.1,1,50.0,53.33
NA,WP_014801258.1,1,50.0,55.56
NA,WP_014801259.1,1,53.0,61.13
NA,WP_014801260.1,1,53.0,63.64
NA,WP_041948204.1,1,53.0,64.45
NA,WP_014801262.1,1,55.00000000000001,64.93
NA,WP_014801263.1,1,51.0,55.07
NA,WP_014801264.1,1,55.00000000000001,71.08
NA,WP_014801265.1,1,55.00000000000001,67.8
NA,WP_014801266.1,1,56.99999999999999,70.0
NA,WP_014801267.1,1,56.99999999999999,68.06
NA,WP_014801268.1,1,56.00000000000001,67.69
NA,WP_014801269.1,1,55.00000000000001,57.28
NA,WP_041948207.1,1,54.0,64.8
NA,WP_014801271.1,1,55.00000000000001,64.24
NA,WP_014801272.1,1,55.00000000000001,65.64
NA,WP_014801273.1,1,55.00000000000001,68.71
NA,WP_014801274.1,1,54.0,70.87
NA,WP_014801275.1,1,56.00000000000001,59.69
NA,WP_157210337.1,1,55.00000000000001,63.1
mraY,WP_014801277.1,1,54.0,67.42
NA,WP_014801278.1,1,56.00000000000001,67.82
NA,WP_014801280.1,1,56.99999999999999,67.34
NA,WP_281054989.1,1,56.00000000000001,65.92
NA,WP_014801283.1,1,52.0,64.76
NA,WP_014801284.1,1,50.0,57.69
NA,WP_014801285.1,1,52.0,60.31
NA,WP_014801286.1,1,56.00000000000001,63.86
pap,WP_014801287.1,1,56.00000000000001,67.7
gap,WP_014801288.1,1,56.00000000000001,70.99
NA,WP_014801289.1,1,56.99999999999999,65.7
NA,WP_014801290.1,1,53.0,64.94
NA,WP_014801291.1,1,56.99999999999999,66.89
NA,WP_014801292.1,1,50.0,63.13
NA,WP_014801293.1,1,51.0,53.42
NA,WP_014801294.1,1,54.0,68.45
NA,WP_014801295.1,1,61.0,69.57
NA,WP_014801296.1,1,56.00000000000001,66.33
NA,WP_014801297.1,1,57.99999999999999,72.48
rpiB,WP_014801298.1,1,56.00000000000001,61.94
NA,WP_157210338.1,1,56.99999999999999,66.49
htpX,WP_014801300.1,1,59.0,72.7
NA,WP_014801301.1,1,50.0,67.69
NA,WP_014801302.1,1,54.0,66.25
ftsH,WP_014801303.1,1,55.00000000000001,63.27
NA,WP_014801304.1,1,55.00000000000001,64.5
NA,WP_014801305.1,1,55.00000000000001,68.48
NA,WP_014801306.1,1,56.00000000000001,65.53
tsaD,WP_014801307.1,1,57.99999999999999,62.06
NA,WP_014801308.1,1,56.00000000000001,66.47
NA,WP_014801309.1,1,50.0,64.04
NA,WP_014801310.1,1,48.0,58.46
NA,WP_014801311.1,1,56.99999999999999,65.54
NA,WP_014801312.1,1,54.0,58.42
NA,WP_014801313.1,1,55.00000000000001,63.82
NA,WP_014801314.1,1,57.99999999999999,66.98
mtnP,WP_014801315.1,1,56.00000000000001,64.08
NA,WP_014801316.1,1,56.00000000000001,61.81
NA,WP_014801317.1,1,55.00000000000001,68.45
NA,WP_014801318.1,1,54.0,69.87
NA,WP_014801319.1,1,53.0,65.69
NA,WP_014801320.1,1,56.00000000000001,64.72
NA,WP_014801322.1,1,56.00000000000001,60.95
