gene_name,prot_id,number_of_exons,GC,GC3
groES,WP_015898996.1,1,39.0,22.73
glnD,WP_012676256.1,1,39.0,40.02
mutL,WP_012675454.1,1,36.0,30.53
NA,WP_012675384.1,1,39.0,33.33
NA,WP_012676487.1,1,40.0,32.39
NA,WP_012676790.1,1,32.0,27.24
NA,WP_012675706.1,1,38.0,34.86
NA,WP_012676601.1,1,39.0,42.02
purN,WP_012675876.1,1,37.0,28.16
NA,WP_012676844.1,1,38.0,39.65
purM,WP_012676194.1,1,41.0,35.35
NA,WP_012675911.1,1,35.0,31.21
NA,WP_274377783.1,1,41.0,35.71
NA,WP_012676552.1,1,41.0,35.77
NA,WP_049756053.1,1,38.0,31.9
dtd,WP_012675443.1,1,36.0,26.81
NA,WP_012676747.1,1,39.0,38.62
der,WP_012676167.1,1,40.0,35.84
NA,WP_012676744.1,1,38.0,34.07
murJ,WP_012676651.1,1,38.0,33.33
NA,WP_012675902.1,1,34.0,33.43
pyk,WP_012675623.1,1,39.0,32.98
NA,WP_012676336.1,1,37.0,39.67
NA,WP_012676974.1,1,41.0,32.09
NA,WP_049756054.1,1,39.0,32.67
NA,WP_012676654.1,1,37.0,33.33
NA,WP_012676875.1,1,40.0,35.43
guaA,WP_012675545.1,1,41.0,33.4
NA,WP_012676290.1,1,35.0,38.26
NA,WP_012676279.1,1,38.0,34.09
NA,WP_012675432.1,1,36.0,43.3
NA,WP_012676524.1,1,33.0,29.52
NA,WP_012675643.1,1,38.0,36.01
NA,WP_012675830.1,1,44.0,14.81
NA,WP_012676435.1,1,36.0,25.27
NA,WP_148206387.1,1,36.0,38.46
NA,WP_012676220.1,1,42.0,35.8
NA,WP_012676396.1,1,41.0,33.11
NA,WP_015898846.1,1,36.0,36.73
NA,WP_012676834.1,1,39.0,35.12
NA,WP_012675882.1,1,39.0,29.1
NA,WP_012675597.1,1,41.0,34.75
waaF,WP_012676317.1,1,38.0,30.96
NA,WP_012676489.1,1,38.0,26.92
NA,WP_015898929.1,1,40.0,27.3
NA,WP_012675491.1,1,30.0,29.4
NA,WP_041530847.1,1,33.0,37.17
NA,WP_012675937.1,1,38.0,30.04
NA,WP_012676859.1,1,36.0,31.2
rplU,WP_012676185.1,1,37.0,36.36
rpmA,WP_015898935.1,1,39.0,30.26
rodA,WP_012676501.1,1,38.0,35.21
mrdA,WP_012675638.1,1,38.0,36.39
mreD,WP_041530848.1,1,30.0,31.69
mreC,WP_012675920.1,1,36.0,33.97
NA,WP_012675395.1,1,40.0,26.11
dapA,WP_012675960.1,1,41.0,31.34
NA,WP_012675678.1,1,36.0,34.73
NA,WP_012675336.1,1,41.0,31.2
ribE,WP_012676400.1,1,41.0,30.34
nusB,WP_012676034.1,1,36.0,35.34
NA,WP_012675795.1,1,40.0,35.19
NA,WP_015899038.1,1,39.0,39.22
yajC,WP_012675450.1,1,33.0,30.68
NA,WP_012676049.1,1,36.0,38.3
NA,WP_012675239.1,1,43.0,35.0
metF,WP_012676291.1,1,38.0,34.15
rny,WP_012675875.1,1,41.0,34.74
NA,WP_012676412.1,1,41.0,35.84
pheT,WP_012676075.1,1,38.0,31.86
pheS,WP_015898874.1,1,40.0,34.93
rplT,WP_012675919.1,1,38.0,28.57
rpmI,WP_012676830.1,1,36.0,30.51
NA,WP_012675907.1,1,38.0,39.77
NA,WP_012676122.1,1,38.0,37.54
rdgB,WP_015898905.1,1,38.0,34.34
ruvC,WP_012676301.1,1,37.0,32.19
NA,WP_012675434.1,1,41.0,34.85
NA,WP_012676044.1,1,34.0,31.86
NA,WP_012675220.1,1,36.0,27.37
ispH,WP_012676334.1,1,40.0,33.09
NA,WP_012676865.1,1,37.0,40.23
NA,WP_012676556.1,1,40.0,31.15
NA,WP_012675898.1,1,41.0,39.19
NA,WP_012676764.1,1,36.0,30.97
NA,WP_012675957.1,1,35.0,30.13
prmC,WP_012676577.1,1,36.0,26.94
murA,WP_012675312.1,1,42.0,34.61
NA,WP_012676632.1,1,40.0,34.56
aspS,WP_012675723.1,1,40.0,32.72
NA,WP_012675515.1,1,37.0,42.13
NA,WP_015898920.1,1,38.0,36.92
NA,WP_012676769.1,1,35.0,34.82
argH,WP_012675497.1,1,41.0,36.38
NA,WP_012675251.1,1,35.0,34.8
NA,WP_012676586.1,1,39.0,32.9
NA,WP_041530849.1,1,37.0,32.78
NA,WP_012676822.1,1,36.0,37.34
NA,WP_012676804.1,1,38.0,36.46
NA,WP_012675308.1,1,41.0,36.05
ftsY,WP_012675543.1,1,39.0,28.47
ggt,WP_012675945.1,1,39.0,29.44
NA,WP_012676677.1,1,38.0,34.84
NA,WP_012676249.1,1,39.0,34.14
cooS,WP_012675684.1,1,42.0,30.53
NA,WP_015898856.1,1,38.0,31.51
gcvH,WP_012675418.1,1,43.0,42.97
NA,WP_012676172.1,1,40.0,41.92
def,WP_012676933.1,1,39.0,38.12
NA,WP_015898858.1,1,36.0,33.14
NA,WP_012676730.1,1,37.0,33.73
amrB,WP_012675617.1,1,37.0,25.0
amrA,WP_012676458.1,1,41.0,35.29
NA,WP_012676894.1,1,41.0,38.64
NA,WP_012675525.1,1,41.0,34.85
NA,WP_012676639.1,1,41.0,29.01
NA,WP_012675272.1,1,34.0,41.5
NA,WP_012675225.1,1,37.0,37.85
NA,WP_012675535.1,1,39.0,34.97
NA,WP_012675783.1,1,40.0,26.45
NA,WP_015898965.1,1,37.0,25.4
NA,WP_012676433.1,1,36.0,35.77
pdxA,WP_012675802.1,1,37.0,28.71
NA,WP_012675503.1,1,38.0,32.39
NA,WP_012675870.1,1,41.0,39.25
NA,WP_041530850.1,1,39.0,39.56
NA,WP_012676153.1,1,38.0,30.99
moeB,WP_015898897.1,1,41.0,31.18
NA,WP_012676270.1,1,42.0,29.11
NA,WP_012675671.1,1,33.0,27.61
recJ,WP_012676272.1,1,35.0,28.01
NA,WP_012675665.1,1,40.0,26.7
NA,WP_012676551.1,1,28.000000000000004,19.35
rpsU,WP_012675899.1,1,32.0,29.82
NA,WP_012676812.1,1,37.0,34.53
NA,WP_012676162.1,1,31.0,27.41
NA,WP_012676186.1,1,31.0,30.65
NA,WP_012675329.1,1,39.0,34.0
rseP,WP_012676297.1,1,38.0,29.0
dxr,WP_012676935.1,1,38.0,33.24
NA,WP_012675539.1,1,34.0,27.6
NA,WP_012675877.1,1,41.0,32.14
NA,WP_012675293.1,1,39.0,33.1
NA,WP_012676321.1,1,39.0,31.68
NA,WP_012676686.1,1,28.000000000000004,25.27
NA,WP_015898964.1,1,38.0,34.76
NA,WP_012675319.1,1,38.0,34.36
NA,WP_012676053.1,1,40.0,34.48
cmk,WP_012676511.1,1,38.0,33.01
NA,WP_012675594.1,1,39.0,38.29
moaD,WP_012676443.1,1,35.0,29.17
NA,WP_012675560.1,1,39.0,32.08
NA,WP_012676207.1,1,38.0,34.85
ilvC,WP_012675393.1,1,42.0,30.96
NA,WP_015898923.1,1,34.0,30.46
ilvN,WP_012676152.1,1,37.0,30.17
ilvB,WP_012676796.1,1,42.0,32.34
trmFO,WP_012675714.1,1,41.0,32.32
NA,WP_015898850.1,1,38.0,29.26
NA,WP_148206389.1,1,43.0,38.46
NA,WP_012676417.1,1,37.0,34.76
NA,WP_012675214.1,1,41.0,30.63
NA,WP_012676641.1,1,38.0,33.84
NA,WP_012675837.1,1,34.0,33.1
NA,WP_238527221.1,1,40.0,31.01
ricT,WP_012676940.1,1,38.0,33.0
NA,WP_012675672.1,1,34.0,33.0
tmk,WP_041530969.1,1,36.0,32.32
NA,WP_012676414.1,1,41.0,28.05
NA,WP_012675316.1,1,37.0,35.48
NA,WP_012675222.1,1,37.0,31.98
NA,WP_012676374.1,1,38.0,39.86
NA,WP_015899027.1,1,41.0,31.97
tyrS,WP_012675736.1,1,39.0,33.42
NA,WP_012675586.1,1,39.0,27.7
rnr,WP_012676539.1,1,38.0,32.95
NA,WP_012675425.1,1,37.0,39.42
NA,WP_012675986.1,1,40.0,38.46
atpH,WP_012676386.1,1,34.0,30.06
atpA,WP_012676375.1,1,42.0,30.91
NA,WP_012675291.1,1,38.0,32.98
atpD,WP_012676486.1,1,44.0,34.19
NA,WP_012676852.1,1,36.0,39.6
tsaD,WP_012676836.1,1,40.0,31.94
NA,WP_012675757.1,1,37.0,28.93
NA,WP_012676649.1,1,34.0,28.64
NA,WP_012675302.1,1,38.0,35.17
aroC,WP_015898987.1,1,43.0,32.98
atpB,WP_012675266.1,1,36.0,28.22
NA,WP_012675815.1,1,40.0,34.96
NA,WP_012676914.1,1,43.0,20.18
rpmH,WP_012676356.1,1,38.0,34.21
rnpA,WP_049756057.1,1,28.999999999999996,21.3
yidD,WP_012675521.1,1,35.0,25.42
yidC,WP_012675216.1,1,36.0,33.9
mnmE,WP_012676314.1,1,35.0,25.96
rho,WP_202944144.1,1,39.0,26.47
rpmE,WP_015898981.1,1,38.0,28.57
prfA,WP_012676428.1,1,40.0,34.94
NA,WP_012675287.1,1,28.999999999999996,19.3
NA,WP_012675772.1,1,39.0,30.14
NA,WP_012675475.1,1,34.0,29.71
NA,WP_012676835.1,1,37.0,33.57
NA,WP_012675331.1,1,30.0,17.89
NA,WP_012676605.1,1,30.0,22.86
ychF,WP_012676695.1,1,38.0,25.48
