gene_name,prot_id,number_of_exons,GC,GC3
dnaN,WP_067376330.1,1,59.0,73.46
recF,WP_067376333.1,1,56.00000000000001,62.99
gyrB,WP_067376336.1,1,60.0,78.42
NA,WP_193788183.1,1,59.0,69.19
NA,WP_067376339.1,1,65.0,73.29
NA,WP_067376342.1,1,65.0,70.43
NA,WP_067376345.1,1,63.0,69.9
hutH,WP_067376348.1,1,62.0,71.26
NA,WP_067386843.1,1,59.0,73.32
NA,WP_067376351.1,1,59.0,70.1
NA,WP_227819789.1,1,62.0,75.0
NA,WP_084783590.1,1,62.0,75.0
glyS,WP_067376354.1,1,62.0,76.75
glyQ,WP_067376356.1,1,61.0,76.75
NA,WP_227819790.1,1,62.0,74.22
NA,WP_067376363.1,1,60.0,79.07
trkA,WP_067289157.1,1,61.0,76.84
rsmB,WP_067376366.1,1,63.0,75.89
fmt,WP_067376369.1,1,62.0,74.04
def,WP_067376372.1,1,55.00000000000001,65.03
NA,WP_067376374.1,1,56.99999999999999,63.88
dprA,WP_067376376.1,1,62.0,67.95
NA,WP_067376378.1,1,60.0,61.36
hemF,WP_067376382.1,1,59.0,70.27
aroE,WP_227819992.1,1,64.0,72.45
NA,WP_067376387.1,1,59.0,73.66
NA,WP_067376390.1,1,65.0,74.11
NA,WP_067376393.1,1,64.0,77.56
NA,WP_227819791.1,1,65.0,72.34
NA,WP_067376399.1,1,64.0,80.05
NA,WP_067376402.1,1,67.0,80.65
NA,WP_067376405.1,1,66.0,79.45
NA,WP_067376408.1,1,67.0,81.28
NA,WP_067376411.1,1,62.0,79.53
NA,WP_067376415.1,1,62.0,73.99
prlC,WP_067376418.1,1,61.0,75.19
NA,WP_067376421.1,1,59.0,61.84
NA,WP_067376424.1,1,62.0,71.73
NA,WP_084783591.1,1,64.0,79.83
NA,WP_067376427.1,1,63.0,83.52
znuB,WP_067376430.1,1,66.0,81.71
znuC,WP_067376432.1,1,63.0,82.21
NA,WP_067376435.1,1,64.0,80.12
znuA,WP_067376438.1,1,63.0,70.98
NA,WP_157890186.1,1,46.0,43.7
NA,WP_067376441.1,1,63.0,69.67
NA,WP_067376443.1,1,65.0,73.53
NA,WP_084783597.1,1,63.0,72.03
NA,WP_067376448.1,1,61.0,76.62
purK,WP_084783598.1,1,65.0,81.71
purE,WP_067376449.1,1,64.0,77.78
NA,WP_067376453.1,1,59.0,68.81
NA,WP_120785156.1,1,60.0,71.11
NA,WP_157890187.1,1,59.0,70.27
NA,WP_227819792.1,1,62.0,70.0
NA,WP_067376463.1,1,61.0,72.94
NA,WP_084783600.1,1,61.0,68.39
NA,WP_067376466.1,1,59.0,71.67
NA,WP_084783602.1,1,57.99999999999999,77.9
NA,WP_067376473.1,1,59.0,75.88
NA,WP_067376476.1,1,63.0,80.65
NA,WP_067376479.1,1,61.0,72.85
NA,WP_067376483.1,1,64.0,75.9
NA,WP_067376486.1,1,61.0,68.42
NA,WP_067376489.1,1,63.0,74.36
NA,WP_067376492.1,1,62.0,77.63
recG,WP_067376495.1,1,65.0,78.04
NA,WP_067376498.1,1,63.0,72.78
NA,WP_067376501.1,1,59.0,74.07
NA,WP_067288995.1,1,55.00000000000001,67.12
coaD,WP_067376504.1,1,53.0,58.0
NA,WP_067376507.1,1,62.0,73.46
NA,WP_067376511.1,1,60.0,72.16
rsmD,WP_067376514.1,1,64.0,74.26
NA,WP_067376517.1,1,62.0,69.14
ftsY,WP_067376520.1,1,62.0,71.2
ftsE,WP_227819793.1,1,61.0,76.17
ftsX,WP_067376523.1,1,65.0,81.01
rpoH,WP_067288973.1,1,56.99999999999999,68.84
NA,WP_067376526.1,1,63.0,73.11
thiS,WP_067376529.1,1,62.0,73.68
NA,WP_067376532.1,1,61.0,77.17
trmB,WP_067376535.1,1,61.0,74.66
gcvA,WP_193788184.1,1,61.0,72.07
NA,WP_067376541.1,1,61.0,74.26
