gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_222836680.1,1,68.0,96.26
dnaN,WP_012725048.1,1,73.0,96.21
gnd,WP_012725049.1,1,72.0,95.83
recF,WP_012725050.1,1,74.0,93.3
gyrB,WP_043347706.1,1,69.0,97.29
gyrA,WP_245529064.1,1,71.0,97.41
NA,WP_012725054.1,1,74.0,93.45
NA,WP_012725055.1,1,74.0,90.32
NA,WP_012725056.1,1,69.0,91.82
NA,WP_012725057.1,1,69.0,86.29
NA,WP_012725058.1,1,74.0,91.6
NA,WP_245528911.1,1,74.0,91.07
NA,WP_012725060.1,1,74.0,95.52
NA,WP_012725061.1,1,70.0,94.79
NA,WP_012725062.1,1,66.0,97.35
NA,WP_012725063.1,1,67.0,95.88
NA,WP_012725064.1,1,74.0,94.47
NA,WP_012725065.1,1,69.0,96.95
NA,WP_144016847.1,1,72.0,95.94
NA,WP_012725067.1,1,65.0,97.22
NA,WP_012725068.1,1,73.0,93.16
NA,WP_012725069.1,1,72.0,92.88
NA,WP_012725070.1,1,70.0,95.56
NA,WP_012725071.1,1,72.0,94.17
pknB,WP_012725072.1,1,71.0,93.24
NA,WP_043346324.1,1,76.0,93.4
NA,WP_012725074.1,1,72.0,96.28
NA,WP_012725075.1,1,72.0,97.53
NA,WP_012725076.1,1,75.0,95.36
NA,WP_012725077.1,1,75.0,96.71
NA,WP_012725078.1,1,73.0,96.9
NA,WP_012725079.1,1,73.0,93.51
NA,WP_012725080.1,1,71.0,94.23
NA,WP_050761524.1,1,76.0,94.37
NA,WP_144016658.1,1,75.0,97.43
NA,WP_012725083.1,1,74.0,96.47
NA,WP_012725084.1,1,68.0,96.42
NA,WP_012725085.1,1,67.0,98.12
NA,WP_012725086.1,1,70.0,95.82
NA,WP_012725087.1,1,72.0,97.52
NA,WP_012725088.1,1,71.0,93.8
NA,WP_043346331.1,1,77.0,97.8
NA,WP_012725090.1,1,77.0,92.32
NA,WP_012725091.1,1,72.0,94.25
NA,WP_012725092.1,1,72.0,91.53
NA,WP_012725093.1,1,74.0,92.12
NA,WP_245528913.1,1,75.0,94.7
NA,WP_012725095.1,1,74.0,92.77
NA,WP_012725096.1,1,74.0,95.39
NA,WP_083769896.1,1,76.0,91.14
NA,WP_043346339.1,1,73.0,97.95
NA,WP_012725099.1,1,74.0,96.87
NA,WP_144016659.1,1,76.0,92.5
NA,WP_043346342.1,1,76.0,91.19
NA,WP_012725102.1,1,75.0,94.48
NA,WP_012725103.1,1,75.0,96.53
NA,WP_012725104.1,1,69.0,97.05
NA,WP_012725105.1,1,63.0,96.46
NA,WP_012725106.1,1,65.0,96.12
NA,WP_012725107.1,1,77.0,96.35
NA,WP_012725108.1,1,74.0,96.76
NA,WP_222836663.1,1,73.0,93.98
NA,WP_012725110.1,1,74.0,92.17
NA,WP_012725111.1,1,70.0,97.41
NA,WP_012725112.1,1,77.0,96.75
NA,WP_012725113.1,1,71.0,96.18
NA,WP_012725114.1,1,77.0,94.1
NA,WP_012725115.1,1,76.0,96.23
NA,WP_012725116.1,1,69.0,95.7
NA,WP_012725117.1,1,72.0,94.75
NA,WP_012725118.1,1,71.0,93.93
NA,WP_012725119.1,1,68.0,82.9
NA,WP_012725120.1,1,70.0,91.84
NA,WP_012725121.1,1,76.0,96.84
NA,WP_012725122.1,1,77.0,90.73
NA,WP_012725123.1,1,77.0,93.44
NA,WP_012725124.1,1,76.0,94.15
NA,WP_012725125.1,1,74.0,92.4
NA,WP_043346348.1,1,64.0,69.33
NA,WP_012725126.1,1,68.0,75.58
NA,WP_012725127.1,1,75.0,94.87
NA,WP_012725128.1,1,74.0,95.49
NA,WP_012725129.1,1,80.0,93.19
NA,WP_012725130.1,1,73.0,91.51
NA,WP_012725131.1,1,74.0,94.32
NA,WP_012725132.1,1,73.0,93.85
NA,WP_050761784.1,1,74.0,95.14
NA,WP_012725134.1,1,67.0,94.86
aztD,WP_012725135.1,1,74.0,96.55
NA,WP_012725136.1,1,71.0,97.68
NA,WP_012725137.1,1,78.0,97.89
NA,WP_012725138.1,1,73.0,95.65
NA,WP_012725139.1,1,76.0,95.0
nrdH,WP_012725140.1,1,73.0,97.3
nrdI,WP_012725141.1,1,67.0,89.15
nrdE,WP_012725142.1,1,64.0,98.55
NA,WP_012725143.1,1,66.0,81.08
nrdF,WP_012725144.1,1,64.0,99.05
NA,WP_012725145.1,1,59.0,68.71
NA,WP_012725146.1,1,76.0,89.52
NA,WP_012725147.1,1,73.0,93.4
NA,WP_012725148.1,1,77.0,93.75
NA,WP_012725149.1,1,75.0,89.19
NA,WP_012725150.1,1,77.0,92.64
NA,WP_012725151.1,1,76.0,94.36
NA,WP_012725152.1,1,75.0,88.03
NA,WP_012725153.1,1,76.0,93.29
NA,WP_012725154.1,1,74.0,95.97
NA,WP_012725155.1,1,73.0,91.77
NA,WP_222836664.1,1,78.0,95.65
NA,WP_012725157.1,1,74.0,97.76
NA,WP_012725158.1,1,77.0,94.53
NA,WP_012725159.1,1,72.0,97.74
NA,WP_012725160.1,1,75.0,93.55
NA,WP_012725161.1,1,73.0,91.54
NA,WP_012725162.1,1,74.0,96.08
NA,WP_050761533.1,1,76.0,95.59
NA,WP_012725164.1,1,74.0,96.3
NA,WP_012725165.1,1,75.0,98.11
NA,WP_012725166.1,1,77.0,97.84
NA,WP_012725167.1,1,72.0,97.21
NA,WP_012725168.1,1,71.0,90.87
NA,WP_012725169.1,1,72.0,90.68
NA,WP_012725170.1,1,75.0,92.78
NA,WP_012725171.1,1,74.0,94.96
NA,WP_012725172.1,1,67.0,93.53
NA,WP_012725173.1,1,66.0,97.02
NA,WP_012725174.1,1,68.0,96.69
NA,WP_012725175.1,1,73.0,93.48
NA,WP_012725176.1,1,70.0,94.5
NA,WP_012725177.1,1,72.0,94.53
NA,WP_012725178.1,1,73.0,95.45
NA,WP_012725179.1,1,73.0,95.67
NA,WP_012725180.1,1,69.0,88.95
NA,WP_012725181.1,1,70.0,92.5
NA,WP_012725182.1,1,71.0,95.95
NA,WP_012725183.1,1,75.0,95.54
NA,WP_012725184.1,1,76.0,92.41
NA,WP_012725185.1,1,75.0,96.62
NA,WP_012725186.1,1,76.0,97.33
NA,WP_012725187.1,1,76.0,95.36
fepB,WP_012725188.1,1,73.0,96.65
NA,WP_012725189.1,1,74.0,92.49
NA,WP_012725190.1,1,67.0,97.96
NA,WP_012725191.1,1,69.0,97.53
NA,WP_144016662.1,1,73.0,88.19
NA,WP_012725193.1,1,74.0,85.79
NA,WP_012725195.1,1,70.0,94.31
NA,WP_012725196.1,1,75.0,93.79
NA,WP_012725197.1,1,72.0,95.42
NA,WP_012725198.1,1,74.0,95.25
NA,WP_012725199.1,1,70.0,95.91
NA,WP_012725200.1,1,74.0,96.06
NA,WP_012725201.1,1,76.0,95.42
NA,WP_012725202.1,1,77.0,97.54
NA,WP_012725203.1,1,75.0,96.33
NA,WP_012725204.1,1,75.0,96.8
NA,WP_012725205.1,1,75.0,96.14
NA,WP_012725206.1,1,77.0,95.04
NA,WP_012725207.1,1,75.0,95.85
NA,WP_012725208.1,1,72.0,97.44
NA,WP_043347830.1,1,72.0,97.18
NA,WP_043346364.1,1,74.0,94.67
NA,WP_012725211.1,1,73.0,95.2
NA,WP_012725212.1,1,70.0,89.13
NA,WP_012725213.1,1,73.0,91.58
NA,WP_187292839.1,1,77.0,93.4
