gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_012749586.1,1,65.0,80.78
dnaN,WP_012749587.1,1,62.0,86.34
gyrB,WP_012749588.1,1,63.0,87.67
gyrA,WP_012749589.1,1,63.0,87.31
NA,WP_012749590.1,1,66.0,76.06
NA,WP_012749591.1,1,62.0,81.56
coaBC,WP_012749592.1,1,68.0,85.14
NA,WP_043599729.1,1,69.0,75.56
NA,WP_012749594.1,1,67.0,84.3
NA,WP_012749595.1,1,63.0,82.31
NA,WP_012749596.1,1,56.00000000000001,79.14
NA,WP_006919851.1,1,57.99999999999999,71.26
NA,WP_012749597.1,1,63.0,83.0
NA,WP_012749598.1,1,64.0,81.34
NA,WP_012749599.1,1,70.0,82.27
NA,WP_012749600.1,1,71.0,85.84
NA,WP_012749601.1,1,65.0,82.0
NA,WP_012749602.1,1,64.0,83.4
NA,WP_012749603.1,1,67.0,88.35
NA,WP_012749604.1,1,63.0,81.29
NA,WP_012749605.1,1,67.0,88.61
NA,WP_012749606.1,1,69.0,79.29
NA,WP_043599731.1,1,69.0,80.29
NA,WP_012749608.1,1,69.0,87.23
ilvD,WP_012749609.1,1,66.0,87.98
NA,WP_012749610.1,1,71.0,89.54
hisS,WP_012749611.1,1,66.0,85.19
aspS,WP_043599735.1,1,65.0,88.68
def,WP_012749613.1,1,66.0,86.67
fmt,WP_043599738.1,1,70.0,91.96
NA,WP_043599740.1,1,67.0,85.07
NA,WP_012749616.1,1,72.0,86.75
NA,WP_012749617.1,1,71.0,83.24
NA,WP_012749618.1,1,68.0,85.84
NA,WP_012749619.1,1,67.0,84.0
NA,WP_012749620.1,1,72.0,85.92
NA,WP_043599743.1,1,73.0,84.15
NA,WP_012749622.1,1,61.0,82.39
NA,WP_012749623.1,1,73.0,87.77
aspA,WP_012749624.1,1,66.0,91.48
NA,WP_052278923.1,1,66.0,87.79
NA,WP_012749626.1,1,63.0,85.59
NA,WP_012749627.1,1,65.0,88.37
NA,WP_012749628.1,1,68.0,85.11
NA,WP_012749629.1,1,73.0,83.67
NA,WP_043599747.1,1,67.0,83.93
NA,WP_012749633.1,1,69.0,84.15
NA,WP_012749634.1,1,70.0,83.9
NA,WP_043601371.1,1,61.0,85.0
NA,WP_012749636.1,1,71.0,86.9
NA,WP_012749637.1,1,51.0,70.97
NA,WP_012749638.1,1,68.0,86.31
NA,WP_012749639.1,1,61.0,89.46
asnB,WP_012749640.1,1,68.0,88.84
NA,WP_012749641.1,1,69.0,90.3
NA,WP_012749642.1,1,61.0,86.5
NA,WP_043599750.1,1,68.0,81.7
NA,WP_012749644.1,1,63.0,81.82
NA,WP_193763666.1,1,70.0,84.12
NA,WP_043599755.1,1,69.0,84.52
NA,WP_012749647.1,1,62.0,76.64
hisG,WP_012749648.1,1,62.0,87.68
hisI,WP_173362490.1,1,62.0,83.76
NA,WP_012749650.1,1,56.99999999999999,63.43
NA,WP_012749651.1,1,57.99999999999999,56.41
rlmN,WP_012749652.1,1,63.0,83.33
NA,WP_012749653.1,1,61.0,74.43
NA,WP_012749654.1,1,64.0,87.7
pyrC,WP_012749655.1,1,70.0,87.91
NA,WP_012749656.1,1,65.0,84.54
NA,WP_043599758.1,1,75.0,88.42
NA,WP_012749658.1,1,73.0,91.46
NA,WP_012749659.1,1,72.0,88.74
NA,WP_012749660.1,1,69.0,87.05
NA,WP_012749661.1,1,68.0,90.77
NA,WP_012749662.1,1,66.0,88.24
NA,WP_012749663.1,1,35.0,28.24
NA,WP_012749664.1,1,32.0,28.94
NA,WP_012749665.1,1,32.0,27.11
NA,WP_012749666.1,1,39.0,30.39
NA,WP_052278925.1,1,32.0,24.59
NA,WP_148208325.1,1,34.0,28.24
NA,WP_012749670.1,1,34.0,25.18
NA,WP_012749671.1,1,34.0,27.58
NA,WP_012749673.1,1,40.0,47.86
NA,WP_012749674.1,1,39.0,38.07
NA,WP_012749675.1,1,38.0,34.25
NA,WP_012749678.1,1,49.0,42.19
NA,WP_012749681.1,1,42.0,41.82
NA,WP_148208326.1,1,57.99999999999999,73.24
NA,WP_012749684.1,1,53.0,63.27
NA,WP_148208327.1,1,56.99999999999999,76.22
NA,WP_012749686.1,1,60.0,71.62
NA,WP_012749688.1,1,56.00000000000001,72.22
NA,WP_012749690.1,1,44.0,41.54
NA,WP_012749691.1,1,61.0,73.33
NA,WP_070098044.1,1,39.0,34.65
NA,WP_158304231.1,1,40.0,35.67
NA,WP_012749694.1,1,31.0,23.81
NA,WP_012749697.1,1,42.0,57.66
NA,WP_012749699.1,1,41.0,45.45
NA,WP_043599764.1,1,56.99999999999999,69.33
NA,WP_158304232.1,1,38.0,35.47
NA,WP_012749702.1,1,38.0,29.17
NA,WP_012749703.1,1,38.0,31.34
NA,WP_012749704.1,1,47.0,39.74
NA,WP_012749705.1,1,41.0,36.82
NA,WP_012749706.1,1,47.0,40.89
NA,WP_012749707.1,1,56.99999999999999,69.7
NA,WP_012749710.1,1,56.00000000000001,71.86
NA,WP_148208328.1,1,55.00000000000001,72.39
NA,WP_193763670.1,1,55.00000000000001,64.23
NA,WP_012749714.1,1,61.0,74.89
NA,WP_052278926.1,1,52.0,58.33
NA,WP_043599773.1,1,51.0,57.24
NA,WP_043599775.1,1,60.0,71.5
NA,WP_012749717.1,1,53.0,67.06
NA,WP_012749718.1,1,56.00000000000001,68.07
NA,WP_012749719.1,1,56.99999999999999,62.1
NA,WP_158304233.1,1,50.0,63.52
NA,WP_012749723.1,1,47.0,43.23
NA,WP_012749725.1,1,44.0,40.15
NA,WP_012749727.1,1,52.0,66.67
NA,WP_043599778.1,1,57.99999999999999,70.31
NA,WP_012749730.1,1,56.00000000000001,66.07
NA,WP_012749731.1,1,65.0,81.9
NA,WP_043599780.1,1,39.0,39.93
NA,WP_012749735.1,1,52.0,54.71
NA,WP_012749736.1,1,61.0,74.89
NA,WP_012749737.1,1,49.0,54.95
NA,WP_052278928.1,1,56.00000000000001,57.77
NA,WP_012749739.1,1,53.0,58.56
NA,WP_052278929.1,1,57.99999999999999,59.89
NA,WP_012749741.1,1,60.0,75.44
NA,WP_052278932.1,1,60.0,65.1
NA,WP_012749744.1,1,40.0,43.81
NA,WP_012749745.1,1,44.0,42.37
NA,WP_012749746.1,1,51.0,55.7
NA,WP_012749749.1,1,50.0,65.69
NA,WP_012749714.1,1,61.0,74.89
NA,WP_052278934.1,1,55.00000000000001,64.03
NA,WP_043599783.1,1,44.0,42.42
NA,WP_148208329.1,1,59.0,70.51
NA,WP_148208330.1,1,57.99999999999999,69.44
NA,WP_012749752.1,1,64.0,81.18
NA,WP_012749753.1,1,63.0,86.78
NA,WP_012749754.1,1,64.0,88.02
NA,WP_012749756.1,1,65.0,85.71
NA,WP_012749757.1,1,61.0,82.21
obgE,WP_012749758.1,1,70.0,89.72
NA,WP_012749759.1,1,71.0,89.18
NA,WP_012749760.1,1,70.0,87.78
NA,WP_012749761.1,1,69.0,85.91
hydF,WP_012749762.1,1,68.0,89.14
hydE,WP_012749763.1,1,69.0,86.96
NA,WP_052279049.1,1,71.0,88.24
NA,WP_012749765.1,1,68.0,85.19
cls,WP_232502855.1,1,65.0,87.29
NA,WP_012749767.1,1,72.0,80.43
NA,WP_232502856.1,1,69.0,88.69
NA,WP_012749769.1,1,69.0,88.96
NA,WP_012749770.1,1,65.0,77.27
NA,WP_043601429.1,1,69.0,88.65
NA,WP_012749772.1,1,64.0,93.23
NA,WP_006921951.1,1,62.0,88.7
NA,WP_012749773.1,1,68.0,93.31
NA,WP_012749774.1,1,64.0,90.82
NA,WP_006921948.1,1,66.0,84.87
NA,WP_012749775.1,1,66.0,88.54
NA,WP_012749776.1,1,68.0,90.56
NA,WP_012749777.1,1,65.0,92.94
NA,WP_012749778.1,1,64.0,83.12
NA,WP_012749779.1,1,73.0,85.24
NA,WP_081429663.1,1,64.0,84.62
NA,WP_012749781.1,1,63.0,86.18
NA,WP_012749782.1,1,59.0,79.8
NA,WP_012749783.1,1,71.0,87.66
NA,WP_012749784.1,1,66.0,83.73
NA,WP_012749785.1,1,75.0,88.73
NA,WP_012749786.1,1,66.0,90.9
NA,WP_012749787.1,1,48.0,56.15
NA,WP_012749788.1,1,68.0,88.01
NA,WP_012749789.1,1,64.0,87.97
NA,WP_012749790.1,1,66.0,86.67
NA,WP_052278935.1,1,67.0,87.64
wrbA,WP_012749792.1,1,68.0,87.11
NA,WP_012749793.1,1,69.0,86.9
trmFO,WP_012749794.1,1,67.0,87.15
NA,WP_012749795.1,1,68.0,88.07
lhgO,WP_012749796.1,1,67.0,87.21
NA,WP_043599790.1,1,69.0,85.8
murB,WP_012749798.1,1,69.0,83.21
NA,WP_012749799.1,1,71.0,90.37
NA,WP_043599792.1,1,68.0,88.04
NA,WP_012749801.1,1,68.0,88.64
NA,WP_043599795.1,1,70.0,86.12
hemL,WP_012749803.1,1,69.0,90.53
NA,WP_012749804.1,1,65.0,79.43
NA,WP_012749805.1,1,62.0,78.79
NA,WP_012749806.1,1,70.0,87.05
NA,WP_012749807.1,1,67.0,81.14
NA,WP_006920179.1,1,59.0,86.81
NA,WP_012749808.1,1,70.0,85.5
NA,WP_012749809.1,1,72.0,80.0
NA,WP_012749810.1,1,59.0,87.5
NA,WP_232502857.1,1,76.0,89.34
NA,WP_012749812.1,1,66.0,85.22
NA,WP_012749813.1,1,71.0,86.52
NA,WP_012749814.1,1,67.0,84.56
NA,WP_012749815.1,1,74.0,92.22
NA,WP_012749816.1,1,69.0,83.53
NA,WP_012749817.1,1,65.0,90.28
NA,WP_043599801.1,1,65.0,88.41
NA,WP_012749819.1,1,62.0,87.34
NA,WP_012749820.1,1,63.0,84.99
NA,WP_012749821.1,1,67.0,84.37
NA,WP_148208331.1,1,35.0,30.57
NA,WP_012749822.1,1,70.0,84.21
NA,WP_052279052.1,1,73.0,88.04
NA,WP_012749824.1,1,71.0,85.0
NA,WP_158304234.1,1,56.00000000000001,58.42
NA,WP_012749825.1,1,62.0,88.89
NA,WP_012749826.1,1,64.0,87.18
NA,WP_012749827.1,1,64.0,91.27
NA,WP_012749828.1,1,66.0,92.36
NA,WP_043599805.1,1,69.0,87.5
NA,WP_012749830.1,1,68.0,89.92
NA,WP_012749831.1,1,65.0,86.23
NA,WP_043599808.1,1,66.0,84.0
NA,WP_043599810.1,1,77.0,82.35
NA,WP_043601446.1,1,73.0,86.35
cobJ,WP_012749835.1,1,73.0,86.03
NA,WP_012749836.1,1,62.0,84.87
NA,WP_012749837.1,1,72.0,84.88
NA,WP_043599812.1,1,56.00000000000001,77.89
NA,WP_012749839.1,1,70.0,86.12
NA,WP_012749840.1,1,70.0,84.71
NA,WP_043599814.1,1,73.0,87.83
pstB,WP_012749842.1,1,63.0,85.66
NA,WP_012749843.1,1,73.0,88.73
NA,WP_012749844.1,1,69.0,90.83
NA,WP_232502944.1,1,71.0,88.16
NA,WP_012749846.1,1,70.0,91.03
NA,WP_012749847.1,1,69.0,85.44
NA,WP_012749848.1,1,71.0,88.1
NA,WP_043599818.1,1,69.0,88.79
NA,WP_012749850.1,1,62.0,87.23
groL,WP_006919071.1,1,64.0,90.13
groES,WP_006919070.1,1,57.99999999999999,82.76
NA,WP_148208333.1,1,47.0,50.0
NA,WP_012749851.1,1,63.0,88.73
NA,WP_012749852.1,1,63.0,91.21
NA,WP_006919067.1,1,64.0,90.58
NA,WP_006919066.1,1,59.0,83.93
NA,WP_012749853.1,1,65.0,89.68
NA,WP_012749854.1,1,59.0,84.68
NA,WP_012749855.1,1,64.0,76.96
NA,WP_012749856.1,1,72.0,89.21
NA,WP_006917733.1,1,64.0,76.74
cysC,WP_012749857.1,1,70.0,82.13
NA,WP_012749858.1,1,74.0,87.17
NA,WP_012749859.1,1,64.0,82.28
NA,WP_012749860.1,1,68.0,85.42
NA,WP_012749861.1,1,71.0,87.08
NA,WP_012749862.1,1,72.0,89.14
NA,WP_012749863.1,1,72.0,89.88
NA,WP_012749864.1,1,71.0,87.24
NA,WP_043599820.1,1,61.0,83.13
NA,WP_232502858.1,1,68.0,89.58
NA,WP_012749867.1,1,71.0,89.03
NA,WP_232502859.1,1,72.0,84.61
NA,WP_012749869.1,1,68.0,86.04
NA,WP_012749870.1,1,67.0,87.69
NA,WP_012749871.1,1,69.0,87.76
NA,WP_012749872.1,1,70.0,83.61
NA,WP_232502860.1,1,69.0,83.56
NA,WP_012749874.1,1,73.0,87.84
NA,WP_012749875.1,1,69.0,88.36
NA,WP_012749876.1,1,64.0,87.55
NA,WP_012749877.1,1,73.0,88.22
NA,WP_012749878.1,1,70.0,88.36
NA,WP_012749879.1,1,69.0,89.62
NA,WP_012749880.1,1,70.0,89.65
NA,WP_012749881.1,1,72.0,86.92
NA,WP_012749882.1,1,60.0,76.64
NA,WP_043599821.1,1,56.99999999999999,63.75
NA,WP_012749883.1,1,51.0,59.92
NA,WP_148208335.1,1,53.0,58.39
NA,WP_012749885.1,1,45.0,44.37
NA,WP_012749886.1,1,49.0,49.45
NA,WP_012749888.1,1,52.0,55.91
NA,WP_012749889.1,1,51.0,54.7
NA,WP_012749891.1,1,61.0,87.42
NA,WP_043599828.1,1,68.0,86.09
NA,WP_012749893.1,1,71.0,85.85
NA,WP_012749894.1,1,69.0,88.46
NA,WP_012749895.1,1,71.0,86.54
NA,WP_012749896.1,1,66.0,89.03
NA,WP_012749897.1,1,64.0,82.32
NA,WP_012749898.1,1,71.0,90.43
NA,WP_043599830.1,1,66.0,87.04
NA,WP_012749899.1,1,71.0,89.56
NA,WP_012749900.1,1,61.0,81.77
NA,WP_012749901.1,1,66.0,88.81
NA,WP_043599832.1,1,65.0,77.14
NA,WP_012749903.1,1,67.0,87.74
NA,WP_012749904.1,1,68.0,85.53
plsY,WP_012749905.1,1,69.0,88.42
NA,WP_012749906.1,1,67.0,86.79
NA,WP_043599833.1,1,70.0,85.32
NA,WP_012749908.1,1,72.0,84.97
NA,WP_043599835.1,1,72.0,87.41
NA,WP_012749910.1,1,59.0,80.0
NA,WP_012749911.1,1,73.0,92.42
NA,WP_012749912.1,1,65.0,88.52
