gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_088428755.1,1,51.0,51.03
NA,WP_187329212.1,1,62.0,69.24
NA,WP_202978800.1,1,56.99999999999999,64.71
NA,WP_080806233.1,1,55.00000000000001,59.59
NA,WP_225889123.1,1,53.0,52.59
NA,WP_080805629.1,1,56.99999999999999,62.57
NA,WP_080805631.1,1,57.99999999999999,65.88
NA,WP_306441444.1,1,56.00000000000001,63.96
NA,WP_080805634.1,1,57.99999999999999,56.52
NA,WP_187329215.1,1,45.0,57.45
glgP,WP_080805636.1,1,53.0,58.12
NA,WP_080805638.1,1,55.00000000000001,58.8
NA,WP_080805639.1,1,56.99999999999999,56.25
NA,WP_306441577.1,1,59.0,68.02
NA,WP_080805643.1,1,53.0,63.36
recJ,WP_202978801.1,1,61.0,67.06
NA,WP_080805763.1,1,56.00000000000001,57.07
NA,WP_080805765.1,1,56.00000000000001,58.74
NA,WP_225889125.1,1,56.00000000000001,59.16
NA,WP_080805650.1,1,51.0,45.54
NA,WP_080805653.1,1,54.0,55.97
mfd,WP_088428761.1,1,57.99999999999999,64.78
NA,WP_080805655.1,1,57.99999999999999,64.76
ftsH,WP_088428763.1,1,56.00000000000001,61.54
NA,WP_080805657.1,1,52.0,58.14
lnt,WP_256995492.1,1,56.99999999999999,56.88
NA,WP_137454971.1,1,53.0,55.17
NA,WP_080805660.1,1,52.0,53.98
NA,WP_256995493.1,1,55.00000000000001,55.79
mreC,WP_256995494.1,1,54.0,53.1
mreD,WP_088428765.1,1,52.0,54.95
NA,WP_080805668.1,1,56.99999999999999,59.85
dtd,WP_080805670.1,1,59.0,63.38
NA,WP_202978802.1,1,52.0,61.52
cysS,WP_080805674.1,1,57.99999999999999,66.53
rimM,WP_080805676.1,1,61.0,64.16
NA,WP_080805678.1,1,56.00000000000001,63.36
NA,WP_080805680.1,1,56.00000000000001,62.9
NA,WP_080805682.1,1,56.00000000000001,61.83
NA,WP_088428769.1,1,52.0,64.29
gorA,WP_088428771.1,1,55.00000000000001,59.41
nrdJ,WP_088431461.1,1,56.99999999999999,62.9
NA,WP_306441445.1,1,50.0,45.45
NA,WP_187329216.1,1,52.0,47.83
NA,WP_080805686.1,1,50.0,52.78
NA,WP_080805688.1,1,54.0,58.33
tgt,WP_080805690.1,1,55.00000000000001,55.49
NA,WP_080805692.1,1,50.0,52.11
cobS,WP_080805693.1,1,59.0,58.53
lptC,WP_080805695.1,1,53.0,56.12
NA,WP_080805697.1,1,47.0,46.27
metG,WP_088428773.1,1,51.0,51.15
NA,WP_256995495.1,1,54.0,64.26
NA,WP_088428775.1,1,55.00000000000001,56.52
NA,WP_080805704.1,1,56.00000000000001,66.89
