gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_071563469.1,1,35.0,29.79
dnaN,WP_122950850.1,1,28.999999999999996,18.16
recF,WP_122950851.1,1,28.000000000000004,22.95
gyrB,WP_122950852.1,1,37.0,24.27
NA,WP_122950853.1,1,38.0,30.77
chrA,WP_122950854.1,1,45.0,42.66
NA,WP_164707538.1,1,27.0,26.67
NA,WP_122950855.1,1,36.0,29.76
NA,WP_122950856.1,1,33.0,21.88
NA,WP_122950857.1,1,37.0,21.31
leuS,WP_122950858.1,1,44.0,44.11
NA,WP_122950859.1,1,41.0,38.87
bioD,WP_122950860.1,1,39.0,37.25
NA,WP_071564704.1,1,37.0,29.09
NA,WP_122950861.1,1,35.0,29.0
NA,WP_122950862.1,1,38.0,35.0
NA,WP_122950863.1,1,40.0,38.1
petA,WP_122950864.1,1,45.0,30.16
NA,WP_122950865.1,1,41.0,34.07
secA,WP_164707539.1,1,42.0,37.3
NA,WP_122950867.1,1,43.0,37.22
NA,WP_122950868.1,1,37.0,32.9
pyrC,WP_122950869.1,1,45.0,44.84
NA,WP_277424489.1,1,33.0,29.41
NA,WP_122950872.1,1,41.0,40.13
NA,WP_122950873.1,1,28.999999999999996,23.11
NA,WP_122950874.1,1,32.0,28.01
dcm,WP_122950875.1,1,31.0,24.49
NA,WP_122950876.1,1,40.0,37.44
NA,WP_122950877.1,1,41.0,49.8
arfB,WP_241156941.1,1,37.0,36.8
ribF,WP_122950878.1,1,41.0,40.48
mutY,WP_122950879.1,1,45.0,43.77
NA,WP_071565273.1,1,43.0,42.27
NA,WP_071565272.1,1,40.0,35.58
alaC,WP_071565271.1,1,44.0,38.08
NA,WP_122950880.1,1,37.0,26.67
NA,WP_241156976.1,1,45.0,40.96
NA,WP_071565267.1,1,40.0,37.35
NA,WP_164707540.1,1,43.0,33.8
NA,WP_164707541.1,1,35.0,25.0
NA,WP_164707542.1,1,32.0,32.5
NA,WP_164707543.1,1,42.0,31.54
NA,WP_164707544.1,1,33.0,31.58
NA,WP_164707545.1,1,42.0,31.99
NA,WP_122950889.1,1,42.0,30.83
NA,WP_122950890.1,1,37.0,38.57
NA,WP_164707546.1,1,42.0,31.45
NA,WP_122950892.1,1,42.0,31.64
NA,WP_241156942.1,1,41.0,31.88
NA,WP_122950893.1,1,36.0,28.92
NA,WP_164707547.1,1,42.0,32.17
NA,WP_122950895.1,1,37.0,35.29
NA,WP_164707548.1,1,41.0,30.6
NA,WP_122950896.1,1,36.0,29.23
NA,WP_122950897.1,1,35.0,35.0
NA,WP_164707549.1,1,42.0,31.6
NA,WP_164707550.1,1,43.0,34.12
NA,WP_122950899.1,1,34.0,33.33
NA,WP_164707551.1,1,42.0,30.68
NA,WP_164707541.1,1,35.0,25.0
NA,WP_164707552.1,1,41.0,31.49
NA,WP_122950900.1,1,44.0,39.51
NA,WP_071563738.1,1,39.0,39.2
NA,WP_139458462.1,1,36.0,38.93
NA,WP_071563740.1,1,41.0,39.77
ispC,WP_122950902.1,1,43.0,35.11
NA,WP_164707553.1,1,38.0,38.08
uppS,WP_122950904.1,1,39.0,36.82
hisF,WP_071563744.1,1,46.0,38.87
NA,WP_071563745.1,1,41.0,42.86
cyoE,WP_071563746.1,1,41.0,41.4
NA,WP_071563747.1,1,39.0,32.73
NA,WP_122950905.1,1,42.0,37.3
coxB,WP_071563749.1,1,43.0,37.25
ctaD,WP_071563750.1,1,41.0,38.97
NA,WP_071563751.1,1,35.0,29.27
NA,WP_071563752.1,1,43.0,39.16
NA,WP_071563753.1,1,41.0,35.29
NA,WP_071563754.1,1,38.0,35.29
NA,WP_122950906.1,1,38.0,30.58
NA,WP_122950907.1,1,38.0,31.11
NA,WP_122950908.1,1,39.0,33.2
NA,WP_071564529.1,1,41.0,42.39
NA,WP_122950909.1,1,44.0,38.96
trxB,WP_071564531.1,1,45.0,37.38
NA,WP_071564532.1,1,38.0,34.09
NA,WP_122950910.1,1,41.0,33.77
ruvX,WP_071564534.1,1,38.0,34.59
NA,WP_122950911.1,1,40.0,33.25
NA,WP_122950912.1,1,39.0,35.94
NA,WP_122950913.1,1,40.0,32.14
NA,WP_122950914.1,1,32.0,21.21
NA,WP_071564563.1,1,35.0,28.49
recN,WP_122950916.1,1,41.0,35.29
NA,WP_071564564.1,1,41.0,33.46
grpE,WP_071564539.1,1,42.0,32.98
NA,WP_122950917.1,1,42.0,29.06
NA,WP_241156943.1,1,33.0,26.35
NA,WP_122950919.1,1,36.0,31.68
dsbD,WP_122950920.1,1,40.0,35.38
aroQ,WP_071564544.1,1,40.0,31.39
accB,WP_071564545.1,1,43.0,28.68
accC,WP_122950921.1,1,45.0,40.23
NA,WP_122950922.1,1,32.0,29.14
NA,WP_143108755.1,1,28.999999999999996,27.15
argC,WP_122950923.1,1,41.0,33.93
erpA,WP_071564550.1,1,43.0,45.37
NA,WP_122950924.1,1,44.0,44.14
NA,WP_277424510.1,1,41.0,40.45
NA,WP_277424511.1,1,39.0,32.12
NA,WP_071564556.1,1,44.0,40.65
ubiE,WP_122950928.1,1,40.0,36.13
NA,WP_071564558.1,1,38.0,38.78
ubiB,WP_071564559.1,1,39.0,36.76
NA,WP_122950929.1,1,39.0,28.97
pth,WP_180334747.1,1,38.0,26.92
ychF,WP_071564562.1,1,40.0,30.51
NA,WP_122950930.1,1,42.0,39.9
NA,WP_122950931.1,1,42.0,39.96
NA,WP_122950932.1,1,41.0,31.72
NA,WP_164707554.1,1,42.0,37.15
NA,WP_122950934.1,1,39.0,34.1
NA,WP_122950935.1,1,40.0,29.65
NA,WP_122950936.1,1,36.0,28.92
NA,WP_122950937.1,1,41.0,29.87
NA,WP_164707555.1,1,42.0,37.15
NA,WP_122950934.1,1,39.0,34.1
gpmI,WP_122952204.1,1,42.0,38.57
rpe,WP_071564578.1,1,41.0,28.97
tsf,WP_122950940.1,1,41.0,30.74
gltB,WP_122950941.1,1,43.0,36.94
yaaA,WP_122950942.1,1,37.0,36.93
NA,WP_084032349.1,1,41.0,35.35
NA,WP_071564570.1,1,32.0,21.84
NA,WP_071564569.1,1,42.0,33.33
NA,WP_071564568.1,1,40.0,32.18
NA,WP_122950944.1,1,40.0,37.25
gshA,WP_122950945.1,1,38.0,33.33
NA,WP_071564642.1,1,34.0,32.64
NA,WP_122950946.1,1,43.0,46.42
mnmE,WP_122950947.1,1,44.0,38.44
NA,WP_071564594.1,1,38.0,31.96
NA,WP_071564593.1,1,38.0,31.5
NA,WP_071564592.1,1,40.0,35.17
NA,WP_071564590.1,1,33.0,23.13
NA,WP_164707556.1,1,32.0,25.35
NA,WP_122950949.1,1,38.0,41.04
NA,WP_122950950.1,1,37.0,38.37
serS,WP_122950951.1,1,40.0,32.46
yajC,WP_071564586.1,1,40.0,39.81
secD,WP_071564585.1,1,40.0,34.38
secF,WP_084032350.1,1,39.0,33.44
fabB,WP_071565240.1,1,43.0,32.32
fabA,WP_122950952.1,1,40.0,31.87
NA,WP_122950953.1,1,41.0,33.95
purF,WP_071565243.1,1,40.0,32.66
NA,WP_122950954.1,1,37.0,36.3
NA,WP_071565245.1,1,40.0,32.9
NA,WP_122950955.1,1,37.0,33.57
trmB,WP_241156964.1,1,41.0,41.62
NA,WP_122950957.1,1,32.0,31.25
NA,WP_164707557.1,1,41.0,34.85
NA,WP_277424501.1,1,33.0,24.53
NA,WP_122950960.1,1,43.0,41.89
NA,WP_084032330.1,1,31.0,27.02
NA,WP_071564220.1,1,42.0,40.16
NA,WP_122950961.1,1,38.0,34.26
NA,WP_122950962.1,1,32.0,29.1
pyrE,WP_122950963.1,1,42.0,35.96
rpmB,WP_071564213.1,1,38.0,24.64
rpmG,WP_066045648.1,1,36.0,33.33
NA,WP_122950964.1,1,32.0,21.88
NA,WP_122950965.1,1,44.0,37.01
purB,WP_122950966.1,1,39.0,33.18
rpsP,WP_122950967.1,1,48.0,27.52
rimM,WP_241156944.1,1,35.0,30.52
NA,WP_071564201.1,1,37.0,32.5
NA,WP_122950969.1,1,38.0,37.02
NA,WP_122950970.1,1,40.0,34.22
truA,WP_071564195.1,1,43.0,38.24
NA,WP_122952205.1,1,39.0,34.86
NA,WP_122950971.1,1,37.0,33.2
lptB,WP_122950972.1,1,37.0,29.61
tsaD,WP_071564224.1,1,45.0,38.21
NA,WP_071564187.1,1,46.0,43.2
NA,WP_122950973.1,1,35.0,30.67
NA,WP_122950975.1,1,35.0,28.81
NA,WP_257468828.1,1,33.0,21.88
NA,WP_143108858.1,1,31.0,23.53
NA,WP_122950977.1,1,31.0,25.93
NA,WP_164707558.1,1,26.0,21.09
NA,WP_164707559.1,1,35.0,27.16
NA,WP_122950980.1,1,41.0,35.29
hisA,WP_122950981.1,1,44.0,32.91
NA,WP_071564973.1,1,40.0,30.34
NA,WP_237732543.1,1,37.0,32.17
pmbA,WP_122950982.1,1,42.0,36.13
NA,WP_122950983.1,1,40.0,36.1
NA,WP_071564980.1,1,35.0,29.89
dbpA,WP_122950984.1,1,41.0,36.22
NA,WP_122950985.1,1,38.0,31.56
NA,WP_158009289.1,1,37.0,38.78
NA,WP_122950986.1,1,37.0,28.37
NA,WP_122950987.1,1,38.0,30.1
NA,WP_122950988.1,1,40.0,31.92
NA,WP_122950989.1,1,41.0,29.84
NA,WP_122950990.1,1,39.0,31.87
NA,WP_122950991.1,1,31.0,31.01
NA,WP_122950992.1,1,39.0,32.03
NA,WP_122950993.1,1,40.0,44.09
purH,WP_122950994.1,1,45.0,44.33
NA,WP_071563643.1,1,32.0,32.35
dusB,WP_122950995.1,1,42.0,41.59
def,WP_198934552.1,1,39.0,35.26
nadB,WP_071563640.1,1,40.0,34.97
NA,WP_122950996.1,1,30.0,20.71
NA,WP_180334742.1,1,38.0,39.39
NA,WP_071563637.1,1,40.0,33.49
NA,WP_122950998.1,1,41.0,38.95
NA,WP_122951000.1,1,24.0,16.47
NA,WP_122951001.1,1,28.000000000000004,23.81
NA,WP_122950936.1,1,36.0,28.92
NA,WP_206423659.1,1,28.999999999999996,22.4
lpdA,WP_122951002.1,1,50.0,54.37
NA,WP_122951003.1,1,44.0,41.78
NA,WP_071563632.1,1,38.0,34.24
NA,WP_071563631.1,1,35.0,34.57
plsY,WP_122951004.1,1,40.0,37.3
folB,WP_122951005.1,1,39.0,32.76
folK,WP_122951006.1,1,34.0,31.79
NA,WP_122951007.1,1,39.0,34.62
NA,WP_122951008.1,1,39.0,34.0
NA,WP_122951009.1,1,34.0,32.97
hisC,WP_122951010.1,1,39.0,36.52
NA,WP_122951011.1,1,47.0,52.32
NA,WP_122951012.1,1,35.0,27.88
NA,WP_071563418.1,1,38.0,29.58
NA,WP_084032258.1,1,38.0,32.14
NA,WP_071563419.1,1,40.0,29.95
NA,WP_071563421.1,1,41.0,34.64
NA,WP_071563422.1,1,32.0,26.47
hisB,WP_122952206.1,1,41.0,33.33
hisH,WP_084032259.1,1,43.0,38.27
NA,WP_071563424.1,1,37.0,30.14
NA,WP_071563425.1,1,37.0,37.69
nth,WP_071563426.1,1,38.0,30.85
sbcB,WP_122951013.1,1,39.0,36.8
NA,WP_122951014.1,1,33.0,29.77
NA,WP_122951015.1,1,37.0,31.68
NA,WP_164707560.1,1,32.0,28.63
NA,WP_071564309.1,1,41.0,24.14
NA,WP_241156946.1,1,39.0,31.51
NA,WP_122951018.1,1,40.0,34.28
NA,WP_071564303.1,1,36.0,31.33
NA,WP_071564299.1,1,37.0,31.11
ccoN,WP_122951019.1,1,39.0,31.7
ccoO,WP_122951020.1,1,40.0,34.03
NA,WP_158009311.1,1,36.0,30.95
ccoP,WP_122951021.1,1,38.0,28.27
NA,WP_122951022.1,1,33.0,31.71
NA,WP_122951023.1,1,35.0,36.91
NA,WP_071564288.1,1,39.0,29.31
NA,WP_071564286.1,1,42.0,32.63
NA,WP_122951024.1,1,37.0,31.94
rplM,WP_076982496.1,1,39.0,31.58
rpsI,WP_071564280.1,1,42.0,32.79
NA,WP_071563498.1,1,35.0,32.57
