gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_015357734.1,1,40.0,39.91
dnaN,WP_015357736.1,1,37.0,36.16
recF,WP_015357737.1,1,35.0,34.47
NA,WP_015357738.1,1,31.0,25.0
gyrB,WP_015357739.1,1,39.0,35.65
NA,WP_003511744.1,1,36.0,25.07
NA,WP_015357740.1,1,37.0,30.49
NA,WP_015357741.1,1,38.0,34.43
NA,WP_015357742.1,1,35.0,37.41
serS,WP_015357743.1,1,44.0,44.08
amrA,WP_015357744.1,1,44.0,36.73
amrS,WP_015357745.1,1,41.0,40.23
mutT,WP_015357746.1,1,41.0,35.29
NA,WP_015357747.1,1,42.0,34.43
sfsA,WP_034842229.1,1,40.0,39.64
NA,WP_015357749.1,1,44.0,44.23
NA,WP_045750373.1,1,43.0,43.49
gnpA,WP_015357751.1,1,45.0,47.43
NA,WP_015357752.1,1,38.0,43.42
NA,WP_015357754.1,1,40.0,43.75
NA,WP_015357755.1,1,40.0,38.57
NA,WP_015357756.1,1,45.0,52.63
NA,WP_015357757.1,1,45.0,45.89
NA,WP_015357758.1,1,45.0,46.17
NA,WP_015357760.1,1,41.0,46.04
NA,WP_015357761.1,1,41.0,48.69
NA,WP_015357762.1,1,43.0,48.11
NA,WP_015357763.1,1,44.0,50.48
NA,WP_015357764.1,1,45.0,51.26
NA,WP_015357767.1,1,41.0,40.92
NA,WP_015357768.1,1,45.0,40.56
NA,WP_015357769.1,1,46.0,51.51
NA,WP_015357770.1,1,47.0,48.5
NA,WP_015357771.1,1,44.0,47.99
NA,WP_015357772.1,1,46.0,47.97
NA,WP_015357773.1,1,49.0,53.43
NA,WP_015357774.1,1,46.0,52.94
NA,WP_015357775.1,1,47.0,48.34
NA,WP_015357776.1,1,44.0,45.38
NA,WP_015357777.1,1,50.0,51.99
NA,WP_015357778.1,1,46.0,48.44
NA,WP_015357779.1,1,45.0,48.69
NA,WP_015357780.1,1,43.0,44.09
NA,WP_015357781.1,1,45.0,47.77
NA,WP_015357782.1,1,48.0,48.83
NA,WP_015357783.1,1,47.0,51.52
NA,WP_015357784.1,1,47.0,48.5
NA,WP_015357785.1,1,49.0,53.41
NA,WP_015357786.1,1,49.0,50.64
NA,WP_015357787.1,1,48.0,46.53
NA,WP_015357788.1,1,48.0,49.11
NA,WP_015357790.1,1,43.0,50.94
NA,WP_015357791.1,1,42.0,47.47
NA,WP_015357792.1,1,43.0,51.33
NA,WP_015357793.1,1,43.0,51.72
NA,WP_015357794.1,1,46.0,52.23
NA,WP_015357795.1,1,45.0,46.43
NA,WP_015357796.1,1,46.0,50.29
NA,WP_015357797.1,1,44.0,47.64
NA,WP_015357798.1,1,41.0,40.53
NA,WP_015484809.1,1,46.0,51.24
nrdG,WP_015357801.1,1,45.0,45.62
dcd,WP_015484810.1,1,40.0,40.61
NA,WP_015357803.1,1,43.0,44.85
NA,WP_015357805.1,1,46.0,51.38
NA,WP_015357806.1,1,43.0,45.98
NA,WP_015484811.1,1,46.0,49.26
NA,WP_015357809.1,1,44.0,48.85
tadA,WP_015357810.1,1,50.0,52.17
spoIID,WP_015357811.1,1,47.0,51.49
NA,WP_015357812.1,1,44.0,44.13
spoIIID,WP_015357813.1,1,41.0,38.46
NA,WP_015357814.1,1,49.0,50.45
flgF,WP_015357815.1,1,45.0,47.35
flgG,WP_015357816.1,1,46.0,52.14
NA,WP_015357817.1,1,38.0,39.82
NA,WP_015484812.1,1,46.0,41.87
NA,WP_015357819.1,1,44.0,47.89
NA,WP_015357820.1,1,47.0,46.25
NA,WP_015357821.1,1,45.0,46.25
NA,WP_015357822.1,1,44.0,41.63
NA,WP_242823565.1,1,39.0,35.96
NA,WP_015357824.1,1,48.0,50.93
NA,WP_015357825.1,1,46.0,49.27
NA,WP_015357826.1,1,44.0,49.82
NA,WP_015357827.1,1,50.0,49.71
NA,WP_015357828.1,1,49.0,50.76
NA,WP_015357829.1,1,47.0,46.32
glgB,WP_015357831.1,1,45.0,50.68
NA,WP_015357832.1,1,48.0,52.43
NA,WP_015357834.1,1,46.0,53.97
prmC,WP_015357835.1,1,43.0,42.03
NA,WP_015357836.1,1,47.0,58.24
NA,WP_015357837.1,1,37.0,39.74
NA,WP_015357838.1,1,42.0,52.05
NA,WP_034844038.1,1,48.0,50.09
NA,WP_015357840.1,1,39.0,42.47
NA,WP_015484815.1,1,37.0,42.5
NA,WP_015357842.1,1,38.0,44.22
NA,WP_242823566.1,1,39.0,44.11
NA,WP_015357844.1,1,43.0,45.61
NA,WP_015357845.1,1,42.0,41.57
NA,WP_015357846.1,1,44.0,46.67
NA,WP_015357847.1,1,46.0,50.76
NA,WP_015357848.1,1,42.0,41.31
NA,WP_015484817.1,1,45.0,49.6
ispE,WP_015357851.1,1,45.0,43.87
NA,WP_015357852.1,1,47.0,50.47
rpsF,WP_015357853.1,1,41.0,50.0
NA,WP_015357854.1,1,48.0,46.81
NA,WP_015357855.1,1,44.0,47.85
NA,WP_015357856.1,1,45.0,50.36
NA,WP_015357857.1,1,41.0,47.83
NA,WP_015357858.1,1,43.0,47.35
NA,WP_015357859.1,1,43.0,45.79
dusB,WP_015357860.1,1,46.0,48.25
NA,WP_015357861.1,1,39.0,34.27
NA,WP_015357862.1,1,33.0,31.91
NA,WP_015357864.1,1,33.0,28.74
NA,WP_015357865.1,1,28.999999999999996,22.67
NA,WP_015357866.1,1,36.0,30.49
NA,WP_015484823.1,1,37.0,32.19
NA,WP_275450129.1,1,30.0,26.02
NA,WP_015357870.1,1,30.0,22.35
NA,WP_015357871.1,1,24.0,17.6
NA,WP_015484824.1,1,28.999999999999996,25.0
NA,WP_081594879.1,1,24.0,19.26
NA,WP_015357874.1,1,45.0,41.98
NA,WP_015357875.1,1,27.0,19.31
NA,WP_015357876.1,1,26.0,18.88
NA,WP_015357877.1,1,28.000000000000004,23.56
NA,WP_015357878.1,1,33.0,23.77
NA,WP_015357879.1,1,30.0,21.31
NA,WP_015357880.1,1,35.0,25.86
NA,WP_242823567.1,1,33.0,25.93
NA,WP_015357882.1,1,41.0,46.21
NA,WP_015357883.1,1,45.0,48.32
NA,WP_015357884.1,1,32.0,32.2
NA,WP_257747447.1,1,47.0,53.52
NA,WP_275450130.1,1,43.0,48.15
NA,WP_015357887.1,1,41.0,46.89
NA,WP_015357888.1,1,36.0,33.93
NA,WP_015357889.1,1,45.0,50.59
mscL,WP_015357890.1,1,40.0,40.43
loaP,WP_015357891.1,1,46.0,53.99
NA,WP_015357892.1,1,48.0,52.38
NA,WP_015357893.1,1,47.0,50.29
NA,WP_015357894.1,1,43.0,50.24
NA,WP_015484828.1,1,56.00000000000001,51.16
NA,WP_015357896.1,1,45.0,48.42
NA,WP_015357897.1,1,44.0,44.21
NA,WP_015357898.1,1,42.0,48.74
NA,WP_015357900.1,1,42.0,44.66
NA,WP_015357901.1,1,40.0,46.75
cysQ,WP_015357903.1,1,43.0,45.82
NA,WP_015357904.1,1,49.0,54.23
NA,WP_015357905.1,1,46.0,50.76
NA,WP_015357906.1,1,43.0,42.86
NA,WP_015357907.1,1,46.0,57.69
NA,WP_015357908.1,1,42.0,44.12
NA,WP_015357909.1,1,48.0,47.52
NA,WP_015357910.1,1,44.0,49.53
prfA,WP_015357911.1,1,47.0,50.72
NA,WP_015357913.1,1,40.0,40.51
NA,WP_015357914.1,1,42.0,47.62
NA,WP_015357915.1,1,40.0,39.5
NA,WP_015357916.1,1,36.0,25.07
NA,WP_275450131.1,1,35.0,31.25
NA,WP_015484831.1,1,39.0,28.27
NA,WP_015357920.1,1,40.0,34.15
NA,WP_015357921.1,1,42.0,35.04
NA,WP_275450132.1,1,42.0,35.29
NA,WP_015357923.1,1,39.0,38.78
NA,WP_015357924.1,1,41.0,37.1
NA,WP_015484833.1,1,40.0,36.86
NA,WP_015357927.1,1,37.0,38.74
NA,WP_015357928.1,1,39.0,42.65
NA,WP_015357929.1,1,41.0,43.41
NA,WP_169315992.1,1,45.0,55.17
cheB,WP_015357931.1,1,44.0,45.51
NA,WP_015357932.1,1,41.0,43.83
NA,WP_015357933.1,1,43.0,47.81
NA,WP_015357934.1,1,47.0,52.82
NA,WP_015357935.1,1,42.0,46.27
NA,WP_169315993.1,1,44.0,47.3
NA,WP_015357937.1,1,46.0,51.15
NA,WP_015357938.1,1,45.0,42.38
NA,WP_015357939.1,1,42.0,47.21
NA,WP_015357940.1,1,40.0,46.8
NA,WP_015357941.1,1,46.0,46.4
NA,WP_015357942.1,1,41.0,48.0
NA,WP_015357943.1,1,42.0,51.11
NA,WP_015357944.1,1,46.0,45.57
NA,WP_015357946.1,1,40.0,43.82
NA,WP_015357947.1,1,39.0,45.28
NA,WP_015357948.1,1,44.0,46.29
NA,WP_015357949.1,1,46.0,46.92
NA,WP_015357951.1,1,43.0,44.93
NA,WP_015357953.1,1,43.0,45.58
NA,WP_015357954.1,1,44.0,50.66
NA,WP_015357955.1,1,42.0,52.38
NA,WP_015357956.1,1,44.0,48.3
NA,WP_015357957.1,1,45.0,48.94
NA,WP_015357958.1,1,38.0,44.48
NA,WP_015357959.1,1,44.0,44.85
NA,WP_015357960.1,1,44.0,43.59
NA,WP_015357961.1,1,42.0,46.76
NA,WP_015357962.1,1,41.0,47.49
NA,WP_015357963.1,1,42.0,44.3
NA,WP_015357964.1,1,45.0,46.63
NA,WP_015357965.1,1,46.0,47.03
NA,WP_015357966.1,1,44.0,46.62
trkA,WP_015357967.1,1,45.0,47.99
menA,WP_015357968.1,1,41.0,45.05
NA,WP_169315994.1,1,44.0,47.08
NA,WP_052326355.1,1,42.0,44.43
NA,WP_015357972.1,1,50.0,52.12
NA,WP_015357973.1,1,41.0,47.9
cysC,WP_015357974.1,1,46.0,53.16
NA,WP_015357975.1,1,44.0,48.42
NA,WP_015357976.1,1,46.0,50.89
NA,WP_015357977.1,1,44.0,54.4
mazG,WP_015357978.1,1,44.0,48.85
NA,WP_015357979.1,1,46.0,48.57
yabP,WP_015357980.1,1,43.0,42.53
NA,WP_015357981.1,1,41.0,48.97
NA,WP_015357982.1,1,43.0,46.95
NA,WP_242823568.1,1,35.0,43.42
NA,WP_015484838.1,1,44.0,43.62
cysS,WP_015357986.1,1,45.0,50.11
NA,WP_015357987.1,1,45.0,48.66
NA,WP_015357988.1,1,44.0,50.36
NA,WP_015357989.1,1,45.0,46.5
NA,WP_015357990.1,1,47.0,49.45
radA,WP_015357991.1,1,49.0,52.49
NA,WP_015357992.1,1,47.0,42.97
NA,WP_015357993.1,1,38.0,39.68
NA,WP_242823569.1,1,40.0,37.22
ispD,WP_015357996.1,1,47.0,47.81
hisC,WP_015357997.1,1,43.0,41.67
fusA,WP_015357998.1,1,44.0,43.13
