gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_014486490.1,1,31.0,13.4
NA,WP_014486491.1,1,34.0,18.27
NA,WP_014486492.1,1,31.0,13.87
NA,WP_041177111.1,1,26.0,10.29
NA,WP_014486494.1,1,32.0,20.63
NA,WP_014486495.1,1,31.0,21.45
NA,WP_014486496.1,1,27.0,17.02
NA,WP_041177112.1,1,28.000000000000004,18.66
NA,WP_014486498.1,1,25.0,18.46
NA,WP_014486499.1,1,21.0,14.97
NA,WP_014486500.1,1,31.0,18.85
NA,WP_014486501.1,1,23.0,17.74
NA,WP_014486502.1,1,23.0,19.35
NA,WP_014486503.1,1,28.000000000000004,17.05
rsmI,WP_268741626.1,1,28.999999999999996,15.85
NA,WP_014486506.1,1,31.0,18.39
NA,WP_014486507.1,1,34.0,17.89
NA,WP_014486508.1,1,23.0,10.94
NA,WP_014486509.1,1,17.0,8.78
NA,WP_041177114.1,1,24.0,14.61
NA,WP_014486511.1,1,32.0,19.96
NA,WP_014486512.1,1,21.0,14.21
NA,WP_014486513.1,1,32.0,19.85
NA,WP_014486514.1,1,27.0,19.85
NA,WP_041177115.1,1,31.0,15.86
NA,WP_014486516.1,1,37.0,17.14
NA,WP_014486517.1,1,31.0,18.48
NA,WP_014486518.1,1,28.000000000000004,12.38
NA,WP_014486519.1,1,34.0,17.89
NA,WP_041177116.1,1,24.0,18.48
NA,WP_014486521.1,1,30.0,15.54
NA,WP_234944338.1,1,31.0,11.68
NA,WP_014486523.1,1,34.0,20.06
NA,WP_014486524.1,1,25.0,11.33
NA,WP_014486525.1,1,26.0,21.01
NA,WP_014486526.1,1,24.0,15.42
NA,WP_014486527.1,1,31.0,14.89
NA,WP_014486528.1,1,28.000000000000004,11.28
NA,WP_014486529.1,1,26.0,18.01
murQ,WP_014486530.1,1,33.0,15.36
NA,WP_014486531.1,1,28.000000000000004,17.39
NA,WP_014486532.1,1,28.999999999999996,12.08
NA,WP_014486533.1,1,31.0,17.29
NA,WP_014486534.1,1,35.0,20.16
NA,WP_014486535.1,1,31.0,21.25
NA,WP_014486536.1,1,31.0,20.4
NA,WP_014486537.1,1,30.0,20.77
NA,WP_014486538.1,1,26.0,16.56
NA,WP_014486539.1,1,27.0,19.89
NA,WP_041177118.1,1,24.0,20.0
NA,WP_041177119.1,1,33.0,17.23
NA,WP_014486542.1,1,27.0,10.42
NA,WP_014486543.1,1,33.0,20.3
NA,WP_041177120.1,1,30.0,20.57
NA,WP_014486545.1,1,33.0,17.22
NA,WP_014486546.1,1,19.0,13.24
NA,WP_014486547.1,1,26.0,12.1
NA,WP_020003302.1,1,23.0,8.46
NA,WP_014486549.1,1,22.0,8.7
NA,WP_014486550.1,1,28.000000000000004,16.49
NA,WP_041177121.1,1,24.0,11.81
NA,WP_014486552.1,1,27.0,23.86
NA,WP_234944339.1,1,18.0,11.84
NA,WP_014486554.1,1,20.0,13.82
NA,WP_014486556.1,1,28.000000000000004,19.89
NA,WP_014486557.1,1,30.0,16.9
NA,WP_014486558.1,1,28.999999999999996,16.28
NA,WP_014486559.1,1,27.0,13.55
NA,WP_148258764.1,1,31.0,18.07
NA,WP_014486561.1,1,28.999999999999996,13.33
NA,WP_014486562.1,1,21.0,9.0
NA,WP_041177540.1,1,27.0,20.0
NA,WP_014486564.1,1,28.999999999999996,16.44
NA,WP_014486565.1,1,24.0,15.89
NA,WP_014486566.1,1,30.0,20.41
NA,WP_014486567.1,1,34.0,20.0
NA,WP_014486568.1,1,28.999999999999996,18.82
NA,WP_014486569.1,1,36.0,32.75
NA,WP_014486570.1,1,28.000000000000004,16.0
NA,WP_014486571.1,1,28.000000000000004,14.87
NA,WP_014486572.1,1,28.999999999999996,14.8
NA,WP_014486573.1,1,19.0,16.67
NA,WP_014486575.1,1,23.0,11.56
NA,WP_148258765.1,1,27.0,11.8
NA,WP_014486577.1,1,33.0,18.71
NA,WP_014486578.1,1,23.0,12.77
NA,WP_014486579.1,1,27.0,12.59
NA,WP_014486580.1,1,28.000000000000004,15.17
NA,WP_232473715.1,1,28.000000000000004,12.21
NA,WP_014486582.1,1,30.0,11.86
NA,WP_014486583.1,1,31.0,15.74
NA,WP_014486584.1,1,24.0,10.81
NA,WP_014486585.1,1,33.0,16.35
NA,WP_014486586.1,1,36.0,12.03
NA,WP_014486587.1,1,27.0,14.89
NA,WP_014486588.1,1,19.0,11.82
NA,WP_014486589.1,1,26.0,12.12
NA,WP_014486590.1,1,26.0,7.82
NA,WP_014486591.1,1,27.0,16.33
NA,WP_014486592.1,1,28.999999999999996,12.39
NA,WP_014486593.1,1,21.0,9.07
NA,WP_014486594.1,1,30.0,12.96
NA,WP_014486595.1,1,24.0,10.78
NA,WP_014486596.1,1,26.0,5.43
NA,WP_158306601.1,1,22.0,15.79
NA,WP_014486597.1,1,18.0,6.67
NA,WP_014486598.1,1,21.0,9.79
NA,WP_014486599.1,1,39.0,17.11
NA,WP_014486600.1,1,22.0,11.76
NA,WP_014486601.1,1,26.0,15.16
NA,WP_014486602.1,1,27.0,13.73
NA,WP_041177123.1,1,32.0,17.56
NA,WP_014486604.1,1,33.0,16.45
NA,WP_234944340.1,1,21.0,13.68
NA,WP_014486606.1,1,19.0,13.21
NA,WP_041177124.1,1,23.0,15.45
NA,WP_014486608.1,1,28.000000000000004,16.83
NA,WP_014486609.1,1,24.0,9.16
NA,WP_014486610.1,1,31.0,11.43
NA,WP_014486611.1,1,28.000000000000004,15.61
NA,WP_014486612.1,1,25.0,13.47
NA,WP_014486613.1,1,28.000000000000004,17.84
NA,WP_014486614.1,1,24.0,12.68
NA,WP_014486615.1,1,23.0,13.07
NA,WP_014486616.1,1,28.000000000000004,18.51
NA,WP_014486617.1,1,32.0,9.73
NA,WP_014486618.1,1,31.0,19.53
NA,WP_014486619.1,1,28.000000000000004,26.23
NA,WP_014486620.1,1,26.0,18.64
NA,WP_014486621.1,1,31.0,17.61
NA,WP_014486622.1,1,26.0,14.81
NA,WP_041177126.1,1,28.999999999999996,14.44
NA,WP_014486624.1,1,26.0,15.6
NA,WP_014486625.1,1,24.0,14.94
NA,WP_014486626.1,1,27.0,12.06
NA,WP_014486627.1,1,25.0,13.6
NA,WP_014486628.1,1,20.0,6.67
NA,WP_014486629.1,1,31.0,21.81
NA,WP_014486630.1,1,21.0,16.36
NA,WP_014486631.1,1,24.0,11.84
NA,WP_148258768.1,1,14.000000000000002,9.01
NA,WP_014486633.1,1,30.0,14.85
NA,WP_014486634.1,1,28.000000000000004,14.29
NA,WP_014486635.1,1,31.0,15.32
NA,WP_014486636.1,1,21.0,11.61
NA,WP_014486637.1,1,34.0,16.1
NA,WP_014486638.1,1,28.000000000000004,18.79
NA,WP_041177128.1,1,38.0,16.28
NA,WP_014486640.1,1,31.0,15.94
NA,WP_041177129.1,1,25.0,13.83
NA,WP_200859221.1,1,21.0,10.6
NA,WP_049783479.1,1,22.0,12.5
NA,WP_014486642.1,1,24.0,13.21
NA,WP_014486643.1,1,19.0,10.66
NA,WP_014486644.1,1,28.000000000000004,15.59
NA,WP_014486645.1,1,23.0,14.53
NA,WP_014486646.1,1,28.999999999999996,18.28
NA,WP_014486647.1,1,28.000000000000004,18.69
NA,WP_014486648.1,1,28.999999999999996,17.87
NA,WP_014486649.1,1,23.0,17.33
NA,WP_148258769.1,1,34.0,17.14
NA,WP_014486651.1,1,28.000000000000004,9.03
NA,WP_234944341.1,1,28.999999999999996,14.75
NA,WP_014486653.1,1,28.000000000000004,19.17
NA,WP_014486654.1,1,26.0,18.9
NA,WP_041177547.1,1,30.0,15.45
ruvB,WP_014486656.1,1,32.0,17.56
NA,WP_041177130.1,1,30.0,17.34
lon,WP_014486658.1,1,32.0,19.39
creD,WP_014486659.1,1,28.000000000000004,20.22
NA,WP_014486660.1,1,24.0,15.28
NA,WP_014486661.1,1,26.0,10.16
NA,WP_014486662.1,1,32.0,12.65
NA,WP_014486663.1,1,32.0,17.13
NA,WP_014486664.1,1,35.0,21.05
NA,WP_014486665.1,1,33.0,21.62
NA,WP_014486666.1,1,33.0,17.23
