gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_057951324.1,1,39.0,35.7
map,WP_057951325.1,1,42.0,35.77
fabG,WP_057951326.1,1,40.0,30.13
NA,WP_057951327.1,1,40.0,37.5
NA,WP_057951328.1,1,39.0,36.51
NA,WP_057951329.1,1,37.0,33.75
NA,WP_057951330.1,1,38.0,35.93
NA,WP_057951331.1,1,32.0,25.93
NA,WP_057951332.1,1,35.0,34.87
NA,WP_157754482.1,1,35.0,31.03
NA,WP_057951334.1,1,38.0,34.39
NA,WP_157754483.1,1,38.0,35.58
NA,WP_057951336.1,1,39.0,35.56
NA,WP_057951337.1,1,40.0,31.71
NA,WP_057951338.1,1,40.0,37.11
NA,WP_057951339.1,1,43.0,40.0
NA,WP_057951340.1,1,38.0,37.63
gyrA,WP_057951341.1,1,42.0,38.69
NA,WP_057954800.1,1,43.0,38.11
tpx,WP_057951342.1,1,38.0,28.12
NA,WP_157754484.1,1,46.0,36.9
NA,WP_057951344.1,1,37.0,36.08
NA,WP_057951345.1,1,37.0,32.98
NA,WP_169792588.1,1,37.0,38.61
plsY,WP_057951347.1,1,42.0,28.93
NA,WP_057951348.1,1,39.0,35.9
folP,WP_057951349.1,1,43.0,37.13
tmk,WP_057951350.1,1,39.0,37.84
NA,WP_057951351.1,1,36.0,32.42
NA,WP_057951352.1,1,39.0,35.13
tpiA,WP_057951353.1,1,41.0,31.95
prmA,WP_205627961.1,1,41.0,38.35
NA,WP_057951354.1,1,41.0,40.44
NA,WP_057951355.1,1,39.0,34.21
NA,WP_057951356.1,1,42.0,40.87
NA,WP_057951357.1,1,41.0,35.38
NA,WP_169792589.1,1,41.0,36.88
NA,WP_057951359.1,1,35.0,27.91
NA,WP_157754487.1,1,36.0,32.58
rplI,WP_057951361.1,1,37.0,24.46
rpsR,WP_057951362.1,1,38.0,43.75
rpsF,WP_057951363.1,1,42.0,44.55
NA,WP_057951364.1,1,38.0,37.53
NA,WP_057951365.1,1,38.0,38.64
NA,WP_057951367.1,1,43.0,41.0
NA,WP_057951368.1,1,41.0,37.64
NA,WP_057951369.1,1,35.0,28.7
NA,WP_057951370.1,1,30.0,29.79
NA,WP_057951371.1,1,37.0,35.71
NA,WP_057951372.1,1,41.0,38.08
NA,WP_057951373.1,1,39.0,41.74
NA,WP_057951374.1,1,42.0,39.21
NA,WP_057951375.1,1,43.0,35.63
NA,WP_057951376.1,1,38.0,35.4
gdhA,WP_057951377.1,1,42.0,35.83
NA,WP_081421397.1,1,41.0,41.75
