gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_267313260.1,1,69.0,89.44
dnaN,WP_154074791.1,1,69.0,91.51
gnd,WP_154074792.1,1,70.0,91.96
recF,WP_154074793.1,1,72.0,86.72
NA,WP_154078482.1,1,75.0,86.67
gyrB,WP_154074794.1,1,66.0,93.67
gyrA,WP_154074795.1,1,66.0,89.79
NA,WP_154074796.1,1,70.0,90.38
NA,WP_222850205.1,1,72.0,80.65
NA,WP_154074797.1,1,68.0,85.93
NA,WP_154074798.1,1,68.0,85.9
NA,WP_154074799.1,1,69.0,87.06
NA,WP_154074800.1,1,65.0,83.33
NA,WP_154074801.1,1,67.0,84.16
NA,WP_228717456.1,1,70.0,89.51
NA,WP_154074802.1,1,67.0,83.47
NA,WP_154074803.1,1,70.0,90.62
NA,WP_154074804.1,1,72.0,90.22
NA,WP_187351967.1,1,72.0,90.2
NA,WP_187351968.1,1,65.0,88.57
NA,WP_228717457.1,1,69.0,89.67
NA,WP_228717458.1,1,69.0,83.82
crgA,WP_154074805.1,1,66.0,93.67
NA,WP_154074806.1,1,71.0,89.22
pknB,WP_154074807.1,1,69.0,93.38
NA,WP_154074808.1,1,71.0,86.64
NA,WP_154074809.1,1,69.0,94.13
NA,WP_154074810.1,1,68.0,90.47
NA,WP_154074811.1,1,71.0,87.87
NA,WP_154074812.1,1,67.0,83.45
NA,WP_267313261.1,1,69.0,85.06
NA,WP_154074814.1,1,66.0,86.52
NA,WP_187352107.1,1,67.0,89.26
NA,WP_154074816.1,1,68.0,82.68
NA,WP_154074817.1,1,68.0,88.62
NA,WP_154074818.1,1,71.0,87.12
NA,WP_154074819.1,1,65.0,91.76
NA,WP_154074820.1,1,70.0,84.03
NA,WP_154074821.1,1,68.0,89.78
pcaB,WP_228717459.1,1,72.0,84.83
NA,WP_154074822.1,1,71.0,89.2
NA,WP_228717756.1,1,73.0,94.0
NA,WP_154074824.1,1,72.0,87.62
NA,WP_154074825.1,1,71.0,88.99
NA,WP_154078489.1,1,73.0,90.36
NA,WP_154078488.1,1,68.0,93.48
NA,WP_228717460.1,1,71.0,85.99
NA,WP_154074826.1,1,72.0,79.61
NA,WP_154074827.1,1,71.0,76.67
NA,WP_154074828.1,1,68.0,91.31
NA,WP_154078491.1,1,70.0,88.11
NA,WP_228717461.1,1,71.0,82.19
NA,WP_154074829.1,1,73.0,85.71
NA,WP_154074830.1,1,74.0,89.83
NA,WP_154074831.1,1,69.0,91.75
NA,WP_154078493.1,1,70.0,90.96
NA,WP_154074832.1,1,69.0,91.02
NA,WP_154074833.1,1,67.0,91.54
NA,WP_154074834.1,1,71.0,85.74
NA,WP_154078494.1,1,71.0,89.61
NA,WP_154074835.1,1,70.0,87.74
NA,WP_267313230.1,1,71.0,83.87
NA,WP_154074836.1,1,71.0,90.12
NA,WP_154074837.1,1,73.0,89.34
NA,WP_222850292.1,1,71.0,89.6
NA,WP_154074838.1,1,74.0,85.48
NA,WP_228717462.1,1,73.0,92.13
NA,WP_154074840.1,1,69.0,89.2
NA,WP_154074841.1,1,71.0,90.46
NA,WP_154074842.1,1,74.0,82.93
NA,WP_154074843.1,1,69.0,87.0
NA,WP_154074844.1,1,66.0,83.01
NA,WP_154074845.1,1,72.0,79.86
NA,WP_187351970.1,1,63.0,79.56
NA,WP_154074847.1,1,61.0,68.0
NA,WP_154074848.1,1,72.0,85.91
NA,WP_228717463.1,1,67.0,88.7
NA,WP_154074849.1,1,68.0,86.27
NA,WP_154074850.1,1,70.0,89.66
NA,WP_154074851.1,1,67.0,91.82
msrA,WP_154074852.1,1,71.0,95.63
NA,WP_154074853.1,1,64.0,86.67
NA,WP_154074854.1,1,69.0,90.29
NA,WP_154074855.1,1,72.0,83.41
