gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_053961260.1,1,56.00000000000001,53.19
NA,WP_158408618.1,1,52.0,52.49
NA,WP_053961262.1,1,54.0,52.78
NA,WP_053961263.1,1,54.0,56.04
NA,WP_053961264.1,1,53.0,51.16
NA,WP_053978630.1,1,52.0,59.13
NA,WP_053961266.1,1,55.00000000000001,56.82
NA,WP_053961267.1,1,54.0,58.18
NA,WP_082345238.1,1,56.00000000000001,54.73
NA,WP_158408619.1,1,56.99999999999999,53.15
NA,WP_053961269.1,1,50.0,40.0
NA,WP_053961270.1,1,56.99999999999999,63.89
NA,WP_053961271.1,1,56.00000000000001,64.37
lnt,WP_063665796.1,1,55.00000000000001,53.88
NA,WP_148417422.1,1,60.0,62.65
NA,WP_148417423.1,1,57.99999999999999,52.14
NA,WP_172621812.1,1,62.0,63.08
NA,WP_053961276.1,1,57.99999999999999,58.29
NA,WP_053978631.1,1,54.0,63.43
NA,WP_053961278.1,1,56.00000000000001,58.85
NA,WP_053978632.1,1,54.0,55.94
tatC,WP_237023739.1,1,54.0,62.43
tatA,WP_063665709.1,1,53.0,61.7
NA,WP_053978633.1,1,56.99999999999999,59.53
NA,WP_158408659.1,1,56.00000000000001,56.88
pafA,WP_053961282.1,1,55.00000000000001,60.13
NA,WP_053961283.1,1,56.00000000000001,61.54
dop,WP_158408660.1,1,56.00000000000001,58.71
arc,WP_082345547.1,1,52.0,55.64
NA,WP_053961286.1,1,56.00000000000001,55.56
NA,WP_082345245.1,1,54.0,53.96
hisG,WP_053961287.1,1,56.00000000000001,55.23
NA,WP_053961288.1,1,52.0,53.85
NA,WP_158408661.1,1,54.0,54.21
NA,WP_053978638.1,1,51.0,62.9
mshC,WP_053961290.1,1,57.99999999999999,57.78
NA,WP_053978639.1,1,56.00000000000001,58.2
NA,WP_082345549.1,1,53.0,60.9
NA,WP_053962607.1,1,56.00000000000001,57.8
NA,WP_053961293.1,1,55.00000000000001,57.32
NA,WP_096334778.1,1,57.99999999999999,55.06
NA,WP_148417425.1,1,55.00000000000001,49.05
NA,WP_053978643.1,1,57.99999999999999,57.12
NA,WP_053961297.1,1,55.00000000000001,54.29
acnA,WP_053978644.1,1,56.00000000000001,63.22
NA,WP_053961299.1,1,55.00000000000001,51.5
NA,WP_053961300.1,1,56.99999999999999,59.52
NA,WP_053962608.1,1,56.00000000000001,58.88
NA,WP_053961301.1,1,56.00000000000001,62.35
NA,WP_053978645.1,1,56.00000000000001,58.81
sufC,WP_053961303.1,1,53.0,55.69
NA,WP_053978646.1,1,57.99999999999999,57.88
sufB,WP_053978647.1,1,54.0,65.47
NA,WP_053961306.1,1,57.99999999999999,57.83
mptB,WP_148417430.1,1,56.99999999999999,60.66
tkt,WP_053961308.1,1,57.99999999999999,60.61
tal,WP_053961309.1,1,56.00000000000001,63.16
secG,WP_053961310.1,1,54.0,65.22
tpiA,WP_053961311.1,1,57.99999999999999,66.14
NA,WP_053961312.1,1,59.0,64.72
gap,WP_053961313.1,1,59.0,71.43
whiA,WP_053961314.1,1,59.0,52.66
rapZ,WP_053961315.1,1,54.0,56.58
uvrC,WP_053962609.1,1,54.0,53.4
ribH,WP_053961316.1,1,57.99999999999999,53.02
NA,WP_063665711.1,1,56.00000000000001,54.38
NA,WP_053978648.1,1,55.00000000000001,58.2
ribD,WP_082345248.1,1,56.99999999999999,50.97
rpe,WP_053961319.1,1,56.00000000000001,57.62
NA,WP_082345250.1,1,60.0,54.64
fmt,WP_053961320.1,1,56.99999999999999,53.07
def,WP_053961321.1,1,53.0,53.05
NA,WP_148417434.1,1,56.99999999999999,46.58
metK,WP_053962612.1,1,56.99999999999999,56.57
rpoZ,WP_053961324.1,1,59.0,72.73
gmk,WP_053962613.1,1,53.0,51.16
mihF,WP_053961325.1,1,59.0,62.89
pyrF,WP_053979175.1,1,56.00000000000001,53.96
carB,WP_053961326.1,1,56.99999999999999,62.78
carA,WP_082345255.1,1,56.99999999999999,67.19
NA,WP_053979176.1,1,56.99999999999999,58.82
NA,WP_053961328.1,1,55.00000000000001,56.35
nusB,WP_082345257.1,1,56.99999999999999,54.74
efp,WP_053961330.1,1,54.0,61.8
NA,WP_053978649.1,1,55.00000000000001,53.12
aroQ,WP_053961332.1,1,56.00000000000001,57.46
aroB,WP_053961333.1,1,56.00000000000001,58.17
NA,WP_053961334.1,1,56.99999999999999,52.87
aroC,WP_053961335.1,1,60.0,57.33
NA,WP_053961336.1,1,57.99999999999999,53.44
mltG,WP_053961337.1,1,56.00000000000001,58.95
ruvX,WP_053961338.1,1,55.00000000000001,50.97
alaS,WP_053961339.1,1,54.0,53.67
NA,WP_053961340.1,1,56.00000000000001,50.43
NA,WP_053978650.1,1,54.0,51.9
aspS,WP_053961342.1,1,56.99999999999999,60.37
NA,WP_053961343.1,1,54.0,51.2
hisS,WP_053978651.1,1,56.00000000000001,53.72
NA,WP_053961345.1,1,56.00000000000001,61.14
NA,WP_053961346.1,1,55.00000000000001,57.7
NA,WP_053961347.1,1,54.0,53.46
NA,WP_053961348.1,1,53.0,51.2
NA,WP_053978652.1,1,55.00000000000001,53.68
secF,WP_053961350.1,1,53.0,60.61
secD,WP_063665712.1,1,56.00000000000001,63.24
yajC,WP_053978653.1,1,55.00000000000001,65.07
ruvB,WP_063665713.1,1,56.00000000000001,53.83
ruvA,WP_053961352.1,1,56.00000000000001,56.84
ruvC,WP_053961353.1,1,57.99999999999999,49.44
NA,WP_053978654.1,1,56.00000000000001,61.22
pdxT,WP_053979177.1,1,57.99999999999999,61.98
pdxS,WP_053961355.1,1,59.0,66.67
NA,WP_053978655.1,1,56.00000000000001,58.22
NA,WP_053978656.1,1,56.00000000000001,55.07
NA,WP_053979178.1,1,56.99999999999999,57.43
NA,WP_053978657.1,1,54.0,61.54
NA,WP_082345557.1,1,55.00000000000001,59.01
thrS,WP_082345559.1,1,56.00000000000001,62.01
NA,WP_053978658.1,1,53.0,55.25
NA,WP_053978659.1,1,53.0,63.41
NA,WP_053961363.1,1,57.99999999999999,60.75
NA,WP_053961364.1,1,55.00000000000001,51.35
dxs,WP_197736938.1,1,55.00000000000001,57.65
NA,WP_063665714.1,1,56.99999999999999,50.11
NA,WP_053978662.1,1,55.00000000000001,58.53
NA,WP_053978663.1,1,53.0,48.83
NA,WP_063665715.1,1,55.00000000000001,56.9
NA,WP_063665716.1,1,55.00000000000001,59.67
NA,WP_148565036.1,1,51.0,41.18
NA,WP_053961371.1,1,55.00000000000001,49.8
NA,WP_053961372.1,1,57.99999999999999,48.66
dut,WP_053961373.1,1,57.99999999999999,61.74
NA,WP_053961374.1,1,55.00000000000001,55.43
NA,WP_053961375.1,1,53.0,50.82
NA,WP_199397488.1,1,56.99999999999999,67.78
NA,WP_053978664.1,1,60.0,66.84
NA,WP_053961377.1,1,57.99999999999999,66.3
NA,WP_063665717.1,1,56.00000000000001,54.0
NA,WP_053961378.1,1,57.99999999999999,60.89
NA,WP_053978665.1,1,55.00000000000001,56.71
NA,WP_053961380.1,1,49.0,50.0
NA,WP_053978666.1,1,56.00000000000001,54.6
sigB,WP_053978667.1,1,53.0,53.48
NA,WP_053961383.1,1,55.00000000000001,55.45
galE,WP_053961384.1,1,56.99999999999999,61.25
NA,WP_053978668.1,1,55.00000000000001,54.4
NA,WP_148417447.1,1,54.0,50.0
NA,WP_053961387.1,1,53.0,57.98
NA,WP_096334755.1,1,53.0,54.74
NA,WP_053978669.1,1,55.00000000000001,54.75
NA,WP_199397489.1,1,53.0,60.33
NA,WP_053962625.1,1,56.00000000000001,53.09
NA,WP_053962626.1,1,56.00000000000001,75.94
NA,WP_053961389.1,1,55.00000000000001,62.1
NA,WP_053961390.1,1,56.99999999999999,68.03
NA,WP_053961391.1,1,56.99999999999999,64.89
hrpA,WP_199397490.1,1,55.00000000000001,54.33
nrdR,WP_053961394.1,1,51.0,47.37
NA,WP_199397491.1,1,55.00000000000001,42.72
lexA,WP_053961395.1,1,53.0,60.19
NA,WP_053961396.1,1,54.0,48.87
NA,WP_053961397.1,1,56.99999999999999,56.03
NA,WP_053961398.1,1,57.99999999999999,63.64
hflX,WP_053961399.1,1,56.00000000000001,56.19
dapF,WP_053961400.1,1,56.99999999999999,54.29
NA,WP_053961401.1,1,56.99999999999999,56.68
miaA,WP_053978671.1,1,56.00000000000001,50.5
NA,WP_053978672.1,1,57.99999999999999,56.29
miaB,WP_053978673.1,1,56.00000000000001,59.29
NA,WP_082345266.1,1,55.00000000000001,52.08
recA,WP_053978674.1,1,53.0,51.74
NA,WP_063665719.1,1,53.0,46.27
NA,WP_082346506.1,1,56.99999999999999,55.0
NA,WP_053978675.1,1,52.0,54.63
NA,WP_053961409.1,1,57.99999999999999,60.61
NA,WP_053978676.1,1,55.00000000000001,57.88
NA,WP_053962627.1,1,59.0,51.85
NA,WP_082345268.1,1,56.99999999999999,46.45
pgsA,WP_053978677.1,1,53.0,51.74
NA,WP_053961412.1,1,53.0,55.23
NA,WP_053961413.1,1,56.00000000000001,67.44
NA,WP_082346507.1,1,50.0,56.23
NA,WP_082345269.1,1,56.00000000000001,58.43
NA,WP_053978678.1,1,54.0,53.83
dapA,WP_053961416.1,1,56.99999999999999,57.53
thyX,WP_053961417.1,1,55.00000000000001,53.33
dapB,WP_053961418.1,1,56.99999999999999,53.31
galK,WP_053978679.1,1,56.99999999999999,51.64
galT,WP_053961420.1,1,56.99999999999999,59.11
NA,WP_063665723.1,1,54.0,61.62
NA,WP_053978680.1,1,56.99999999999999,73.0
NA,WP_053961422.1,1,56.99999999999999,64.5
NA,WP_053961423.1,1,56.99999999999999,66.45
rpsO,WP_053961424.1,1,60.0,71.25
NA,WP_237023741.1,1,57.99999999999999,61.25
truB,WP_053961426.1,1,59.0,57.65
NA,WP_053961427.1,1,56.99999999999999,51.79
NA,WP_053978681.1,1,55.00000000000001,52.83
