gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_011936948.1,1,40.0,46.14
dnaN,WP_011936949.1,1,38.0,40.77
recF,WP_011936950.1,1,45.0,53.24
gyrB,WP_011936951.1,1,53.0,67.64
gyrA,WP_011936952.1,1,56.99999999999999,76.18
NA,WP_011936953.1,1,55.00000000000001,61.51
NA,WP_041245619.1,1,55.00000000000001,60.74
NA,WP_011936955.1,1,51.0,59.41
NA,WP_011936956.1,1,56.00000000000001,67.33
NA,WP_011936957.1,1,54.0,64.03
NA,WP_011936958.1,1,52.0,64.02
NA,WP_011936959.1,1,60.0,77.59
NA,WP_011936960.1,1,57.99999999999999,79.75
NA,WP_011936961.1,1,59.0,82.76
hemE,WP_011936962.1,1,61.0,82.12
NA,WP_011936963.1,1,64.0,73.38
ovoA,WP_011936964.1,1,64.0,86.87
NA,WP_011936965.1,1,64.0,76.76
NA,WP_232278960.1,1,59.0,63.24
NA,WP_011936967.1,1,57.99999999999999,70.76
NA,WP_232278961.1,1,49.0,65.52
NA,WP_011936970.1,1,56.99999999999999,79.76
NA,WP_011936971.1,1,62.0,81.61
NA,WP_011936972.1,1,55.00000000000001,65.94
NA,WP_011936973.1,1,55.00000000000001,65.36
aroF,WP_011936974.1,1,61.0,79.39
NA,WP_011936975.1,1,55.00000000000001,66.67
NA,WP_011936976.1,1,55.00000000000001,67.21
NA,WP_011936977.1,1,56.99999999999999,65.28
NA,WP_011936978.1,1,56.99999999999999,67.22
NA,WP_011936979.1,1,61.0,77.12
NA,WP_011936980.1,1,60.0,71.08
NA,WP_011936981.1,1,61.0,73.89
NA,WP_011936982.1,1,60.0,82.83
cobI,WP_011936983.1,1,60.0,79.15
NA,WP_011936984.1,1,53.0,59.49
NA,WP_011936985.1,1,55.00000000000001,59.12
cobM,WP_011936986.1,1,62.0,75.9
NA,WP_011936987.1,1,57.99999999999999,72.38
NA,WP_011936988.1,1,60.0,74.94
cbiB,WP_011936989.1,1,63.0,73.35
cobD,WP_011936990.1,1,61.0,69.25
NA,WP_011936991.1,1,52.0,64.04
NA,WP_011936992.1,1,55.00000000000001,69.92
NA,WP_011936993.1,1,57.99999999999999,71.34
NA,WP_011936994.1,1,57.99999999999999,74.69
NA,WP_011936995.1,1,56.99999999999999,73.38
NA,WP_011936996.1,1,55.00000000000001,69.57
NA,WP_011936997.1,1,56.00000000000001,69.61
NA,WP_011936998.1,1,52.0,64.17
NA,WP_011936999.1,1,60.0,72.28
NA,WP_011937000.1,1,56.00000000000001,69.2
NA,WP_041245625.1,1,53.0,62.73
tadA,WP_268741760.1,1,57.99999999999999,66.88
NA,WP_011937003.1,1,56.99999999999999,69.9
NA,WP_085949366.1,2,53.0,57.05
NA,WP_011937006.1,1,42.0,37.77
NA,WP_011937007.1,1,37.0,34.08
NA,WP_157046095.1,1,43.0,42.86
NA,WP_011937010.1,1,50.0,62.16
istB,WP_011937011.1,1,52.0,62.07
istA,WP_011937012.1,1,55.00000000000001,61.52
NA,WP_041245189.1,1,49.0,47.11
NA,WP_011937014.1,1,52.0,57.61
NA,WP_011937015.1,1,54.0,62.1
prpB,WP_011937016.1,1,63.0,71.78
prpC,WP_011937017.1,1,60.0,72.18
NA,WP_011937018.1,1,61.0,73.31
cobO,WP_011937019.1,1,59.0,82.61
NA,WP_011937020.1,1,57.99999999999999,69.86
NA,WP_011937021.1,1,57.99999999999999,66.34
NA,WP_157046096.1,1,57.99999999999999,69.39
NA,WP_011937023.1,1,51.0,54.84
NA,WP_011937024.1,1,56.99999999999999,64.31
NA,WP_011937025.1,1,60.0,68.66
NA,WP_011937026.1,1,55.00000000000001,71.72
NA,WP_011937027.1,1,59.0,80.37
NA,WP_011937028.1,1,56.99999999999999,69.86
NA,WP_011937029.1,1,55.00000000000001,63.36
NA,WP_011937030.1,1,56.00000000000001,68.4
NA,WP_157046097.1,1,57.99999999999999,71.74
NA,WP_011937031.1,1,56.99999999999999,73.49
NA,WP_011937032.1,1,57.99999999999999,81.93
NA,WP_011937033.1,1,57.99999999999999,70.59
NA,WP_011937034.1,1,60.0,82.58
NA,WP_011937035.1,1,53.0,74.5
NA,WP_041245191.1,1,56.99999999999999,70.86
NA,WP_011937037.1,1,53.0,57.78
NA,WP_011937039.1,1,56.00000000000001,70.12
NA,WP_011937040.1,1,60.0,70.61
NA,WP_011937041.1,1,62.0,73.68
NA,WP_011937042.1,1,52.0,63.43
NA,WP_232279049.1,1,50.0,62.15
NA,WP_011937044.1,1,62.0,78.24
NA,WP_011937045.1,1,67.0,74.03
NA,WP_011937046.1,1,64.0,79.2
NA,WP_011937047.1,1,54.0,62.93
NA,WP_157046098.1,1,65.0,72.18
NA,WP_011937049.1,1,54.0,55.63
NA,WP_041245193.1,1,54.0,62.27
NA,WP_011937051.1,1,50.0,58.33
NA,WP_011937052.1,1,51.0,62.13
NA,WP_011937053.1,1,50.0,58.73
NA,WP_011937054.1,1,45.0,54.22
NA,WP_011937055.1,1,56.00000000000001,72.58
NA,WP_011937056.1,1,59.0,78.59
gabD,WP_011937057.1,1,64.0,80.63
NA,WP_011937058.1,1,62.0,83.26
NA,WP_011937059.1,1,60.0,74.57
NA,WP_011937060.1,1,59.0,77.22
NA,WP_011937061.1,1,55.00000000000001,73.68
NA,WP_011937062.1,1,56.99999999999999,72.84
NA,WP_011937063.1,1,56.99999999999999,74.4
gabT,WP_011937064.1,1,56.99999999999999,68.3
NA,WP_011937065.1,1,57.99999999999999,68.02
glmS,WP_011937066.1,1,59.0,74.83
glmU,WP_011937067.1,1,56.99999999999999,69.42
NA,WP_011937068.1,1,48.0,62.29
NA,WP_011937069.1,1,55.00000000000001,60.88
NA,WP_011937070.1,1,54.0,72.09
NA,WP_011937071.1,1,52.0,68.76
NA,WP_011937072.1,1,55.00000000000001,82.98
NA,WP_011937073.1,1,52.0,61.09
dksA,WP_011937074.1,1,52.0,60.55
radA,WP_041245639.1,1,56.00000000000001,60.68
NA,WP_011937076.1,1,53.0,57.06
NA,WP_011937077.1,1,53.0,63.39
NA,WP_232278962.1,1,56.99999999999999,60.44
NA,WP_011937079.1,1,56.00000000000001,69.39
NA,WP_011937080.1,1,55.00000000000001,68.45
NA,WP_011937081.1,1,56.00000000000001,58.74
NA,WP_011937082.1,1,45.0,50.51
NA,WP_011937084.1,1,47.0,51.83
mfd,WP_011937085.1,1,60.0,75.48
NA,WP_011937086.1,1,54.0,68.77
NA,WP_011937087.1,1,54.0,67.26
NA,WP_011937088.1,1,59.0,74.31
hemG,WP_011937089.1,1,60.0,76.41
NA,WP_011937090.1,1,63.0,86.35
NA,WP_011937091.1,1,62.0,80.0
NA,WP_011937092.1,1,65.0,82.35
NA,WP_011937093.1,1,62.0,83.55
NA,WP_011937094.1,1,62.0,86.74
NA,WP_011937095.1,1,64.0,86.01
NA,WP_011937096.1,1,59.0,85.25
NA,WP_011937097.1,1,57.99999999999999,76.07
NA,WP_011937098.1,1,61.0,72.57
NA,WP_011937099.1,1,61.0,82.5
sucC,WP_011937100.1,1,61.0,77.84
sucD,WP_011937101.1,1,63.0,82.21
NA,WP_011937102.1,1,53.0,63.27
NA,WP_011937103.1,1,59.0,71.74
NA,WP_041245197.1,1,62.0,81.25
NA,WP_011937105.1,1,62.0,81.22
NA,WP_011937106.1,1,52.0,62.65
NA,WP_041245198.1,1,47.0,51.45
NA,WP_041245199.1,1,43.0,43.27
selB,WP_011937109.1,1,64.0,80.54
NA,WP_011937110.1,1,56.00000000000001,68.87
NA,WP_011937111.1,1,54.0,69.53
NA,WP_011937112.1,1,60.0,74.69
NA,WP_011937113.1,1,55.00000000000001,67.76
NA,WP_011937114.1,1,53.0,63.41
NA,WP_041245201.1,1,59.0,62.32
NA,WP_011937116.1,1,63.0,85.93
NA,WP_011937117.1,1,61.0,78.43
hemH,WP_011937118.1,1,59.0,76.13
NA,WP_011937119.1,1,59.0,71.93
NA,WP_011937120.1,1,62.0,79.09
NA,WP_011937121.1,1,65.0,76.83
NA,WP_011937122.1,1,56.00000000000001,76.19
NA,WP_041245202.1,1,56.99999999999999,69.5
NA,WP_011937124.1,1,55.00000000000001,66.44
NA,WP_011937125.1,1,61.0,81.88
NA,WP_011937126.1,1,56.00000000000001,66.67
NA,WP_041245203.1,1,57.99999999999999,71.71
ltrA,WP_011937128.1,1,56.99999999999999,65.5
NA,WP_011937129.1,1,56.99999999999999,71.43
NA,WP_157046099.1,1,57.99999999999999,70.83
NA,WP_011937130.1,1,60.0,75.9
NA,WP_011937131.1,1,56.00000000000001,58.84
NA,WP_011937132.1,1,63.0,84.54
NA,WP_011937133.1,1,64.0,76.67
NA,WP_011937134.1,1,62.0,76.26
NA,WP_011937135.1,1,59.0,72.4
cls,WP_011937136.1,1,59.0,73.13
NA,WP_011937137.1,1,56.99999999999999,72.34
rsmB,WP_011937138.1,1,61.0,75.85
rpe,WP_011937139.1,1,59.0,71.7
NA,WP_011937140.1,1,57.99999999999999,72.0
NA,WP_011937141.1,1,54.0,68.04
NA,WP_011937142.1,1,62.0,69.72
NA,WP_011937143.1,1,57.99999999999999,69.05
nadA,WP_011937144.1,1,56.99999999999999,72.2
ybgF,WP_011937146.1,1,50.0,59.77
pal,WP_011937147.1,1,54.0,60.54
tolB,WP_011937148.1,1,59.0,72.01
NA,WP_041245206.1,1,62.0,73.2
tolR,WP_011937150.1,1,56.00000000000001,75.38
tolQ,WP_011937151.1,1,56.99999999999999,76.74
NA,WP_011937152.1,1,61.0,78.8
hemW,WP_011937153.1,1,62.0,72.58
hrcA,WP_011937154.1,1,57.99999999999999,77.25
grpE,WP_011937155.1,1,57.99999999999999,73.68
dnaK,WP_011937156.1,1,60.0,81.47
dnaJ,WP_011937157.1,1,60.0,75.76
NA,WP_011937158.1,1,59.0,75.41
larB,WP_011937159.1,1,60.0,75.0
larC,WP_011937160.1,1,62.0,74.8
NA,WP_011937161.1,1,59.0,77.86
NA,WP_011937162.1,1,59.0,69.83
NA,WP_011937163.1,1,54.0,67.78
recA,WP_011937164.1,1,56.99999999999999,70.68
NA,WP_011937165.1,1,57.99999999999999,75.94
NA,WP_232278963.1,1,61.0,68.38
alaS,WP_011937167.1,1,62.0,79.93
NA,WP_011937168.1,1,56.99999999999999,67.62
NA,WP_011937169.1,1,56.00000000000001,76.49
argB,WP_011937170.1,1,60.0,81.63
NA,WP_011937171.1,1,63.0,85.01
argF,WP_011937172.1,1,63.0,85.81
NA,WP_011937173.1,1,60.0,84.63
NA,WP_041245207.1,1,57.99999999999999,78.26
NA,WP_041245647.1,1,56.00000000000001,75.53
argH,WP_011937176.1,1,61.0,86.19
NA,WP_011937177.1,1,65.0,81.45
lysA,WP_011937178.1,1,60.0,83.09
dapA,WP_011937179.1,1,61.0,83.27
dapB,WP_011937180.1,1,64.0,86.82
NA,WP_011937181.1,1,52.0,59.57
NA,WP_011937182.1,1,49.0,54.1
NA,WP_011937183.1,1,61.0,87.28
NA,WP_011937184.1,1,51.0,55.84
NA,WP_011937185.1,1,52.0,45.88
NA,WP_011937186.1,1,49.0,57.78
NA,WP_041245208.1,1,52.0,60.38
NA,WP_011937187.1,1,36.0,29.84
NA,WP_157046102.1,1,39.0,30.89
NA,WP_011937189.1,1,52.0,63.8
NA,WP_011937084.1,1,47.0,51.83
NA,WP_011937190.1,1,57.99999999999999,66.25
NA,WP_011937191.1,1,61.0,78.57
NA,WP_011937192.1,1,53.0,84.42
NA,WP_041245651.1,1,60.0,75.71
NA,WP_011937194.1,1,54.0,72.39
NA,WP_011937195.1,1,60.0,64.23
NA,WP_011937196.1,1,47.0,51.61
NA,WP_011937198.1,1,60.0,74.15
NA,WP_011937199.1,1,63.0,79.76
NA,WP_011937200.1,1,53.0,60.21
NA,WP_011937201.1,1,66.0,71.21
NA,WP_011937202.1,1,60.0,77.42
NA,WP_011937203.1,1,66.0,77.78
NA,WP_041245210.1,1,68.0,72.58
NA,WP_011937204.1,1,65.0,74.67
NA,WP_041245211.1,1,49.0,70.0
NA,WP_011937205.1,1,60.0,77.42
NA,WP_011937206.1,1,64.0,82.23
NA,WP_011937207.1,1,55.00000000000001,63.64
NA,WP_011937208.1,1,60.0,76.85
NA,WP_011937209.1,1,67.0,83.84
NA,WP_011937210.1,1,63.0,77.78
NA,WP_011937211.1,1,63.0,77.43
NA,WP_011937212.1,1,56.00000000000001,67.35
NA,WP_011937213.1,1,56.00000000000001,67.89
NA,WP_011937214.1,1,61.0,77.75
NA,WP_011937215.1,1,63.0,83.08
NA,WP_011937216.1,1,63.0,75.93
NA,WP_011937217.1,1,59.0,75.47
NA,WP_011937218.1,1,57.99999999999999,75.76
NA,WP_232278964.1,1,57.99999999999999,70.41
NA,WP_011937220.1,1,63.0,72.86
NA,WP_011937221.1,1,57.99999999999999,65.74
NA,WP_232278965.1,1,60.0,63.08
NA,WP_011937223.1,1,57.99999999999999,68.27
NA,WP_011937224.1,1,56.00000000000001,74.18
NA,WP_011937225.1,1,54.0,71.38
NA,WP_011937226.1,1,56.99999999999999,64.84
NA,WP_011937227.1,1,59.0,74.79
thpR,WP_011937228.1,1,56.99999999999999,66.47
NA,WP_011937229.1,1,56.99999999999999,66.67
serS,WP_011937230.1,1,53.0,58.35
NA,WP_041245212.1,1,48.0,54.61
NA,WP_011937232.1,1,47.0,55.56
NA,WP_011937233.1,1,49.0,53.52
uvrB,WP_011937234.1,1,56.00000000000001,69.47
pcnB,WP_011937235.1,1,60.0,70.34
NA,WP_011937236.1,1,54.0,67.27
NA,WP_011937237.1,1,56.99999999999999,64.22
NA,WP_011937238.1,1,56.99999999999999,73.16
NA,WP_011937239.1,1,57.99999999999999,71.93
NA,WP_011937240.1,1,53.0,62.2
