gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_013486636.1,1,34.0,21.49
dnaN,WP_013486637.1,1,33.0,19.95
yaaA,WP_013486638.1,1,36.0,26.87
recF,WP_013486639.1,1,35.0,25.27
NA,WP_013486640.1,1,28.999999999999996,18.75
gyrB,WP_198283997.1,1,38.0,23.09
gyrA,WP_013486642.1,1,38.0,26.14
NA,WP_013486643.1,1,37.0,22.65
NA,WP_013486644.1,1,31.0,20.63
NA,WP_013486645.1,1,30.0,23.68
guaB,WP_013486646.1,1,38.0,20.8
NA,WP_013486647.1,1,37.0,25.32
pdxS,WP_013486648.1,1,41.0,20.63
pdxT,WP_013486649.1,1,40.0,25.41
serS,WP_013486650.1,1,37.0,24.04
NA,WP_013486651.1,1,35.0,21.88
NA,WP_013486652.1,1,38.0,26.42
NA,WP_013486653.1,1,40.0,23.08
NA,WP_013486654.1,1,40.0,32.37
NA,WP_013486655.1,1,38.0,29.49
tadA,WP_013486656.1,1,41.0,32.24
NA,WP_013486657.1,1,40.0,39.53
dnaX,WP_013486658.1,1,39.0,27.61
NA,WP_013486659.1,1,37.0,28.72
recR,WP_013486660.1,1,39.0,28.04
NA,WP_013486661.1,1,28.999999999999996,25.0
NA,WP_013486662.1,1,35.0,20.25
NA,WP_013486663.1,1,31.0,27.69
NA,WP_013486664.1,1,36.0,25.89
tmk,WP_013486665.1,1,36.0,22.06
NA,WP_013486666.1,1,37.0,24.0
holB,WP_013486667.1,1,36.0,28.84
NA,WP_013486668.1,1,35.0,23.68
yabA,WP_013486669.1,1,35.0,21.37
NA,WP_013486670.1,1,35.0,22.94
rsmI,WP_013486671.1,1,38.0,24.65
NA,WP_013486672.1,1,34.0,20.0
metG,WP_013486673.1,1,38.0,31.22
NA,WP_013486674.1,1,38.0,26.02
NA,WP_013486675.1,1,40.0,27.02
rnmV,WP_013486676.1,1,36.0,23.76
rsmA,WP_041808476.1,1,35.0,25.18
yabG,WP_013486678.1,1,40.0,30.71
NA,WP_013486679.1,1,38.0,28.4
NA,WP_041808091.1,1,44.0,33.33
ispE,WP_013486681.1,1,39.0,28.93
purR,WP_013486682.1,1,37.0,26.02
spoVG,WP_013486683.1,1,44.0,32.56
glmU,WP_013486684.1,1,39.0,25.78
NA,WP_013486685.1,1,38.0,27.04
NA,WP_013486686.1,1,39.0,26.6
pth,WP_041808478.1,1,38.0,30.11
NA,WP_013486688.1,1,31.0,17.91
mfd,WP_013486689.1,1,37.0,31.89
spoVT,WP_013486690.1,1,39.0,23.53
NA,WP_013486691.1,1,37.0,31.03
mazG,WP_013486692.1,1,39.0,31.34
NA,WP_013486693.1,1,39.0,33.77
yabP,WP_013486694.1,1,38.0,33.33
yabQ,WP_013486695.1,1,34.0,36.9
NA,WP_013486696.1,1,35.0,29.66
NA,WP_013486697.1,1,40.0,23.48
spoIIE,WP_013486698.1,1,38.0,28.55
NA,WP_013486699.1,1,39.0,29.24
NA,WP_013486700.1,1,38.0,31.15
NA,WP_041808092.1,1,40.0,27.16
NA,WP_013486702.1,1,43.0,27.86
tilS,WP_013486703.1,1,35.0,25.54
hpt,WP_013486704.1,1,35.0,24.71
ftsH,WP_013486705.1,1,39.0,27.87
hslO,WP_013486706.1,1,41.0,27.97
cysK,WP_013486707.1,1,42.0,26.67
NA,WP_013486708.1,1,38.0,29.25
pabA,WP_013486709.1,1,37.0,30.69
pabC,WP_013486710.1,1,37.0,26.52
folP,WP_013486711.1,1,40.0,30.26
folB,WP_013486712.1,1,36.0,24.55
folK,WP_013486713.1,1,35.0,23.67
NA,WP_013486714.1,1,40.0,30.51
dusB,WP_013486715.1,1,40.0,27.95
lysS,WP_013486716.1,1,38.0,25.92
NA,WP_013486717.1,1,34.0,21.68
NA,WP_013486718.1,1,31.0,22.07
NA,WP_013486719.1,1,36.0,28.99
NA,WP_013486720.1,1,35.0,25.65
clpC,WP_013486721.1,1,40.0,26.52
radA,WP_013486722.1,1,41.0,27.51
disA,WP_013486723.1,1,34.0,22.51
NA,WP_013486724.1,1,34.0,24.23
ispD,WP_013486725.1,1,38.0,26.13
ispF,WP_013486726.1,1,40.0,24.83
gltX,WP_013486727.1,1,38.0,28.99
cysE,WP_013486728.1,1,38.0,25.73
cysS,WP_013486729.1,1,36.0,28.01
NA,WP_049786666.1,1,42.0,32.73
rlmB,WP_013486731.1,1,41.0,32.1
NA,WP_013486732.1,1,38.0,29.19
sigH,WP_213083521.1,1,37.0,33.81
rpmG,WP_013486734.1,1,32.0,27.5
secE,WP_013486735.1,1,35.0,22.0
nusG,WP_013486736.1,1,37.0,26.19
rplK,WP_013486737.1,1,42.0,21.97
rplA,WP_013486738.1,1,39.0,20.27
rplJ,WP_013486739.1,1,41.0,22.29
rplL,WP_013486740.1,1,41.0,17.12
NA,WP_013486741.1,1,35.0,26.7
rpoB,WP_013486742.1,1,40.0,27.61
rpoC,WP_013486743.1,1,41.0,28.28
NA,WP_013486744.1,1,39.0,28.77
rpsL,WP_013486745.1,1,42.0,28.12
rpsG,WP_013486746.1,1,40.0,24.49
fusA,WP_013486747.1,1,41.0,24.89
tuf,WP_013486748.1,1,43.0,27.91
NA,WP_041808488.1,1,39.0,30.89
NA,WP_013486750.1,1,38.0,24.83
NA,WP_013486751.1,1,38.0,29.26
NA,WP_013486752.1,1,36.0,28.77
NA,WP_041808093.1,1,41.0,25.0
rpsJ,WP_013486754.1,1,42.0,35.48
rplC,WP_013486755.1,1,40.0,21.78
rplD,WP_013486756.1,1,41.0,20.71
rplW,WP_013486757.1,1,36.0,28.74
rplB,WP_013486758.1,1,42.0,23.6
rpsS,WP_013486759.1,1,39.0,22.22
rplV,WP_013486760.1,1,39.0,22.12
rpsC,WP_013486761.1,1,40.0,24.29
rplP,WP_013486762.1,1,42.0,22.22
rpmC,WP_013486763.1,1,40.0,29.31
rpsQ,WP_013486764.1,1,34.0,21.79
rplN,WP_013486765.1,1,45.0,27.43
rplX,WP_013486766.1,1,40.0,27.27
rplE,WP_013486767.1,1,38.0,28.82
NA,WP_013486768.1,1,44.0,38.46
rpsH,WP_013486769.1,1,40.0,26.83
rplF,WP_013486770.1,1,38.0,23.08
rplR,WP_013486771.1,1,44.0,22.52
rpsE,WP_013486772.1,1,43.0,22.44
rpmD,WP_013486773.1,1,44.0,32.08
rplO,WP_013486774.1,1,42.0,19.71
secY,WP_013486775.1,1,41.0,31.99
NA,WP_013486776.1,1,38.0,21.15
map,WP_013486777.1,1,40.0,25.73
NA,WP_013486778.1,1,39.0,32.97
infA,WP_010896341.1,1,39.0,30.16
rpmJ,WP_003322638.1,1,36.0,28.57
rpsM,WP_013486779.1,1,39.0,19.64
rpsK,WP_013486780.1,1,44.0,19.01
NA,WP_013486781.1,1,39.0,25.57
rplQ,WP_013486782.1,1,43.0,23.42
NA,WP_013486783.1,1,38.0,28.15
NA,WP_013486784.1,1,38.0,31.21
NA,WP_013486785.1,1,36.0,28.79
truA,WP_013486786.1,1,39.0,29.48
rplM,WP_013486787.1,1,42.0,32.35
rpsI,WP_013486788.1,1,45.0,29.75
NA,WP_049786613.1,1,40.0,44.92
NA,WP_013486789.1,1,37.0,35.32
NA,WP_013486790.1,1,41.0,39.71
cwlD,WP_013486791.1,1,39.0,25.22
NA,WP_013486792.1,1,39.0,28.24
gerD,WP_013486793.1,1,36.0,31.96
NA,WP_013486794.1,1,38.0,35.2
pdaB,WP_013486795.1,1,39.0,25.93
NA,WP_013486796.1,1,32.0,25.35
NA,WP_013486797.1,1,25.0,16.33
sigW,WP_013486798.1,1,36.0,26.97
NA,WP_013486799.1,1,37.0,27.36
cdaA,WP_013486800.1,1,38.0,29.96
NA,WP_013486801.1,1,40.0,27.67
glmM,WP_013486802.1,1,39.0,24.1
glmS,WP_013486803.1,1,41.0,31.98
NA,WP_013486805.1,1,32.0,25.82
NA,WP_013486806.1,1,31.0,25.61
NA,WP_013486807.1,1,33.0,32.61
NA,WP_013486808.1,1,33.0,23.84
NA,WP_013486809.1,1,37.0,30.56
NA,WP_013486810.1,1,32.0,26.5
NA,WP_041808492.1,1,39.0,37.25
NA,WP_013486812.1,1,38.0,33.33
NA,WP_013486813.1,1,31.0,20.69
NA,WP_013486814.1,1,33.0,25.0
NA,WP_013486815.1,1,33.0,27.27
NA,WP_013486816.1,1,32.0,16.44
NA,WP_013486817.1,1,37.0,23.11
NA,WP_013486818.1,1,36.0,28.32
NA,WP_013486819.1,1,33.0,30.26
NA,WP_013486820.1,1,33.0,26.19
