gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_074824443.1,1,45.0,40.84
dnaN,WP_047779476.1,1,48.0,48.18
recF,WP_047779477.1,1,49.0,43.18
gyrB,WP_047779478.1,1,49.0,50.06
chrA,WP_126466699.1,1,52.0,51.28
NA,WP_074824434.1,1,44.0,41.61
NA,WP_047779482.1,1,51.0,48.41
NA,WP_114985994.1,1,50.0,53.88
NA,WP_164720424.1,1,48.0,44.27
dsdC,WP_047779484.1,1,48.0,53.44
dsdX,WP_047779485.1,1,47.0,51.83
NA,WP_074824425.1,1,49.0,48.85
NA,WP_126466701.1,1,45.0,37.91
NA,WP_126466704.1,1,47.0,41.03
maeB,WP_126466706.1,1,51.0,53.47
NA,WP_047779489.1,1,46.0,51.43
NA,WP_232036625.1,1,45.0,50.27
NA,WP_126466710.1,1,49.0,54.74
NA,WP_126466712.1,1,52.0,49.16
NA,WP_126466714.1,1,50.0,53.07
NA,WP_126466716.1,1,51.0,53.62
NA,WP_126466718.1,1,53.0,52.94
NA,WP_074824789.1,1,54.0,57.75
NA,WP_074824786.1,1,49.0,52.84
NA,WP_074824783.1,1,50.0,53.95
NA,WP_047782427.1,1,51.0,58.02
NA,WP_074824780.1,1,56.00000000000001,57.58
NA,WP_074824777.1,1,53.0,53.55
NA,WP_126466720.1,1,50.0,46.43
lysM,WP_047779502.1,1,46.0,43.88
NA,WP_074824771.1,1,44.0,44.14
ibpA,WP_047779504.1,1,46.0,39.06
ibpB,WP_047779505.1,1,48.0,50.76
NA,WP_047779506.1,1,49.0,53.32
ghrB,WP_126466722.1,1,50.0,50.48
NA,WP_047779508.1,1,52.0,43.81
NA,WP_053007466.1,1,53.0,35.44
NA,WP_126466724.1,1,47.0,50.71
NA,WP_074824760.1,1,47.0,53.33
glyQ,WP_047779511.1,1,48.0,47.65
glyS,WP_047779512.1,1,50.0,49.78
NA,WP_047779513.1,1,50.0,54.89
NA,WP_126466726.1,1,45.0,51.37
polA,WP_074824754.1,1,49.0,49.57
yihA,WP_074824750.1,1,46.0,42.23
yihI,WP_047779517.1,1,41.0,29.27
hemN,WP_126466728.1,1,45.0,47.1
NA,WP_232036626.1,1,33.0,35.71
glnG,WP_047779519.1,1,51.0,48.92
glnL,WP_114986010.1,1,50.0,51.76
glnA,WP_074824736.1,1,49.0,50.22
typA,WP_047779522.1,1,48.0,48.33
yiaY,WP_047779523.1,1,48.0,42.78
NA,WP_047779524.1,1,46.0,41.13
yihX,WP_047779525.1,1,47.0,49.47
NA,WP_047779526.1,1,48.0,54.51
dtd,WP_047779527.1,1,49.0,42.96
fabY,WP_047779528.1,1,48.0,46.42
NA,WP_074824723.1,1,49.0,47.5
NA,WP_126466731.1,1,46.0,48.38
NA,WP_083399690.1,1,51.0,54.8
NA,WP_047779532.1,1,45.0,45.26
NA,WP_047779533.1,1,46.0,41.94
NA,WP_047779534.1,1,51.0,52.07
NA,WP_074823753.1,1,54.0,53.72
NA,WP_047779536.1,1,51.0,54.37
NA,WP_047779537.1,1,51.0,51.15
NA,WP_074823759.1,1,53.0,52.87
NA,WP_126466733.1,1,51.0,58.99
NA,WP_126466735.1,1,50.0,49.4
NA,WP_126466737.1,1,55.00000000000001,53.76
NA,WP_074823766.1,1,53.0,52.94
NA,WP_126466739.1,1,53.0,52.16
NA,WP_047779543.1,1,54.0,51.04
NA,WP_047779544.1,1,53.0,54.85
NA,WP_074823774.1,1,35.0,26.37
recG,WP_047779545.1,1,53.0,54.97
trmH,WP_074823780.1,1,51.0,51.77
spoT,WP_074823943.1,1,50.0,52.16
rpoZ,WP_047779547.1,1,51.0,46.34
gmk,WP_047779548.1,1,45.0,41.41
ligB,WP_074823784.1,1,50.0,50.44
NA,WP_197723512.1,1,49.0,48.12
NA,WP_074823787.1,1,44.0,40.29
NA,WP_047779550.1,1,44.0,45.48
NA,WP_197723513.1,1,48.0,48.28
acrD,WP_126466741.1,1,50.0,53.3
NA,WP_074823793.1,1,47.0,45.66
NA,WP_074823796.1,1,47.0,47.83
NA,WP_053007470.1,1,46.0,50.0
NA,WP_126466744.1,1,50.0,47.53
NA,WP_047779554.1,1,50.0,51.31
alr,WP_126466746.1,1,50.0,52.75
NA,WP_126468224.1,1,47.0,46.11
NA,WP_114986029.1,1,49.0,52.77
exuR,WP_074823811.1,1,44.0,45.16
NA,WP_126466748.1,1,37.0,37.61
metC,WP_126466750.1,1,48.0,51.17
NA,WP_232036627.1,1,42.0,44.05
NA,WP_126466755.1,1,42.0,41.2
hmsP,WP_126466757.1,1,44.0,43.22
NA,WP_047779566.1,1,47.0,51.21
NA,WP_126466759.1,1,49.0,50.74
NA,WP_074823828.1,1,48.0,47.51
yhjD,WP_082118916.1,1,46.0,49.15
gorA,WP_074823831.1,1,50.0,48.53
NA,WP_126466761.1,1,47.0,45.16
NA,WP_047779572.1,1,49.0,45.39
prlC,WP_126466763.1,1,50.0,50.52
rsmJ,WP_047779574.1,1,53.0,52.3
gdhA,WP_126466765.1,1,50.0,47.95
uspA,WP_047779576.1,1,47.0,50.75
pitA,WP_074823842.1,1,50.0,52.77
NA,WP_126466767.1,1,49.0,49.74
NA,WP_047779579.1,1,41.0,44.55
NA,WP_047779580.1,1,43.0,48.86
NA,WP_047779581.1,1,54.0,50.63
NA,WP_047779583.1,1,46.0,46.84
NA,WP_047779584.1,1,50.0,54.17
rmuC,WP_114986045.1,1,48.0,46.45
ubiE,WP_047779586.1,1,45.0,46.69
NA,WP_047779587.1,1,50.0,51.56
ubiB,WP_126466769.1,1,48.0,49.44
tatE,WP_047779589.1,1,43.0,40.24
tatB,WP_126466771.1,1,48.0,41.92
tatC,WP_126466773.1,1,46.0,53.52
tatD,WP_126466775.1,1,50.0,44.62
hemB,WP_074823860.1,1,49.0,46.83
rfaH,WP_047779593.1,1,47.0,50.0
pepE,WP_047779594.1,1,47.0,44.83
ubiD,WP_047779595.1,1,51.0,52.47
fre,WP_047779596.1,1,48.0,48.21
NA,WP_126466777.1,1,48.0,47.83
tssI,WP_074823863.1,1,47.0,47.71
NA,WP_074823867.1,1,48.0,45.18
NA,WP_074823870.1,1,30.0,28.47
asd,WP_047779598.1,1,51.0,52.22
rhtB,WP_074823874.1,1,50.0,53.27
pldB,WP_126466779.1,1,49.0,51.54
yigL,WP_126466781.1,1,46.0,52.34
NA,WP_074823881.1,1,49.0,44.44
iolB,WP_074823884.1,1,52.0,54.31
iolE,WP_074823887.1,1,51.0,48.08
iolC,WP_047779604.1,1,53.0,52.72
