gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_114900483.1,2,44.0,45.59
NA,WP_162818029.1,1,40.0,36.96
NA,WP_162818030.1,1,50.0,30.56
NA,WP_228254956.1,1,49.0,46.46
NA,WP_114897536.1,1,42.0,28.57
NA,WP_114897537.1,1,47.0,43.2
NA,WP_114897538.1,1,45.0,42.29
NA,WP_114897539.1,1,47.0,42.14
NA,WP_114897540.1,1,42.0,38.5
NA,WP_114897541.1,1,54.0,55.74
NA,WP_114897542.1,1,43.0,36.67
NA,WP_114897543.1,1,51.0,39.76
NA,WP_114897544.1,1,46.0,40.89
NA,WP_162818031.1,1,46.0,38.93
NA,WP_114897547.1,1,47.0,36.75
NA,WP_114897548.1,1,44.0,43.43
NA,WP_114897549.1,1,43.0,34.15
NA,WP_114897550.1,1,48.0,37.34
NA,WP_114897551.1,1,48.0,45.16
NA,WP_114897552.1,1,48.0,50.98
NA,WP_114900484.1,1,50.0,45.12
NA,WP_162818032.1,1,48.0,51.28
NA,WP_114897554.1,1,41.0,41.86
NA,WP_114897555.1,1,46.0,45.58
NA,WP_265935994.1,1,50.0,49.29
rlmB,WP_114897557.1,1,51.0,41.98
NA,WP_114897558.1,1,47.0,53.5
NA,WP_114897559.1,1,44.0,41.67
recN,WP_114897561.1,1,51.0,45.84
NA,WP_114897562.1,1,50.0,46.99
ruvX,WP_114897563.1,1,51.0,51.68
NA,WP_114897564.1,1,48.0,50.49
NA,WP_114897565.1,1,47.0,48.01
pgsA,WP_114897566.1,1,49.0,52.43
NA,WP_228254846.1,1,49.0,50.75
NA,WP_114897567.1,1,45.0,41.38
NA,WP_114897568.1,1,52.0,46.64
NA,WP_114897569.1,1,49.0,43.38
NA,WP_114897570.1,1,49.0,48.41
NA,WP_114897571.1,1,52.0,52.75
NA,WP_114897572.1,1,52.0,53.8
NA,WP_114897573.1,1,48.0,52.02
moaA,WP_114897574.1,1,49.0,46.25
NA,WP_114897575.1,1,50.0,52.43
NA,WP_114897576.1,1,50.0,49.6
NA,WP_114897577.1,1,50.0,51.34
NA,WP_228254920.1,1,55.00000000000001,53.33
NA,WP_162818033.1,1,45.0,41.71
NA,WP_114897580.1,1,52.0,55.56
NA,WP_114897581.1,1,49.0,50.94
NA,WP_114897582.1,1,33.0,24.66
NA,WP_114897583.1,1,56.00000000000001,56.52
gspG,WP_114897584.1,1,50.0,53.44
NA,WP_162818034.1,1,44.0,40.34
NA,WP_114897580.1,1,52.0,55.56
NA,WP_114897586.1,1,48.0,50.89
NA,WP_162818035.1,1,33.0,25.0
NA,WP_114897588.1,1,56.99999999999999,58.7
NA,WP_114897589.1,1,47.0,46.89
NA,WP_114897590.1,1,46.0,43.23
NA,WP_162818036.1,1,43.0,38.07
NA,WP_210009267.1,1,45.0,39.26
NA,WP_114897593.1,1,41.0,30.77
NA,WP_228254847.1,1,41.0,31.96
NA,WP_114897595.1,1,45.0,44.63
NA,WP_162818037.1,1,41.0,33.96
NA,WP_162818038.1,1,42.0,39.22
NA,WP_114897598.1,1,38.0,31.58
NA,WP_114897599.1,1,47.0,37.84
NA,WP_114897600.1,1,46.0,39.78
NA,WP_114897601.1,1,48.0,49.4
NA,WP_114897602.1,1,48.0,50.0
