gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_000027659.1,2,48.0,50.0
NA,WP_096324335.1,1,53.0,53.81
NA,WP_000038182.1,1,53.0,64.48
NA,WP_239593993.1,1,57.99999999999999,71.94
NA,WP_001085972.1,1,55.00000000000001,64.0
NA,WP_001248558.1,1,55.00000000000001,71.26
NA,WP_016236401.1,1,61.0,67.65
NA,WP_000988633.1,1,60.0,71.25
NA,WP_000846409.1,1,64.0,68.97
NA,WP_000123123.1,1,56.00000000000001,63.1
NA,WP_001144101.1,1,59.0,64.74
NA,WP_021538486.1,1,60.0,71.21
lysB,WP_097435163.1,1,57.99999999999999,65.15
lysC,WP_239593994.1,1,57.99999999999999,61.11
NA,WP_000917186.1,1,55.00000000000001,71.92
NA,WP_223647991.1,1,55.00000000000001,57.45
NA,WP_239593995.1,1,61.0,66.34
NA,WP_000127167.1,1,56.99999999999999,67.92
NA,WP_053885032.1,1,59.0,63.48
NA,WP_239593996.1,1,55.00000000000001,58.25
NA,WP_239593997.1,1,52.0,50.25
NA,WP_239593998.1,1,50.0,47.64
NA,WP_001752377.1,1,45.0,32.85
NA,WP_239593999.1,1,45.0,36.43
NA,WP_096324399.1,1,54.0,59.04
NA,WP_096324398.1,1,56.99999999999999,67.96
NA,WP_001251408.1,1,57.99999999999999,71.78
NA,WP_001031303.1,1,61.0,70.73
NA,WP_000143830.1,1,55.00000000000001,64.29
NA,WP_096324397.1,1,56.00000000000001,60.05
NA,WP_000978915.1,1,55.00000000000001,61.33
NA,WP_062891943.1,1,55.00000000000001,62.43
ogrK,WP_000468308.1,1,54.0,66.67
NA,WP_000416606.1,1,41.0,31.86
fieF,WP_001076742.1,1,52.0,55.33
pfkA,WP_000591795.1,1,54.0,57.88
sbp,WP_001045704.1,1,51.0,55.94
cdh,WP_000708998.1,1,50.0,50.83
tpiA,WP_001216325.1,1,53.0,50.81
NA,WP_000802226.1,1,49.0,49.47
NA,WP_000155257.1,1,50.0,51.82
NA,WP_000655986.1,1,49.0,52.22
uspD,WP_000323555.1,1,44.0,52.63
fpr,WP_000796310.1,1,53.0,55.23
glpX,WP_239594000.1,1,56.00000000000001,60.86
glpK,WP_000136788.1,1,55.00000000000001,62.68
glpF,WP_000084268.1,1,51.0,51.47
zapB,WP_001296623.1,1,50.0,59.72
NA,WP_000232687.1,1,44.0,47.24
NA,WP_239594001.1,1,41.0,38.6
rraA,WP_000872908.1,1,52.0,50.66
menA,WP_000139496.1,1,54.0,58.86
hslU,WP_001293341.1,1,53.0,59.22
hslV,WP_000208242.1,1,52.0,52.69
ftsN,WP_239594002.1,1,57.99999999999999,57.1
cytR,WP_000644904.1,1,52.0,55.12
priA,WP_239594003.1,1,56.99999999999999,62.52
rpmE,WP_000710769.1,1,52.0,62.3
rhsC,WP_239594004.1,1,59.0,67.58
NA,WP_001323627.1,1,31.0,21.43
NA,WP_000797342.1,1,52.0,59.59
metJ,WP_000852812.1,1,52.0,60.42
