gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_259375701.1,1,62.0,72.09
NA,WP_206012179.1,1,62.0,69.71
NA,WP_206012180.1,1,61.0,74.2
NA,WP_206012181.1,1,71.0,86.79
NA,WP_206012182.1,1,70.0,86.25
NA,WP_206012183.1,1,61.0,67.76
NA,WP_206012184.1,1,60.0,66.05
NA,WP_206012185.1,1,63.0,70.57
NA,WP_206012186.1,1,56.99999999999999,79.65
NA,WP_206012187.1,1,62.0,71.31
NA,WP_206012188.1,1,62.0,80.1
NA,WP_206012189.1,1,63.0,82.35
NA,WP_206012190.1,1,68.0,85.9
NA,WP_206012191.1,1,68.0,83.91
NA,WP_275957904.1,1,63.0,71.19
NA,WP_206012192.1,1,61.0,79.51
NA,WP_206012193.1,1,69.0,84.55
NA,WP_206012194.1,1,67.0,88.18
NA,WP_206012195.1,1,65.0,78.12
NA,WP_206012196.1,1,67.0,80.23
NA,WP_206012197.1,1,56.00000000000001,68.97
NA,WP_206015870.1,1,63.0,71.51
NA,WP_206012198.1,1,56.99999999999999,80.41
NA,WP_206012199.1,1,64.0,79.74
NA,WP_206012200.1,1,66.0,72.0
NA,WP_241031186.1,1,63.0,78.67
NA,WP_241031187.1,1,63.0,73.97
NA,WP_206012201.1,1,63.0,79.38
NA,WP_206012202.1,1,61.0,76.58
NA,WP_206012203.1,1,59.0,67.29
NA,WP_241031188.1,1,69.0,77.69
NA,WP_206012204.1,1,68.0,86.96
NA,WP_241031189.1,1,69.0,84.91
NA,WP_206015874.1,1,68.0,82.88
NA,WP_241031190.1,1,63.0,77.97
NA,WP_206012205.1,1,67.0,77.2
NA,WP_206012206.1,1,66.0,78.39
NA,WP_241031638.1,1,62.0,70.61
NA,WP_206012207.1,1,64.0,81.9
NA,WP_206012208.1,1,65.0,73.57
NA,WP_275957891.1,1,62.0,71.19
NA,WP_206012210.1,1,62.0,81.29
NA,WP_206012211.1,1,67.0,84.62
NA,WP_206012212.1,1,68.0,84.32
NA,WP_005250675.1,1,62.0,85.62
NA,WP_206012213.1,1,67.0,85.13
NA,WP_206012214.1,1,67.0,87.12
NA,WP_241031191.1,1,67.0,87.49
NA,WP_206015876.1,1,68.0,89.97
NA,WP_206012215.1,1,68.0,86.86
NA,WP_095865991.1,1,66.0,83.33
NA,WP_206012216.1,1,66.0,82.67
NA,WP_206012217.1,1,63.0,86.96
NA,WP_206012218.1,1,67.0,82.07
NA,WP_259375705.1,1,66.0,85.61
NA,WP_259375706.1,1,67.0,84.08
NA,WP_259375707.1,1,63.0,86.32
NA,WP_206012219.1,1,68.0,86.82
NA,WP_206012220.1,1,70.0,90.78
NA,WP_005250650.1,1,67.0,91.13
NA,WP_206012221.1,1,69.0,87.66
NA,WP_206012222.1,1,68.0,84.76
NA,WP_095865997.1,1,67.0,90.56
NA,WP_206012223.1,1,64.0,85.42
NA,WP_206012224.1,1,69.0,85.25
NA,WP_206012225.1,1,71.0,91.34
NA,WP_206012226.1,1,69.0,90.42
NA,WP_206012227.1,1,68.0,92.58
NA,WP_206012228.1,1,68.0,81.15
NA,WP_206012229.1,1,64.0,87.08
NA,WP_241031192.1,1,62.0,82.47
NA,WP_206012230.1,1,64.0,83.97
NA,WP_241031193.1,1,55.00000000000001,49.54
NA,WP_206015878.1,1,60.0,78.41
NA,WP_241031194.1,1,66.0,86.2
NA,WP_241031195.1,1,70.0,85.11
NA,WP_206012232.1,1,69.0,83.02
NA,WP_206012233.1,1,66.0,76.83
NA,WP_206012234.1,1,65.0,85.42
NA,WP_206015880.1,1,65.0,77.38
NA,WP_206012235.1,1,65.0,87.56
NA,WP_206012236.1,1,65.0,84.91
NA,WP_206015881.1,1,67.0,83.77
NA,WP_241031196.1,1,68.0,75.18
NA,WP_206012237.1,1,65.0,78.72
NA,WP_206012238.1,1,73.0,84.0
NA,WP_206012239.1,1,71.0,87.91
NA,WP_206015883.1,1,68.0,84.67
NA,WP_206012240.1,1,60.0,83.33
NA,WP_206012241.1,1,64.0,80.0
NA,WP_206012242.1,1,63.0,81.06
NA,WP_206012243.1,1,70.0,88.73
NA,WP_241031197.1,1,73.0,76.67
NA,WP_206012244.1,1,73.0,81.66
NA,WP_206012245.1,1,65.0,88.04
NA,WP_072947428.1,1,64.0,85.87
NA,WP_072947429.1,1,66.0,82.18
NA,WP_206012246.1,1,68.0,88.36
NA,WP_072947431.1,1,67.0,85.71
NA,WP_206012247.1,1,64.0,76.39
NA,WP_095864241.1,1,70.0,78.76
NA,WP_095864240.1,1,67.0,78.67
NA,WP_206015884.1,1,65.0,76.88
NA,WP_206012248.1,1,68.0,83.7
NA,WP_206012249.1,1,67.0,86.8
NA,WP_206012250.1,1,68.0,80.97
NA,WP_206012251.1,1,67.0,76.15
NA,WP_206012252.1,1,68.0,82.32
NA,WP_206012253.1,1,65.0,88.81
NA,WP_095864235.1,1,65.0,83.64
NA,WP_095864234.1,1,67.0,80.92
NA,WP_206012254.1,1,65.0,80.73
NA,WP_241031639.1,1,65.0,71.68
NA,WP_206012256.1,1,66.0,80.46
NA,WP_206012257.1,1,69.0,88.51
gvpA,WP_072947444.1,1,64.0,83.04
NA,WP_206012258.1,1,66.0,81.25
NA,WP_206012259.1,1,67.0,79.17
NA,WP_206012260.1,1,74.0,87.4
NA,WP_206012261.1,1,67.0,85.71
NA,WP_174705557.1,1,62.0,69.67
NA,WP_206012262.1,1,64.0,79.6
NA,WP_206012263.1,1,65.0,78.75
NA,WP_206012264.1,1,66.0,82.81
NA,WP_241031199.1,1,64.0,82.99
NA,WP_206012265.1,1,65.0,81.27
NA,WP_206012266.1,1,62.0,80.5
NA,WP_072947461.1,1,64.0,83.95
NA,WP_206012267.1,1,66.0,77.71
NA,WP_072947462.1,1,68.0,82.76
NA,WP_206012268.1,1,66.0,88.47
