gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_013906634.1,1,41.0,35.59
NA,WP_281054739.1,1,44.0,35.78
NA,WP_169311133.1,1,31.0,23.84
NA,WP_013906637.1,1,23.0,18.69
NA,WP_013906638.1,1,28.000000000000004,23.25
ilvD,WP_013906639.1,1,44.0,32.17
NA,WP_013906640.1,1,43.0,30.77
rpoZ,WP_013906641.1,1,41.0,33.33
dnaJ,WP_013906642.1,1,45.0,34.54
moaC,WP_013906643.1,1,46.0,36.91
dksA,WP_013906644.1,1,41.0,29.73
NA,WP_013906645.1,1,40.0,31.62
galT,WP_013906646.1,1,45.0,37.69
NA,WP_013906647.1,1,38.0,33.91
NA,WP_013906648.1,1,41.0,29.11
NA,WP_013906649.1,1,40.0,33.72
NA,WP_013906650.1,1,43.0,38.27
NA,WP_013906651.1,1,42.0,34.57
NA,WP_013906652.1,1,44.0,37.57
NA,WP_013906653.1,1,47.0,49.64
NA,WP_013906654.1,1,38.0,25.83
NA,WP_013906655.1,1,38.0,29.95
NA,WP_013906656.1,1,37.0,29.04
ppsA,WP_013906657.1,1,41.0,33.67
NA,WP_013906658.1,1,33.0,27.27
NA,WP_052299018.1,1,36.0,20.92
NA,WP_041434420.1,1,28.000000000000004,27.56
NA,WP_013906660.1,1,41.0,30.3
bioA,WP_013906661.1,1,40.0,33.78
NA,WP_013906662.1,1,36.0,32.31
bioB,WP_013906663.1,1,45.0,40.07
NA,WP_013906664.1,1,41.0,40.0
NA,WP_013906665.1,1,43.0,38.02
rpoD,WP_245523100.1,1,44.0,38.12
dnaG,WP_013906667.1,1,45.0,40.29
NA,WP_013906668.1,1,46.0,41.33
rpsU,WP_013906669.1,1,47.0,55.17
NA,WP_013906670.1,1,48.0,45.9
NA,WP_013906671.1,1,44.0,44.09
rsmB,WP_013906672.1,1,48.0,48.32
NA,WP_013906673.1,1,46.0,49.28
NA,WP_148236914.1,1,43.0,37.29
NA,WP_013906675.1,1,42.0,33.17
NA,WP_174260723.1,1,46.0,39.95
larB,WP_013906677.1,1,46.0,33.74
NA,WP_013906678.1,1,41.0,35.83
NA,WP_013906679.1,1,39.0,33.88
NA,WP_013906680.1,1,42.0,36.78
NA,WP_013906681.1,1,43.0,37.48
NA,WP_013906682.1,1,40.0,43.96
NA,WP_013906683.1,1,41.0,36.22
NA,WP_013906684.1,1,37.0,25.86
NA,WP_013906685.1,1,47.0,38.18
NA,WP_013906686.1,1,44.0,42.86
NA,WP_013906687.1,1,42.0,32.79
yedE,WP_013906688.1,1,48.0,42.45
NA,WP_013906689.1,1,41.0,35.92
NA,WP_013906690.1,1,43.0,37.7
NA,WP_041434784.1,1,43.0,40.94
hemL,WP_013906692.1,1,51.0,47.26
NA,WP_013906693.1,1,38.0,32.35
NA,WP_013906694.1,1,44.0,39.8
NA,WP_013906695.1,1,42.0,33.79
NA,WP_013906696.1,1,45.0,44.43
NA,WP_013906697.1,1,43.0,35.35
NA,WP_013906698.1,1,44.0,37.86
NA,WP_013906699.1,1,38.0,28.66
holA,WP_013906700.1,1,37.0,29.01
NA,WP_013906701.1,1,37.0,30.9
NA,WP_013906702.1,1,40.0,31.49
NA,WP_013906703.1,1,45.0,42.57
NA,WP_013906705.1,1,39.0,29.0
glmM,WP_245523078.1,1,43.0,34.37
NA,WP_013906707.1,1,35.0,25.85
cdaA,WP_013906708.1,1,41.0,34.63
folP,WP_013906709.1,1,41.0,35.06
ftsH,WP_281054740.1,1,45.0,38.5
NA,WP_013906711.1,1,44.0,41.88
NA,WP_013906712.1,1,36.0,33.8
NA,WP_013906714.1,1,36.0,38.34
NA,WP_013906715.1,1,39.0,31.55
rlmB,WP_013906716.1,1,43.0,33.33
gmk,WP_013906717.1,1,42.0,36.13
NA,WP_013906718.1,1,45.0,35.87
NA,WP_013906719.1,1,42.0,36.62
NA,WP_013906720.1,1,39.0,32.77
pal,WP_013906721.1,1,45.0,35.9
