gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_164365367.1,2,61.0,76.95
dnaN,WP_164365366.1,1,60.0,78.99
NA,WP_164365365.1,1,59.0,77.73
NA,WP_235203488.1,1,60.0,80.16
hflX,WP_235203489.1,1,62.0,78.87
NA,WP_164365364.1,1,57.99999999999999,71.43
NA,WP_164365363.1,1,63.0,74.23
serS,WP_164365362.1,1,61.0,79.23
NA,WP_164365361.1,1,59.0,67.96
NA,WP_164365360.1,1,59.0,68.99
NA,WP_164365359.1,1,63.0,74.38
NA,WP_164365358.1,1,60.0,76.21
NA,WP_235203490.1,1,59.0,77.45
NA,WP_164365357.1,1,61.0,72.01
NA,WP_164365356.1,1,63.0,71.33
NA,WP_164365355.1,1,63.0,74.92
NA,WP_164365354.1,1,60.0,71.49
NA,WP_164365353.1,1,59.0,79.82
NA,WP_235203492.1,1,54.0,61.83
NA,WP_164364928.1,1,59.0,70.41
NA,WP_164364927.1,1,60.0,79.44
NA,WP_164364926.1,1,60.0,78.26
NA,WP_164364925.1,1,60.0,74.54
ilvN,WP_164364924.1,1,59.0,81.4
ilvB,WP_164364923.1,1,57.99999999999999,73.54
polX,WP_164364922.1,1,60.0,75.52
creC,WP_164364921.1,1,62.0,73.5
creB,WP_164364920.1,1,61.0,73.93
NA,WP_164364919.1,1,60.0,75.92
NA,WP_164364918.1,1,61.0,69.1
map,WP_164364917.1,1,61.0,72.8
NA,WP_164364916.1,1,60.0,68.49
moeB,WP_164364915.1,1,62.0,73.68
NA,WP_164364914.1,1,61.0,71.71
secD,WP_164364913.1,1,57.99999999999999,76.57
yajC,WP_164364912.1,1,55.00000000000001,78.9
tgt,WP_164364911.1,1,57.99999999999999,71.74
NA,WP_268840000.1,1,74.0,81.25
NA,WP_164364910.1,1,60.0,62.79
rpsU,WP_164364909.1,1,57.99999999999999,69.7
rho,WP_164364908.1,1,61.0,71.43
NA,WP_164364907.1,1,56.99999999999999,68.12
NA,WP_164364906.1,1,56.99999999999999,69.48
NA,WP_164364905.1,1,61.0,70.83
NA,WP_164364904.1,1,61.0,75.0
NA,WP_164364903.1,1,63.0,78.81
NA,WP_235203493.1,1,59.0,69.78
NA,WP_164364900.1,1,56.99999999999999,60.0
NA,WP_164364898.1,1,49.0,51.11
NA,WP_164364896.1,1,61.0,59.83
NA,WP_164364893.1,1,61.0,79.49
NA,WP_164364891.1,1,57.99999999999999,71.97
NA,WP_164364889.1,1,61.0,79.1
NA,WP_164364887.1,1,51.0,66.67
NA,WP_235203494.1,1,56.00000000000001,66.23
NA,WP_164364883.1,1,63.0,72.96
NA,WP_164364880.1,1,65.0,63.16
panC,WP_164364877.1,1,60.0,76.29
murJ,WP_164364875.1,1,57.99999999999999,78.57
NA,WP_164364872.1,1,63.0,73.76
NA,WP_235203495.1,1,56.99999999999999,75.24
NA,WP_164364867.1,1,61.0,78.73
queG,WP_164364864.1,1,62.0,83.24
