gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_136409405.1,1,32.0,26.6
NA,WP_136409406.1,1,48.0,54.46
NA,WP_136409407.1,1,44.0,46.54
NA,WP_136409408.1,1,50.0,60.5
NA,WP_123397228.1,1,48.0,62.62
NA,WP_136409409.1,1,55.00000000000001,67.02
NA,WP_123397226.1,1,56.99999999999999,65.93
NA,WP_135947737.1,1,56.00000000000001,73.06
NA,WP_123397224.1,1,55.00000000000001,65.16
mce,WP_123397223.1,1,53.0,60.77
NA,WP_136409410.1,1,47.0,54.3
NA,WP_136409411.1,1,47.0,54.56
NA,WP_123395047.1,1,56.99999999999999,72.37
NA,WP_238337261.1,1,56.00000000000001,66.8
NA,WP_136409412.1,1,57.99999999999999,74.89
NA,WP_136409413.1,1,60.0,72.47
NA,WP_136409415.1,1,44.0,50.47
gldL,WP_135946371.1,1,60.0,75.21
gldM,WP_136409417.1,1,62.0,76.61
gldN,WP_136409418.1,1,62.0,78.51
pckA,WP_136409419.1,1,51.0,63.31
NA,WP_136409420.1,1,44.0,50.23
NA,WP_202877173.1,1,60.0,82.66
NA,WP_238337398.1,1,61.0,83.28
NA,WP_136409423.1,1,45.0,42.89
NA,WP_135946653.1,1,56.00000000000001,74.13
NA,WP_136409424.1,1,59.0,75.0
NA,WP_136409425.1,1,57.99999999999999,76.42
NA,WP_136409426.1,1,51.0,64.44
NA,WP_136409427.1,1,51.0,68.16
NA,WP_136409428.1,1,56.99999999999999,74.83
NA,WP_136409429.1,1,56.00000000000001,69.78
NA,WP_136409430.1,1,56.99999999999999,74.14
NA,WP_136409431.1,1,56.99999999999999,70.11
recF,WP_136409432.1,1,56.00000000000001,71.55
NA,WP_238337263.1,1,57.99999999999999,70.38
NA,WP_136411264.1,1,55.00000000000001,62.21
NA,WP_136409433.1,1,55.00000000000001,66.22
NA,WP_136409434.1,1,57.99999999999999,71.0
NA,WP_136409435.1,1,55.00000000000001,65.82
NA,WP_136409436.1,1,57.99999999999999,64.29
NA,WP_238337265.1,1,55.00000000000001,62.72
ccsA,WP_136409437.1,1,56.00000000000001,70.18
NA,WP_136409438.1,1,39.0,41.51
NA,WP_136409439.1,1,38.0,34.5
NA,WP_136409440.1,1,53.0,67.23
NA,WP_136409441.1,1,53.0,70.51
NA,WP_136409442.1,1,51.0,66.34
NA,WP_136409443.1,1,52.0,63.21
NA,WP_136409444.1,1,54.0,63.16
NA,WP_123395075.1,1,53.0,55.75
NA,WP_168184263.1,1,49.0,56.6
menA,WP_238337267.1,1,56.99999999999999,68.59
NA,WP_136409446.1,1,54.0,68.81
NA,WP_136409447.1,1,54.0,70.81
