gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_085765315.1,1,32.0,28.52
lhgO,WP_085765316.1,1,39.0,33.25
NA,WP_085765317.1,1,54.0,72.95
NA,WP_085765318.1,1,38.0,35.75
NA,WP_085765319.1,1,40.0,30.81
NA,WP_211277442.1,1,36.0,28.08
NA,WP_085765320.1,1,36.0,35.34
NA,WP_085765321.1,1,36.0,33.17
NA,WP_085768090.1,1,39.0,35.47
NA,WP_085765322.1,1,38.0,28.17
NA,WP_085765323.1,1,38.0,27.32
NA,WP_085765324.1,1,35.0,28.88
NA,WP_085765325.1,1,35.0,29.93
NA,WP_085765326.1,1,37.0,26.32
NA,WP_085765327.1,1,36.0,26.89
NA,WP_085765328.1,1,35.0,32.01
NA,WP_085765329.1,1,35.0,31.03
NA,WP_085765330.1,1,35.0,30.14
NA,WP_085765331.1,1,35.0,36.42
NA,WP_085765332.1,1,31.0,27.36
NA,WP_085765333.1,1,34.0,30.13
NA,WP_085765334.1,1,37.0,35.97
NA,WP_085765335.1,1,38.0,32.63
NA,WP_085768091.1,1,37.0,31.93
NA,WP_085765336.1,1,36.0,32.33
NA,WP_085765337.1,1,40.0,40.31
NA,WP_245833609.1,1,38.0,33.71
NA,WP_085765339.1,1,39.0,33.8
NA,WP_085765340.1,1,37.0,35.9
NA,WP_085765341.1,1,37.0,33.68
NA,WP_085765342.1,1,38.0,32.73
NA,WP_085765343.1,1,36.0,25.74
NA,WP_085765344.1,1,38.0,35.05
NA,WP_085765345.1,1,33.0,33.47
NA,WP_085765346.1,1,40.0,35.57
NA,WP_085765347.1,1,37.0,29.32
NA,WP_085765348.1,1,36.0,30.89
NA,WP_169711506.1,1,39.0,34.19
NA,WP_085765350.1,1,41.0,41.02
NA,WP_085765351.1,1,43.0,42.7
NA,WP_085765352.1,1,48.0,49.3
NA,WP_085765353.1,1,41.0,45.27
NA,WP_085765354.1,1,41.0,40.92
NA,WP_157111359.1,1,37.0,42.81
NA,WP_157111360.1,1,41.0,37.87
NA,WP_085765356.1,1,44.0,44.81
NA,WP_085765357.1,1,43.0,37.0
NA,WP_085765358.1,1,33.0,27.27
NA,WP_262497078.1,1,36.0,32.97
NA,WP_157111361.1,1,37.0,45.13
NA,WP_085765361.1,1,41.0,33.33
NA,WP_085765362.1,1,46.0,52.21
NA,WP_085765363.1,1,43.0,49.74
NA,WP_085765364.1,1,43.0,45.96
crtI,WP_085765365.1,1,43.0,47.69
NA,WP_085765366.1,1,38.0,46.04
NA,WP_085765367.1,1,39.0,39.26
NA,WP_085765369.1,1,35.0,35.71
NA,WP_169711507.1,1,34.0,29.36
NA,WP_085765371.1,1,40.0,34.71
NA,WP_085765372.1,1,38.0,32.26
NA,WP_085765373.1,1,41.0,33.88
NA,WP_085765374.1,1,41.0,34.78
NA,WP_085765375.1,1,39.0,28.76
NA,WP_085765376.1,1,41.0,31.68
NA,WP_085765377.1,1,41.0,25.32
NA,WP_085765378.1,1,34.0,36.99
NA,WP_085765379.1,1,40.0,37.77
glgA,WP_085765380.1,1,42.0,35.46
NA,WP_245833611.1,1,38.0,41.53
NA,WP_085765382.1,1,41.0,41.55
NA,WP_085765383.1,1,41.0,37.9
NA,WP_085765384.1,1,41.0,34.43
NA,WP_085765385.1,1,42.0,31.02
dnaJ,WP_085765386.1,1,46.0,38.9
NA,WP_245833612.1,1,43.0,45.28
NA,WP_085765387.1,1,40.0,40.0
NA,WP_085765388.1,1,34.0,26.06
NA,WP_085765389.1,1,41.0,29.55
purH,WP_085765390.1,1,43.0,38.74
NA,WP_085765391.1,1,43.0,38.51
mreC,WP_085765392.1,1,41.0,36.98
mrdA,WP_085765394.1,1,43.0,40.13
rodA,WP_085765395.1,1,43.0,42.07
NA,WP_085768094.1,1,41.0,34.15
NA,WP_085765396.1,1,36.0,33.84
NA,WP_085765397.1,1,41.0,33.02
NA,WP_211277450.1,1,42.0,30.9
NA,WP_085765398.1,1,43.0,34.35
NA,WP_085765399.1,1,42.0,39.33
NA,WP_085765400.1,1,42.0,41.16
NA,WP_245833613.1,1,44.0,40.86
NA,WP_085765401.1,1,42.0,42.62
NA,WP_085765402.1,1,39.0,31.98
NA,WP_085765403.1,1,44.0,43.54
idi,WP_085765404.1,1,43.0,48.45
NA,WP_085765405.1,1,43.0,47.24
NA,WP_085765406.1,1,41.0,40.51
NA,WP_085765407.1,1,39.0,36.09
NA,WP_085765408.1,1,41.0,36.61
NA,WP_085765409.1,1,42.0,38.83
NA,WP_085765410.1,1,46.0,48.31
NA,WP_085765411.1,1,45.0,50.53
NA,WP_085765412.1,1,45.0,43.56
NA,WP_085765413.1,1,31.0,30.48
NA,WP_169711508.1,1,41.0,39.27
NA,WP_085765415.1,1,44.0,45.36
ruvX,WP_085765416.1,1,44.0,50.39
def,WP_085765417.1,1,40.0,41.71
NA,WP_085768096.1,1,39.0,42.28
NA,WP_085765418.1,1,39.0,35.25
NA,WP_245833614.1,1,42.0,42.11
NA,WP_157111362.1,1,39.0,34.12
rlmD,WP_085765421.1,1,43.0,42.55
NA,WP_085765422.1,1,38.0,35.14
NA,WP_157111363.1,1,38.0,38.71
NA,WP_085765424.1,1,41.0,28.54
NA,WP_085765425.1,1,42.0,37.2
gyrA,WP_085765426.1,1,43.0,41.78
NA,WP_169711509.1,1,36.0,28.42
NA,WP_085765428.1,1,41.0,39.58
NA,WP_085765429.1,1,44.0,32.11
NA,WP_085765430.1,1,40.0,43.28
NA,WP_211277451.1,1,43.0,43.87
NA,WP_085768098.1,1,43.0,38.66
NA,WP_262497052.1,1,38.0,45.45
NA,WP_085765431.1,1,42.0,44.76
NA,WP_085765432.1,1,40.0,39.83
NA,WP_085765433.1,1,47.0,44.74
NA,WP_085765434.1,1,43.0,44.99
NA,WP_085765435.1,1,46.0,47.78
rpmB,WP_085765436.1,1,40.0,52.86
rpmG,WP_085765437.1,1,36.0,34.62
NA,WP_085765438.1,1,40.0,46.34
NA,WP_085765439.1,1,37.0,37.57
NA,WP_085765440.1,1,39.0,37.4
NA,WP_245833615.1,1,39.0,41.76
NA,WP_085765441.1,1,44.0,37.66
NA,WP_085765442.1,1,40.0,27.75
xerD,WP_085765443.1,1,44.0,44.29
NA,WP_085765444.1,1,40.0,28.83
aroQ,WP_085765445.1,1,39.0,32.35
lpdA,WP_085765446.1,1,45.0,40.09
NA,WP_085765447.1,1,44.0,42.94
NA,WP_085765448.1,1,41.0,42.47
NA,WP_085765449.1,1,44.0,45.45
NA,WP_085765450.1,1,34.0,37.25
nadC,WP_085765451.1,1,44.0,44.44
NA,WP_085765452.1,1,39.0,40.53
NA,WP_085765453.1,1,38.0,29.21
NA,WP_245833616.1,1,38.0,32.09
NA,WP_085765454.1,1,40.0,39.95
NA,WP_085765455.1,1,39.0,35.0
NA,WP_085765457.1,1,37.0,37.5
NA,WP_085765458.1,1,39.0,38.75
NA,WP_085768100.1,1,46.0,44.87
NA,WP_085765459.1,1,43.0,44.8
ung,WP_085765460.1,1,43.0,35.98
NA,WP_085765461.1,1,40.0,26.15
mtaB,WP_085765462.1,1,41.0,38.28
porQ,WP_085768101.1,1,43.0,39.82
cmk,WP_085765463.1,1,42.0,37.05
pyrF,WP_085768102.1,1,41.0,36.64
NA,WP_085765464.1,1,32.0,30.56
prfA,WP_085765465.1,1,44.0,42.41
NA,WP_085765466.1,1,41.0,35.2
NA,WP_085765467.1,1,45.0,45.66
NA,WP_085765468.1,1,45.0,40.1
NA,WP_085765469.1,1,41.0,36.58
NA,WP_085765470.1,1,41.0,37.54
fsa,WP_085765471.1,1,42.0,36.06
NA,WP_085765472.1,1,39.0,39.51
NA,WP_085765473.1,1,42.0,40.57
tgt,WP_085765474.1,1,42.0,39.51
NA,WP_085765475.1,1,40.0,42.94
NA,WP_085765476.1,1,42.0,46.46
NA,WP_085765477.1,1,41.0,36.36
NA,WP_085765478.1,1,41.0,41.56
NA,WP_085765479.1,1,40.0,41.75
NA,WP_085765480.1,1,39.0,43.0
NA,WP_085765481.1,1,41.0,44.35
NA,WP_085765482.1,1,40.0,40.14
NA,WP_245833705.1,1,43.0,40.19
NA,WP_245833617.1,1,40.0,45.06
NA,WP_085765483.1,1,37.0,36.81
NA,WP_085765485.1,1,37.0,42.0
NA,WP_157111364.1,1,36.0,39.51
NA,WP_085765487.1,1,37.0,38.46
NA,WP_157111365.1,1,39.0,35.49
NA,WP_085765489.1,1,42.0,28.7
NA,WP_085765490.1,1,39.0,29.48
NA,WP_169711510.1,1,38.0,36.34
NA,WP_085765492.1,1,35.0,29.86
NA,WP_085765493.1,1,41.0,39.11
NA,WP_085765494.1,1,36.0,31.03
NA,WP_085765495.1,1,31.0,26.44
uvrA,WP_085765496.1,1,45.0,46.64
NA,WP_085765497.1,1,39.0,48.19
NA,WP_085765498.1,1,46.0,56.36
NA,WP_157111366.1,1,43.0,47.5
NA,WP_085765500.1,1,39.0,42.44
NA,WP_085765501.1,1,44.0,45.25
NA,WP_085765502.1,1,39.0,38.27
NA,WP_085765503.1,1,40.0,50.0
NA,WP_085765504.1,1,43.0,38.55
aroC,WP_085765505.1,1,48.0,45.98
NA,WP_085765506.1,1,46.0,47.05
gshB,WP_085765507.1,1,39.0,38.62
NA,WP_085765508.1,1,38.0,34.2
NA,WP_085765509.1,1,38.0,38.3
NA,WP_085765510.1,1,33.0,30.7
lgt,WP_085765511.1,1,44.0,49.51
