gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_176871064.1,2,68.0,88.76
NA,WP_176871065.1,1,62.0,61.9
NA,WP_176867847.1,1,63.0,77.3
NA,WP_246263227.1,1,67.0,82.85
NA,WP_176867849.1,1,66.0,76.32
rpsI,WP_176867850.1,1,65.0,78.49
NA,WP_176867851.1,1,68.0,76.39
cutA,WP_176867852.1,1,66.0,80.81
NA,WP_176867853.1,1,66.0,86.69
NA,WP_176867854.1,1,67.0,89.38
NA,WP_176867855.1,1,67.0,81.38
NA,WP_176867856.1,1,65.0,86.29
NA,WP_246263689.1,1,63.0,77.45
NA,WP_246263228.1,1,63.0,73.47
NA,WP_176867857.1,1,65.0,83.09
NA,WP_176867858.1,1,67.0,81.67
NA,WP_176867859.1,1,65.0,88.37
NA,WP_176867860.1,1,61.0,72.53
NA,WP_176867861.1,1,65.0,85.62
NA,WP_176867862.1,1,71.0,83.4
NA,WP_176867863.1,1,68.0,84.91
NA,WP_176867864.1,1,64.0,82.81
NA,WP_176871067.1,1,62.0,80.91
NA,WP_176867865.1,1,61.0,80.5
msrA,WP_176867866.1,1,61.0,80.59
NA,WP_246263229.1,1,69.0,80.2
NA,WP_176867868.1,1,66.0,82.34
NA,WP_176867869.1,1,63.0,73.58
NA,WP_176867870.1,1,67.0,78.26
NA,WP_176867871.1,1,61.0,79.46
NA,WP_176867872.1,1,64.0,79.83
NA,WP_176867873.1,1,66.0,76.42
NA,WP_176867874.1,1,65.0,81.0
NA,WP_176867875.1,1,62.0,74.77
NA,WP_176867876.1,1,62.0,80.43
glmM,WP_176867877.1,1,60.0,72.48
NA,WP_176867878.1,1,65.0,76.47
thiD,WP_176867879.1,1,63.0,74.32
NA,WP_246263230.1,1,64.0,72.63
NA,WP_176867880.1,1,59.0,73.78
folP,WP_176867881.1,1,65.0,75.41
NA,WP_176867882.1,1,64.0,76.38
NA,WP_176867883.1,1,47.0,58.33
NA,WP_176867884.1,1,64.0,76.29
NA,WP_176867885.1,1,61.0,76.14
NA,WP_246263691.1,1,63.0,84.78
NA,WP_176867887.1,1,64.0,84.68
NA,WP_176867888.1,1,72.0,88.56
NA,WP_176867889.1,1,55.00000000000001,69.28
NA,WP_176867890.1,1,73.0,93.75
NA,WP_176867891.1,1,66.0,91.98
NA,WP_176867892.1,1,68.0,90.57
NA,WP_176871069.1,1,64.0,87.91
NA,WP_246263231.1,1,68.0,79.82
NA,WP_176867893.1,1,71.0,84.27
NA,WP_246263232.1,1,73.0,84.12
NA,WP_176867894.1,1,63.0,80.59
NA,WP_176867895.1,1,69.0,84.38
NA,WP_176867896.1,1,67.0,92.66
NA,WP_176867897.1,1,63.0,79.8
NA,WP_176867898.1,1,70.0,85.12
NA,WP_176867899.1,1,68.0,84.98
NA,WP_176867900.1,1,65.0,81.62
NA,WP_176867901.1,1,66.0,80.21
NA,WP_176867902.1,1,65.0,81.13
NA,WP_176867903.1,1,63.0,82.82
NA,WP_176867904.1,1,66.0,81.64
NA,WP_176867905.1,1,62.0,84.24
NA,WP_176867906.1,1,63.0,80.94
NA,WP_246263233.1,1,68.0,82.35
NA,WP_176867907.1,1,65.0,88.61
NA,WP_176867908.1,1,66.0,78.85
NA,WP_176867909.1,1,63.0,76.36
NA,WP_176867910.1,1,63.0,87.22
NA,WP_246263692.1,1,63.0,79.52
NA,WP_176867911.1,1,64.0,72.26
NA,WP_176867912.1,1,61.0,68.25
NA,WP_176867913.1,1,66.0,82.13
NA,WP_176867914.1,1,65.0,81.91
NA,WP_176867915.1,1,64.0,80.12
NA,WP_176867916.1,1,67.0,83.94
NA,WP_176867917.1,1,62.0,84.44
NA,WP_176867918.1,1,62.0,83.87
NA,WP_176867919.1,1,67.0,85.54
NA,WP_246263234.1,1,64.0,81.25
NA,WP_176867920.1,1,68.0,86.55
NA,WP_176867921.1,1,65.0,77.93
NA,WP_176867922.1,1,72.0,82.49
NA,WP_176867923.1,1,69.0,84.8
NA,WP_246263235.1,1,68.0,82.06
NA,WP_176867924.1,1,70.0,87.4
NA,WP_176867925.1,1,72.0,86.32
NA,WP_176867926.1,1,67.0,82.64
NA,WP_176867927.1,1,61.0,79.01
NA,WP_176867928.1,1,68.0,85.13
NA,WP_176867929.1,1,68.0,79.76
NA,WP_176867930.1,1,70.0,83.63
NA,WP_176867931.1,1,71.0,86.78
NA,WP_176867932.1,1,65.0,84.13
NA,WP_176867933.1,1,67.0,77.23
NA,WP_176867934.1,1,63.0,64.86
NA,WP_176867935.1,1,73.0,86.34
NA,WP_176867936.1,1,66.0,79.35
NA,WP_176867937.1,1,69.0,82.95
NA,WP_176867938.1,1,69.0,72.79
NA,WP_176867939.1,1,68.0,76.07
NA,WP_176867940.1,1,64.0,69.43
NA,WP_176867941.1,1,63.0,68.81
NA,WP_176867942.1,1,65.0,70.45
NA,WP_176867943.1,1,67.0,72.88
NA,WP_176867944.1,1,66.0,72.11
NA,WP_176867945.1,1,62.0,74.36
NA,WP_176867946.1,1,56.00000000000001,72.46
NA,WP_176867947.1,1,54.0,63.51
NA,WP_176867948.1,1,61.0,68.35
