gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_057756289.1,1,39.0,27.23
dnaN,WP_057756292.1,1,35.0,19.24
yaaA,WP_057756295.1,1,38.0,32.26
recF,WP_057756296.1,1,36.0,22.71
gyrB,WP_083479553.1,1,39.0,26.65
gyrA,WP_057756299.1,1,39.0,26.81
rpsF,WP_057756302.1,1,37.0,31.87
ssb,WP_057756305.1,1,36.0,22.44
rpsR,WP_057756309.1,1,40.0,33.33
NA,WP_057756311.1,1,37.0,25.19
rplI,WP_057756314.1,1,37.0,20.57
dnaB,WP_057756318.1,1,38.0,23.52
NA,WP_057756321.1,1,38.0,21.23
NA,WP_057756325.1,1,34.0,24.66
NA,WP_057756328.1,1,37.0,18.97
NA,WP_057756331.1,1,37.0,29.94
NA,WP_057756335.1,1,36.0,22.12
NA,WP_057756338.1,1,41.0,26.37
NA,WP_057756341.1,1,35.0,21.83
NA,WP_057756344.1,1,35.0,18.75
NA,WP_057756347.1,1,36.0,27.83
NA,WP_057756349.1,1,40.0,25.58
NA,WP_057756352.1,1,36.0,40.0
NA,WP_057756355.1,1,37.0,23.58
NA,WP_057756358.1,1,36.0,19.4
NA,WP_057756361.1,1,38.0,23.43
NA,WP_057756364.1,1,35.0,30.97
efp,WP_225733068.1,1,35.0,23.73
lepB,WP_057756367.1,1,36.0,25.0
NA,WP_057756370.1,1,40.0,31.23
NA,WP_057756373.1,1,39.0,34.18
NA,WP_083479541.1,1,40.0,21.62
NA,WP_057756376.1,1,38.0,29.68
NA,WP_057756379.1,1,36.0,30.77
NA,WP_057756382.1,1,37.0,29.69
celB,WP_057756385.1,1,37.0,30.43
NA,WP_057756388.1,1,38.0,29.91
manA,WP_057756391.1,1,38.0,22.36
NA,WP_057756393.1,1,37.0,28.28
pgmB,WP_057756395.1,1,37.0,22.33
NA,WP_057756397.1,1,36.0,27.37
NA,WP_057756399.1,1,39.0,29.15
NA,WP_057756401.1,1,38.0,24.34
treR,WP_057756402.1,1,35.0,25.33
NA,WP_057756405.1,1,36.0,26.72
NA,WP_057756409.1,1,39.0,36.47
NA,WP_057756412.1,1,40.0,38.0
NA,WP_057756415.1,1,40.0,34.38
NA,WP_057756418.1,1,38.0,22.76
NA,WP_057756421.1,1,37.0,27.95
NA,WP_157051855.1,1,40.0,21.62
NA,WP_057756424.1,1,38.0,27.78
NA,WP_057756427.1,1,36.0,31.68
NA,WP_057756673.1,1,33.0,29.46
NA,WP_057756430.1,1,36.0,21.95
NA,WP_057756433.1,1,41.0,30.48
