gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_115716887.1,2,50.0,52.95
dnaN,WP_115716888.1,1,51.0,54.19
recF,WP_115716889.1,1,51.0,49.15
gyrB,WP_115716890.1,1,51.0,55.54
NA,WP_115716891.1,1,53.0,53.31
NA,WP_115716892.1,1,57.99999999999999,65.0
NA,WP_115716893.1,1,56.00000000000001,55.96
NA,WP_115716894.1,1,55.00000000000001,52.35
NA,WP_115716895.1,1,56.99999999999999,64.38
NA,WP_115716896.1,1,56.00000000000001,64.4
glyS,WP_192954869.1,1,54.0,57.35
glyQ,WP_115716898.1,1,53.0,59.52
NA,WP_115716899.1,1,53.0,56.54
NA,WP_115716900.1,1,56.00000000000001,60.98
NA,WP_115716901.1,1,55.00000000000001,60.15
NA,WP_115716902.1,1,55.00000000000001,64.31
NA,WP_115716903.1,1,54.0,63.07
NA,WP_115716904.1,1,55.00000000000001,63.3
tusA,WP_115716905.1,1,56.99999999999999,66.2
NA,WP_115716906.1,1,54.0,60.85
fadA,WP_115720519.1,1,57.99999999999999,63.23
fadB,WP_115716907.1,1,54.0,63.22
pepQ,WP_115716908.1,1,54.0,60.0
NA,WP_115716909.1,1,54.0,56.7
hemG,WP_115716910.1,1,56.00000000000001,64.74
NA,WP_115716911.1,1,56.00000000000001,71.76
trkA,WP_115716912.1,1,56.99999999999999,66.82
rsmB,WP_115716913.1,1,56.99999999999999,63.03
fmt,WP_115716914.1,1,56.99999999999999,61.06
def,WP_115716915.1,1,55.00000000000001,65.85
NA,WP_115716916.1,1,52.0,60.56
dprA,WP_115716917.1,1,56.00000000000001,56.45
NA,WP_115716918.1,1,50.0,59.46
NA,WP_115716919.1,1,55.00000000000001,59.22
NA,WP_115716920.1,1,50.0,50.28
NA,WP_115720520.1,1,55.00000000000001,60.47
hemF,WP_115716921.1,1,54.0,57.82
NA,WP_115716922.1,1,52.0,58.87
aroE,WP_192954870.1,1,55.00000000000001,54.79
NA,WP_115716923.1,1,50.0,47.3
NA,WP_115716924.1,1,50.0,48.19
NA,WP_115716925.1,1,54.0,56.07
NA,WP_115716926.1,1,52.0,55.34
NA,WP_115716927.1,1,53.0,56.88
NA,WP_115716928.1,1,53.0,57.33
NA,WP_115716929.1,1,52.0,52.63
NA,WP_115716930.1,1,48.0,58.01
NA,WP_115716931.1,1,52.0,62.46
gorA,WP_115716932.1,1,54.0,59.73
NA,WP_115716933.1,1,59.0,67.24
prlC,WP_115716934.1,1,56.00000000000001,64.17
NA,WP_115716935.1,1,54.0,63.93
NA,WP_115716936.1,1,55.00000000000001,64.22
NA,WP_115716937.1,1,55.00000000000001,63.1
NA,WP_192954759.1,1,56.00000000000001,64.23
NA,WP_115716939.1,1,59.0,60.43
NA,WP_264296852.1,1,53.0,60.15
NA,WP_115716941.1,1,52.0,65.03
NA,WP_115716942.1,1,56.00000000000001,60.84
NA,WP_115716943.1,1,56.99999999999999,65.28
NA,WP_115716944.1,1,51.0,53.47
NA,WP_115716945.1,1,53.0,54.35
NA,WP_115716946.1,1,54.0,62.57
NA,WP_115716947.1,1,56.00000000000001,61.86
NA,WP_192954760.1,1,41.0,40.86
NA,WP_115716949.1,1,47.0,50.82
NA,WP_152032910.1,1,56.99999999999999,61.34
NA,WP_115716951.1,1,59.0,59.21
NA,WP_115716952.1,1,57.99999999999999,61.48
NA,WP_115716953.1,1,54.0,64.04
NA,WP_115716954.1,1,56.00000000000001,59.17
NA,WP_115716955.1,1,53.0,59.79
NA,WP_115716956.1,1,53.0,57.71
NA,WP_115716957.1,1,54.0,62.91
NA,WP_115716958.1,1,51.0,53.98
NA,WP_115716959.1,1,60.0,66.99
NA,WP_115716960.1,1,56.00000000000001,64.85
NA,WP_115716961.1,1,56.00000000000001,67.04
NA,WP_115716962.1,1,55.00000000000001,65.66
NA,WP_115716963.1,1,55.00000000000001,66.55
NA,WP_115716964.1,1,57.99999999999999,65.68
NA,WP_226911424.1,1,53.0,59.32
NA,WP_192954761.1,1,52.0,59.62
nfsA,WP_115716967.1,1,53.0,56.47
NA,WP_115716968.1,1,55.00000000000001,65.33
recG,WP_115716969.1,1,60.0,67.6
trmH,WP_115716970.1,1,56.99999999999999,62.78
spoT,WP_115716971.1,1,56.00000000000001,67.38
rpoZ,WP_115716972.1,1,53.0,49.4
gmk,WP_115716973.1,1,54.0,64.0
NA,WP_115716974.1,1,54.0,64.71
NA,WP_115716975.1,1,54.0,64.73
NA,WP_115716976.1,1,56.00000000000001,71.2
NA,WP_115716977.1,1,57.99999999999999,65.97
NA,WP_115716978.1,1,57.99999999999999,61.78
NA,WP_115716979.1,1,51.0,65.97
NA,WP_226911362.1,1,56.00000000000001,65.7
dcuC,WP_115716980.1,1,52.0,63.29
NA,WP_115716981.1,1,43.0,43.01
NA,WP_115716982.1,1,47.0,53.57
NA,WP_115716983.1,1,52.0,66.44
NA,WP_115716984.1,1,53.0,67.45
NA,WP_115716985.1,1,54.0,63.26
NA,WP_192954762.1,1,53.0,61.77
NA,WP_115716987.1,1,54.0,62.89
NA,WP_115716988.1,1,55.00000000000001,60.58
NA,WP_115716989.1,1,55.00000000000001,64.75
rph,WP_115716990.1,1,59.0,66.67
pyrE,WP_115716991.1,1,51.0,55.39
NA,WP_115716992.1,1,52.0,62.87
NA,WP_115716993.1,1,54.0,66.09
slmA,WP_115716994.1,1,53.0,63.24
dut,WP_115716995.1,1,57.99999999999999,60.14
coaBC,WP_115716996.1,1,59.0,64.62
NA,WP_115716997.1,1,56.00000000000001,56.63
radC,WP_115716998.1,1,56.99999999999999,60.0
rpmB,WP_115716999.1,1,50.0,53.62
rpmG,WP_115717000.1,1,45.0,58.7
NA,WP_115717001.1,1,57.99999999999999,63.49
folE2,WP_115717002.1,1,56.00000000000001,60.07
NA,WP_115717003.1,1,52.0,55.93
NA,WP_115717004.1,1,55.00000000000001,57.85
NA,WP_115717005.1,1,53.0,55.3
mutM,WP_115717006.1,1,54.0,52.31
NA,WP_115717007.1,1,34.0,25.23
NA,WP_115717008.1,1,40.0,33.52
NA,WP_115717009.1,1,32.0,24.65
NA,WP_115717010.1,1,39.0,34.19
NA,WP_115717011.1,1,42.0,34.1
NA,WP_115717012.1,1,46.0,46.22
coaD,WP_115717013.1,1,47.0,52.9
NA,WP_192954763.1,1,51.0,59.35
NA,WP_115717015.1,1,50.0,53.8
NA,WP_115717016.1,1,55.00000000000001,64.17
waaF,WP_115717017.1,1,56.99999999999999,64.94
rfaD,WP_115717018.1,1,53.0,66.01
NA,WP_115717019.1,1,51.0,61.27
NA,WP_115717020.1,1,53.0,60.72
tdh,WP_115717021.1,1,53.0,62.95
NA,WP_226911363.1,1,50.0,59.44
NA,WP_115717023.1,1,54.0,57.94
NA,WP_115717024.1,1,54.0,62.46
glpE,WP_115717025.1,1,50.0,49.51
glpG,WP_115717026.1,1,55.00000000000001,62.41
NA,WP_115717027.1,1,53.0,61.54
NA,WP_192954764.1,1,52.0,50.0
ubiA,WP_115717029.1,1,56.00000000000001,71.84
NA,WP_115717030.1,1,56.99999999999999,63.87
plsB,WP_115717031.1,1,56.00000000000001,65.59
yvcK,WP_115717032.1,1,56.00000000000001,58.59
lexA,WP_115720523.1,1,53.0,55.1
NA,WP_115717033.1,1,50.0,58.25
NA,WP_115717034.1,1,53.0,64.99
NA,WP_152032912.1,1,52.0,52.94
NA,WP_115717036.1,1,54.0,57.63
NA,WP_115717037.1,1,55.00000000000001,60.99
purU,WP_115717038.1,1,51.0,63.94
NA,WP_152032913.1,1,57.99999999999999,67.29
NA,WP_192954765.1,1,50.0,56.13
NA,WP_115717041.1,1,54.0,62.09
NA,WP_115717042.1,1,56.00000000000001,65.04
NA,WP_115717043.1,1,54.0,58.66
NA,WP_115717044.1,1,55.00000000000001,60.29
NA,WP_115717045.1,1,54.0,62.16
NA,WP_115717046.1,1,56.00000000000001,64.95
NA,WP_115717047.1,1,54.0,63.07
NA,WP_115717048.1,1,53.0,59.79
NA,WP_115717049.1,1,52.0,65.08
NA,WP_115720524.1,1,57.99999999999999,63.32
NA,WP_115717050.1,1,42.0,43.65
dinF,WP_264296829.1,1,54.0,59.12
NA,WP_226911365.1,1,48.0,57.69
nfuA,WP_115717053.1,1,56.00000000000001,65.57
NA,WP_152032914.1,1,52.0,59.06
NA,WP_115717055.1,1,56.00000000000001,62.1
NA,WP_152032915.1,1,56.00000000000001,73.53
NA,WP_115717057.1,1,55.00000000000001,66.7
NA,WP_115717058.1,1,56.99999999999999,63.81
NA,WP_115717059.1,1,56.00000000000001,60.94
NA,WP_115717060.1,1,56.00000000000001,59.17
bioH,WP_115717061.1,1,57.99999999999999,62.08
NA,WP_115717062.1,1,57.99999999999999,67.8
NA,WP_192954767.1,1,57.99999999999999,67.45
greB,WP_115717064.1,1,49.0,51.32
ompR,WP_115720525.1,1,59.0,69.4
envZ,WP_115717065.1,1,56.00000000000001,66.28
NA,WP_115717066.1,1,56.99999999999999,68.61
NA,WP_192954768.1,1,55.00000000000001,69.88
NA,WP_115717067.1,1,57.99999999999999,63.11
NA,WP_115717068.1,1,56.00000000000001,58.13
NA,WP_115717069.1,1,56.99999999999999,63.16
NA,WP_264296830.1,1,56.99999999999999,65.86
NA,WP_115717071.1,1,56.00000000000001,64.32
NA,WP_115717072.1,1,54.0,64.11
NA,WP_192954769.1,1,56.99999999999999,64.93
NA,WP_115717074.1,1,57.99999999999999,64.58
NA,WP_115717075.1,1,56.00000000000001,63.18
pckA,WP_115717076.1,1,53.0,62.4
NA,WP_152032917.1,1,56.99999999999999,61.88
NA,WP_226911426.1,1,60.0,63.41
NA,WP_152032918.1,1,48.0,36.51
NA,WP_115717079.1,1,56.00000000000001,61.96
NA,WP_115717080.1,1,44.0,49.81
NA,WP_152032919.1,1,35.0,28.0
NA,WP_115717082.1,1,36.0,28.21
hslO,WP_115717083.1,1,56.00000000000001,64.39
hslR,WP_115717084.1,1,54.0,60.16
gspC,WP_115717085.1,1,56.00000000000001,63.92
gspD,WP_226911366.1,1,54.0,66.86
gspE,WP_115717086.1,1,57.99999999999999,66.47
gspF,WP_115717087.1,1,54.0,64.74
gspG,WP_115717088.1,1,56.00000000000001,68.15
NA,WP_115717089.1,1,54.0,60.07
gspI,WP_152032920.1,1,51.0,61.06
gspJ,WP_115717091.1,1,55.00000000000001,69.74
gspK,WP_115717092.1,1,53.0,64.4
gspL,WP_192954770.1,1,57.99999999999999,66.67
NA,WP_115717094.1,1,56.99999999999999,66.67
