gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_201327988.1,1,33.0,26.93
NA,WP_201327989.1,1,37.0,29.1
NA,WP_201327990.1,1,33.0,28.57
NA,WP_201327991.1,1,34.0,27.98
NA,WP_201327992.1,1,28.000000000000004,25.95
NA,WP_201327993.1,1,39.0,30.71
NA,WP_201327994.1,1,42.0,35.19
NA,WP_201327995.1,1,40.0,35.52
NA,WP_201327996.1,1,31.0,24.6
NA,WP_201327997.1,1,37.0,34.85
NA,WP_201327998.1,1,34.0,29.55
NA,WP_201327999.1,1,34.0,27.33
NA,WP_201328000.1,1,34.0,27.76
hrcA,WP_201328001.1,1,31.0,26.81
grpE,WP_201328002.1,1,35.0,30.15
dnaK,WP_201328003.1,1,38.0,30.86
dnaJ,WP_201328004.1,1,38.0,31.25
NA,WP_201328005.1,1,31.0,29.31
NA,WP_236578192.1,1,38.0,31.99
NA,WP_201328007.1,1,35.0,27.67
NA,WP_201328008.1,1,28.999999999999996,28.22
NA,WP_201328009.1,1,30.0,26.15
NA,WP_201328010.1,1,30.0,28.13
NA,WP_201328011.1,1,28.000000000000004,23.12
NA,WP_236578223.1,1,43.0,42.22
NA,WP_201328015.1,1,33.0,28.97
NA,WP_201328016.1,1,33.0,23.15
NA,WP_201328017.1,1,33.0,32.05
NA,WP_201328018.1,1,33.0,33.33
NA,WP_201328019.1,1,31.0,33.01
NA,WP_201328020.1,1,31.0,30.73
aroF,WP_201328021.1,1,38.0,32.82
NA,WP_201328022.1,1,35.0,30.58
NA,WP_201328023.1,1,34.0,33.8
NA,WP_201328024.1,1,28.999999999999996,30.42
NA,WP_201328025.1,1,34.0,31.41
NA,WP_201328026.1,1,28.999999999999996,24.36
NA,WP_201328027.1,1,38.0,36.33
NA,WP_201328028.1,1,39.0,32.52
NA,WP_201328029.1,1,39.0,43.0
NA,WP_201328030.1,1,35.0,30.77
argS,WP_201328031.1,1,35.0,33.21
NA,WP_201328032.1,1,34.0,31.96
NA,WP_201328033.1,1,37.0,34.48
NA,WP_201328034.1,1,35.0,15.7
NA,WP_201328035.1,1,34.0,37.74
mnmA,WP_201328036.1,1,38.0,34.62
NA,WP_201328037.1,1,34.0,31.67
mazG,WP_201328038.1,1,35.0,33.74
lpdA,WP_201328039.1,1,38.0,31.39
NA,WP_201328040.1,1,45.0,41.25
NA,WP_201328041.1,1,28.000000000000004,24.59
NA,WP_201328042.1,1,30.0,26.21
citF,WP_201328043.1,1,43.0,35.21
ychF,WP_201328044.1,1,39.0,38.51
NA,WP_201328045.1,1,36.0,34.15
NA,WP_201328046.1,1,32.0,29.63
NA,WP_201328047.1,1,35.0,29.3
NA,WP_201328048.1,1,33.0,35.26
NA,WP_201328049.1,1,48.0,39.13
NA,WP_201328050.1,1,36.0,34.44
NA,WP_201328051.1,1,36.0,33.9
NA,WP_201328052.1,1,31.0,29.85
