gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_118941110.1,1,57.99999999999999,68.42
dnaN,WP_118941111.1,1,59.0,70.8
recF,WP_118941112.1,1,66.0,78.18
gyrB,WP_118941113.1,1,57.99999999999999,69.1
pncA,WP_118941114.1,1,59.0,68.42
pncB,WP_118941115.1,1,56.99999999999999,69.83
NA,WP_118941116.1,1,60.0,65.08
NA,WP_118941117.1,1,61.0,70.39
arfB,WP_118941118.1,1,63.0,72.52
NA,WP_118941119.1,1,59.0,69.54
NA,WP_118941120.1,1,56.99999999999999,63.51
mepA,WP_118941121.1,1,61.0,70.14
NA,WP_118941122.1,1,56.99999999999999,69.8
NA,WP_118941123.1,1,59.0,70.76
NA,WP_118941124.1,1,54.0,77.91
recQ,WP_118941125.1,1,63.0,75.04
yaaA,WP_118941126.1,1,60.0,73.49
NA,WP_118941127.1,1,56.99999999999999,70.25
NA,WP_118941128.1,1,61.0,70.34
pbpC,WP_118941129.1,1,64.0,72.16
NA,WP_118941130.1,1,62.0,70.16
NA,WP_228408624.1,1,59.0,69.63
hmgA,WP_228408876.1,1,56.99999999999999,69.66
maiA,WP_118941133.1,1,57.99999999999999,65.2
fahA,WP_118941134.1,1,59.0,70.07
NA,WP_118941135.1,1,56.00000000000001,73.18
NA,WP_118941136.1,1,61.0,70.36
NA,WP_118941137.1,1,57.99999999999999,70.21
NA,WP_118941138.1,1,55.00000000000001,64.15
NA,WP_118941139.1,1,62.0,72.41
NA,WP_118941140.1,1,57.99999999999999,62.66
serA,WP_118941141.1,1,56.99999999999999,69.92
NA,WP_118941142.1,1,60.0,70.08
serB,WP_118941143.1,1,62.0,74.73
NA,WP_118941144.1,1,60.0,69.35
NA,WP_118941145.1,1,57.99999999999999,66.27
rlmN,WP_118941146.1,1,57.99999999999999,72.25
NA,WP_162891616.1,1,44.0,41.82
NA,WP_118941147.1,1,59.0,71.76
selD,WP_118941148.1,1,63.0,73.12
mnmH,WP_118941149.1,1,63.0,73.89
dapD,WP_118941150.1,1,63.0,79.32
NA,WP_118941151.1,1,60.0,71.43
NA,WP_118941152.1,1,57.99999999999999,68.97
NA,WP_118941153.1,1,54.0,62.28
dapE,WP_118941154.1,1,62.0,74.53
NA,WP_118941155.1,1,60.0,70.99
NA,WP_118941156.1,1,64.0,70.79
rnr,WP_118941157.1,1,62.0,74.83
NA,WP_118941158.1,1,56.99999999999999,67.86
NA,WP_118941159.1,1,62.0,71.1
NA,WP_228408629.1,1,57.99999999999999,65.81
NA,WP_118941161.1,1,56.99999999999999,70.07
NA,WP_118941162.1,1,55.00000000000001,56.86
NA,WP_118944280.1,1,55.00000000000001,63.58
NA,WP_118941163.1,1,57.99999999999999,66.97
NA,WP_118941164.1,1,61.0,68.48
gpmI,WP_118941165.1,1,60.0,70.94
NA,WP_118941166.1,1,40.0,35.9
rlmH,WP_118941167.1,1,61.0,68.03
rsfS,WP_228408630.1,1,56.00000000000001,71.82
NA,WP_118941169.1,1,64.0,80.39
NA,WP_228408877.1,1,56.00000000000001,73.57
leuC,WP_118941171.1,1,61.0,70.87
leuD,WP_118941172.1,1,50.0,61.98
NA,WP_228408632.1,1,55.00000000000001,63.74
NA,WP_118944282.1,1,60.0,66.17
NA,WP_118941173.1,1,59.0,70.04
NA,WP_118941174.1,1,60.0,68.97
leuB,WP_118941175.1,1,60.0,71.87
NA,WP_118941176.1,1,48.0,54.2
NA,WP_118941177.1,1,51.0,53.82
NA,WP_118941178.1,1,56.00000000000001,61.62
NA,WP_118944283.1,1,57.99999999999999,65.37
NA,WP_118941179.1,1,53.0,56.72
NA,WP_118941180.1,1,51.0,67.2
NA,WP_228408878.1,1,53.0,66.95
NA,WP_118941182.1,1,45.0,47.5
NA,WP_162891617.1,1,49.0,65.06
NA,WP_162891619.1,1,47.0,51.1
NA,WP_118941185.1,1,43.0,45.31
NA,WP_118941186.1,1,59.0,67.69
NA,WP_118941187.1,1,57.99999999999999,69.76
NA,WP_118941188.1,1,54.0,65.66
NA,WP_118941189.1,1,54.0,68.26
NA,WP_118941190.1,1,54.0,59.01
NA,WP_118941191.1,1,51.0,54.65
rsmD,WP_118941192.1,1,66.0,76.27
NA,WP_118941193.1,1,61.0,73.1
NA,WP_118941194.1,1,56.99999999999999,73.02
NA,WP_118941195.1,1,59.0,68.25
NA,WP_118941196.1,1,57.99999999999999,72.46
NA,WP_118941197.1,1,59.0,69.2
NA,WP_228408634.1,1,63.0,72.21
NA,WP_118941198.1,1,63.0,75.55
NA,WP_118941199.1,1,59.0,65.59
secE,WP_118944285.1,1,52.0,63.33
nusG,WP_118941200.1,1,54.0,65.48
rplK,WP_118941201.1,1,56.00000000000001,67.42
rplA,WP_118941202.1,1,56.00000000000001,59.19
rplJ,WP_118944286.1,1,56.99999999999999,60.25
rplL,WP_118941203.1,1,55.00000000000001,50.0
rpoB,WP_118941204.1,1,56.00000000000001,66.98
rpoC,WP_118941205.1,1,56.00000000000001,66.76
NA,WP_118941206.1,1,57.99999999999999,70.92
NA,WP_118941207.1,1,56.00000000000001,63.58
rpsL,WP_118941208.1,1,55.00000000000001,62.28
rpsG,WP_118941209.1,1,56.00000000000001,66.67
fusA,WP_118941210.1,1,55.00000000000001,64.94
tuf,WP_118941211.1,1,57.99999999999999,70.94
rpsJ,WP_118941212.1,1,55.00000000000001,66.67
rplC,WP_118941213.1,1,55.00000000000001,54.94
rplD,WP_118941214.1,1,55.00000000000001,57.36
NA,WP_118941215.1,1,49.0,59.55
rplB,WP_118941216.1,1,57.99999999999999,61.62
rpsS,WP_118941217.1,1,52.0,65.06
rplV,WP_118941218.1,1,52.0,61.54
rpsC,WP_118941219.1,1,56.99999999999999,64.16
rplP,WP_118941220.1,1,56.99999999999999,61.72
rpmC,WP_118941221.1,1,56.99999999999999,55.93
rpsQ,WP_118941222.1,1,48.0,53.73
rplN,WP_118941223.1,1,57.99999999999999,68.14
rplX,WP_118941224.1,1,59.0,69.57
rplE,WP_118941225.1,1,51.0,64.97
rpsN,WP_118941226.1,1,55.00000000000001,63.04
rpsH,WP_118941227.1,1,56.00000000000001,60.33
rplF,WP_118941228.1,1,55.00000000000001,64.88
rplR,WP_118941229.1,1,55.00000000000001,60.0
rpsE,WP_118941230.1,1,56.99999999999999,56.11
rpmD,WP_118941231.1,1,57.99999999999999,69.81
NA,WP_118941232.1,1,53.0,70.25
NA,WP_118941233.1,1,56.99999999999999,68.93
rplO,WP_118941234.1,1,56.00000000000001,61.07
secY,WP_118941235.1,1,54.0,64.93
NA,WP_118941236.1,1,57.99999999999999,68.14
rpsM,WP_118941237.1,1,56.00000000000001,60.18
rpsK,WP_118941238.1,1,56.99999999999999,60.0
NA,WP_118941239.1,1,55.00000000000001,66.26
rplQ,WP_118941240.1,1,56.00000000000001,59.54
NA,WP_118941241.1,1,48.0,54.9
NA,WP_118941242.1,1,52.0,50.52
NA,WP_118941243.1,1,56.00000000000001,69.52
NA,WP_118941244.1,1,62.0,75.7
crcB,WP_118941245.1,1,59.0,67.8
NA,WP_118941246.1,1,60.0,70.83
NA,WP_118941247.1,1,62.0,70.56
NA,WP_118941248.1,1,59.0,70.18
NA,WP_118941249.1,1,56.00000000000001,59.57
NA,WP_118941250.1,1,51.0,61.47
NA,WP_194295013.1,1,51.0,63.15
NA,WP_118941251.1,1,53.0,70.0
NA,WP_118941252.1,1,56.00000000000001,69.46
NA,WP_118941253.1,1,56.99999999999999,67.78
NA,WP_118941254.1,1,56.00000000000001,63.88
NA,WP_118941255.1,1,57.99999999999999,72.02
NA,WP_228408636.1,1,54.0,73.5
NA,WP_118941256.1,1,56.00000000000001,65.47
NA,WP_118941257.1,1,56.99999999999999,64.34
NA,WP_118941258.1,1,55.00000000000001,60.13
NA,WP_118941259.1,1,57.99999999999999,61.84
NA,WP_118941260.1,1,56.00000000000001,71.37
argB,WP_118941261.1,1,61.0,71.38
NA,WP_118941262.1,1,59.0,65.4
yihA,WP_118941263.1,1,57.99999999999999,69.08
NA,WP_118941264.1,1,61.0,72.38
yidC,WP_118941265.1,1,55.00000000000001,67.61
NA,WP_118941266.1,1,57.99999999999999,65.08
ttcA,WP_118941267.1,1,57.99999999999999,68.33
yidD,WP_118941268.1,1,61.0,70.13
rnpA,WP_228408638.1,1,65.0,73.64
rpmH,WP_118941270.1,1,59.0,54.29
NA,WP_118941271.1,1,59.0,74.78
NA,WP_118941272.1,1,61.0,74.22
NA,WP_118941273.1,1,60.0,73.36
NA,WP_118941274.1,1,63.0,81.54
rbbA,WP_228408640.1,1,62.0,75.46
NA,WP_118941275.1,1,64.0,73.05
NA,WP_118941276.1,1,60.0,71.27
NA,WP_118941277.1,1,59.0,70.47
NA,WP_118941278.1,1,50.0,57.41
NA,WP_118941279.1,1,56.99999999999999,62.5
NA,WP_228408642.1,1,60.0,70.26
NA,WP_118941281.1,1,55.00000000000001,58.85
NA,WP_118941282.1,1,59.0,73.95
NA,WP_162891612.1,1,56.00000000000001,66.67
NA,WP_194295014.1,1,57.99999999999999,65.99
NA,WP_118941283.1,1,60.0,70.64
NA,WP_118941284.1,1,61.0,69.93
NA,WP_118941285.1,1,55.00000000000001,59.88
NA,WP_118941286.1,1,59.0,69.93
NA,WP_228408643.1,1,56.00000000000001,61.74
NA,WP_118941288.1,1,60.0,60.71
sseA,WP_118941289.1,1,59.0,70.65
NA,WP_118941290.1,1,61.0,77.4
NA,WP_118941291.1,1,59.0,61.51
NA,WP_118941292.1,1,56.99999999999999,61.19
NA,WP_228408645.1,1,60.0,74.53
NA,WP_118941294.1,1,59.0,78.64
NA,WP_118941295.1,1,61.0,71.33
ade,WP_118941296.1,1,61.0,73.19
NA,WP_118941297.1,1,59.0,72.37
NA,WP_118941298.1,1,56.99999999999999,63.22
NA,WP_118941299.1,1,60.0,77.14
NA,WP_118941300.1,1,59.0,69.69
aroC,WP_118941301.1,1,64.0,77.31
thiB,WP_118941302.1,1,61.0,72.73
NA,WP_118941303.1,1,66.0,81.96
thiQ,WP_118941304.1,1,63.0,72.97
NA,WP_118941305.1,1,56.99999999999999,67.83
petB,WP_118941306.1,1,55.00000000000001,71.6
petA,WP_118941307.1,1,56.00000000000001,59.32
NA,WP_118941308.1,1,63.0,73.58
NA,WP_118941309.1,1,64.0,73.49
NA,WP_118941310.1,1,61.0,73.74
NA,WP_118941311.1,1,59.0,76.98
NA,WP_228408647.1,1,59.0,70.56
NA,WP_118941312.1,1,51.0,69.07
mtaB,WP_118941313.1,1,63.0,78.21
dapF,WP_118944292.1,1,65.0,77.99
NA,WP_228408649.1,1,61.0,73.95
NA,WP_118941315.1,1,59.0,70.46
NA,WP_118941316.1,1,55.00000000000001,72.95
NA,WP_118941317.1,1,55.00000000000001,72.97
NA,WP_118944293.1,1,55.00000000000001,60.42
ugpC,WP_118941318.1,1,54.0,63.48
NA,WP_118941319.1,1,54.0,60.1
NA,WP_118941320.1,1,53.0,65.25
NA,WP_118941321.1,1,62.0,70.71
NA,WP_118941322.1,1,61.0,67.64
NA,WP_118941323.1,1,60.0,72.43
NA,WP_118941324.1,1,61.0,69.02
NA,WP_118941325.1,1,57.99999999999999,61.81
gfa,WP_118941326.1,1,56.99999999999999,61.17
NA,WP_118941327.1,1,51.0,56.11
NA,WP_162891620.1,1,52.0,59.27
NA,WP_118941329.1,1,53.0,63.02
NA,WP_118941330.1,1,56.99999999999999,66.36
NA,WP_228408820.1,1,56.00000000000001,66.32
NA,WP_118941332.1,1,56.99999999999999,69.26
NA,WP_162891621.1,1,59.0,65.19
NA,WP_118941334.1,1,57.99999999999999,66.49
pqqA,WP_118941335.1,1,56.00000000000001,69.23
pqqB,WP_118941336.1,1,61.0,69.34
pqqC,WP_118941337.1,1,61.0,70.17
pqqD,WP_118941338.1,1,61.0,68.6
pqqE,WP_118941339.1,1,61.0,72.95
NA,WP_118941340.1,1,59.0,69.25
fghA,WP_118941341.1,1,60.0,68.68
NA,WP_118944294.1,1,56.99999999999999,67.12
NA,WP_118941342.1,1,56.00000000000001,63.86
NA,WP_228408651.1,1,55.00000000000001,64.55
NA,WP_228408653.1,1,60.0,71.51
NA,WP_118941344.1,1,59.0,70.59
NA,WP_118941345.1,1,56.99999999999999,65.02
NA,WP_118941346.1,1,57.99999999999999,68.42
NA,WP_118941347.1,1,47.0,50.89
NA,WP_228408821.1,1,60.0,67.57
NA,WP_118941348.1,1,55.00000000000001,68.15
NA,WP_118941349.1,1,59.0,69.63
NA,WP_118941350.1,1,61.0,69.2
NA,WP_118941351.1,1,56.00000000000001,69.85
NA,WP_118941352.1,1,54.0,66.13
NA,WP_228408655.1,1,56.99999999999999,62.71
NA,WP_118941353.1,1,57.99999999999999,71.02
NA,WP_228408657.1,1,59.0,62.64
NA,WP_228408659.1,1,61.0,72.39
NA,WP_118941354.1,1,54.0,65.24
NA,WP_118941355.1,1,57.99999999999999,67.02
NA,WP_118941356.1,1,57.99999999999999,67.54
NA,WP_118941357.1,1,59.0,70.37
NA,WP_118941358.1,1,56.00000000000001,76.26
NA,WP_118941359.1,1,55.00000000000001,71.09
NA,WP_118941360.1,1,55.00000000000001,66.27
NA,WP_118941361.1,1,50.0,60.33
NA,WP_118941362.1,1,55.00000000000001,68.39
NA,WP_118941363.1,1,59.0,68.52
NA,WP_118941364.1,1,56.99999999999999,66.55
NA,WP_118941365.1,1,59.0,76.32
nirD,WP_118941366.1,1,62.0,71.57
nirB,WP_118941367.1,1,61.0,74.04
NA,WP_162891622.1,1,61.0,76.29
ureG,WP_118941369.1,1,62.0,73.47
NA,WP_228408660.1,1,66.0,76.06
ureE,WP_118941370.1,1,64.0,78.01
