gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_076195509.1,1,62.0,86.18
dnaN,WP_076195511.1,1,63.0,91.74
gyrB,WP_076195513.1,1,65.0,90.45
NA,WP_239467139.1,1,53.0,55.52
NA,WP_157900011.1,1,67.0,76.59
NA,WP_157900012.1,1,66.0,85.44
NA,WP_076195519.1,1,68.0,89.77
NA,WP_076204103.1,1,69.0,91.71
NA,WP_076195521.1,1,71.0,91.32
NA,WP_076195523.1,1,69.0,93.55
hydA,WP_076195525.1,1,69.0,89.12
NA,WP_076195527.1,1,71.0,87.6
NA,WP_076195529.1,1,68.0,87.83
NA,WP_076195539.1,1,67.0,85.71
NA,WP_076195541.1,1,67.0,84.71
NA,WP_076195543.1,1,67.0,90.74
NA,WP_083686608.1,1,61.0,77.61
NA,WP_076195547.1,1,68.0,90.2
NA,WP_076195549.1,1,68.0,83.39
NA,WP_076204106.1,1,70.0,86.84
queE,WP_076195551.1,1,68.0,87.62
NA,WP_076195553.1,1,68.0,88.8
NA,WP_076195555.1,1,63.0,74.07
NA,WP_076195557.1,1,72.0,83.87
NA,WP_076195558.1,1,66.0,86.84
NA,WP_239467140.1,1,69.0,90.14
NA,WP_076195560.1,1,73.0,92.39
NA,WP_076195562.1,1,70.0,91.14
NA,WP_076195564.1,1,70.0,87.18
NA,WP_076195566.1,1,66.0,84.56
NA,WP_076195568.1,1,69.0,85.94
NA,WP_076195570.1,1,69.0,92.19
NA,WP_076195572.1,1,68.0,86.47
NA,WP_076195574.1,1,68.0,89.48
NA,WP_076195576.1,1,71.0,85.56
NA,WP_076195578.1,1,70.0,81.75
NA,WP_157900013.1,1,68.0,89.91
NA,WP_076204114.1,1,68.0,92.25
NA,WP_076195580.1,1,69.0,91.35
NA,WP_076195582.1,1,69.0,88.32
NA,WP_076195584.1,1,71.0,86.96
NA,WP_076195586.1,1,70.0,88.36
NA,WP_157900014.1,1,68.0,88.64
NA,WP_076204118.1,1,70.0,91.22
NA,WP_076195588.1,1,64.0,81.22
NA,WP_076195590.1,1,63.0,84.49
NA,WP_076195592.1,1,64.0,89.78
NA,WP_076195594.1,1,70.0,90.95
NA,WP_076195607.1,1,70.0,87.06
NA,WP_076195609.1,1,72.0,91.48
NA,WP_076195610.1,1,65.0,90.45
NA,WP_076195612.1,1,69.0,86.49
NA,WP_076195614.1,1,70.0,79.67
NA,WP_076195615.1,1,70.0,80.26
NA,WP_076195617.1,1,70.0,85.2
NA,WP_076195619.1,1,64.0,84.83
NA,WP_076195621.1,1,61.0,69.9
tssI,WP_076195623.1,1,66.0,84.6
NA,WP_076195625.1,1,70.0,86.61
NA,WP_076195627.1,1,71.0,86.97
NA,WP_076195630.1,1,65.0,90.46
NA,WP_076195632.1,1,62.0,88.93
NA,WP_076195634.1,1,64.0,92.31
NA,WP_076204121.1,1,69.0,90.34
NA,WP_076195636.1,1,72.0,87.72
NA,WP_076195638.1,1,70.0,89.54
NA,WP_076204123.1,1,68.0,91.18
NA,WP_076195640.1,1,67.0,95.5
NA,WP_076195642.1,1,68.0,94.59
NA,WP_076195644.1,1,70.0,93.04
NA,WP_076195646.1,1,71.0,90.12
NA,WP_076195648.1,1,70.0,88.72
NA,WP_239467141.1,1,66.0,86.39
NA,WP_157900016.1,1,72.0,89.57
NA,WP_076195652.1,1,75.0,88.43
NA,WP_076204128.1,1,71.0,90.13
NA,WP_076195654.1,1,68.0,93.73
NA,WP_076195656.1,1,61.0,93.58
NA,WP_076195658.1,1,62.0,91.89
NA,WP_076195660.1,1,67.0,87.99
NA,WP_076195662.1,1,65.0,83.52
NA,WP_076195664.1,1,67.0,77.29
NA,WP_076195666.1,1,65.0,86.03
cueR,WP_076204131.1,1,65.0,80.6
NA,WP_076195668.1,1,67.0,77.19
NA,WP_076195670.1,1,71.0,88.15
NA,WP_157900017.1,1,54.0,44.95
NA,WP_076204133.1,1,53.0,46.15
NA,WP_239467323.1,1,57.99999999999999,66.41
NA,WP_157900018.1,1,51.0,51.81
NA,WP_076195676.1,1,52.0,59.87
NA,WP_076195678.1,1,54.0,58.04
NA,WP_076195680.1,1,69.0,89.11
NA,WP_076204147.1,1,72.0,90.03
gstA,WP_076195682.1,1,66.0,90.16
NA,WP_076195684.1,1,66.0,78.85
NA,WP_239467142.1,1,64.0,85.86
NA,WP_076195686.1,1,70.0,79.55
mnmG,WP_076195688.1,1,65.0,86.02
rsmG,WP_076195690.1,1,64.0,81.25
