gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_215907535.1,1,57.99999999999999,63.11
dnaN,WP_101267606.1,1,55.00000000000001,60.33
recF,WP_101282894.1,1,62.0,65.69
gyrB,WP_101282896.1,1,55.00000000000001,61.36
NA,WP_101282898.1,1,56.99999999999999,60.92
NA,WP_157831774.1,1,56.00000000000001,59.15
NA,WP_101282902.1,1,55.00000000000001,61.56
NA,WP_215907536.1,1,53.0,59.81
NA,WP_101267590.1,1,55.00000000000001,62.0
NA,WP_101267588.1,1,54.0,70.25
NA,WP_101267584.1,1,51.0,55.67
NA,WP_101282904.1,1,55.00000000000001,60.91
NA,WP_101282906.1,1,55.00000000000001,60.08
NA,WP_101282908.1,1,59.0,64.4
NA,WP_245881209.1,1,59.0,63.57
NA,WP_215907537.1,1,56.00000000000001,58.14
NA,WP_101282912.1,1,56.99999999999999,58.05
NA,WP_101282914.1,1,56.00000000000001,61.57
NA,WP_245881210.1,1,56.99999999999999,64.04
argE,WP_101282918.1,1,56.00000000000001,65.45
NA,WP_101267567.1,1,56.99999999999999,67.15
NA,WP_101267565.1,1,54.0,66.67
NA,WP_101267686.1,1,59.0,62.19
NA,WP_101267563.1,1,56.99999999999999,67.47
NA,WP_245881211.1,1,56.99999999999999,64.68
NA,WP_101267558.1,1,60.0,66.81
NA,WP_101267555.1,1,54.0,62.97
truA,WP_101282922.1,1,55.00000000000001,59.92
NA,WP_101282924.1,1,56.00000000000001,61.65
NA,WP_101282926.1,1,55.00000000000001,62.18
NA,WP_101282928.1,1,60.0,66.67
NA,WP_101267544.1,1,57.99999999999999,65.52
NA,WP_101282930.1,1,55.00000000000001,67.24
NA,WP_101282932.1,1,54.0,58.33
arsC,WP_101286028.1,1,55.00000000000001,56.86
NA,WP_101282934.1,1,56.99999999999999,59.4
NA,WP_165791855.1,1,52.0,61.96
NA,WP_101267531.1,1,55.00000000000001,57.45
argF,WP_101267529.1,1,56.99999999999999,62.84
NA,WP_101282936.1,1,56.00000000000001,59.11
NA,WP_101267524.1,1,54.0,58.2
NA,WP_101282938.1,1,57.99999999999999,56.96
NA,WP_101282940.1,1,56.00000000000001,62.26
NA,WP_245881212.1,1,56.00000000000001,58.25
NA,WP_101282942.1,1,61.0,62.12
NA,WP_101282944.1,1,56.00000000000001,64.73
NA,WP_101282946.1,1,54.0,64.89
NA,WP_101282948.1,1,56.99999999999999,63.82
acs,WP_101282950.1,1,56.00000000000001,63.95
NA,WP_101282952.1,1,51.0,52.36
rmuC,WP_101267506.1,1,54.0,57.76
def,WP_101282954.1,1,51.0,61.35
NA,WP_101282956.1,1,56.00000000000001,59.62
fmt,WP_101282958.1,1,57.99999999999999,62.62
NA,WP_101282960.1,1,55.00000000000001,55.7
NA,WP_245881213.1,1,56.00000000000001,60.0
NA,WP_101267497.1,1,60.0,65.38
NA,WP_101282962.1,1,56.00000000000001,61.43
NA,WP_101282964.1,1,59.0,62.7
NA,WP_101282966.1,1,56.00000000000001,63.69
NA,WP_101267490.1,1,54.0,59.03
NA,WP_101267488.1,1,55.00000000000001,62.03
NA,WP_101267486.1,1,57.99999999999999,62.11
NA,WP_101282968.1,1,54.0,52.52
rapZ,WP_245881214.1,1,56.00000000000001,61.34
NA,WP_101282972.1,1,56.00000000000001,58.4
NA,WP_101267480.1,1,54.0,58.54
ptsP,WP_245881215.1,1,57.99999999999999,64.35
NA,WP_245881216.1,1,53.0,53.19
NA,WP_101282974.1,1,55.00000000000001,65.91
NA,WP_101282976.1,1,54.0,64.97
NA,WP_101267473.1,1,55.00000000000001,58.18
ahcY,WP_101267670.1,1,55.00000000000001,63.74
NA,WP_245881217.1,1,56.00000000000001,61.48
NA,WP_101282978.1,1,53.0,58.33
NA,WP_215907538.1,1,54.0,63.1
NA,WP_101282982.1,1,56.00000000000001,62.37
NA,WP_101286032.1,1,53.0,57.14
NA,WP_101282984.1,1,54.0,57.89
NA,WP_101282986.1,1,57.99999999999999,63.52
NA,WP_101282988.1,1,56.00000000000001,58.66
NA,WP_101282990.1,1,57.99999999999999,57.46
NA,WP_157831775.1,1,54.0,59.84
NA,WP_101267455.1,1,54.0,62.7
NA,WP_101267454.1,1,54.0,64.49
NA,WP_101267451.1,1,55.00000000000001,63.05
NA,WP_101282996.1,1,56.99999999999999,60.34
NA,WP_101282998.1,1,59.0,62.38
NA,WP_101283000.1,1,55.00000000000001,67.03
NA,WP_101283002.1,1,56.00000000000001,63.33
NA,WP_101267441.1,1,53.0,66.01
NA,WP_101283004.1,1,57.99999999999999,66.45
NA,WP_101267437.1,1,56.00000000000001,56.65
recR,WP_101283006.1,1,57.99999999999999,62.9
NA,WP_101267432.1,1,52.0,64.29
NA,WP_101283008.1,1,57.99999999999999,63.93
NA,WP_101283010.1,1,56.00000000000001,53.93
NA,WP_101283012.1,1,53.0,48.15
nudC,WP_101267423.1,1,57.99999999999999,61.2
NA,WP_157831776.1,1,44.0,42.24
NA,WP_101283016.1,1,46.0,47.06
NA,WP_157831777.1,1,52.0,49.11
NA,WP_157831778.1,1,56.00000000000001,51.3
NA,WP_157831779.1,1,54.0,55.91
NA,WP_101283022.1,1,55.00000000000001,57.72
NA,WP_101283024.1,1,57.99999999999999,63.6
NA,WP_101286033.1,1,55.00000000000001,61.86
NA,WP_101283026.1,1,55.00000000000001,61.16
dapE,WP_101283028.1,1,56.00000000000001,60.65
dapD,WP_101267399.1,1,55.00000000000001,58.46
NA,WP_101283030.1,1,53.0,62.39
NA,WP_157831780.1,1,46.0,46.15
NA,WP_101283032.1,1,56.00000000000001,64.32
NA,WP_165791851.1,1,54.0,58.94
fliD,WP_101283036.1,1,52.0,57.69
NA,WP_157831781.1,1,57.99999999999999,66.24
NA,WP_101267388.1,1,54.0,58.06
NA,WP_101283040.1,1,57.99999999999999,55.88
NA,WP_101283042.1,1,56.99999999999999,63.29
NA,WP_101283044.1,1,56.00000000000001,65.94
flgE,WP_101267380.1,1,54.0,62.8
NA,WP_101283046.1,1,55.00000000000001,60.26
flgK,WP_101283048.1,1,54.0,60.99
NA,WP_101283050.1,1,53.0,59.18
NA,WP_101267372.1,1,56.00000000000001,63.04
NA,WP_101267371.1,1,55.00000000000001,62.97
NA,WP_101283052.1,1,56.00000000000001,58.96
NA,WP_101283054.1,1,54.0,59.25
NA,WP_101283056.1,1,53.0,59.52
NA,WP_101267364.1,1,50.0,53.06
NA,WP_101283058.1,1,59.0,67.86
NA,WP_101267284.1,1,56.00000000000001,60.91
NA,WP_101283060.1,1,56.99999999999999,61.1
NA,WP_101286034.1,1,55.00000000000001,66.04
NA,WP_101267281.1,1,56.99999999999999,62.93
ubiE,WP_101286035.1,1,52.0,59.68
ubiB,WP_101283062.1,1,56.00000000000001,61.07
NA,WP_101286036.1,1,56.00000000000001,59.56
NA,WP_101267278.1,1,56.00000000000001,63.54
NA,WP_101286037.1,1,59.0,62.21
NA,WP_101267276.1,1,53.0,43.55
NA,WP_101283064.1,1,50.0,51.35
NA,WP_157831783.1,1,50.0,49.0
gpt,WP_101267270.1,1,56.00000000000001,61.33
NA,WP_245881218.1,1,55.00000000000001,57.36
NA,WP_101283068.1,1,57.99999999999999,62.55
NA,WP_245881219.1,1,56.00000000000001,66.39
NA,WP_101267265.1,1,59.0,73.47
NA,WP_101283070.1,1,55.00000000000001,62.15
NA,WP_101267261.1,1,53.0,63.54
purU,WP_101267259.1,1,54.0,63.44
NA,WP_101267258.1,1,55.00000000000001,68.08
NA,WP_101283074.1,1,57.99999999999999,64.75
NA,WP_101283076.1,1,59.0,63.3
NA,WP_101283078.1,1,55.00000000000001,61.33
metZ,WP_101283080.1,1,56.00000000000001,62.15
apaG,WP_101267248.1,1,53.0,54.55
folE,WP_101267246.1,1,56.99999999999999,64.71
NA,WP_215907539.1,1,56.99999999999999,59.06
NA,WP_101267243.1,1,59.0,60.65
NA,WP_101283084.1,1,60.0,59.91
fetB,WP_101283086.1,1,61.0,68.99
NA,WP_101283088.1,1,59.0,60.39
NA,WP_215907540.1,1,56.99999999999999,60.66
NA,WP_101267236.1,1,56.99999999999999,66.89
NA,WP_245881220.1,1,55.00000000000001,58.87
NA,WP_101271403.1,1,53.0,56.42
NA,WP_101283090.1,1,55.00000000000001,61.64
NA,WP_101283092.1,1,56.99999999999999,62.34
NA,WP_101271397.1,1,56.00000000000001,60.66
NA,WP_101283094.1,1,51.0,49.07
phaR,WP_101271392.1,1,53.0,66.17
NA,WP_101283097.1,1,62.0,58.23
NA,WP_245881221.1,1,56.00000000000001,58.68
NA,WP_101283098.1,1,56.00000000000001,61.03
NA,WP_101283100.1,1,56.00000000000001,58.33
NA,WP_101283102.1,1,56.99999999999999,66.25
NA,WP_245881222.1,1,53.0,57.05
NA,WP_101271381.1,1,59.0,62.99
phbB,WP_101271379.1,1,55.00000000000001,62.34
NA,WP_215907541.1,1,54.0,62.63
NA,WP_101283104.1,1,57.99999999999999,63.8
NA,WP_101283106.1,1,57.99999999999999,56.5
NA,WP_101283108.1,1,56.00000000000001,61.11
NA,WP_101283110.1,1,54.0,60.2
NA,WP_101283112.1,1,56.00000000000001,63.01
NA,WP_101271367.1,1,52.0,53.91
NA,WP_157831784.1,1,54.0,57.4
pelG,WP_101271363.1,1,53.0,68.15
pelF,WP_101283116.1,1,53.0,61.45
NA,WP_101271359.1,1,56.00000000000001,65.19
NA,WP_101283118.1,1,56.00000000000001,65.58
NA,WP_157831785.1,1,57.99999999999999,66.49
NA,WP_101283122.1,1,56.00000000000001,62.4
NA,WP_157831786.1,1,56.99999999999999,61.3
NA,WP_157831787.1,1,54.0,60.52
fdhD,WP_245881223.1,1,56.99999999999999,63.2
NA,WP_101271345.1,1,56.99999999999999,60.0
fdhF,WP_101283132.1,1,56.00000000000001,63.58
NA,WP_101283134.1,1,56.99999999999999,62.28
NA,WP_101271337.1,1,60.0,66.0
NA,WP_101283136.1,1,57.99999999999999,65.4
NA,WP_101271333.1,1,56.00000000000001,65.79
NA,WP_101283138.1,1,55.00000000000001,57.02
NA,WP_101283140.1,1,55.00000000000001,63.17
NA,WP_245881224.1,1,56.99999999999999,61.58
NA,WP_101283142.1,1,51.0,63.4
NA,WP_101283144.1,1,55.00000000000001,62.21
NA,WP_101283146.1,1,56.99999999999999,59.75
NA,WP_101283148.1,1,56.99999999999999,60.06
NA,WP_101283150.1,1,57.99999999999999,61.76
NA,WP_101283152.1,1,51.0,45.89
NA,WP_157831788.1,1,55.00000000000001,52.29
NA,WP_101283156.1,1,54.0,57.5
NA,WP_101283158.1,1,52.0,53.25
NA,WP_101283160.1,1,53.0,47.0
NA,WP_101286043.1,1,51.0,49.17
NA,WP_172963381.1,1,48.0,46.9
NA,WP_215907542.1,1,51.0,52.68
NA,WP_101283164.1,1,50.0,53.3
secD,WP_101283166.1,1,51.0,51.37
NA,WP_157831790.1,1,53.0,47.01
NA,WP_157831791.1,1,54.0,64.29
metE,WP_215907576.1,1,50.0,48.24
NA,WP_101283170.1,1,50.0,44.8
NA,WP_101283172.1,1,51.0,54.74
NA,WP_101283174.1,1,53.0,57.23
NA,WP_215907543.1,1,51.0,41.2
NA,WP_157831792.1,1,49.0,49.14
NA,WP_157831793.1,1,52.0,46.68
NA,WP_101283180.1,1,49.0,46.03
NA,WP_101283182.1,1,51.0,55.41
NA,WP_101283184.1,1,50.0,51.06
NA,WP_101283186.1,1,53.0,58.41
NA,WP_215907544.1,1,52.0,59.12
NA,WP_101283188.1,1,50.0,53.22
NA,WP_101283190.1,1,56.00000000000001,60.84
NA,WP_101283192.1,1,56.99999999999999,57.78
NA,WP_101283198.1,1,54.0,58.94
NA,WP_101283200.1,1,47.0,42.54
NA,WP_101283202.1,1,55.00000000000001,62.65
NA,WP_101283204.1,1,54.0,61.82
NA,WP_101283206.1,1,45.0,47.22
NA,WP_101283208.1,1,55.00000000000001,56.1
NA,WP_101283210.1,1,56.99999999999999,63.33
NA,WP_101283212.1,1,59.0,57.33
NA,WP_101283214.1,1,56.99999999999999,70.18
NA,WP_101283216.1,1,59.0,71.47
NA,WP_101283218.1,1,56.00000000000001,63.77
NA,WP_245881226.1,1,61.0,63.54
NA,WP_101283220.1,1,57.99999999999999,64.58
NA,WP_101283222.1,1,59.0,70.34
NA,WP_101283224.1,1,54.0,58.82
NA,WP_101283225.1,1,59.0,72.97
NA,WP_157831795.1,1,56.00000000000001,67.04
NA,WP_157831796.1,1,49.0,46.99
NA,WP_101283231.1,1,56.99999999999999,67.14
NA,WP_157831797.1,1,59.0,66.22
NA,WP_101283235.1,1,56.00000000000001,67.9
NA,WP_101283237.1,1,56.99999999999999,79.12
NA,WP_101283239.1,1,56.99999999999999,61.46
NA,WP_101283241.1,1,57.99999999999999,73.72
NA,WP_101283243.1,1,53.0,58.82
NA,WP_101283245.1,1,54.0,61.02
NA,WP_245881227.1,1,54.0,57.98
NA,WP_101283249.1,1,56.00000000000001,62.76
NA,WP_245881228.1,1,56.99999999999999,62.25
map,WP_101286049.1,1,57.99999999999999,62.24
