gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_007329084.1,1,53.0,60.0
NA,WP_011117687.1,1,53.0,65.47
NA,WP_011117689.1,1,56.99999999999999,62.81
NA,WP_011117691.1,1,57.99999999999999,65.48
NA,WP_011117693.1,1,60.0,60.65
NA,WP_011117695.1,1,60.0,65.71
NA,WP_231846057.1,1,55.00000000000001,59.54
NA,WP_231846058.1,1,56.99999999999999,65.97
NA,WP_164921259.1,1,56.00000000000001,63.4
NA,WP_164921260.1,1,57.99999999999999,76.36
NA,WP_164921261.1,1,54.0,60.19
NA,WP_011117702.1,1,51.0,51.39
NA,WP_231846059.1,1,52.0,54.88
NA,WP_231846060.1,1,51.0,61.19
NA,WP_231846061.1,1,55.00000000000001,64.06
NA,WP_011117710.1,1,56.99999999999999,65.93
NA,WP_011117712.1,1,56.00000000000001,61.65
NA,WP_231846062.1,1,52.0,58.47
NA,WP_011117714.1,1,56.00000000000001,61.32
NA,WP_231846063.1,1,56.99999999999999,66.2
NA,WP_164921263.1,1,48.0,55.0
NA,WP_231846526.1,1,53.0,57.3
NA,WP_164921264.1,1,57.99999999999999,69.35
NA,WP_164921265.1,1,59.0,70.92
NA,WP_011117724.1,1,50.0,70.79
NA,WP_164921266.1,1,54.0,61.64
NA,WP_231846064.1,1,52.0,54.55
NA,WP_231846065.1,1,53.0,52.33
NA,WP_231846066.1,1,56.00000000000001,58.15
NA,WP_011117731.1,1,52.0,59.85
NA,WP_011117732.1,1,56.99999999999999,65.16
NA,WP_011117733.1,1,54.0,66.81
NA,WP_165447229.1,1,53.0,54.46
NA,WP_231846527.1,1,54.0,60.69
NA,WP_231846067.1,1,54.0,61.33
NA,WP_164921270.1,1,50.0,61.06
NA,WP_144043657.1,1,55.00000000000001,69.66
NA,WP_011117740.1,1,53.0,60.77
NA,WP_231846068.1,1,54.0,57.77
NA,WP_011117743.1,1,56.99999999999999,60.89
NA,WP_011117744.1,1,56.00000000000001,64.75
NA,WP_011117745.1,1,55.00000000000001,66.08
NA,WP_011117746.1,1,56.00000000000001,60.2
NA,WP_011117747.1,1,56.99999999999999,61.67
NA,WP_231846069.1,1,55.00000000000001,57.52
NA,WP_011117749.1,1,53.0,55.08
NA,WP_231846070.1,1,54.0,66.58
NA,WP_164921272.1,1,55.00000000000001,62.69
NA,WP_011117752.1,1,56.00000000000001,64.52
NA,WP_011117753.1,1,59.0,62.18
NA,WP_011117755.1,1,56.99999999999999,64.85
NA,WP_011117757.1,1,56.00000000000001,61.31
NA,WP_011117759.1,1,59.0,66.07
NA,WP_007325064.1,1,56.00000000000001,60.98
NA,WP_011117760.1,1,57.99999999999999,63.09
