gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_114840530.1,1,26.0,12.35
dnaN,WP_114840531.1,1,22.0,8.07
gyrB,WP_114840532.1,1,28.999999999999996,7.87
NA,WP_228197870.1,1,21.0,9.82
NA,WP_114840533.1,1,23.0,12.73
NA,WP_114840534.1,1,20.0,13.92
NA,WP_114840535.1,1,21.0,8.0
NA,WP_114840536.1,1,21.0,12.36
NA,WP_114840537.1,1,25.0,9.4
NA,WP_114840538.1,1,24.0,7.37
NA,WP_114840539.1,1,26.0,10.0
NA,WP_114840540.1,1,28.000000000000004,12.24
queF,WP_162919515.1,1,25.0,12.07
NA,WP_114840542.1,1,21.0,7.37
NA,WP_114840543.1,1,26.0,11.35
NA,WP_114840544.1,1,28.000000000000004,8.33
NA,WP_114840545.1,1,21.0,10.25
NA,WP_114840546.1,1,24.0,9.78
NA,WP_228197871.1,1,27.0,12.5
NA,WP_114840547.1,1,22.0,11.54
NA,WP_114840548.1,1,22.0,12.46
NA,WP_114840549.1,1,28.000000000000004,12.8
purB,WP_114840550.1,1,32.0,13.36
NA,WP_114840551.1,1,30.0,12.99
NA,WP_114840552.1,1,31.0,17.91
NA,WP_114840553.1,1,25.0,10.62
NA,WP_114840554.1,1,26.0,16.22
NA,WP_114840555.1,1,31.0,12.15
NA,WP_114840556.1,1,26.0,15.32
NA,WP_114840557.1,1,28.999999999999996,13.22
NA,WP_114840558.1,1,31.0,21.43
NA,WP_114840559.1,1,26.0,15.52
NA,WP_114840560.1,1,28.000000000000004,10.07
NA,WP_114840561.1,1,27.0,10.5
NA,WP_228197913.1,1,27.0,14.38
NA,WP_114840563.1,1,21.0,11.43
NA,WP_114840564.1,1,25.0,13.49
NA,WP_114840565.1,1,23.0,11.66
NA,WP_114840566.1,1,30.0,15.69
NA,WP_114840567.1,1,33.0,12.41
ccoG,WP_114840568.1,1,25.0,11.39
NA,WP_114840569.1,1,31.0,11.22
trxA,WP_114840570.1,1,32.0,11.34
NA,WP_114840571.1,1,31.0,13.51
NA,WP_114840572.1,1,28.000000000000004,10.16
NA,WP_114840573.1,1,27.0,14.56
gltX,WP_114840574.1,1,28.000000000000004,11.23
rlmN,WP_114840575.1,1,27.0,11.85
NA,WP_114840576.1,1,25.0,12.43
NA,WP_114840577.1,1,23.0,8.18
hisF,WP_114840578.1,1,33.0,11.07
rsmA,WP_114843117.1,1,30.0,22.05
NA,WP_114840579.1,1,30.0,12.35
NA,WP_114840580.1,1,30.0,12.22
NA,WP_114840581.1,1,26.0,8.66
NA,WP_114840582.1,1,28.999999999999996,14.51
hemJ,WP_114840583.1,1,25.0,16.05
NA,WP_114840584.1,1,26.0,11.52
NA,WP_114840585.1,1,25.0,9.7
NA,WP_191287674.1,1,25.0,15.71
NA,WP_114840586.1,1,28.000000000000004,11.26
NA,WP_114840587.1,1,27.0,11.39
NA,WP_114840588.1,1,31.0,13.29
bluB,WP_114840589.1,1,28.000000000000004,19.7
NA,WP_114840590.1,1,27.0,10.99
asnB,WP_114840591.1,1,25.0,14.75
