gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_130892487.1,1,45.0,58.82
NA,WP_008626149.1,1,48.0,48.94
NA,WP_130892488.1,1,49.0,56.15
NA,WP_008626147.1,1,46.0,59.23
NA,WP_040602666.1,1,55.00000000000001,53.12
NA,WP_130892489.1,1,38.0,32.16
NA,WP_130892490.1,1,52.0,56.15
NA,WP_130892491.1,1,52.0,55.59
NA,WP_130892492.1,1,45.0,54.55
NA,WP_130892493.1,1,57.99999999999999,78.26
NA,WP_130892494.1,1,40.0,44.07
NA,WP_130892495.1,1,42.0,46.3
NA,WP_262708079.1,1,62.0,74.29
NA,WP_040602650.1,1,57.99999999999999,74.64
NA,WP_130892496.1,1,41.0,40.41
NA,WP_130892497.1,1,56.99999999999999,68.25
NA,WP_008626136.1,1,56.99999999999999,75.58
NA,WP_130892498.1,1,51.0,73.61
NA,WP_262708080.1,1,54.0,58.82
NA,WP_130892499.1,1,56.99999999999999,73.96
NA,WP_130892500.1,1,57.99999999999999,77.73
NA,WP_130892501.1,1,50.0,62.59
NA,WP_130892502.1,1,47.0,53.3
NA,WP_130892503.1,1,41.0,40.91
NA,WP_130892504.1,1,43.0,44.64
NA,WP_130892505.1,1,42.0,38.26
NA,WP_172604611.1,1,37.0,36.36
NA,WP_130892506.1,1,39.0,36.75
NA,WP_130892507.1,1,39.0,30.18
NA,WP_232038509.1,1,34.0,28.46
NA,WP_130892509.1,1,45.0,43.69
NA,WP_130892510.1,1,41.0,48.0
NA,WP_172604612.1,1,44.0,48.75
NA,WP_130892511.1,1,43.0,38.1
NA,WP_130892512.1,1,44.0,42.93
NA,WP_130892513.1,1,45.0,53.63
NA,WP_232038270.1,1,44.0,49.16
NA,WP_130892514.1,1,47.0,48.45
NA,WP_130892515.1,1,43.0,41.35
NA,WP_130892516.1,1,40.0,50.23
NA,WP_130892517.1,1,40.0,39.09
NA,WP_130892518.1,1,42.0,51.49
NA,WP_130892519.1,1,42.0,40.23
NA,WP_130892520.1,1,41.0,41.89
NA,WP_130892521.1,1,37.0,31.43
NA,WP_130892522.1,1,32.0,32.72
NA,WP_130892523.1,1,42.0,46.15
NA,WP_130892524.1,1,39.0,45.38
folD,WP_130892525.1,1,55.00000000000001,66.78
NA,WP_130892526.1,1,51.0,60.28
ffh,WP_130892527.1,1,54.0,70.81
tpx,WP_008626070.1,1,51.0,58.33
NA,WP_130892528.1,1,51.0,57.14
NA,WP_130892529.1,1,50.0,57.75
NA,WP_008626066.1,1,50.0,65.6
queC,WP_172604737.1,1,52.0,63.64
queF,WP_008626052.1,1,47.0,57.53
NA,WP_130892530.1,1,52.0,61.18
NA,WP_008626049.1,1,45.0,55.67
NA,WP_130892531.1,1,48.0,51.16
NA,WP_008626046.1,1,43.0,50.81
NA,WP_130892532.1,1,50.0,63.64
NA,WP_130892533.1,1,54.0,70.28
NA,WP_130892534.1,1,56.99999999999999,64.77
NA,WP_172604738.1,1,57.99999999999999,69.04
dinD,WP_008619513.1,1,47.0,42.91
NA,WP_130892536.1,1,59.0,67.32
NA,WP_172604613.1,1,55.00000000000001,74.79
mfd,WP_130892538.1,1,55.00000000000001,70.37
NA,WP_232038271.1,1,44.0,55.56
NA,WP_130892539.1,1,36.0,23.14
NA,WP_232038272.1,1,52.0,55.57
NA,WP_130892541.1,1,54.0,57.39
NA,WP_008626011.1,1,45.0,57.78
NA,WP_008626010.1,1,53.0,63.48
hydE,WP_130892542.1,1,55.00000000000001,57.64
hydG,WP_130894288.1,1,56.00000000000001,68.9
hydF,WP_130892543.1,1,56.00000000000001,62.82
NA,WP_145988332.1,1,38.0,37.5
xpt,WP_040602656.1,1,49.0,62.78
NA,WP_130892545.1,1,56.00000000000001,69.64
NA,WP_232038273.1,1,45.0,39.69
NA,WP_172604614.1,1,42.0,42.55
NA,WP_130892547.1,1,51.0,57.59
NA,WP_130892548.1,1,49.0,53.1
NA,WP_008625982.1,1,46.0,43.75
NA,WP_130892549.1,1,52.0,58.56
NA,WP_232038274.1,1,51.0,59.01
NA,WP_130892551.1,1,54.0,66.41
NA,WP_130892552.1,1,53.0,68.11
NA,WP_008625957.1,1,55.00000000000001,68.0
NA,WP_172604615.1,1,51.0,59.57
NA,WP_040602653.1,1,56.00000000000001,70.47
mce,WP_008625944.1,1,51.0,53.6
NA,WP_130894289.1,1,50.0,65.41
NA,WP_172604616.1,1,55.00000000000001,63.16
NA,WP_130892553.1,1,54.0,57.36
NA,WP_130892554.1,1,54.0,60.74
NA,WP_172604739.1,1,51.0,59.24
NA,WP_008625930.1,1,47.0,44.44
NA,WP_130892556.1,1,53.0,58.5
NA,WP_130892557.1,1,54.0,59.55
NA,WP_130892558.1,1,51.0,62.82
NA,WP_130892559.1,1,45.0,45.76
NA,WP_130892560.1,1,47.0,54.31
NA,WP_130892561.1,1,50.0,62.27
NA,WP_130892562.1,1,43.0,46.39
NA,WP_130892563.1,1,39.0,32.39
NA,WP_172604617.1,1,44.0,45.85
NA,WP_172604618.1,1,49.0,53.6
NA,WP_130892566.1,1,56.00000000000001,73.26
NA,WP_130892567.1,1,55.00000000000001,65.11
NA,WP_130892568.1,1,54.0,64.2
NA,WP_130892569.1,1,53.0,62.02
NA,WP_130892570.1,1,54.0,62.94
NA,WP_130892571.1,1,50.0,59.45
NA,WP_232038275.1,1,54.0,61.02
NA,WP_232038276.1,1,49.0,59.95
NA,WP_232038277.1,1,51.0,61.43
NA,WP_232038278.1,1,52.0,62.07
NA,WP_232038279.1,1,48.0,49.51
NA,WP_130892574.1,1,47.0,55.07
NA,WP_008624679.1,1,47.0,53.06
NA,WP_130892575.1,1,44.0,49.53
NA,WP_008624681.1,1,45.0,48.45
NA,WP_130892576.1,1,44.0,46.45
NA,WP_130892577.1,1,46.0,50.52
NA,WP_130892578.1,1,47.0,52.17
NA,WP_130892579.1,1,49.0,56.36
NA,WP_130892580.1,1,56.99999999999999,68.91
NA,WP_130892581.1,1,55.00000000000001,61.25
udk,WP_008624704.1,1,49.0,57.64
cydB,WP_130892582.1,1,47.0,56.68
NA,WP_130892583.1,1,50.0,57.46
NA,WP_008619362.1,1,44.0,56.25
NA,WP_008624724.1,1,51.0,60.22
NA,WP_232038280.1,1,41.0,41.9
NA,WP_008624728.1,1,40.0,32.97
NA,WP_172604619.1,1,42.0,34.28
hisG,WP_008624734.1,1,54.0,70.44
hisD,WP_172604620.1,1,57.99999999999999,68.48
hisC,WP_172604740.1,1,54.0,70.97
hisB,WP_172604621.1,1,56.99999999999999,74.58
NA,WP_130892589.1,1,54.0,62.66
NA,WP_118146495.1,1,50.0,56.28
NA,WP_130892590.1,1,44.0,55.0
NA,WP_008624754.1,1,52.0,56.57
NA,WP_008619330.1,1,49.0,51.34
NA,WP_130892591.1,1,51.0,52.89
NA,WP_130892592.1,1,52.0,66.93
NA,WP_130892593.1,1,36.0,37.01
NA,WP_130892594.1,1,50.0,60.5
NA,WP_130892595.1,1,45.0,46.52
NA,WP_130892596.1,1,36.0,34.29
NA,WP_130892597.1,1,41.0,46.07
NA,WP_130892598.1,1,39.0,45.89
NA,WP_130892599.1,1,35.0,39.83
NA,WP_130892600.1,1,47.0,56.91
NA,WP_130892601.1,1,52.0,65.12
NA,WP_130892602.1,1,47.0,62.21
NA,WP_130892603.1,1,52.0,61.34
NA,WP_130892604.1,1,53.0,62.68
NA,WP_130892605.1,1,51.0,64.34
NA,WP_130892606.1,1,49.0,58.64
smpB,WP_008630252.1,1,49.0,68.03
metH,WP_172604741.1,1,56.00000000000001,65.79
NA,WP_130892608.1,1,53.0,61.54
NA,WP_130892609.1,1,45.0,50.8
NA,WP_130892610.1,1,31.0,26.79
NA,WP_130892611.1,1,33.0,26.0
NA,WP_130892612.1,1,31.0,23.03
NA,WP_172604622.1,1,42.0,50.0
ribH,WP_130892613.1,1,52.0,60.65
NA,WP_130892614.1,1,47.0,57.41
recF,WP_008624831.1,1,48.0,57.02
NA,WP_008624832.1,1,51.0,58.62
NA,WP_130892615.1,1,49.0,50.3
NA,WP_130892616.1,1,48.0,55.02
NA,WP_008624835.1,1,51.0,58.57
NA,WP_130892617.1,1,49.0,57.98
NA,WP_008624837.1,1,48.0,57.21
NA,WP_130892618.1,1,48.0,57.19
NA,WP_008624849.1,1,50.0,54.64
NA,WP_130892619.1,1,46.0,52.68
NA,WP_130892620.1,1,48.0,54.14
NA,WP_008624853.1,1,48.0,62.99
NA,WP_008624854.1,1,51.0,63.84
NA,WP_008624855.1,1,49.0,59.57
NA,WP_232038281.1,1,53.0,64.32
NA,WP_130892621.1,1,55.00000000000001,67.08
NA,WP_130892622.1,1,56.00000000000001,71.43
NA,WP_130892623.1,1,55.00000000000001,65.66
NA,WP_130892624.1,1,49.0,50.0
NA,WP_232038282.1,1,56.00000000000001,64.32
NA,WP_130892626.1,1,56.00000000000001,65.47
NA,WP_232038283.1,1,51.0,56.65
NA,WP_130892628.1,1,49.0,60.11
NA,WP_130892629.1,1,50.0,56.25
NA,WP_130892630.1,1,52.0,61.94
NA,WP_130892631.1,1,37.0,39.58
NA,WP_008624891.1,1,52.0,56.8
NA,WP_008624892.1,1,47.0,53.41
NA,WP_130892632.1,1,50.0,50.8
