gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_038583319.1,1,61.0,74.22
NA,WP_038583322.1,1,59.0,73.47
NA,WP_038583323.1,1,62.0,70.21
hemW,WP_038583325.1,1,64.0,79.9
rdgB,WP_038583328.1,1,61.0,68.78
NA,WP_038583331.1,1,60.0,69.84
rph,WP_038583334.1,1,64.0,84.28
hrcA,WP_038583337.1,1,62.0,77.14
grpE,WP_038583340.1,1,64.0,74.51
ptsN,WP_038583342.1,1,61.0,79.31
raiA,WP_038583345.1,1,54.0,62.64
rpoN,WP_038583348.1,1,62.0,78.98
lptB,WP_080725006.1,1,63.0,78.09
NA,WP_038583353.1,1,57.99999999999999,74.29
lptC,WP_038583356.1,1,56.99999999999999,74.65
sppA,WP_038583359.1,1,60.0,78.64
NA,WP_007759833.1,1,59.0,66.67
NA,WP_038583363.1,1,63.0,80.39
NA,WP_038583366.1,1,62.0,76.76
NA,WP_038592713.1,1,65.0,79.17
NA,WP_038583368.1,1,64.0,82.67
lspA,WP_038583370.1,1,60.0,82.47
NA,WP_162182792.1,1,63.0,72.78
NA,WP_038583373.1,1,62.0,77.58
NA,WP_080724831.1,1,55.00000000000001,65.22
NA,WP_038583376.1,1,62.0,78.44
mutS,WP_244446704.1,1,64.0,80.18
NA,WP_046599588.1,1,60.0,71.56
NA,WP_038583380.1,1,62.0,82.37
murJ,WP_038583383.1,1,63.0,81.68
NA,WP_038583386.1,1,62.0,67.88
NA,WP_038583388.1,1,61.0,74.6
trpS,WP_038583391.1,1,63.0,83.48
NA,WP_038583394.1,1,64.0,77.33
NA,WP_038583397.1,1,61.0,78.21
tsaB,WP_038583400.1,1,64.0,70.75
NA,WP_038592724.1,1,63.0,77.42
NA,WP_038539194.1,1,59.0,73.68
NA,WP_155414617.1,1,63.0,79.84
miaB,WP_046599587.1,1,62.0,75.7
NA,WP_007756049.1,1,63.0,79.53
ybeY,WP_038583405.1,1,57.99999999999999,68.12
NA,WP_038583408.1,1,64.0,79.48
lnt,WP_038583411.1,1,62.0,73.47
NA,WP_037079404.1,1,57.99999999999999,71.32
metK,WP_038583413.1,1,62.0,78.54
trmB,WP_038539221.1,1,61.0,73.21
NA,WP_038539224.1,1,56.99999999999999,64.47
NA,WP_038583416.1,1,60.0,70.68
NA,WP_038583418.1,1,62.0,77.63
NA,WP_038583421.1,1,66.0,74.83
rmuC,WP_046599586.1,1,62.0,76.02
def,WP_038583424.1,1,59.0,75.31
fmt,WP_038592736.1,1,65.0,78.48
truA,WP_038539246.1,1,63.0,75.1
NA,WP_038592739.1,1,62.0,85.19
NA,WP_038583427.1,1,60.0,73.1
dapE,WP_038583429.1,1,65.0,79.18
dapD,WP_038583432.1,1,63.0,81.82
NA,WP_038583435.1,1,62.0,82.44
NA,WP_038583438.1,1,63.0,79.9
NA,WP_038592740.1,1,59.0,77.19
NA,WP_038583441.1,1,61.0,81.79
NA,WP_038583445.1,1,63.0,73.39
argB,WP_038539277.1,1,62.0,85.31
NA,WP_038583448.1,1,59.0,83.52
yihA,WP_038592743.1,1,63.0,84.95
yidC,WP_038539288.1,1,60.0,82.43
rnpA,WP_038539293.1,1,62.0,70.25
rpmH,WP_080719113.1,1,67.0,62.86
NA,WP_038583451.1,1,63.0,77.33
NA,WP_155414626.1,1,63.0,79.66
NA,WP_038583457.1,1,66.0,80.07
NA,WP_038583459.1,1,60.0,72.14
NA,WP_038583462.1,1,62.0,76.19
mug,WP_038583465.1,1,60.0,69.01
NA,WP_080724832.1,1,62.0,76.45
NA,WP_038583467.1,1,62.0,76.99
NA,WP_038583469.1,1,63.0,77.98
NA,WP_051909198.1,1,63.0,76.25
pyrC,WP_038583472.1,1,61.0,77.81
NA,WP_038583474.1,1,64.0,77.28
NA,WP_038583477.1,1,61.0,78.38
NA,WP_038583479.1,1,62.0,76.92
pgi,WP_038583482.1,1,63.0,83.46
NA,WP_155414616.1,1,64.0,81.23
NA,WP_038583485.1,1,61.0,82.73
NA,WP_038583487.1,1,59.0,76.86
NA,WP_157884552.1,1,64.0,74.52
nadE,WP_038583490.1,1,64.0,78.64
NA,WP_038583493.1,1,63.0,76.77
NA,WP_038583496.1,1,57.99999999999999,82.67
NA,WP_038583499.1,1,62.0,82.41
NA,WP_038583500.1,1,64.0,78.18
NA,WP_038583501.1,1,63.0,79.93
NA,WP_038583504.1,1,67.0,81.78
NA,WP_038583507.1,1,64.0,82.93
NA,WP_038583510.1,1,63.0,69.03
NA,WP_038583513.1,1,62.0,82.41
NA,WP_038583515.1,1,64.0,81.92
NA,WP_244446599.1,1,67.0,77.88
NA,WP_038583521.1,1,65.0,75.0
NA,WP_038583524.1,1,62.0,66.67
NA,WP_038583527.1,1,65.0,83.17
NA,WP_038583529.1,1,67.0,76.63
ppk2,WP_038583532.1,1,59.0,82.39
phoR,WP_038592758.1,1,62.0,76.35
NA,WP_038583535.1,1,61.0,76.42
pstC,WP_038592761.1,1,61.0,77.32
pstA,WP_038583538.1,1,62.0,83.02
pstB,WP_038539427.1,1,59.0,80.53
phoU,WP_038539431.1,1,63.0,85.53
phoB,WP_038539434.1,1,64.0,78.44
NA,WP_038583541.1,1,61.0,81.62
NA,WP_038539440.1,1,64.0,75.15
NA,WP_038539443.1,1,65.0,80.46
argF,WP_038539447.1,1,63.0,83.11
NA,WP_038583543.1,1,66.0,80.31
NA,WP_051909201.1,1,62.0,78.81
apaG,WP_038583546.1,1,59.0,76.03
NA,WP_038583549.1,1,63.0,84.16
NA,WP_038583552.1,1,63.0,80.28
NA,WP_038583555.1,1,61.0,67.61
NA,WP_038583558.1,1,61.0,81.31
NA,WP_038583561.1,1,62.0,77.38
NA,WP_038583564.1,1,60.0,86.47
NA,WP_038583567.1,1,59.0,81.72
NA,WP_038583570.1,1,60.0,75.5
NA,WP_038583573.1,1,60.0,71.76
glpD,WP_038583576.1,1,61.0,72.73
NA,WP_038583578.1,1,56.00000000000001,67.33
NA,WP_038583581.1,1,62.0,72.44
NA,WP_038583584.1,1,65.0,71.67
NA,WP_038583587.1,1,57.99999999999999,68.68
NA,WP_038583590.1,1,57.99999999999999,65.47
NA,WP_157884553.1,1,61.0,72.63
NA,WP_244446600.1,1,54.0,67.36
NA,WP_038539647.1,1,59.0,68.38
NA,WP_038583596.1,1,60.0,79.73
NA,WP_038583599.1,1,60.0,73.32
NA,WP_038583603.1,1,57.99999999999999,77.27
NA,WP_038583606.1,1,63.0,75.42
NA,WP_051909203.1,1,67.0,79.09
NA,WP_038539662.1,1,56.00000000000001,78.41
cheY1,WP_038539665.1,1,59.0,72.32
NA,WP_038583609.1,1,63.0,77.3
NA,WP_038583612.1,1,57.99999999999999,71.23
cheR,WP_038583614.1,1,59.0,74.06
cheB,WP_038539676.1,1,59.0,63.8
NA,WP_007759259.1,1,59.0,80.0
cheD,WP_038583617.1,1,57.99999999999999,65.91
NA,WP_038539684.1,1,59.0,73.33
fliF,WP_038539686.1,1,61.0,76.97
NA,WP_244446601.1,1,59.0,72.93
NA,WP_046599553.1,1,60.0,75.31
NA,WP_038539694.1,1,59.0,68.15
flhB,WP_038583626.1,1,57.99999999999999,75.43
fliG,WP_038583628.1,1,61.0,81.23
fliN,WP_038583631.1,1,61.0,71.73
NA,WP_038592776.1,1,60.0,77.52
motA,WP_038583633.1,1,56.99999999999999,77.86
NA,WP_038583634.1,1,56.99999999999999,76.4
flgF,WP_038583637.1,1,60.0,77.97
fliI,WP_038592779.1,1,64.0,76.92
NA,WP_038583639.1,1,64.0,77.9
flgB,WP_038583641.1,1,56.00000000000001,73.95
flgC,WP_038583644.1,1,60.0,78.46
NA,WP_038583646.1,1,60.0,82.52
flgG,WP_038539731.1,1,61.0,79.84
flgA,WP_038583648.1,1,65.0,78.81
NA,WP_038583650.1,1,65.0,84.2
NA,WP_046599552.1,1,62.0,76.27
flgH,WP_038583651.1,1,61.0,80.0
NA,WP_038592785.1,1,60.0,77.78
NA,WP_038583654.1,1,62.0,85.02
NA,WP_038583657.1,1,59.0,78.49
NA,WP_038583659.1,1,62.0,67.91
NA,WP_038583661.1,1,61.0,76.63
NA,WP_038583664.1,1,62.0,73.45
rfbG,WP_051909204.1,1,66.0,77.21
rfbF,WP_038583665.1,1,59.0,79.84
NA,WP_038583668.1,1,57.99999999999999,75.62
fliP,WP_038592789.1,1,59.0,81.36
NA,WP_051909205.1,1,57.99999999999999,75.67
NA,WP_038583671.1,1,60.0,82.04
NA,WP_038583673.1,1,60.0,81.07
NA,WP_038583676.1,1,60.0,81.36
NA,WP_038583678.1,1,57.99999999999999,76.76
NA,WP_038583681.1,1,59.0,77.14
NA,WP_038583684.1,1,59.0,64.71
NA,WP_038583686.1,1,62.0,77.49
motC,WP_046599550.1,1,61.0,71.01
NA,WP_046599549.1,1,65.0,73.07
NA,WP_038592798.1,1,56.99999999999999,71.93
NA,WP_038539784.1,1,60.0,72.9
NA,WP_038583689.1,1,59.0,76.55
flgK,WP_038583692.1,1,62.0,82.71
NA,WP_038583695.1,1,57.99999999999999,75.14
flaF,WP_007756114.1,1,54.0,66.98
flbT,WP_038583699.1,1,59.0,76.43
flgD,WP_038583702.1,1,57.99999999999999,80.6
fliQ,WP_007756098.1,1,56.99999999999999,77.22
flhA,WP_038583706.1,1,62.0,83.24
fliR,WP_038539809.1,1,59.0,79.67
NA,WP_038539812.1,1,59.0,76.61
NA,WP_038592801.1,1,59.0,72.41
NA,WP_038592804.1,1,60.0,77.68
NA,WP_038583709.1,1,59.0,81.4
NA,WP_038583712.1,1,64.0,73.17
NA,WP_038583715.1,1,64.0,73.06
folD,WP_038583718.1,1,64.0,80.34
NA,WP_038583720.1,1,59.0,77.25
NA,WP_038583723.1,1,59.0,84.15
NA,WP_038583726.1,1,61.0,78.19
NA,WP_038583729.1,1,62.0,79.89
ugpC,WP_038583732.1,1,61.0,80.17
NA,WP_038539838.1,1,55.00000000000001,76.15
edd,WP_038583735.1,1,65.0,83.05
pgl,WP_038583738.1,1,65.0,77.58
zwf,WP_038583741.1,1,62.0,80.67
NA,WP_038583744.1,1,62.0,75.47
NA,WP_038583746.1,1,62.0,81.7
NA,WP_244446708.1,1,63.0,79.62
NA,WP_167551666.1,1,63.0,77.78
NA,WP_038583752.1,1,63.0,77.08
NA,WP_038583754.1,1,65.0,73.38
NA,WP_038583757.1,1,53.0,64.85
NA,WP_038583760.1,1,66.0,84.29
aceA,WP_038583763.1,1,65.0,83.81
NA,WP_038583766.1,1,66.0,76.67
NA,WP_038583768.1,1,57.99999999999999,81.18
NA,WP_038583770.1,1,62.0,83.51
NA,WP_038583772.1,1,60.0,85.47
NA,WP_038539880.1,1,62.0,85.55
NA,WP_244446602.1,1,63.0,83.33
NA,WP_038583774.1,1,64.0,77.69
NA,WP_038583777.1,1,62.0,80.03
NA,WP_038583779.1,1,64.0,75.87
NA,WP_038583781.1,1,57.99999999999999,75.54
NA,WP_038583784.1,1,64.0,81.95
NA,WP_038583787.1,1,62.0,75.72
NA,WP_038583789.1,1,57.99999999999999,93.59
NA,WP_038583792.1,1,60.0,80.36
NA,WP_038583795.1,1,62.0,78.71
NA,WP_051909207.1,1,63.0,75.93
NA,WP_244446603.1,1,60.0,74.54
NA,WP_038583805.1,1,66.0,85.02
NA,WP_038583809.1,1,63.0,82.97
NA,WP_038539927.1,1,57.99999999999999,63.89
NA,WP_038583811.1,1,63.0,75.0
NA,WP_038583814.1,1,55.00000000000001,65.59
NA,WP_038583817.1,1,62.0,82.21
NA,WP_038583820.1,1,56.99999999999999,70.1
NA,WP_051909208.1,1,60.0,78.87
NA,WP_038583823.1,1,65.0,75.94
NA,WP_255761379.1,1,67.0,76.47
rirA,WP_038583827.1,1,59.0,72.19
NA,WP_038583830.1,1,64.0,81.44
NA,WP_038583831.1,1,60.0,76.92
NA,WP_038583833.1,1,61.0,69.46
