gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_062627276.1,1,40.0,31.07
dnaN,WP_062627275.1,1,36.0,30.36
gyrB,WP_062627274.1,1,42.0,35.59
NA,WP_062627273.1,1,55.00000000000001,68.42
NA,WP_062627272.1,1,52.0,49.03
NA,WP_062627271.1,1,54.0,57.61
NA,WP_084612041.1,1,56.99999999999999,66.75
gcvT,WP_062627269.1,1,59.0,74.36
gcvH,WP_062627268.1,1,56.99999999999999,66.67
gcvP,WP_062627267.1,1,57.99999999999999,72.13
tpx,WP_062627266.1,1,57.99999999999999,72.12
NA,WP_062627265.1,1,57.99999999999999,72.61
NA,WP_062627264.1,1,57.99999999999999,56.13
NA,WP_062627263.1,1,53.0,57.93
NA,WP_062627262.1,1,55.00000000000001,59.07
NA,WP_062627261.1,1,53.0,62.85
NA,WP_084612040.1,1,51.0,54.25
NA,WP_062627260.1,1,56.00000000000001,61.74
NA,WP_062627259.1,1,56.00000000000001,60.29
infA,WP_062627258.1,1,54.0,60.26
NA,WP_062627257.1,1,55.00000000000001,62.71
murI,WP_062627256.1,1,60.0,65.54
NA,WP_062627255.1,1,56.00000000000001,72.99
gshA,WP_062627254.1,1,56.00000000000001,67.39
NA,WP_062627253.1,1,59.0,68.51
NA,WP_062627252.1,1,56.00000000000001,58.02
NA,WP_062627251.1,1,56.99999999999999,68.75
ptsP,WP_062627250.1,1,56.99999999999999,68.55
xth,WP_062627249.1,1,56.99999999999999,69.8
waaC,WP_062627248.1,1,60.0,64.17
waaA,WP_062627247.1,1,57.99999999999999,64.55
lolA,WP_062627246.1,1,56.00000000000001,67.18
NA,WP_062627245.1,1,56.99999999999999,67.38
NA,WP_062627244.1,1,53.0,55.92
NA,WP_062627243.1,1,52.0,54.35
NA,WP_232013197.1,1,56.99999999999999,62.29
NA,WP_062627241.1,1,61.0,66.52
bioD,WP_062627240.1,1,59.0,66.04
bioC,WP_062627239.1,1,62.0,75.71
bioH,WP_084612039.1,1,59.0,65.99
bioF,WP_062627237.1,1,59.0,67.2
bioB,WP_062627236.1,1,61.0,75.16
NA,WP_232013198.1,1,59.0,67.98
trmL,WP_062627234.1,1,57.99999999999999,66.21
NA,WP_062627233.1,1,59.0,71.06
NA,WP_232013199.1,1,53.0,66.37
NA,WP_172588484.1,1,52.0,60.62
purU,WP_062627230.1,1,56.00000000000001,67.77
NA,WP_062627229.1,1,56.00000000000001,67.5
purE,WP_062627228.1,1,57.99999999999999,70.78
NA,WP_088178228.1,1,59.0,70.77
NA,WP_062627227.1,1,53.0,52.97
NA,WP_062627226.1,1,51.0,51.96
NA,WP_084612038.1,1,52.0,53.68
prmA,WP_062627224.1,1,56.00000000000001,58.89
accC,WP_062627359.1,1,54.0,60.18
accB,WP_062627223.1,1,54.0,50.0
