gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_152660271.1,1,54.0,58.0
dnaN,WP_152660272.1,1,52.0,58.1
recF,WP_152660273.1,1,55.00000000000001,59.22
gyrB,WP_152660274.1,1,53.0,60.25
NA,WP_152660275.1,1,56.00000000000001,61.65
NA,WP_152660276.1,1,60.0,56.19
NA,WP_152660277.1,1,57.99999999999999,65.45
rmuC,WP_152660278.1,1,56.00000000000001,69.28
gmhB,WP_152660279.1,1,57.99999999999999,64.77
glyS,WP_152660280.1,1,59.0,67.5
glyQ,WP_152660281.1,1,57.99999999999999,68.83
NA,WP_152660282.1,1,59.0,64.93
djlA,WP_152660283.1,1,56.00000000000001,66.67
NA,WP_152660284.1,1,56.00000000000001,72.52
trkA,WP_152660285.1,1,57.99999999999999,75.22
rsmB,WP_205743108.1,1,63.0,70.07
fmt,WP_152660286.1,1,61.0,65.5
def,WP_152660287.1,1,60.0,76.1
NA,WP_152660288.1,1,56.00000000000001,67.37
dprA,WP_152660289.1,1,64.0,72.07
NA,WP_240732773.1,1,61.0,65.03
hemF,WP_152660290.1,1,59.0,63.85
aroE,WP_152660291.1,1,61.0,68.03
NA,WP_152660292.1,1,61.0,70.06
NA,WP_152660293.1,1,64.0,65.82
NA,WP_152660294.1,1,59.0,64.68
NA,WP_152660295.1,1,55.00000000000001,64.52
coxB,WP_152660296.1,1,53.0,64.25
ctaD,WP_152660297.1,1,55.00000000000001,73.2
NA,WP_152660298.1,1,56.99999999999999,67.61
NA,WP_152660299.1,1,54.0,73.48
NA,WP_152660300.1,1,60.0,67.57
NA,WP_170287209.1,1,59.0,66.11
NA,WP_240732774.1,1,54.0,67.14
cyoE,WP_240732775.1,1,55.00000000000001,67.8
NA,WP_152660302.1,1,53.0,65.38
polA,WP_152660303.1,1,59.0,72.43
NA,WP_152660304.1,1,60.0,68.57
yihA,WP_152660305.1,1,56.99999999999999,71.56
NA,WP_152660306.1,1,62.0,72.73
NA,WP_152660307.1,1,61.0,65.15
NA,WP_152660308.1,1,56.00000000000001,61.58
NA,WP_152660309.1,1,59.0,69.94
NA,WP_152660310.1,1,61.0,74.87
NA,WP_152660311.1,1,60.0,75.9
NA,WP_240732922.1,1,56.99999999999999,71.83
leuA,WP_152660313.1,1,57.99999999999999,70.26
NA,WP_205743109.1,1,59.0,72.5
NA,WP_240732776.1,1,60.0,64.61
NA,WP_152660314.1,1,56.99999999999999,71.22
ilvD,WP_152660315.1,1,61.0,75.54
NA,WP_152660316.1,1,55.00000000000001,60.22
NA,WP_152660317.1,1,56.00000000000001,65.65
argA,WP_152660318.1,1,59.0,70.59
argE,WP_152660319.1,1,62.0,78.88
NA,WP_152660320.1,1,60.0,78.18
NA,WP_152660321.1,1,57.99999999999999,71.43
NA,WP_205743199.1,1,56.99999999999999,64.48
glnE,WP_152660323.1,1,59.0,66.6
waaF,WP_240732777.1,1,60.0,61.47
waaC,WP_152660324.1,1,60.0,64.6
NA,WP_152660325.1,1,59.0,66.13
rfaP,WP_152660326.1,1,59.0,65.45
NA,WP_152660327.1,1,59.0,61.73
NA,WP_240732778.1,1,54.0,67.11
NA,WP_205743110.1,1,63.0,72.22
NA,WP_152660328.1,1,57.99999999999999,71.92
rfbD,WP_240732779.1,1,62.0,65.12
rfbB,WP_152660330.1,1,56.99999999999999,64.45
rfbC,WP_152660331.1,1,57.99999999999999,65.7
rfbA,WP_152660332.1,1,59.0,74.32
NA,WP_240732780.1,1,57.99999999999999,68.09
NA,WP_152660334.1,1,56.99999999999999,69.0
NA,WP_152660335.1,1,60.0,70.49
NA,WP_152660336.1,1,63.0,76.53
hldE,WP_152660337.1,1,61.0,68.09
NA,WP_152660338.1,1,61.0,74.1
NA,WP_152660339.1,1,63.0,73.01
waaA,WP_152660340.1,1,62.0,66.67
NA,WP_152660341.1,1,57.99999999999999,70.93
NA,WP_152660342.1,1,59.0,70.92
cpdA,WP_152660343.1,1,59.0,62.83
parE,WP_152660344.1,1,57.99999999999999,70.32
NA,WP_152660345.1,1,56.99999999999999,69.09
NA,WP_240732781.1,1,61.0,66.94
arsH,WP_152660346.1,1,57.99999999999999,69.13
arsB,WP_152660347.1,1,56.99999999999999,74.47
NA,WP_152660348.1,1,64.0,72.11
NA,WP_152660349.1,1,60.0,72.48
NA,WP_152660350.1,1,59.0,67.74
NA,WP_240732923.1,1,60.0,76.0
NA,WP_152660352.1,1,60.0,68.24
NA,WP_152660353.1,1,55.00000000000001,68.57
NA,WP_152660354.1,1,56.99999999999999,72.73
NA,WP_152660355.1,1,56.99999999999999,64.98
NA,WP_152660356.1,1,56.00000000000001,64.74
NA,WP_152660357.1,1,54.0,63.45
NA,WP_152660358.1,1,60.0,71.56
NA,WP_152660359.1,1,59.0,66.04
NA,WP_153240844.1,1,56.99999999999999,67.25
serA,WP_152660360.1,1,56.99999999999999,71.0
NA,WP_153240845.1,1,56.99999999999999,69.71
NA,WP_152660361.1,1,57.99999999999999,68.75
modC,WP_152660362.1,1,61.0,70.0
modB,WP_152660363.1,1,63.0,75.12
modA,WP_152660364.1,1,63.0,69.12
NA,WP_152660365.1,1,65.0,72.73
bioB,WP_152660366.1,1,57.99999999999999,70.33
bioF,WP_152660367.1,1,62.0,63.52
bioC,WP_152660368.1,1,61.0,65.18
bioD,WP_152660369.1,1,61.0,64.35
NA,WP_152660370.1,1,56.00000000000001,69.22
NA,WP_152660371.1,1,53.0,68.85
NA,WP_152660372.1,1,57.99999999999999,66.47
NA,WP_152660373.1,1,56.00000000000001,69.49
NA,WP_205743111.1,1,56.99999999999999,64.86
NA,WP_152660375.1,1,55.00000000000001,68.6
epmB,WP_152660376.1,1,62.0,72.54
NA,WP_152660377.1,1,61.0,73.92
NA,WP_152660378.1,1,56.00000000000001,66.59
NA,WP_152660379.1,1,55.00000000000001,70.0
mtnA,WP_152660380.1,1,60.0,64.57
NA,WP_152660381.1,1,56.99999999999999,62.5
NA,WP_152660382.1,1,61.0,71.69
gcvT,WP_152660383.1,1,62.0,69.44
NA,WP_170287212.1,1,64.0,73.73
NA,WP_152660385.1,1,60.0,70.9
NA,WP_170287213.1,1,59.0,67.91
NA,WP_152660386.1,1,60.0,70.7
NA,WP_240732782.1,1,61.0,75.08
NA,WP_153240848.1,1,59.0,66.89
NA,WP_152660387.1,1,59.0,65.52
NA,WP_152660388.1,1,57.99999999999999,70.75
