gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_039848772.1,2,37.0,25.26
parC,WP_005605452.1,1,38.0,29.77
parE,WP_005605450.1,1,38.0,25.41
plsY,WP_005605448.1,1,34.0,21.32
NA,WP_005605447.1,1,34.0,24.56
codY,WP_005605445.1,1,31.0,21.32
hslU,WP_005605443.1,1,37.0,26.58
hslV,WP_005605441.1,1,38.0,23.35
xerC,WP_050755084.1,1,35.0,24.68
topA,WP_005605437.1,1,37.0,23.94
dprA,WP_005605435.1,1,33.0,19.71
NA,WP_005605433.1,1,41.0,29.55
ylqF,WP_005605431.1,1,36.0,24.91
NA,WP_039848771.1,1,37.0,23.08
NA,WP_005605428.1,1,33.0,23.66
NA,WP_005605427.1,1,36.0,19.19
abc-f,WP_005605426.1,1,30.0,23.6
lepB,WP_005605425.1,1,35.0,25.12
NA,WP_005605424.1,1,36.0,22.34
deoD,WP_005605422.1,1,37.0,20.0
NA,WP_005605420.1,1,35.0,30.19
NA,WP_005605418.1,1,36.0,24.46
NA,WP_005605416.1,1,35.0,28.32
hemW,WP_156780410.1,1,37.0,30.77
pcp,WP_005605414.1,1,39.0,27.23
NA,WP_005605413.1,1,39.0,30.78
pepT,WP_005605412.1,1,39.0,27.07
NA,WP_005605411.1,1,39.0,26.34
NA,WP_005605409.1,1,39.0,30.53
NA,WP_005605408.1,1,38.0,30.49
aspS,WP_039848770.1,1,39.0,28.12
hisS,WP_005605405.1,1,37.0,24.71
NA,WP_233420211.1,1,31.0,24.31
NA,WP_005608237.1,1,34.0,27.59
NA,WP_005605404.1,1,35.0,26.64
NA,WP_005605403.1,1,34.0,27.15
NA,WP_005605402.1,1,35.0,29.47
NA,WP_005605401.1,1,38.0,25.36
NA,WP_005605399.1,1,38.0,27.63
NA,WP_005605398.1,1,37.0,30.64
NA,WP_039848768.1,1,35.0,34.52
NA,WP_039848767.1,1,36.0,24.68
NA,WP_005605392.1,1,36.0,26.78
NA,WP_005605390.1,1,36.0,29.04
NA,WP_005605389.1,1,37.0,30.88
NA,WP_005605387.1,1,31.0,25.15
NA,WP_005605386.1,1,34.0,27.84
NA,WP_005605385.1,1,34.0,26.92
NA,WP_039848764.1,1,36.0,28.47
NA,WP_005605383.1,1,36.0,27.18
mnmA,WP_005605382.1,1,40.0,33.42
NA,WP_005605381.1,1,36.0,33.33
NA,WP_005605379.1,1,32.0,18.87
NA,WP_005605377.1,1,38.0,22.28
NA,WP_005605375.1,1,40.0,25.6
NA,WP_005605373.1,1,36.0,22.38
dtd,WP_005605371.1,1,41.0,32.14
NA,WP_039848763.1,1,37.0,30.86
NA,WP_005605367.1,1,35.0,24.58
prmA,WP_005605365.1,1,36.0,22.62
gpsB,WP_005605364.1,1,30.0,14.84
NA,WP_039848762.1,1,42.0,33.24
clpB,WP_039848761.1,1,38.0,23.63
NA,WP_005605361.1,1,34.0,18.84
NA,WP_005605360.1,1,34.0,22.04
NA,WP_005605359.1,1,31.0,19.82
NA,WP_039848760.1,1,38.0,26.09
NA,WP_005605354.1,1,39.0,24.14
NA,WP_005605352.1,1,37.0,19.94
NA,WP_050755083.1,1,35.0,25.61
NA,WP_005605348.1,1,33.0,21.55
NA,WP_005605346.1,1,32.0,23.96
NA,WP_169304262.1,1,32.0,22.46
NA,WP_005605342.1,1,36.0,17.33
pflA,WP_039848759.1,1,36.0,24.18
