gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_051739644.1,2,57.99999999999999,70.72
NA,WP_026428440.1,1,55.00000000000001,67.19
NA,WP_026428441.1,1,56.00000000000001,65.56
NA,WP_026428442.1,1,59.0,63.36
NA,WP_051278245.1,1,56.99999999999999,54.73
NA,WP_026428443.1,1,56.00000000000001,62.56
araA,WP_026428444.1,1,56.00000000000001,63.03
NA,WP_051278186.1,1,52.0,52.42
NA,WP_026428445.1,1,54.0,61.79
NA,WP_026428446.1,1,53.0,59.84
NA,WP_051278188.1,1,56.00000000000001,68.24
NA,WP_026428448.1,1,52.0,58.21
NA,WP_026428449.1,1,56.99999999999999,61.66
NA,WP_026428450.1,1,56.99999999999999,56.31
mvk,WP_081689994.1,1,68.0,78.55
mvaD,WP_026428452.1,1,63.0,71.75
NA,WP_051278190.1,1,65.0,74.86
fni,WP_081689995.1,1,64.0,68.44
NA,WP_081689996.1,1,56.00000000000001,62.35
NA,WP_026428455.1,1,48.0,51.11
NA,WP_026428456.1,1,53.0,52.88
NA,WP_051278192.1,1,56.00000000000001,60.21
NA,WP_026428457.1,1,62.0,79.12
NA,WP_026428458.1,1,64.0,80.95
NA,WP_236624522.1,1,63.0,81.64
NA,WP_236624523.1,1,66.0,77.26
NA,WP_236624524.1,1,65.0,76.52
NA,WP_026428461.1,1,66.0,78.53
NA,WP_236624525.1,1,61.0,77.25
NA,WP_026428463.1,1,66.0,78.64
orn,WP_026428464.1,1,60.0,72.97
NA,WP_051278194.1,1,70.0,82.57
NA,WP_148304023.1,1,70.0,82.9
NA,WP_148304024.1,1,63.0,64.29
NA,WP_148304025.1,1,53.0,52.63
NA,WP_201769807.1,1,50.0,47.67
ettA,WP_016442389.1,1,61.0,78.73
NA,WP_026428468.1,1,63.0,78.15
NA,WP_026428469.1,1,56.00000000000001,70.45
NA,WP_026428470.1,1,60.0,77.58
NA,WP_026428471.1,1,63.0,75.7
NA,WP_026428472.1,1,65.0,78.78
NA,WP_026428473.1,1,62.0,74.15
malQ,WP_026428474.1,1,67.0,84.06
NA,WP_026428475.1,1,64.0,86.28
NA,WP_026428476.1,1,68.0,85.24
NA,WP_148304026.1,1,66.0,73.35
pepN,WP_026428478.1,1,63.0,80.5
NA,WP_026428479.1,1,66.0,81.48
NA,WP_035276618.1,1,68.0,75.57
NA,WP_051278198.1,1,64.0,77.22
NA,WP_051278200.1,1,60.0,70.04
NA,WP_081690001.1,1,67.0,76.92
NA,WP_026428483.1,1,60.0,70.73
NA,WP_026428484.1,1,61.0,74.82
cysE,WP_026428485.1,1,65.0,70.17
cysK,WP_026428486.1,1,65.0,78.41
NA,WP_051278202.1,1,60.0,69.71
NA,WP_026428487.1,1,63.0,68.97
rpmF,WP_016442420.1,1,66.0,86.67
NA,WP_026428488.1,1,71.0,80.99
NA,WP_026428489.1,1,60.0,76.25
NA,WP_051278206.1,1,65.0,76.74
NA,WP_026428490.1,1,64.0,74.61
NA,WP_051278208.1,1,63.0,78.63
NA,WP_026428492.1,1,59.0,81.18
tig,WP_026428493.1,1,65.0,80.64
NA,WP_081690003.1,1,64.0,80.39
NA,WP_035276620.1,1,56.99999999999999,70.39
NA,WP_051278253.1,1,61.0,77.78
clpX,WP_026428495.1,1,59.0,70.73
NA,WP_158319002.1,1,66.0,68.06
NA,WP_026428496.1,1,59.0,72.76
NA,WP_051278214.1,1,64.0,71.58
NA,WP_051278215.1,1,69.0,72.51
NA,WP_026428498.1,1,65.0,77.19
NA,WP_035276622.1,1,65.0,75.81
NA,WP_026428499.1,1,61.0,69.63
NA,WP_201769808.1,1,67.0,67.47
valS,WP_026428500.1,1,62.0,76.46
NA,WP_026428501.1,1,62.0,71.12
NA,WP_026428502.1,1,68.0,73.93
NA,WP_026428503.1,1,66.0,73.29
NA,WP_026428504.1,1,61.0,67.88
NA,WP_051278220.1,1,65.0,76.14
NA,WP_081690005.1,1,65.0,77.15
NA,WP_026428507.1,1,57.99999999999999,69.6
NA,WP_026428508.1,1,64.0,73.08
proC,WP_026428509.1,1,67.0,72.76
NA,WP_035276680.1,1,66.0,80.88
NA,WP_051278222.1,1,65.0,68.84
NA,WP_026428511.1,1,69.0,68.27
NA,WP_026428512.1,1,66.0,71.77
ileS,WP_035276682.1,1,63.0,79.85
brnQ,WP_026428514.1,1,63.0,75.84
NA,WP_026428515.1,1,62.0,74.76
NA,WP_035276628.1,1,63.0,81.7
NA,WP_026428517.1,1,65.0,72.9
NA,WP_026428518.1,1,62.0,71.37
smc,WP_026428519.1,1,66.0,69.9
NA,WP_026428520.1,1,60.0,62.63
ftsY,WP_026428521.1,1,64.0,69.51
ffh,WP_026428522.1,1,64.0,75.93
NA,WP_026428523.1,1,63.0,71.35
rpsP,WP_026428524.1,1,62.0,65.33
NA,WP_026428525.1,1,56.99999999999999,55.71
rimM,WP_081690006.1,1,63.0,66.67
trmD,WP_035276689.1,1,65.0,71.97
rplS,WP_016442470.1,1,60.0,67.59
lepB,WP_158319003.1,1,60.0,62.75
NA,WP_026428527.1,1,62.0,66.2
