gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_014061974.1,1,33.0,26.27
dnaN,WP_014061975.1,1,32.0,22.16
yaaA,WP_014061976.1,1,27.0,18.64
recF,WP_014061977.1,1,27.0,18.41
NA,WP_003869991.1,1,33.0,25.0
NA,WP_014061978.1,1,33.0,25.71
NA,WP_014061979.1,1,28.999999999999996,14.96
NA,WP_014061980.1,1,31.0,24.43
NA,WP_014061981.1,1,33.0,28.0
gyrB,WP_014061982.1,1,35.0,24.84
gyrA,WP_004399495.1,1,36.0,28.7
namA,WP_014061983.1,1,35.0,23.48
ilvN,WP_041589276.1,1,34.0,25.32
ilvC,WP_014061985.1,1,37.0,23.91
NA,WP_014061986.1,1,37.0,25.96
leuC,WP_014061987.1,1,39.0,28.36
leuD,WP_014061988.1,1,35.0,25.83
leuB,WP_014061989.1,1,37.0,24.28
ilvD,WP_041589165.1,1,40.0,26.69
ilvB,WP_014061991.1,1,39.0,28.62
ribD,WP_014061992.1,1,33.0,21.65
NA,WP_014061993.1,1,32.0,20.71
NA,WP_014061994.1,1,37.0,28.17
ribE,WP_003869973.1,1,37.0,18.62
ytvI,WP_003869972.1,1,32.0,24.64
NA,WP_003869971.1,1,33.0,25.53
lepB,WP_003869970.1,1,31.0,19.76
serS,WP_014061995.1,1,37.0,23.91
NA,WP_014061996.1,1,33.0,22.22
NA,WP_004399473.1,1,31.0,26.29
NA,WP_244262261.1,1,25.0,16.33
NA,WP_244262262.1,1,34.0,21.43
NA,WP_014061999.1,1,34.0,35.23
mnhG,WP_004399470.1,1,37.0,25.26
NA,WP_003869962.1,1,35.0,26.76
NA,WP_014062000.1,1,33.0,23.63
NA,WP_014062001.1,1,32.0,19.82
NA,WP_014062002.1,1,31.0,20.5
NA,WP_014062003.1,1,34.0,26.5
NA,WP_014062004.1,1,37.0,26.32
NA,WP_014062005.1,1,37.0,30.69
NA,WP_003869955.1,1,31.0,22.82
NA,WP_003869954.1,1,38.0,25.47
NA,WP_014062006.1,1,33.0,24.84
NA,WP_014062007.1,1,33.0,24.01
NA,WP_279624988.1,1,25.0,24.24
NA,WP_006569865.1,1,38.0,41.59
NA,WP_014062008.1,1,41.0,37.38
ltrA,WP_014062009.1,1,38.0,32.75
NA,WP_014062010.1,1,36.0,30.77
NA,WP_014062011.1,1,32.0,22.66
tadA,WP_004399459.1,1,37.0,23.02
NA,WP_014062012.1,1,30.0,21.67
dnaX,WP_041589278.1,1,32.0,24.27
NA,WP_004399453.1,1,36.0,23.53
recR,WP_014062014.1,1,36.0,23.16
crcB,WP_014062015.1,1,30.0,25.81
NA,WP_014062017.1,1,35.0,27.82
NA,WP_006569873.1,1,28.999999999999996,27.16
NA,WP_003869941.1,1,28.000000000000004,20.99
NA,WP_003869940.1,1,38.0,25.64
NA,WP_003869939.1,1,33.0,21.61
NA,WP_004404565.1,1,32.0,23.71
NA,WP_003869937.1,1,34.0,27.65
NA,WP_014062018.1,1,36.0,23.15
NA,WP_244262263.1,1,28.999999999999996,21.28
NA,WP_244262264.1,1,37.0,26.22
NA,WP_003869934.1,1,30.0,23.79
NA,WP_014062019.1,1,34.0,27.51
NA,WP_014062020.1,1,36.0,29.01
NA,WP_014062021.1,1,38.0,31.01
NA,WP_014062022.1,1,35.0,24.48
NA,WP_014062023.1,1,32.0,24.87
NA,WP_244262265.1,1,31.0,26.51
NA,WP_244262266.1,1,34.0,26.03
NA,WP_003868603.1,1,34.0,30.51
NA,WP_244262267.1,1,33.0,21.99
