gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_014789864.1,1,37.0,34.83
NA,WP_014789865.1,1,38.0,34.48
NA,WP_014789866.1,1,40.0,32.49
NA,WP_014789867.1,1,37.0,34.21
rlmH,WP_014789868.1,1,40.0,41.89
NA,WP_014789869.1,1,35.0,30.97
rdgB,WP_014789870.1,1,38.0,32.04
NA,WP_014789871.1,1,38.0,22.01
rimO,WP_014789872.1,1,39.0,34.35
NA,WP_036600785.1,1,38.0,40.41
NA,WP_014789875.1,1,37.0,26.15
NA,WP_014789876.1,1,44.0,41.15
NA,WP_014789877.1,1,35.0,28.57
NA,WP_014789878.1,1,37.0,32.39
NA,WP_014789879.1,1,40.0,33.11
NA,WP_014789880.1,1,38.0,34.87
wecC,WP_014789881.1,1,41.0,38.73
wecB,WP_014789882.1,1,41.0,37.36
NA,WP_014789883.1,1,36.0,29.64
NA,WP_014789884.1,1,41.0,40.4
NA,WP_014789885.1,1,37.0,34.87
yidC,WP_014789887.1,1,35.0,34.29
NA,WP_014789888.1,1,39.0,33.27
NA,WP_014789889.1,1,38.0,23.53
NA,WP_052040699.1,1,32.0,21.79
NA,WP_014789891.1,1,42.0,36.82
NA,WP_014789892.1,1,38.0,38.34
NA,WP_014789893.1,1,35.0,29.06
NA,WP_014789894.1,1,42.0,41.18
NA,WP_260182327.1,1,41.0,40.82
NA,WP_014789896.1,1,39.0,34.65
NA,WP_014789897.1,1,44.0,40.39
speB,WP_014789899.1,1,41.0,36.63
NA,WP_014789900.1,1,39.0,38.58
NA,WP_014789901.1,1,37.0,34.81
NA,WP_014789902.1,1,39.0,37.06
NA,WP_014789903.1,1,42.0,38.61
NA,WP_014789904.1,1,40.0,35.06
dnaB,WP_014789905.1,1,40.0,34.87
NA,WP_036600788.1,1,27.0,24.1
lepB,WP_014789906.1,1,37.0,34.92
NA,WP_014789907.1,1,26.0,26.85
dapB,WP_014789908.1,1,37.0,30.97
NA,WP_014789909.1,1,38.0,31.67
NA,WP_014789910.1,1,40.0,34.62
NA,WP_014789911.1,1,41.0,36.29
NA,WP_014789913.1,1,31.0,25.15
NA,WP_014789915.1,1,30.0,26.92
NA,WP_014789916.1,1,28.999999999999996,25.96
rho,WP_014789917.1,1,40.0,36.93
NA,WP_014790218.1,1,32.0,26.39
NA,WP_014790259.1,1,33.0,32.28
NA,WP_014790221.1,1,36.0,28.5
NA,WP_014790262.1,1,42.0,30.49
NA,WP_186283177.1,1,39.0,35.56
NA,WP_014790224.1,1,36.0,26.15
NA,WP_014790225.1,1,40.0,39.66
NA,WP_014790226.1,1,33.0,29.05
NA,WP_052040960.1,1,31.0,21.65
NA,WP_014790264.1,1,35.0,29.24
NA,WP_014790229.1,1,33.0,25.0
NA,WP_038557023.1,1,30.0,18.24
NA,WP_081921834.1,1,31.0,25.0
NA,WP_036600839.1,1,30.0,23.53
NA,WP_052040701.1,1,35.0,31.11
NA,WP_036600976.1,1,41.0,40.22
NA,WP_014789920.1,1,34.0,33.33
NA,WP_014789921.1,1,46.0,43.97
bshB1,WP_014789922.1,1,40.0,34.82
NA,WP_014789923.1,1,32.0,26.11
NA,WP_014789924.1,1,43.0,47.22
rpe,WP_014789925.1,1,41.0,35.44
fsa,WP_014789926.1,1,42.0,38.94
NA,WP_014789927.1,1,37.0,43.55
NA,WP_014789928.1,1,37.0,38.64
obgE,WP_014789929.1,1,44.0,36.96
NA,WP_014789930.1,1,35.0,32.73
NA,WP_014789931.1,1,39.0,37.29
NA,WP_036600842.1,1,33.0,21.28
NA,WP_014789933.1,1,38.0,39.66
NA,WP_052040702.1,1,39.0,38.3
NA,WP_014789935.1,1,38.0,40.65
NA,WP_014789936.1,1,36.0,34.34
NA,WP_014789937.1,1,36.0,31.82
NA,WP_052040703.1,1,40.0,44.57
lnt,WP_014789939.1,1,39.0,39.22
NA,WP_014789940.1,1,39.0,38.61
NA,WP_014789941.1,1,37.0,31.3
NA,WP_014789942.1,1,34.0,35.4
coaBC,WP_014789943.1,1,38.0,30.77
NA,WP_014789944.1,1,35.0,26.26
bamD,WP_014789945.1,1,36.0,32.85
NA,WP_014789946.1,1,35.0,37.43
NA,WP_014789947.1,1,41.0,34.11
NA,WP_014789948.1,1,36.0,35.71
NA,WP_014789949.1,1,34.0,30.77
ppdK,WP_014789950.1,1,40.0,33.48
asnB,WP_014789951.1,1,43.0,39.85
NA,WP_014789952.1,1,37.0,32.83
NA,WP_014789953.1,1,39.0,33.33
NA,WP_038557032.1,1,42.0,30.77
NA,WP_014789955.1,1,37.0,35.97
NA,WP_014789956.1,1,39.0,41.67
NA,WP_014789957.1,1,39.0,39.18
NA,WP_014789958.1,1,38.0,38.1
NA,WP_014789959.1,1,37.0,36.73
fmt,WP_014789960.1,1,40.0,35.28
NA,WP_014789961.1,1,35.0,13.41
NA,WP_014789962.1,1,32.0,26.25
NA,WP_014789963.1,1,34.0,29.61
NA,WP_014789964.1,1,37.0,33.62
NA,WP_243925524.1,1,38.0,37.07
NA,WP_014789966.1,1,44.0,36.82
lysA,WP_014789967.1,1,36.0,32.25
NA,WP_014789968.1,1,30.0,22.65
NA,WP_014789969.1,1,39.0,32.8
NA,WP_014789970.1,1,36.0,30.41
NA,WP_014789971.1,1,33.0,24.11
NA,WP_036600849.1,1,31.0,23.27
NA,WP_014789972.1,1,35.0,30.15
NA,WP_014789973.1,1,31.0,24.22
NA,WP_014789974.1,1,33.0,32.84
NA,WP_014789975.1,1,35.0,31.3
NA,WP_014789976.1,1,34.0,29.29
NA,WP_014789978.1,1,32.0,28.68
NA,WP_155814479.1,1,30.0,22.77
NA,WP_014789981.1,1,42.0,40.0
NA,WP_036600850.1,1,38.0,37.71
aspS,WP_014789983.1,1,40.0,34.08
NA,WP_014789984.1,1,44.0,40.0
NA,WP_014789985.1,1,44.0,40.62
secA,WP_036600999.1,1,40.0,35.59
NA,WP_014789987.1,1,28.000000000000004,13.22
NA,WP_014789988.1,1,26.0,20.41
NA,WP_014789989.1,1,39.0,32.73
NA,WP_258205061.1,1,44.0,45.1
NA,WP_258204924.1,1,35.0,32.14
NA,WP_036600852.1,1,33.0,34.44
dnaX,WP_036600854.1,1,40.0,36.24
NA,WP_014789990.1,1,26.0,15.46
NA,WP_014789991.1,1,25.0,15.43
NA,WP_014789992.1,1,39.0,39.05
NA,WP_014789993.1,1,39.0,37.37
NA,WP_014789994.1,1,39.0,35.16
uvrB,WP_014789995.1,1,43.0,40.85
NA,WP_014789996.1,1,36.0,34.49
NA,WP_014789997.1,1,32.0,23.72
NA,WP_014789998.1,1,30.0,28.89
NA,WP_014789999.1,1,31.0,31.67
NA,WP_014790000.1,1,30.0,30.89
NA,WP_014790001.1,1,32.0,34.94
NA,WP_014790002.1,1,36.0,22.52
NA,WP_155814480.1,1,44.0,44.17
folD,WP_014790004.1,1,42.0,39.08
NA,WP_155814482.1,1,28.000000000000004,27.13
NA,WP_014790006.1,1,40.0,40.33
NA,WP_014790007.1,1,34.0,33.47
NA,WP_014790008.1,1,39.0,43.4
queA,WP_014790009.1,1,38.0,29.41
rlmN,WP_014790010.1,1,40.0,41.45
NA,WP_014790011.1,1,37.0,35.14
NA,WP_014790012.1,1,41.0,44.62
NA,WP_014790013.1,1,36.0,35.39
NA,WP_014790014.1,1,38.0,35.48
NA,WP_014790015.1,1,35.0,33.33
NA,WP_014790016.1,1,40.0,35.18
NA,WP_014790017.1,1,36.0,36.2
lysS,WP_014790018.1,1,40.0,36.64
rpoN,WP_014790019.1,1,39.0,40.62
asnS,WP_014790020.1,1,40.0,40.17
NA,WP_036600857.1,1,44.0,41.69
NA,WP_014790022.1,1,53.0,61.02
NA,WP_014790023.1,1,41.0,37.17
NA,WP_014790024.1,1,42.0,40.19
NA,WP_014790025.1,1,40.0,39.94
NA,WP_014790026.1,1,41.0,38.23
NA,WP_014790027.1,1,43.0,40.26
serC,WP_014790028.1,1,41.0,34.87
NA,WP_014790029.1,1,33.0,30.73
NA,WP_014790030.1,1,30.0,26.46
NA,WP_036600869.1,1,31.0,29.48
NA,WP_014790032.1,1,31.0,22.94
NA,WP_014790033.1,1,34.0,36.3
NA,WP_014790034.1,1,30.0,24.82
NA,WP_014790035.1,1,26.0,24.34
NA,WP_014790036.1,1,34.0,25.12
NA,WP_014790037.1,1,35.0,29.81
NA,WP_014790038.1,1,39.0,38.63
NA,WP_014790039.1,1,36.0,30.54
NA,WP_014790040.1,1,43.0,36.24
NA,WP_036601009.1,1,41.0,33.05
NA,WP_014790042.1,1,42.0,41.89
NA,WP_014790043.1,1,37.0,38.17
gap,WP_014790044.1,1,39.0,23.15
pfkA,WP_014790045.1,1,41.0,27.27
NA,WP_014790046.1,1,36.0,31.3
pyrH,WP_014790047.1,1,42.0,38.05
frr,WP_014790048.1,1,41.0,35.84
NA,WP_014790049.1,1,42.0,35.19
NA,WP_036600879.1,1,36.0,39.18
NA,WP_014790051.1,1,42.0,42.27
NA,WP_036600882.1,1,30.0,25.28
kdsA,WP_014790053.1,1,42.0,34.48
hemN,WP_014790054.1,1,39.0,38.29
hpt,WP_014790055.1,1,37.0,35.47
NA,WP_014790056.1,1,40.0,35.52
rsmG,WP_014790057.1,1,36.0,34.48
NA,WP_014790058.1,1,43.0,39.05
NA,WP_014790059.1,1,41.0,40.0
gldG,WP_014790060.1,1,39.0,40.11
NA,WP_014790061.1,1,35.0,34.48
NA,WP_014790062.1,1,35.0,41.18
NA,WP_014790063.1,1,42.0,40.0
NA,WP_014790064.1,1,39.0,35.53
azu,WP_014790065.1,1,41.0,33.96
NA,WP_014790066.1,1,39.0,35.03
NA,WP_014790067.1,1,37.0,41.99
NA,WP_155814484.1,1,39.0,30.18
NA,WP_014790069.1,1,41.0,41.44
NA,WP_014790070.1,1,39.0,40.85
NA,WP_014790071.1,1,38.0,37.82
NA,WP_014790072.1,1,35.0,36.09
NA,WP_014790073.1,1,39.0,44.76
NA,WP_014790074.1,1,38.0,36.36
NA,WP_014790075.1,1,38.0,34.55
NA,WP_014790076.1,1,34.0,29.53
NA,WP_014790077.1,1,37.0,36.87
tsaD,WP_014790078.1,1,41.0,38.41
NA,WP_014790079.1,1,39.0,37.17
NA,WP_036600893.1,1,32.0,32.63
prmC,WP_014790081.1,1,37.0,33.82
NA,WP_014790082.1,1,38.0,35.14
NA,WP_014790083.1,1,39.0,36.23
NA,WP_014790084.1,1,41.0,41.81
NA,WP_014790085.1,1,45.0,34.73
NA,WP_036601019.1,1,40.0,40.32
NA,WP_036600898.1,1,37.0,38.78
mltG,WP_155814485.1,1,40.0,40.3
dapF,WP_014790089.1,1,41.0,39.52
NA,WP_014790090.1,1,38.0,31.1
NA,WP_014790091.1,1,38.0,35.03
NA,WP_014790092.1,1,37.0,31.33
NA,WP_155814539.1,1,33.0,22.92
NA,WP_014790094.1,1,34.0,23.14
NA,WP_081484544.1,1,39.0,32.52
NA,WP_014790096.1,1,39.0,39.52
NA,WP_014790097.1,1,40.0,41.57
NA,WP_014790098.1,1,34.0,33.07
NA,WP_014790099.1,1,36.0,32.14
NA,WP_014790100.1,1,39.0,34.7
arsC,WP_014790101.1,1,33.0,28.57
NA,WP_036600901.1,1,38.0,29.11
NA,WP_014790103.1,1,43.0,39.84
NA,WP_014790104.1,1,34.0,30.45
NA,WP_014790105.1,1,35.0,35.94
NA,WP_014790106.1,1,36.0,36.41
prfA,WP_014790107.1,1,44.0,44.44
NA,WP_014790108.1,1,34.0,34.15
NA,WP_014790109.1,1,36.0,36.55
argS,WP_014790110.1,1,41.0,44.7
NA,WP_014790112.1,1,26.0,22.39
NA,WP_014790113.1,1,26.0,17.86
NA,WP_036600906.1,1,41.0,42.11
ppk1,WP_014790115.1,1,39.0,40.85
NA,WP_014790116.1,1,38.0,40.32
ccsA,WP_014790117.1,1,41.0,44.03
NA,WP_014790118.1,1,44.0,44.3
NA,WP_014790119.1,1,46.0,41.18
NA,WP_014790120.1,1,42.0,38.51
NA,WP_014790121.1,1,39.0,41.29
NA,WP_014790122.1,1,37.0,36.84
nqrF,WP_014790123.1,1,39.0,30.97
nqrE,WP_014790124.1,1,40.0,33.61
NA,WP_243925537.1,1,38.0,35.27
NA,WP_014790126.1,1,35.0,28.16
NA,WP_014790127.1,1,40.0,32.59
NA,WP_014790128.1,1,40.0,31.45
NA,WP_014790129.1,1,40.0,41.27
NA,WP_014790130.1,1,43.0,42.15
mgtE,WP_014790131.1,1,45.0,49.19
NA,WP_014790132.1,1,49.0,50.41
NA,WP_014790133.1,1,45.0,43.81
NA,WP_014790134.1,1,43.0,40.98
NA,WP_014790135.1,1,39.0,37.1
NA,WP_014790136.1,1,39.0,34.31
NA,WP_014790137.1,1,30.0,21.82
NA,WP_014790138.1,1,39.0,39.6
NA,WP_014790139.1,1,42.0,45.22
NA,WP_036600911.1,1,35.0,29.71
NA,WP_036600913.1,1,31.0,28.25
metK,WP_014790143.1,1,43.0,36.19
NA,WP_014790144.1,1,39.0,36.22
NA,WP_014790145.1,1,27.0,26.03
dapA,WP_014790146.1,1,42.0,38.35
NA,WP_014790147.1,1,27.0,19.71
NA,WP_014790148.1,1,26.0,23.72
NA,WP_014790149.1,1,39.0,37.76
NA,WP_014790150.1,1,38.0,36.25
bshA,WP_014790152.1,1,40.0,38.9
NA,WP_014790153.1,1,40.0,34.76
NA,WP_221403032.1,1,39.0,34.05
NA,WP_014790155.1,1,34.0,33.81
NA,WP_014790156.1,1,39.0,36.86
NA,WP_014790157.1,1,40.0,37.66
NA,WP_014790158.1,1,36.0,41.97
NA,WP_014790159.1,1,43.0,42.86
NA,WP_014790160.1,1,31.0,28.96
NA,WP_014790161.1,1,34.0,28.47
NA,WP_014790162.1,1,42.0,38.18
NA,WP_014790163.1,1,40.0,42.57
NA,WP_014790164.1,1,39.0,39.46
NA,WP_014790165.1,1,33.0,27.87
NA,WP_155814486.1,1,38.0,30.65
NA,WP_014790167.1,1,41.0,40.1
NA,WP_014790168.1,1,42.0,41.03
NA,WP_014790169.1,1,32.0,32.31
NA,WP_014790170.1,1,38.0,40.17
NA,WP_014790171.1,1,33.0,31.34
NA,WP_014790172.1,1,35.0,35.02
NA,WP_169313177.1,1,39.0,37.5
holA,WP_014790174.1,1,37.0,39.45
NA,WP_036600938.1,1,41.0,45.24
NA,WP_014790176.1,1,43.0,46.63
NA,WP_036600941.1,1,39.0,36.95
NA,WP_014790177.1,1,48.0,49.15
NA,WP_014790179.1,1,43.0,36.66
rpsO,WP_014790181.1,1,34.0,36.25
NA,WP_014790182.1,1,41.0,33.95
NA,WP_014790183.1,1,40.0,38.74
mnmE,WP_014790184.1,1,41.0,40.65
NA,WP_014790185.1,1,32.0,24.23
NA,WP_014790186.1,1,27.0,21.14
NA,WP_014790187.1,1,38.0,25.31
NA,WP_036600946.1,1,37.0,29.47
NA,WP_014790189.1,1,37.0,26.79
NA,WP_014790190.1,1,32.0,28.53
NA,WP_014790191.1,1,36.0,29.41
NA,WP_014790192.1,1,34.0,23.09
NA,WP_014790193.1,1,32.0,23.56
NA,WP_014790194.1,1,41.0,38.48
NA,WP_156097843.1,1,28.999999999999996,29.79
NA,WP_014790196.1,1,34.0,33.91
NA,WP_014790197.1,1,44.0,47.17
NA,WP_014790198.1,1,40.0,41.12
pruA,WP_036601052.1,1,43.0,34.9
NA,WP_014790200.1,1,38.0,39.84
NA,WP_014790201.1,1,41.0,36.09
NA,WP_081484546.1,1,31.0,21.28
NA,WP_014790202.1,1,25.0,20.43
NA,WP_014790203.1,1,33.0,24.64
NA,WP_014790204.1,1,27.0,19.39
NA,WP_258204942.1,1,31.0,25.71
NA,WP_014790205.1,1,36.0,35.11
NA,WP_014790206.1,1,46.0,45.45
glmM,WP_014790207.1,1,39.0,31.71
NA,WP_014790208.1,1,37.0,24.0
NA,WP_036600962.1,1,36.0,39.22
NA,WP_014790210.1,1,34.0,25.81
NA,WP_014790210.1,1,34.0,25.81
NA,WP_014790211.1,1,40.0,37.78
NA,WP_014790212.1,1,28.000000000000004,26.99
NA,WP_014790213.1,1,44.0,42.7
NA,WP_036600969.1,1,47.0,47.19
NA,WP_014790215.1,1,39.0,39.21
NA,WP_014790217.1,1,33.0,36.9
NA,WP_014790218.1,1,32.0,26.39
NA,WP_244878763.1,1,33.0,31.37
NA,WP_244878762.1,1,31.0,30.83
NA,WP_014790221.1,1,36.0,28.5
NA,WP_014790262.1,1,42.0,30.49
NA,WP_014790223.1,1,39.0,35.56
NA,WP_014790512.1,1,37.0,26.92
NA,WP_014790831.1,1,38.0,37.74
NA,WP_014790832.1,1,35.0,33.33
NA,WP_155814499.1,1,34.0,28.18
NA,WP_038557080.1,1,35.0,30.38
NA,WP_014790229.1,1,33.0,25.0
NA,WP_036601095.1,1,32.0,21.05
NA,WP_014790231.1,1,33.0,35.0
NA,WP_014790232.1,1,26.0,15.6
NA,WP_052040712.1,1,37.0,34.92
NA,WP_014790234.1,1,35.0,27.79
NA,WP_014790235.1,1,42.0,42.56
gldC,WP_036601098.1,1,46.0,47.96
NA,WP_014790237.1,1,39.0,39.05
nadE,WP_014790238.1,1,44.0,41.11
NA,WP_014790240.1,1,30.0,23.53
NA,WP_014790241.1,1,38.0,35.56
NA,WP_014790242.1,1,39.0,35.82
bla,WP_169313178.1,1,38.0,34.27
NA,WP_014790244.1,1,40.0,36.05
recO,WP_014790245.1,1,36.0,35.68
NA,WP_014790246.1,1,41.0,38.81
NA,WP_014790247.1,1,41.0,39.13
NA,WP_014790248.1,1,35.0,27.41
NA,WP_014790249.1,1,34.0,20.35
NA,WP_038557086.1,1,33.0,22.44
NA,WP_014790251.1,1,40.0,37.05
atpG,WP_014790252.1,1,39.0,36.92
atpA,WP_014790253.1,1,42.0,34.62
atpH,WP_014790254.1,1,36.0,31.07
NA,WP_014790255.1,1,38.0,35.03
atpE,WP_014790257.1,1,42.0,19.64
atpB,WP_243925541.1,1,36.0,35.34
NA,WP_014790218.1,1,32.0,26.39
NA,WP_014790511.1,1,33.0,31.22
NA,WP_014790221.1,1,36.0,28.5
NA,WP_014790262.1,1,42.0,30.49
NA,WP_014790223.1,1,39.0,35.56
NA,WP_014790224.1,1,36.0,26.15
NA,WP_014790225.1,1,40.0,39.66
NA,WP_014790226.1,1,33.0,29.05
NA,WP_014790227.1,1,31.0,21.65
NA,WP_014790264.1,1,34.0,28.81
NA,WP_014790229.1,1,33.0,25.0
NA,WP_014790265.1,1,34.0,24.34
NA,WP_014790266.1,1,36.0,41.67
NA,WP_014790268.1,1,28.000000000000004,23.47
NA,WP_014791246.1,1,37.0,34.29
NA,WP_014791245.1,1,35.0,31.93
dnaK,WP_014791244.1,1,41.0,29.67
NA,WP_014791243.1,1,38.0,38.51
tilS,WP_014791242.1,1,34.0,32.62
NA,WP_014791241.1,1,40.0,36.02
trpA,WP_014791240.1,1,39.0,37.87
trpB,WP_014791239.1,1,42.0,35.49
NA,WP_014791238.1,1,35.0,34.69
trpC,WP_014791237.1,1,38.0,38.0
trpD,WP_014791236.1,1,42.0,41.43
NA,WP_014791235.1,1,36.0,26.2
NA,WP_036601118.1,1,35.0,25.44
uvrA,WP_014791233.1,1,39.0,34.41
NA,WP_014791232.1,1,31.0,23.91
pdxH,WP_014791231.1,1,40.0,38.54
NA,WP_014791230.1,1,33.0,30.86
NA,WP_014791229.1,1,36.0,27.35
miaA,WP_036601122.1,1,35.0,30.14
tsf,WP_014791227.1,1,36.0,20.75
rpsB,WP_014791226.1,1,36.0,28.63
rpsI,WP_014791225.1,1,40.0,29.41
rplM,WP_014791224.1,1,38.0,26.76
NA,WP_014791223.1,1,39.0,38.33
NA,WP_014791222.1,1,39.0,35.23
NA,WP_036601124.1,1,30.0,26.83
NA,WP_036601125.1,1,44.0,40.77
NA,WP_036601377.1,1,37.0,34.96
NA,WP_014791219.1,1,33.0,21.63
NA,WP_014791218.1,1,27.0,19.48
tpiA,WP_014791217.1,1,40.0,28.86
NA,WP_014791216.1,1,37.0,26.83
rlmB,WP_014791215.1,1,45.0,44.73
prmA,WP_014791214.1,1,39.0,35.71
NA,WP_014791213.1,1,45.0,51.14
ruvX,WP_155814511.1,1,45.0,47.66
def,WP_014791211.1,1,39.0,42.54
NA,WP_014791210.1,1,36.0,34.09
mazG,WP_014791209.1,1,40.0,38.71
NA,WP_014791208.1,1,41.0,37.46
NA,WP_014791207.1,1,42.0,48.86
NA,WP_014791206.1,1,32.0,23.68
NA,WP_014791205.1,1,33.0,28.0
NA,WP_014791204.1,1,40.0,40.46
NA,WP_014791203.1,1,36.0,38.57
NA,WP_014791202.1,1,37.0,31.97
NA,WP_014791201.1,1,41.0,42.26
NA,WP_014791200.1,1,38.0,41.96
recR,WP_014791199.1,1,45.0,46.35
NA,WP_014791198.1,1,41.0,36.75
NA,WP_014791197.1,1,40.0,41.71
NA,WP_014791196.1,1,43.0,47.49
NA,WP_014791195.1,1,40.0,34.36
NA,WP_014791194.1,1,49.0,51.69
NA,WP_014791193.1,1,44.0,35.45
NA,WP_155814510.1,1,42.0,29.27
NA,WP_014791191.1,1,37.0,37.72
NA,WP_014791190.1,1,43.0,37.68
NA,WP_014791189.1,1,39.0,41.44
truB,WP_014791188.1,1,40.0,37.84
NA,WP_014791187.1,1,45.0,45.26
NA,WP_014791186.1,1,31.0,31.01
NA,WP_014791185.1,1,39.0,38.6
NA,WP_036601392.1,1,35.0,37.41
guaB,WP_014791183.1,1,43.0,35.83
NA,WP_014791182.1,1,33.0,34.29
NA,WP_014791181.1,1,40.0,40.35
NA,WP_014791180.1,1,41.0,37.19
NA,WP_014791179.1,1,31.0,22.22
NA,WP_014791178.1,1,36.0,18.06
ffh,WP_014791177.1,1,42.0,40.5
NA,WP_014791176.1,1,36.0,33.93
NA,WP_036601126.1,1,40.0,38.47
NA,WP_014791174.1,1,36.0,28.44
gldN,WP_014791173.1,1,38.0,32.43
gldM,WP_014791172.1,1,38.0,25.95
gldL,WP_014791171.1,1,36.0,25.0
gldK,WP_014791170.1,1,37.0,25.64
NA,WP_014791169.1,1,36.0,31.37
topA,WP_014791168.1,1,38.0,29.85
NA,WP_014791166.1,1,44.0,42.46
NA,WP_014791165.1,1,37.0,37.87
NA,WP_014791164.1,1,40.0,26.83
NA,WP_014791163.1,1,38.0,35.91
tsaB,WP_014791162.1,1,41.0,40.09
NA,WP_014791161.1,1,37.0,40.34
NA,WP_014791160.1,1,44.0,38.15
NA,WP_014791159.1,1,42.0,39.93
NA,WP_014791158.1,1,38.0,38.13
