gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_108648885.1,2,54.0,62.31
dnaN,WP_108648886.1,1,56.00000000000001,70.75
recF,WP_108648887.1,1,52.0,54.7
gyrB,WP_108648888.1,1,52.0,58.34
NA,WP_108648889.1,1,51.0,57.99
NA,WP_199911671.1,1,51.0,60.44
NA,WP_234418467.1,1,54.0,63.24
NA,WP_234418468.1,1,52.0,59.22
NA,WP_108648890.1,1,52.0,53.44
glyS,WP_108648891.1,1,56.00000000000001,63.53
glyQ,WP_108648892.1,1,54.0,61.56
NA,WP_108648893.1,1,51.0,54.86
NA,WP_108648894.1,1,53.0,62.84
tusA,WP_108648895.1,1,54.0,63.01
NA,WP_234418469.1,1,52.0,58.18
NA,WP_108648897.1,1,52.0,62.11
NA,WP_108648898.1,1,52.0,54.51
pepQ,WP_108648899.1,1,52.0,57.31
NA,WP_108648900.1,1,54.0,55.28
hemG,WP_108648901.1,1,48.0,60.12
NA,WP_159084294.1,1,50.0,57.29
NA,WP_108648903.1,1,46.0,51.39
NA,WP_108648904.1,1,45.0,52.44
NA,WP_108648905.1,1,49.0,59.08
NA,WP_234418470.1,1,52.0,60.42
NA,WP_234418471.1,1,50.0,55.97
NA,WP_159084295.1,1,49.0,55.47
NA,WP_159084296.1,1,54.0,61.85
NA,WP_108648908.1,1,53.0,56.25
NA,WP_108648909.1,1,53.0,62.11
NA,WP_108648910.1,1,52.0,61.11
NA,WP_108648911.1,1,54.0,57.82
NA,WP_108648912.1,1,52.0,56.22
NA,WP_108648913.1,1,49.0,53.59
ubiE,WP_108648914.1,1,48.0,53.53
NA,WP_108648915.1,1,52.0,57.95
ubiB,WP_108648916.1,1,53.0,61.12
NA,WP_108648917.1,1,49.0,58.4
NA,WP_108648918.1,1,54.0,67.44
NA,WP_108648919.1,1,52.0,58.05
NA,WP_199911672.1,1,51.0,58.33
NA,WP_108648920.1,1,47.0,58.91
pgi,WP_108648921.1,1,53.0,68.83
cueR,WP_108648922.1,1,52.0,59.5
NA,WP_108648923.1,1,56.00000000000001,67.65
NA,WP_108648924.1,1,54.0,67.34
NA,WP_234418472.1,1,49.0,56.9
NA,WP_108648925.1,1,51.0,57.69
NA,WP_108648926.1,1,54.0,58.1
NA,WP_108648927.1,1,51.0,59.21
NA,WP_108648928.1,1,56.00000000000001,58.89
NA,WP_199911674.1,1,54.0,60.23
NA,WP_234418473.1,1,53.0,56.06
NA,WP_108648930.1,1,53.0,59.34
NA,WP_108648931.1,1,52.0,59.65
NA,WP_108648932.1,1,56.00000000000001,75.51
NA,WP_108648933.1,1,50.0,52.33
NA,WP_108648934.1,1,48.0,49.46
NA,WP_108648935.1,1,54.0,65.08
NA,WP_108648936.1,1,49.0,62.72
NA,WP_108648937.1,1,54.0,58.92
NA,WP_108648938.1,1,48.0,51.85
NA,WP_108648939.1,1,53.0,59.58
NA,WP_108648940.1,1,50.0,58.09
agaR,WP_108648941.1,1,51.0,56.45
NA,WP_108648942.1,1,56.00000000000001,57.76
NA,WP_108648943.1,1,56.00000000000001,61.87
agaV,WP_108648944.1,1,54.0,64.52
agaW,WP_108648945.1,1,55.00000000000001,68.02
NA,WP_234418474.1,1,57.99999999999999,70.31
NA,WP_234418475.1,1,55.00000000000001,68.84
agaF,WP_108648946.1,1,54.0,60.74
nagA,WP_108648947.1,1,57.99999999999999,60.69
NA,WP_108648948.1,1,56.00000000000001,61.82
NA,WP_159084297.1,1,56.99999999999999,60.89
NA,WP_108648950.1,1,55.00000000000001,64.69
NA,WP_108648951.1,1,55.00000000000001,70.0
NA,WP_159084298.1,1,55.00000000000001,67.31
NA,WP_159084299.1,1,56.99999999999999,66.38
NA,WP_108648953.1,1,56.99999999999999,58.04
NA,WP_108648954.1,1,49.0,48.65
NA,WP_108648955.1,1,38.0,31.83
traT,WP_159084300.1,1,35.0,21.3
NA,WP_108648957.1,1,34.0,20.89
NA,WP_108648958.1,1,44.0,51.82
NA,WP_108648959.1,1,49.0,56.76
ilvC,WP_108648960.1,1,55.00000000000001,62.89
ilvY,WP_108648961.1,1,57.99999999999999,64.64
NA,WP_159084301.1,1,49.0,52.08
NA,WP_108648963.1,1,57.99999999999999,68.99
NA,WP_108648964.1,1,52.0,62.82
NA,WP_108648965.1,1,53.0,60.41
NA,WP_108648966.1,1,49.0,56.0
NA,WP_159084302.1,1,49.0,54.02
menE,WP_108648968.1,1,56.00000000000001,62.64
menC,WP_108648969.1,1,56.99999999999999,69.26
menB,WP_108648970.1,1,55.00000000000001,62.09
menH,WP_159084303.1,1,56.00000000000001,61.85
menD,WP_108648972.1,1,57.99999999999999,62.94
NA,WP_108648973.1,1,54.0,60.89
menA,WP_108648974.1,1,55.00000000000001,65.75
fabR,WP_108648975.1,1,56.00000000000001,60.1
NA,WP_108648976.1,1,51.0,61.71
NA,WP_159084304.1,1,52.0,57.33
NA,WP_108648978.1,1,49.0,58.55
NA,WP_159084305.1,1,54.0,70.0
NA,WP_108652874.1,1,56.00000000000001,64.71
NA,WP_108648979.1,1,52.0,54.72
NA,WP_159084306.1,1,46.0,45.36
NA,WP_234418574.1,1,56.00000000000001,64.47
NA,WP_108648982.1,1,56.00000000000001,74.49
NA,WP_108648983.1,1,37.0,32.41
NA,WP_108648984.1,1,41.0,41.18
thiH,WP_108648985.1,1,57.99999999999999,70.64
NA,WP_108648986.1,1,60.0,69.35
thiS,WP_108648987.1,1,54.0,64.91
moeB,WP_108648988.1,1,59.0,65.04
thiE,WP_108648989.1,1,59.0,66.53
NA,WP_108648990.1,1,49.0,53.41
NA,WP_159084307.1,1,54.0,67.95
NA,WP_159084308.1,1,55.00000000000001,62.84
NA,WP_108648993.1,1,53.0,52.9
NA,WP_108648994.1,1,52.0,45.5
