gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_264349316.1,1,72.0,85.64
NA,WP_264349317.1,1,67.0,80.0
NA,WP_264349318.1,1,66.0,80.31
NA,WP_264349319.1,1,69.0,90.18
NA,WP_014174104.1,1,71.0,90.97
NA,WP_014174103.1,1,70.0,86.75
NA,WP_014174102.1,1,71.0,93.18
NA,WP_014174100.1,1,75.0,87.08
NA,WP_264349320.1,1,69.0,83.17
rpmG,WP_014174096.1,1,67.0,91.11
ykgO,WP_014174094.1,1,65.0,80.65
NA,WP_014174093.1,1,74.0,80.81
NA,WP_014174092.1,1,70.0,82.24
NA,WP_264349321.1,1,68.0,77.53
NA,WP_043486228.1,1,70.0,86.72
NA,WP_014174088.1,1,65.0,76.92
NA,WP_014174086.1,1,69.0,76.88
NA,WP_264349560.1,1,69.0,80.0
NA,WP_014174084.1,1,74.0,90.12
NA,WP_014174082.1,1,66.0,85.62
NA,WP_238545303.1,1,72.0,87.21
NA,WP_238545302.1,1,70.0,91.59
NA,WP_014174078.1,1,69.0,93.15
NA,WP_014181878.1,1,63.0,82.27
NA,WP_014181880.1,1,69.0,87.5
NA,WP_043488205.1,1,70.0,88.17
NA,WP_158104655.1,1,71.0,87.5
NA,WP_238545740.1,1,70.0,83.33
NA,WP_014181885.1,1,71.0,88.01
NA,WP_014181886.1,1,66.0,81.58
NA,WP_014181887.1,1,66.0,88.46
NA,WP_014181888.1,1,71.0,91.22
NA,WP_043488209.1,1,68.0,76.81
NA,WP_264349322.1,1,72.0,85.62
NA,WP_014181892.1,1,69.0,80.0
NA,WP_043492617.1,1,65.0,91.13
NA,WP_143675786.1,1,69.0,78.92
NA,WP_014181896.1,1,70.0,81.94
NA,WP_014181897.1,1,65.0,75.86
NA,WP_238545538.1,1,71.0,87.36
NA,WP_238545539.1,1,69.0,83.33
NA,WP_014181900.1,1,71.0,88.16
NA,WP_107425969.1,1,66.0,86.32
NA,WP_014181904.1,1,57.99999999999999,62.69
NA,WP_078610785.1,1,72.0,93.18
NA,WP_014181906.1,1,62.0,90.48
NA,WP_014181907.1,1,73.0,81.72
NA,WP_043488214.1,1,66.0,84.05
NA,WP_014181909.1,1,68.0,86.7
NA,WP_014181910.1,1,69.0,85.21
NA,WP_158104666.1,1,70.0,79.55
NA,WP_014181913.1,1,75.0,90.3
NA,WP_014181914.1,1,71.0,87.69
NA,WP_078611001.1,1,66.0,74.0
NA,WP_148276956.1,1,73.0,78.72
NA,WP_238545540.1,1,66.0,81.01
NA,WP_014181921.1,1,72.0,89.0
NA,WP_014181922.1,1,64.0,76.19
NA,WP_014181923.1,1,67.0,85.59
NA,WP_014181925.1,1,70.0,82.46
NA,WP_014181926.1,1,73.0,94.74
NA,WP_158104667.1,1,69.0,74.42
NA,WP_014181927.1,1,72.0,85.89
NA,WP_014181928.1,1,71.0,84.38
NA,WP_014181929.1,1,68.0,80.87
NA,WP_014181930.1,1,65.0,81.68
NA,WP_014181931.1,1,68.0,89.19
NA,WP_043492630.1,1,65.0,78.42
NA,WP_014181934.1,1,68.0,83.69
NA,WP_193383764.1,1,70.0,86.65
NA,WP_014181938.1,1,67.0,84.85
NA,WP_014181939.1,1,72.0,88.46
NA,WP_143675788.1,1,65.0,78.89
NA,WP_014181941.1,1,71.0,93.48
NA,WP_078610789.1,1,68.0,96.8
NA,WP_043492636.1,1,66.0,94.74
NA,WP_264349323.1,1,67.0,93.72
NA,WP_014181945.1,1,74.0,89.66
NA,WP_014181946.1,1,72.0,89.61
NA,WP_014181947.1,1,69.0,91.97
NA,WP_014181948.1,1,70.0,94.05
NA,WP_014181949.1,1,69.0,91.17
NA,WP_014181950.1,1,72.0,88.58
NA,WP_014181951.1,1,71.0,90.04
NA,WP_014181952.1,1,72.0,87.4
NA,WP_014181953.1,1,70.0,88.91
NA,WP_014181954.1,1,73.0,90.73
NA,WP_043492637.1,1,69.0,91.87
NA,WP_014181956.1,1,64.0,82.73
NA,WP_014181957.1,1,73.0,90.46
NA,WP_014181958.1,1,73.0,86.65
NA,WP_014181959.1,1,71.0,82.58
NA,WP_014181960.1,1,72.0,92.55
NA,WP_014181961.1,1,66.0,94.27
NA,WP_014181962.1,1,66.0,88.92
NA,WP_078610790.1,1,67.0,92.58
NA,WP_014181964.1,1,71.0,85.35
NA,WP_014181965.1,1,71.0,90.7
NA,WP_014181966.1,1,69.0,94.01
NA,WP_014181967.1,1,72.0,90.49
NA,WP_055414362.1,1,69.0,90.33
NA,WP_238545541.1,1,72.0,86.73
NA,WP_043492647.1,1,71.0,85.9
NA,WP_043492649.1,1,67.0,81.79
NA,WP_043488227.1,1,73.0,85.54
NA,WP_014181973.1,1,69.0,86.96
NA,WP_014181974.1,1,65.0,75.6
NA,WP_055414364.1,1,67.0,72.09
NA,WP_043488231.1,1,69.0,83.12
NA,WP_014181980.1,1,71.0,86.55
NA,WP_014181981.1,1,72.0,87.93
NA,WP_238545542.1,1,67.0,78.25
sigJ,WP_014181983.1,1,69.0,86.62
NA,WP_014181984.1,1,72.0,95.14
NA,WP_043492660.1,1,60.0,75.91
NA,WP_238545543.1,1,71.0,77.34
NA,WP_106436489.1,1,69.0,86.97
NA,WP_014181989.1,1,73.0,91.73
NA,WP_264349324.1,1,66.0,77.59
NA,WP_014181991.1,1,69.0,81.17
NA,WP_014181992.1,1,71.0,84.33
NA,WP_106436490.1,1,67.0,84.99
NA,WP_078610793.1,1,72.0,82.69
NA,WP_014181996.1,1,74.0,88.83
NA,WP_043488238.1,1,71.0,88.77
NA,WP_043488240.1,1,70.0,89.57
NA,WP_264349325.1,1,61.0,61.29
NA,WP_014182001.1,1,64.0,75.15
NA,WP_055414070.1,1,68.0,78.87
NA,WP_043492667.1,1,72.0,86.86
NA,WP_014182004.1,1,72.0,84.9
NA,WP_238545544.1,1,71.0,87.5
NA,WP_014182006.1,1,71.0,89.71
NA,WP_014182007.1,1,73.0,87.24
NA,WP_043492668.1,1,67.0,81.46
NA,WP_043488242.1,1,66.0,84.39
rfbB,WP_014182010.1,1,68.0,91.18
NA,WP_063647581.1,1,69.0,88.81
rfbD,WP_014182012.1,1,70.0,83.96
NA,WP_014182013.1,1,72.0,93.13
NA,WP_264349326.1,1,68.0,77.86
NA,WP_264349327.1,1,67.0,77.7
NA,WP_264349328.1,1,70.0,83.02
NA,WP_264349329.1,1,69.0,80.07
NA,WP_264349330.1,1,67.0,77.81
NA,WP_264349331.1,1,68.0,79.32
NA,WP_014174143.1,1,67.0,92.86
NA,WP_264349561.1,1,68.0,79.11
NA,WP_014174145.1,1,67.0,85.59
NA,WP_043489179.1,1,69.0,81.63
NA,WP_014174148.1,1,70.0,87.39
dapA,WP_014174149.1,1,70.0,89.31
NA,WP_043486233.1,1,69.0,92.2
NA,WP_014174151.1,1,68.0,92.68
NA,WP_014174152.1,1,72.0,84.38
NA,WP_014174153.1,1,70.0,89.62
NA,WP_014174154.1,1,70.0,91.45
NA,WP_014174155.1,1,70.0,93.7
NA,WP_014174156.1,1,69.0,89.89
NA,WP_014174157.1,1,73.0,92.39
soxG,WP_055413869.1,1,73.0,90.0
NA,WP_014174159.1,1,68.0,76.6
NA,WP_043486237.1,1,70.0,89.76
NA,WP_014174161.1,1,75.0,94.09
NA,WP_014174162.1,1,71.0,93.08
NA,WP_043486240.1,1,71.0,88.47
NA,WP_014174164.1,1,66.0,83.89
NA,WP_014174165.1,1,73.0,82.13
NA,WP_014174166.1,1,72.0,78.81
NA,WP_014174167.1,1,72.0,87.5
NA,WP_014174168.1,1,72.0,86.69
NA,WP_238545601.1,1,65.0,74.72
NA,WP_014174170.1,1,68.0,86.83
NA,WP_014174171.1,1,73.0,91.45
NA,WP_014174172.1,1,73.0,91.41
NA,WP_014174173.1,1,71.0,85.42
NA,WP_238545306.1,1,70.0,76.88
NA,WP_238545307.1,1,71.0,89.9
