gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_256547878.1,1,28.000000000000004,21.73
NA,WP_256547495.1,1,28.999999999999996,24.59
gyrA,WP_256547497.1,1,33.0,20.43
NA,WP_256547517.1,1,25.0,14.93
NA,WP_256547519.1,1,31.0,16.41
deoC,WP_256547521.1,1,35.0,18.87
NA,WP_256547526.1,1,23.0,20.41
NA,WP_256547530.1,1,28.999999999999996,16.6
atpE,WP_256547849.1,1,38.0,20.45
atpD,WP_256547850.1,1,38.0,24.09
NA,WP_256547538.1,1,31.0,21.26
NA,WP_256547544.1,1,28.000000000000004,13.39
nrdI,WP_256547546.1,1,27.0,16.96
rpmF,WP_256547551.1,1,31.0,20.83
pth,WP_256547556.1,1,26.0,14.04
NA,WP_256547562.1,1,28.000000000000004,17.18
NA,WP_256547564.1,1,33.0,12.33
rpsO,WP_256547851.1,1,32.0,18.75
hpt,WP_256547568.1,1,32.0,19.65
NA,WP_256547569.1,1,39.0,24.36
upp,WP_256547573.1,1,31.0,16.75
NA,WP_256547585.1,1,32.0,18.09
NA,WP_256547600.1,1,32.0,22.1
NA,WP_256547601.1,1,35.0,19.16
NA,WP_256547606.1,1,35.0,23.77
NA,WP_256547610.1,1,35.0,20.07
NA,WP_256547614.1,1,25.0,11.17
NA,WP_256547617.1,1,26.0,22.58
greA,WP_256547627.1,1,35.0,23.49
rpsU,WP_256547638.1,1,35.0,14.89
rpsT,WP_256547639.1,1,34.0,16.67
NA,WP_256547853.1,1,26.0,18.06
rbfA,WP_256547643.1,1,31.0,24.77
NA,WP_256547659.1,1,33.0,24.29
NA,WP_256547669.1,1,28.000000000000004,31.34
rplD,WP_256547672.1,1,36.0,21.52
NA,WP_256547673.1,1,39.0,31.25
rplB,WP_256547674.1,1,42.0,30.43
rplV,WP_256547676.1,1,40.0,31.97
rpmC,WP_256547678.1,1,36.0,26.36
rplN,WP_256547679.1,1,44.0,33.63
rplR,WP_256547684.1,1,39.0,32.11
rplO,WP_256547686.1,1,43.0,33.33
NA,WP_256547688.1,1,39.0,31.73
infA,WP_256547856.1,1,33.0,20.69
rpmJ,WP_256547690.1,1,37.0,35.71
NA,WP_256547691.1,1,41.0,30.77
rpsK,WP_256547692.1,1,44.0,28.07
rplQ,WP_256547694.1,1,40.0,31.82
NA,WP_256547730.1,1,35.0,27.49
grpE,WP_256547731.1,1,35.0,25.0
NA,WP_256547765.1,1,42.0,42.25
NA,WP_256547783.1,1,37.0,27.86
secG,WP_256547784.1,1,36.0,33.33
smpB,WP_256547859.1,1,35.0,31.11
tuf,WP_256547790.1,1,42.0,30.13
NA,WP_256547803.1,1,32.0,25.12
NA,WP_256547804.1,1,30.0,20.65
NA,WP_256547812.1,1,35.0,28.77
rpmE,WP_256547817.1,1,33.0,21.74
NA,WP_256547846.1,1,22.0,14.71
gmk,WP_256547042.1,1,28.999999999999996,17.13
NA,WP_256547050.1,1,28.999999999999996,26.73
NA,WP_256547052.1,1,28.999999999999996,17.14
rpmB,WP_256547065.1,1,31.0,19.64
glpO,WP_256547066.1,1,38.0,20.11
NA,WP_256547069.1,1,28.000000000000004,20.08
NA,WP_256547078.1,1,37.0,23.46
rplI,WP_256547864.1,1,30.0,26.81
rpsR,WP_256547095.1,1,30.0,18.06
rpmG,WP_256547099.1,1,27.0,20.45
NA,WP_256547102.1,1,32.0,24.43
NA,WP_256547109.1,1,34.0,27.59
rplS,WP_265745429.1,1,36.0,20.83
trmD,WP_256547118.1,1,33.0,20.18
hrcA,WP_256547125.1,1,28.000000000000004,19.83
ybeY,WP_256547129.1,1,23.0,19.26
NA,WP_256547132.1,1,23.0,19.12
NA,WP_256547139.1,1,21.0,11.03
NA,WP_256547145.1,1,24.0,10.17
ruvB,WP_256547147.1,1,24.0,13.49
NA,WP_256547155.1,1,34.0,25.0
rsmI,WP_256547157.1,1,30.0,19.12
NA,WP_256547169.1,1,31.0,18.69
rpmI,WP_256547174.1,1,36.0,24.56
NA,WP_256547183.1,1,31.0,16.82
NA,WP_256547186.1,1,41.0,31.52
NA,WP_256547198.1,1,37.0,30.0
NA,WP_256547205.1,1,33.0,23.6
NA,WP_256547206.1,1,28.000000000000004,26.47
NA,WP_256547207.1,1,34.0,28.24
NA,WP_256547871.1,1,32.0,24.73
rplK,WP_256547228.1,1,35.0,19.15
rpmA,WP_256547229.1,1,40.0,24.72
NA,WP_256547230.1,1,36.0,25.77
rplU,WP_256547231.1,1,34.0,20.0
NA,WP_256547238.1,1,30.0,16.83
rplL,WP_256547242.1,1,36.0,13.27
rplJ,WP_256547243.1,1,33.0,18.95
rnc,WP_256547255.1,1,31.0,24.68
coaD,WP_256547258.1,1,36.0,19.85
NA,WP_256547259.1,1,33.0,21.6
NA,WP_256547266.1,1,20.0,13.39
NA,WP_256547268.1,1,24.0,3.33
NA,WP_256547271.1,1,37.0,35.24
NA,WP_256547272.1,1,39.0,26.43
deoD,WP_256547284.1,1,40.0,30.0
NA,WP_256547285.1,1,38.0,26.63
NA,WP_256547286.1,1,33.0,28.71
NA,WP_256547315.1,1,33.0,19.75
NA,WP_256547321.1,1,24.0,15.79
NA,WP_256547322.1,1,28.000000000000004,14.29
NA,WP_256547338.1,1,34.0,18.02
NA,WP_256547347.1,1,32.0,32.1
NA,WP_256547350.1,1,30.0,25.93
NA,WP_256547353.1,1,33.0,16.94
NA,WP_256547360.1,1,31.0,18.44
NA,WP_256547361.1,1,32.0,25.9
rpsI,WP_256547372.1,1,36.0,15.38
NA,WP_256547397.1,1,39.0,8.49
NA,WP_256547414.1,1,39.0,20.13
NA,WP_256547416.1,1,34.0,18.46
trpS,WP_256547420.1,1,31.0,22.63
NA,WP_256547425.1,1,25.0,20.37
NA,WP_256547427.1,1,37.0,24.43
NA,WP_256547428.1,1,33.0,22.03
NA,WP_256547447.1,1,32.0,19.44
NA,WP_256547450.1,1,26.0,18.18
def,WP_256547471.1,1,32.0,19.27
cmk,WP_256547472.1,1,31.0,19.09
NA,WP_256547475.1,1,36.0,18.28
mnmE,WP_256547480.1,1,31.0,15.84
rsmA,WP_256547489.1,1,23.0,12.88
rpmH,WP_256547491.1,1,38.0,15.38
