gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_107801411.1,1,62.0,78.57
NA,WP_107801412.1,1,65.0,88.89
NA,WP_107801413.1,1,62.0,81.25
NA,WP_227106006.1,1,65.0,90.4
NA,WP_107801415.1,1,66.0,86.18
NA,WP_227106008.1,1,64.0,87.2
NA,WP_048415369.1,1,65.0,87.4
NA,WP_107801417.1,1,68.0,90.74
NA,WP_107801418.1,1,68.0,86.28
hslV,WP_107801419.1,1,65.0,86.81
hslU,WP_107801420.1,1,65.0,88.13
NA,WP_227106009.1,1,66.0,88.17
NA,WP_227106011.1,1,65.0,83.19
NA,WP_107801535.1,1,60.0,78.3
NA,WP_227106013.1,1,66.0,78.47
NA,WP_107801533.1,1,63.0,73.21
NA,WP_227106015.1,1,67.0,90.41
NA,WP_043592621.1,1,60.0,91.52
NA,WP_107801531.1,1,65.0,85.33
NA,WP_191186169.1,1,64.0,78.79
NA,WP_227106017.1,1,71.0,88.45
NA,WP_227106019.1,1,70.0,91.84
NA,WP_107801528.1,1,67.0,83.87
NA,WP_227106021.1,1,67.0,88.99
NA,WP_227106023.1,1,71.0,91.35
NA,WP_107801526.1,1,64.0,80.58
NA,WP_227106024.1,1,66.0,87.65
NA,WP_227106027.1,1,66.0,88.67
NA,WP_227106029.1,1,62.0,89.53
NA,WP_199225977.1,1,71.0,88.28
eboE,WP_158274405.1,1,70.0,88.06
NA,WP_227106030.1,1,75.0,94.41
NA,WP_107801522.1,1,72.0,87.89
NA,WP_199225975.1,1,67.0,90.59
NA,WP_107801520.1,1,66.0,87.88
NA,WP_227106031.1,1,62.0,77.86
NA,WP_227106032.1,1,64.0,87.03
NA,WP_081556483.1,1,62.0,89.07
NA,WP_227106033.1,1,71.0,90.34
argH,WP_227106034.1,1,67.0,89.82
NA,WP_227106035.1,1,68.0,88.57
NA,WP_019103455.1,1,63.0,87.8
NA,WP_227106036.1,1,67.0,92.5
NA,WP_227106037.1,1,65.0,90.13
NA,WP_107801512.1,1,65.0,87.88
NA,WP_048408066.1,1,71.0,91.46
edd,WP_227106038.1,1,68.0,89.62
zwf,WP_107801510.1,1,65.0,89.65
NA,WP_227106039.1,1,61.0,70.73
pgl,WP_107801509.1,1,70.0,91.2
NA,WP_227106040.1,1,70.0,82.53
hexR,WP_048415130.1,1,64.0,87.23
pgi,WP_107801507.1,1,63.0,90.61
NA,WP_227106041.1,1,67.0,88.89
NA,WP_227106042.1,1,70.0,89.3
NA,WP_107801504.1,1,66.0,93.99
NA,WP_019101645.1,1,57.99999999999999,91.01
NA,WP_107801503.1,1,70.0,91.48
NA,WP_227106043.1,1,70.0,90.52
NA,WP_227106045.1,1,71.0,88.08
NA,WP_227106047.1,1,70.0,87.76
NA,WP_107801499.1,1,73.0,87.78
NA,WP_227106049.1,1,71.0,89.0
choX,WP_227106051.1,1,65.0,86.08
NA,WP_227106054.1,1,66.0,87.96
NA,WP_107801495.1,1,66.0,88.16
NA,WP_227106056.1,1,71.0,89.98
NA,WP_227106058.1,1,68.0,88.77
NA,WP_227106060.1,1,73.0,91.48
NA,WP_227106062.1,1,71.0,89.4
NA,WP_227106064.1,1,74.0,90.48
NA,WP_227106066.1,1,67.0,80.34
NA,WP_227106068.1,1,64.0,76.42
NA,WP_227106070.1,1,66.0,86.58
mnmE,WP_227106072.1,1,68.0,90.25
yidC,WP_227106074.1,1,63.0,90.76
yidD,WP_107801093.1,1,66.0,78.33
rnpA,WP_039753648.1,1,60.0,73.21
rpmH,WP_048408088.1,1,65.0,65.71
dnaA,WP_107801092.1,1,62.0,85.27
dnaN,WP_048408090.1,1,61.0,86.11
gyrB,WP_227106076.1,1,61.0,82.85
NA,WP_227106078.1,1,53.0,53.23
NA,WP_227106081.1,1,50.0,49.09
NA,WP_227106083.1,1,46.0,44.02
NA,WP_227106085.1,1,49.0,47.8
NA,WP_227106087.1,1,49.0,53.51
NA,WP_227106089.1,1,54.0,62.79
NA,WP_227106091.1,1,52.0,60.87
NA,WP_227106093.1,1,56.00000000000001,63.6
NA,WP_227106095.1,1,49.0,48.48
NA,WP_227106097.1,1,53.0,43.4
NA,WP_255701169.1,1,41.0,33.33
NA,WP_227106099.1,1,59.0,69.32
NA,WP_227106101.1,1,56.99999999999999,63.2
NA,WP_227106103.1,1,56.00000000000001,67.8
NA,WP_227106105.1,1,48.0,67.35
NA,WP_227106107.1,1,61.0,71.68
