gene_name,prot_id,number_of_exons,GC,GC3
dnaA,WP_010747419.1,1,39.0,33.8
dnaN,WP_010747418.1,1,37.0,26.7
yaaA,WP_010747417.1,1,41.0,36.62
recF,WP_218256258.1,1,36.0,33.33
gyrB,WP_218256259.1,1,41.0,31.41
gyrA,WP_218256260.1,1,41.0,31.15
rpsF,WP_010742561.1,1,38.0,32.97
ssb,WP_010747413.1,1,40.0,29.56
rpsR,WP_010747412.1,1,35.0,22.06
NA,WP_218256261.1,1,38.0,31.47
rplI,WP_010747410.1,1,37.0,27.66
dnaB,WP_218256262.1,1,43.0,37.84
NA,WP_218256263.1,1,41.0,31.59
NA,WP_218256264.1,1,41.0,34.05
NA,WP_218256265.1,1,39.0,35.07
NA,WP_218256266.1,1,40.0,31.66
NA,WP_010747404.1,1,38.0,36.86
NA,WP_218256267.1,1,40.0,38.3
NA,WP_245001262.1,1,44.0,42.24
spxB,WP_218256269.1,1,44.0,33.51
NA,WP_218256270.1,1,43.0,34.22
NA,WP_218256271.1,1,36.0,30.91
NA,WP_218256272.1,1,36.0,33.7
NA,WP_218256273.1,1,41.0,36.04
NA,WP_218256274.1,1,41.0,47.46
NA,WP_218256275.1,1,43.0,37.5
NA,WP_218256276.1,1,39.0,33.33
NA,WP_218257297.1,1,39.0,41.35
NA,WP_218256277.1,1,41.0,41.89
NA,WP_010747390.1,1,43.0,41.38
NA,WP_218256278.1,1,43.0,45.04
NA,WP_218256279.1,1,44.0,44.02
NA,WP_218256280.1,1,38.0,40.9
NA,WP_218256281.1,1,44.0,46.15
NA,WP_010747385.1,1,39.0,29.67
NA,WP_218256282.1,1,41.0,41.81
NA,WP_010747383.1,1,45.0,39.83
NA,WP_010747382.1,1,44.0,37.84
NA,WP_218256283.1,1,42.0,43.14
rhaD,WP_218256284.1,1,43.0,37.87
NA,WP_218256285.1,1,42.0,38.86
NA,WP_218256286.1,1,43.0,36.58
NA,WP_218256287.1,1,37.0,37.75
NA,WP_218256288.1,1,40.0,39.47
NA,WP_010747375.1,1,42.0,40.68
NA,WP_218256289.1,1,42.0,36.0
NA,WP_010747373.1,1,43.0,44.44
mtnK,WP_218256290.1,1,40.0,38.31
NA,WP_245001263.1,1,44.0,41.16
NA,WP_218256292.1,1,41.0,34.8
NA,WP_010747369.1,1,41.0,33.66
NA,WP_218256293.1,1,41.0,42.24
NA,WP_218256294.1,1,41.0,37.5
NA,WP_218256295.1,1,43.0,32.75
NA,WP_218256296.1,1,42.0,35.19
NA,WP_010747364.1,1,40.0,39.23
NA,WP_218256297.1,1,43.0,42.47
NA,WP_218256298.1,1,44.0,43.3
rbsK,WP_218256299.1,1,43.0,35.62
rbsD,WP_010747360.1,1,41.0,37.7
NA,WP_218256300.1,1,45.0,45.1
NA,WP_218256301.1,1,45.0,46.77
NA,WP_010747357.1,1,41.0,41.76
NA,WP_218256302.1,1,39.0,34.0
NA,WP_218256303.1,1,35.0,32.63
NA,WP_010747354.1,1,44.0,43.0
NA,WP_010747353.1,1,41.0,39.34
NA,WP_028020403.1,1,43.0,39.08
NA,WP_218256304.1,1,42.0,45.65
NA,WP_280640429.1,1,38.0,41.53
NA,WP_280640430.1,1,40.0,42.21
NA,WP_218256305.1,1,43.0,47.38
NA,WP_010747348.1,1,44.0,43.84
NA,WP_010747347.1,1,44.0,41.28
NA,WP_218256306.1,1,42.0,39.82
NA,WP_218256307.1,1,39.0,43.26
NA,WP_218256308.1,1,42.0,45.95
NA,WP_010747343.1,1,35.0,31.76
NA,WP_010747342.1,1,45.0,41.96
NA,WP_010747341.1,1,45.0,50.94
NA,WP_218256309.1,1,46.0,44.66
NA,WP_218256310.1,1,41.0,39.69
NA,WP_218256311.1,1,42.0,37.72
NA,WP_218256312.1,1,39.0,43.61
NA,WP_218256313.1,1,41.0,46.21
NA,WP_218256314.1,1,44.0,46.42
NA,WP_010747335.1,1,42.0,36.14
NA,WP_218256315.1,1,46.0,44.92
NA,WP_218256316.1,1,43.0,48.15
NA,WP_010747332.1,1,44.0,43.69
NA,WP_010747331.1,1,47.0,45.54
NA,WP_010747330.1,1,48.0,42.09
NA,WP_218256317.1,1,49.0,45.32
lpdA,WP_218256318.1,1,49.0,48.02
proC,WP_218256319.1,1,46.0,46.74
NA,WP_218256320.1,1,44.0,50.97
NA,WP_010747325.1,1,44.0,48.39
NA,WP_218256321.1,1,47.0,57.94
NA,WP_218256322.1,1,43.0,41.07
NA,WP_218256323.1,1,44.0,48.08
NA,WP_245001264.1,1,47.0,51.65
arr,WP_218256324.1,1,46.0,46.46
NA,WP_218256325.1,1,44.0,41.21
NA,WP_218256326.1,1,45.0,53.91
NA,WP_218256327.1,1,45.0,57.51
NA,WP_245001265.1,1,45.0,47.39
NA,WP_010747315.1,1,39.0,31.58
NA,WP_218256329.1,1,46.0,50.89
NA,WP_218256330.1,1,41.0,43.97
NA,WP_010747312.1,1,46.0,51.22
NA,WP_218256331.1,1,45.0,49.7
NA,WP_218256332.1,1,40.0,36.15
NA,WP_218256333.1,1,46.0,40.49
NA,WP_218256334.1,1,40.0,38.75
NA,WP_245001266.1,1,37.0,38.64
NA,WP_218256335.1,1,34.0,26.04
NA,WP_245001267.1,1,32.0,29.09
NA,WP_245001268.1,1,33.0,21.15
NA,WP_218256336.1,1,48.0,57.59
NA,WP_218256337.1,1,46.0,46.92
NA,WP_218256338.1,1,43.0,45.79
NA,WP_245001269.1,1,42.0,48.09
NA,WP_218256340.1,1,44.0,55.93
NA,WP_218256341.1,1,44.0,40.91
NA,WP_218257299.1,1,45.0,41.48
NA,WP_218256342.1,1,46.0,50.0
NA,WP_010747288.1,1,40.0,39.51
NA,WP_218257300.1,1,40.0,42.08
NA,WP_218256343.1,1,45.0,40.69
NA,WP_218256344.1,1,43.0,42.86
NA,WP_218256345.1,1,43.0,46.82
NA,WP_218256346.1,1,49.0,45.01
NA,WP_010747282.1,1,48.0,56.45
NA,WP_218256347.1,1,45.0,48.34
NA,WP_218256348.1,1,45.0,48.12
NA,WP_218256349.1,1,43.0,46.6
NA,WP_218256350.1,1,40.0,41.69
NA,WP_218256351.1,1,43.0,42.77
radA,WP_010747276.1,1,48.0,48.21
NA,WP_010747275.1,1,42.0,43.73
gltX,WP_218256352.1,1,43.0,39.5
cysE,WP_218256353.1,1,47.0,35.71
cysS,WP_218256354.1,1,44.0,40.65
NA,WP_010747271.1,1,44.0,41.46
rlmB,WP_218256355.1,1,48.0,47.01
NA,WP_010747269.1,1,41.0,37.35
NA,WP_010747268.1,1,41.0,43.75
NA,WP_010742697.1,1,40.0,29.17
mscL,WP_218256356.1,1,42.0,35.04
NA,WP_218256357.1,1,42.0,42.58
NA,WP_218256358.1,1,40.0,40.86
NA,WP_218256359.1,1,46.0,45.69
NA,WP_218256360.1,1,44.0,39.78
pgsA,WP_010747262.1,1,43.0,45.11
NA,WP_218256361.1,1,43.0,36.7
recA,WP_218256362.1,1,47.0,40.88
rny,WP_010747259.1,1,43.0,34.38
NA,WP_218256363.1,1,34.0,29.11
NA,WP_218256364.1,1,36.0,28.72
NA,WP_218256365.1,1,28.999999999999996,25.53
NA,WP_218256366.1,1,34.0,26.47
NA,WP_218256367.1,1,37.0,29.78
NA,WP_218256368.1,1,34.0,29.51
NA,WP_218256369.1,1,39.0,42.21
NA,WP_218256370.1,1,37.0,27.17
NA,WP_218256371.1,1,37.0,34.69
NA,WP_218256372.1,1,34.0,31.37
NA,WP_218256373.1,1,40.0,32.86
NA,WP_176673295.1,1,49.0,60.98
NA,WP_218256374.1,1,30.0,28.16
NA,WP_218256375.1,1,44.0,43.59
NA,WP_218256376.1,1,32.0,24.24
NA,WP_218256377.1,1,38.0,31.36
NA,WP_144319158.1,1,39.0,33.75
NA,WP_218256378.1,1,40.0,39.59
NA,WP_218256379.1,1,37.0,34.63
NA,WP_218256380.1,1,34.0,34.41
NA,WP_218256381.1,1,40.0,43.41
NA,WP_218256383.1,1,36.0,34.38
NA,WP_185969649.1,1,40.0,41.77
NA,WP_218256384.1,1,41.0,37.33
NA,WP_218257301.1,1,42.0,41.36
NA,WP_218256385.1,1,35.0,30.38
NA,WP_218256386.1,1,32.0,34.67
NA,WP_218256387.1,1,35.0,30.93
NA,WP_218256388.1,1,35.0,28.23
NA,WP_218256389.1,1,34.0,27.69
NA,WP_218256390.1,1,39.0,38.76
NA,WP_218256391.1,1,35.0,29.45
NA,WP_218256392.1,1,37.0,34.04
NA,WP_218256393.1,1,34.0,18.99
NA,WP_218256394.1,1,39.0,30.71
NA,WP_218256395.1,1,36.0,32.31
NA,WP_218256396.1,1,37.0,27.52
NA,WP_245001305.1,1,38.0,29.9
NA,WP_218256397.1,1,36.0,29.96
NA,WP_218256398.1,1,40.0,39.66
NA,WP_218256399.1,1,34.0,26.88
NA,WP_218256400.1,1,32.0,26.56
NA,WP_218256401.1,1,40.0,34.88
NA,WP_245001270.1,1,39.0,37.25
NA,WP_218256403.1,1,42.0,33.5
NA,WP_218256404.1,1,41.0,25.82
NA,WP_218256405.1,1,42.0,35.85
NA,WP_218256406.1,1,38.0,26.85
NA,WP_218256407.1,1,44.0,34.12
NA,WP_010743585.1,1,37.0,32.14
NA,WP_218256408.1,1,38.0,25.74
NA,WP_218256409.1,1,40.0,42.98
NA,WP_185937995.1,1,39.0,34.91
NA,WP_245001271.1,1,40.0,34.07
NA,WP_245001272.1,1,40.0,31.16
NA,WP_016178327.1,1,36.0,29.09
NA,WP_218256410.1,1,36.0,27.44
NA,WP_218256411.1,1,33.0,23.26
NA,WP_218256412.1,1,39.0,27.58
NA,WP_195967677.1,1,37.0,32.1
NA,WP_218256413.1,1,42.0,38.98
NA,WP_218256414.1,1,42.0,31.38
NA,WP_218256415.1,1,31.0,27.67
NA,WP_218256416.1,1,30.0,19.08
NA,WP_218256417.1,1,35.0,35.0
NA,WP_218256418.1,1,41.0,42.4
mprF,WP_218256419.1,1,42.0,45.73
NA,WP_002302440.1,1,39.0,39.39
NA,WP_010747257.1,1,40.0,33.6
ispE,WP_218256420.1,1,46.0,46.35
NA,WP_218256421.1,1,41.0,39.94
NA,WP_010747254.1,1,43.0,42.4
NA,WP_218256422.1,1,45.0,48.69
purR,WP_010747252.1,1,44.0,43.35
glmU,WP_218256423.1,1,43.0,36.77
NA,WP_010747250.1,1,41.0,31.21
NA,WP_218256424.1,1,41.0,41.55
NA,WP_218256425.1,1,41.0,38.7
NA,WP_218256426.1,1,37.0,37.47
NA,WP_010747245.1,1,39.0,38.02
NA,WP_218256427.1,1,43.0,39.5
NA,WP_010747243.1,1,46.0,44.36
NA,WP_218256428.1,1,39.0,38.38
NA,WP_218256429.1,1,43.0,41.18
NA,WP_218256430.1,1,42.0,38.43
NA,WP_218256431.1,1,43.0,33.58
NA,WP_218256432.1,1,46.0,40.39
NA,WP_218256433.1,1,40.0,29.6
NA,WP_245001273.1,1,42.0,39.55
NA,WP_218256434.1,1,45.0,40.96
def,WP_218256435.1,1,45.0,39.89
rpsO,WP_010747233.1,1,40.0,23.75
pnp,WP_218256436.1,1,42.0,34.0
NA,WP_218256437.1,1,41.0,41.92
NA,WP_218256438.1,1,38.0,34.52
NA,WP_218256439.1,1,42.0,36.61
NA,WP_010747228.1,1,38.0,34.69
NA,WP_218256440.1,1,41.0,25.51
NA,WP_218256441.1,1,40.0,37.99
NA,WP_218256442.1,1,37.0,31.51
udk,WP_218256443.1,1,39.0,37.19
gpmA,WP_218256444.1,1,41.0,31.05
rpiA,WP_218256445.1,1,41.0,29.49
rpsL,WP_010742744.1,1,41.0,25.78
rpsG,WP_218256446.1,1,43.0,31.97
fusA,WP_218256447.1,1,42.0,27.15
tuf,WP_010747219.1,1,44.0,30.05
rpsJ,WP_010756438.1,1,40.0,29.03
rplC,WP_010747217.1,1,42.0,29.0
rplD,WP_218256448.1,1,39.0,20.71
NA,WP_010747215.1,1,36.0,31.4
rplB,WP_010747214.1,1,43.0,28.36
rpsS,WP_010742754.1,1,38.0,21.69
rplV,WP_010747213.1,1,37.0,20.75
rpsC,WP_010747212.1,1,41.0,26.79
rplP,WP_010747211.1,1,44.0,29.63
rpmC,WP_010747210.1,1,36.0,25.93
rpsQ,WP_010747209.1,1,38.0,36.71
rplN,WP_010742760.1,1,44.0,29.2
rplX,WP_010747208.1,1,41.0,29.79
rplE,WP_010747207.1,1,37.0,27.65
NA,WP_028020384.1,1,44.0,28.85
rpsH,WP_010747206.1,1,39.0,27.64
rplF,WP_010747205.1,1,39.0,22.49
rplR,WP_010747204.1,1,45.0,31.19
rpsE,WP_010747203.1,1,45.0,27.39
rpmD,WP_010747202.1,1,39.0,30.0
rplO,WP_010747201.1,1,40.0,16.06
secY,WP_218256449.1,1,39.0,33.73
NA,WP_010747199.1,1,40.0,32.04
infA,WP_010742771.1,1,41.0,34.92
rpmJ,WP_010742772.1,1,38.0,13.79
rpsM,WP_010747198.1,1,42.0,26.79
rpsK,WP_010747197.1,1,43.0,20.83
NA,WP_010747196.1,1,37.0,27.06
rplQ,WP_010747195.1,1,43.0,28.21
NA,WP_218256450.1,1,41.0,30.48
NA,WP_218256451.1,1,41.0,30.0
NA,WP_010747192.1,1,39.0,37.5
NA,WP_218256452.1,1,37.0,31.49
truA,WP_218256453.1,1,44.0,33.47
NA,WP_218256454.1,1,39.0,38.43
rpmB,WP_010747188.1,1,38.0,22.64
NA,WP_010742791.1,1,44.0,47.75
NA,WP_010747187.1,1,42.0,34.48
recG,WP_218256455.1,1,43.0,38.92
plsX,WP_218256456.1,1,41.0,33.95
