gene_name,prot_id,number_of_exons,GC,GC3
dnaN,WP_014242733.1,1,30.0,19.34
recF,WP_014242734.1,1,34.0,31.58
gyrB,WP_014242735.1,1,37.0,23.27
gyrA,WP_014242736.1,1,36.0,23.45
NA,WP_014242737.1,1,31.0,28.02
NA,WP_014242738.1,1,32.0,37.93
NA,WP_014242739.1,1,33.0,29.57
atpB,WP_014242740.1,1,35.0,21.65
NA,WP_014242741.1,1,41.0,24.44
NA,WP_157868203.1,1,33.0,30.33
NA,WP_014242743.1,1,35.0,23.89
ribD,WP_014242744.1,1,36.0,27.91
NA,WP_014242745.1,1,33.0,21.53
NA,WP_014242746.1,1,36.0,24.87
ribE,WP_014242747.1,1,40.0,26.71
NA,WP_014242748.1,1,35.0,23.83
NA,WP_014242749.1,1,34.0,24.7
uvrA,WP_014242750.1,1,36.0,25.19
NA,WP_014242751.1,1,33.0,27.91
NA,WP_014242752.1,1,32.0,30.61
NA,WP_014242753.1,1,35.0,31.68
mfd,WP_014242754.1,1,34.0,26.47
NA,WP_014242755.1,1,39.0,32.58
nuoH,WP_014242756.1,1,38.0,21.43
NA,WP_014242757.1,1,38.0,18.18
nuoK,WP_014242758.1,1,32.0,22.83
nuoL,WP_014242759.1,1,37.0,27.06
NA,WP_197536761.1,1,37.0,30.75
NA,WP_014242761.1,1,37.0,27.8
NA,WP_044557124.1,1,31.0,30.19
NA,WP_014242763.1,1,28.999999999999996,26.99
NA,WP_014242764.1,1,28.000000000000004,27.4
NA,WP_014242765.1,1,32.0,29.76
NA,WP_014242766.1,1,31.0,29.44
NA,WP_044557126.1,1,28.999999999999996,28.57
NA,WP_014242768.1,1,32.0,28.92
NA,WP_014242769.1,1,34.0,29.02
NA,WP_014242770.1,1,37.0,30.53
NA,WP_014242771.1,1,34.0,33.53
NA,WP_044557127.1,1,38.0,41.76
asnB,WP_014242773.1,1,39.0,31.73
NA,WP_014242774.1,1,37.0,32.87
NA,WP_014242775.1,1,36.0,37.78
NA,WP_014242776.1,1,34.0,28.39
NA,WP_014242777.1,1,39.0,30.87
NA,WP_014242778.1,1,33.0,28.67
NA,WP_014242779.1,1,36.0,29.03
NA,WP_044557128.1,1,38.0,25.72
dnaX,WP_014242781.1,1,34.0,23.33
NA,WP_044557129.1,1,36.0,23.16
recR,WP_014242782.1,1,37.0,24.47
NA,WP_044557130.1,1,36.0,24.2
NA,WP_014242784.1,1,36.0,29.95
NA,WP_014242785.1,1,35.0,31.57
mtnP,WP_014242786.1,1,38.0,26.01
rsmH,WP_014242787.1,1,35.0,26.27
NA,WP_014242788.1,1,33.0,31.07
