gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_209737247.1,2,70.0,88.89
dnaA,WP_245195796.1,1,69.0,91.9
dnaN,WP_209737249.1,1,67.0,91.18
recF,WP_209740042.1,1,72.0,88.89
moeB,WP_209737250.1,1,72.0,90.16
NA,WP_209737251.1,1,71.0,91.86
NA,WP_209737252.1,1,65.0,86.81
NA,WP_209737253.1,1,75.0,90.78
fabA,WP_209740044.1,1,67.0,89.02
fabB,WP_209737254.1,1,67.0,91.71
fabI,WP_209737255.1,1,67.0,91.67
NA,WP_209737256.1,1,68.0,89.74
NA,WP_209737257.1,1,65.0,87.6
pnp,WP_209737258.1,1,66.0,93.6
rpsO,WP_209737259.1,1,62.0,81.25
NA,WP_209737260.1,1,70.0,82.67
truB,WP_209737261.1,1,69.0,89.03
rbfA,WP_209737262.1,1,66.0,86.15
infB,WP_245195568.1,1,71.0,89.91
NA,WP_209740048.1,1,72.0,83.11
nusA,WP_209737263.1,1,66.0,87.4
rimP,WP_245195569.1,1,70.0,84.49
NA,WP_209740052.1,1,69.0,87.61
metK,WP_209737264.1,1,68.0,88.04
NA,WP_209737265.1,1,65.0,86.15
lnt,WP_209737266.1,1,70.0,87.64
NA,WP_209737267.1,1,70.0,91.64
ybeY,WP_209737268.1,1,66.0,80.92
NA,WP_245195570.1,1,70.0,92.9
miaB,WP_209737269.1,1,70.0,90.11
NA,WP_209737270.1,1,72.0,88.76
NA,WP_209737271.1,1,70.0,88.48
tsaB,WP_209737272.1,1,73.0,81.2
NA,WP_209737273.1,1,69.0,91.76
bluB,WP_209737274.1,1,74.0,93.03
NA,WP_209737275.1,1,70.0,89.61
trpS,WP_209737276.1,1,68.0,91.62
murJ,WP_209737277.1,1,70.0,93.55
NA,WP_209737278.1,1,68.0,91.02
NA,WP_209737279.1,1,66.0,89.09
mutS,WP_209737280.1,1,72.0,92.5
NA,WP_209737281.1,1,66.0,83.15
NA,WP_209737282.1,1,70.0,83.64
NA,WP_209737283.1,1,70.0,90.06
lspA,WP_245195571.1,1,64.0,86.93
NA,WP_245195797.1,1,70.0,92.25
NA,WP_209737285.1,1,71.0,88.32
NA,WP_209737286.1,1,71.0,86.67
NA,WP_209737287.1,1,67.0,91.76
sppA,WP_209737288.1,1,71.0,89.84
NA,WP_209737289.1,1,70.0,88.43
NA,WP_209737290.1,1,74.0,94.79
lptB,WP_209737291.1,1,70.0,92.74
rpoN,WP_209737292.1,1,72.0,89.96
raiA,WP_209737293.1,1,64.0,85.71
ptsN,WP_209737294.1,1,72.0,90.91
NA,WP_209737295.1,1,69.0,89.33
NA,WP_209737296.1,1,63.0,83.33
msrB,WP_209737297.1,1,69.0,82.1
NA,WP_245195798.1,1,68.0,89.02
arfB,WP_209737298.1,1,70.0,88.41
NA,WP_209737299.1,1,66.0,89.75
NA,WP_209737300.1,1,69.0,90.54
NA,WP_209737301.1,1,65.0,90.27
NA,WP_280842364.1,1,69.0,91.8
NA,WP_209737302.1,1,74.0,88.81
NA,WP_209740062.1,1,68.0,87.9
NA,WP_209737303.1,1,70.0,93.18
ahcY,WP_209737304.1,1,65.0,92.75
NA,WP_209737305.1,1,70.0,92.87
tsaE,WP_245195572.1,1,70.0,88.15
NA,WP_245195573.1,1,67.0,90.13
addB,WP_209737307.1,1,75.0,90.51
