gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_010381349.1,1,42.0,35.41
NA,WP_010381352.1,1,44.0,40.84
NA,WP_010381354.1,1,46.0,50.1
NA,WP_010381356.1,1,40.0,37.29
NA,WP_010381358.1,1,47.0,50.68
rmuC,WP_040644534.1,1,46.0,44.96
NA,WP_010381362.1,1,43.0,33.65
NA,WP_010381364.1,1,39.0,39.33
NA,WP_010381367.1,1,49.0,45.72
NA,WP_010381370.1,1,46.0,50.07
NA,WP_010381373.1,1,50.0,51.05
NA,WP_010381375.1,1,51.0,52.38
NA,WP_040644535.1,1,51.0,50.42
NA,WP_040644538.1,1,52.0,51.92
NA,WP_010381381.1,1,45.0,44.32
NA,WP_040644536.1,1,53.0,63.64
NA,WP_081694275.1,1,50.0,61.75
NA,WP_010381385.1,1,53.0,56.28
NA,WP_010381390.1,1,50.0,57.39
NA,WP_010381391.1,1,50.0,46.69
NA,WP_010381392.1,1,55.00000000000001,57.6
NA,WP_010381388.1,1,51.0,61.15
NA,WP_010381393.1,1,50.0,55.43
NA,WP_010381394.1,1,49.0,51.18
NA,WP_010381395.1,1,52.0,49.79
NA,WP_010381396.1,1,52.0,58.62
NA,WP_010381397.1,1,48.0,47.46
NA,WP_010381398.1,1,48.0,54.84
NA,WP_010381399.1,1,49.0,58.21
NA,WP_010381404.1,1,51.0,50.63
NA,WP_010381405.1,1,52.0,52.94
NA,WP_010381407.1,1,51.0,55.66
NA,WP_010381411.1,1,44.0,47.19
NA,WP_010381412.1,1,49.0,45.07
NA,WP_010381414.1,1,49.0,54.8
NA,WP_010387466.1,1,44.0,42.68
NA,WP_010384482.1,1,47.0,46.08
NA,WP_010384481.1,1,49.0,52.38
NA,WP_010384480.1,1,45.0,45.09
NA,WP_010384479.1,1,49.0,48.72
NA,WP_010384478.1,1,48.0,46.67
NA,WP_242065342.1,1,48.0,50.0
NA,WP_010384475.1,1,48.0,56.3
NA,WP_010384473.1,1,51.0,55.38
NA,WP_010384472.1,1,51.0,54.23
NA,WP_010384471.1,1,50.0,51.71
NA,WP_040645345.1,1,50.0,50.0
NA,WP_010384469.1,1,48.0,50.38
NA,WP_010384468.1,1,47.0,46.07
NA,WP_010384467.1,1,51.0,55.83
NA,WP_010384466.1,1,50.0,45.56
NA,WP_010384464.1,1,52.0,57.7
NA,WP_010384462.1,1,53.0,54.24
NA,WP_155946370.1,1,47.0,46.15
NA,WP_010384460.1,1,50.0,53.54
NA,WP_010384459.1,1,53.0,61.39
NA,WP_010384458.1,1,53.0,56.03
NA,WP_010384457.1,1,49.0,53.93
NA,WP_010384456.1,1,50.0,47.22
NA,WP_010384455.1,1,38.0,39.29
NA,WP_010384452.1,1,52.0,44.96
NA,WP_021032895.1,1,50.0,53.59
NA,WP_010384450.1,1,49.0,49.01
NA,WP_010384449.1,1,49.0,49.33
NA,WP_010384448.1,1,52.0,56.62
NA,WP_010384447.1,1,46.0,46.46
def,WP_010384446.1,1,48.0,50.62
NA,WP_010384444.1,1,51.0,51.44
NA,WP_010384443.1,1,47.0,44.19
NA,WP_010384442.1,1,43.0,44.23
NA,WP_155946369.1,1,48.0,46.3
NA,WP_010384441.1,1,50.0,50.0
NA,WP_010384440.1,1,50.0,59.68
NA,WP_010384439.1,1,50.0,52.27
NA,WP_010384438.1,1,52.0,53.44
NA,WP_010384436.1,1,53.0,52.9
NA,WP_010384435.1,1,51.0,50.41
NA,WP_010384434.1,1,53.0,56.1
NA,WP_010384432.1,1,49.0,54.72
NA,WP_010384431.1,1,53.0,51.95
NA,WP_040645364.1,1,52.0,50.96
NA,WP_010384428.1,1,51.0,52.5
NA,WP_010384427.1,1,52.0,53.73
NA,WP_010384425.1,1,50.0,53.21
NA,WP_010384423.1,1,47.0,43.75
NA,WP_010384422.1,1,52.0,53.49
NA,WP_010384420.1,1,48.0,47.21
NA,WP_010384419.1,1,51.0,55.09
NA,WP_010384418.1,1,50.0,51.82
NA,WP_010384417.1,1,52.0,55.2
NA,WP_010384416.1,1,50.0,52.55
