gene_name,prot_id,number_of_exons,GC,GC3
NA,WP_006927608.1,1,41.0,38.36
dnaN,WP_006927607.1,1,41.0,39.29
recF,WP_006927605.1,1,34.0,34.34
NA,WP_006927604.1,1,34.0,40.7
gyrB,WP_006927600.1,1,44.0,45.61
gyrA,WP_006927599.1,1,45.0,46.71
NA,WP_006927598.1,1,42.0,44.78
NA,WP_006927597.1,1,42.0,43.34
mtnA,WP_006927596.1,1,43.0,40.76
NA,WP_006927595.1,1,36.0,42.58
NA,WP_006927591.1,1,32.0,34.21
NA,WP_006927589.1,1,41.0,41.3
NA,WP_006927579.1,1,38.0,40.45
NA,WP_006927577.1,1,42.0,42.24
NA,WP_006927575.1,1,39.0,43.45
NA,WP_006927574.1,1,38.0,41.11
NA,WP_006927572.1,1,45.0,44.99
rsmD,WP_006927571.1,1,43.0,42.94
coaD,WP_006927570.1,1,38.0,37.89
pta,WP_006927569.1,1,50.0,53.0
NA,WP_006927568.1,1,37.0,29.41
NA,WP_006927567.1,1,48.0,52.58
NA,WP_006927566.1,1,44.0,48.93
NA,WP_006927565.1,1,42.0,46.25
NA,WP_006927564.1,1,47.0,55.18
NA,WP_006927563.1,1,50.0,57.42
NA,WP_006927562.1,1,51.0,60.06
NA,WP_006927561.1,1,50.0,57.14
NA,WP_006927560.1,1,50.0,59.09
NA,WP_169833687.1,1,48.0,57.03
NA,WP_006927558.1,1,47.0,62.5
NA,WP_006927557.1,1,48.0,59.93
NA,WP_006927556.1,1,44.0,47.98
NA,WP_006927555.1,1,47.0,58.58
NA,WP_006927554.1,1,48.0,53.7
NA,WP_006927553.1,1,48.0,55.08
NA,WP_044281016.1,1,41.0,52.86
NA,WP_006927552.1,1,40.0,36.61
NA,WP_044281015.1,1,37.0,37.04
NA,WP_006926562.1,1,39.0,35.45
NA,WP_006927551.1,1,39.0,32.28
NA,WP_006927549.1,1,38.0,29.56
NA,WP_006929573.1,1,37.0,34.91
NA,WP_006927548.1,1,22.0,16.37
NA,WP_006927547.1,1,30.0,29.17
NA,WP_006927546.1,1,34.0,21.14
NA,WP_150109243.1,1,46.0,52.68
amrA,WP_218921392.1,1,48.0,50.81
NA,WP_006927541.1,1,46.0,53.09
NA,WP_006927539.1,1,50.0,55.71
NA,WP_006927534.1,1,50.0,57.14
NA,WP_006927532.1,1,46.0,57.67
NA,WP_006927530.1,1,52.0,65.06
NA,WP_218921393.1,1,47.0,49.7
NA,WP_006927527.1,1,38.0,31.37
NA,WP_006927526.1,1,36.0,32.77
NA,WP_006927525.1,1,54.0,71.56
NA,WP_006927524.1,1,49.0,61.4
NA,WP_006927523.1,1,44.0,49.34
NA,WP_006927522.1,1,45.0,51.26
hprK,WP_006927521.1,1,49.0,55.49
raiA,WP_081475008.1,1,34.0,40.21
xerC,WP_006927519.1,1,43.0,44.78
topA,WP_006927518.1,1,48.0,54.69
NA,WP_006927517.1,1,45.0,55.1
recJ,WP_006927516.1,1,49.0,57.38
NA,WP_006927515.1,1,46.0,54.78
NA,WP_006927514.1,1,43.0,47.55
NA,WP_006927513.1,1,45.0,49.22
NA,WP_006927512.1,1,42.0,45.16
NA,WP_006927511.1,1,43.0,50.19
lpdA,WP_006927510.1,1,51.0,57.71
NA,WP_006927509.1,1,44.0,49.22
NA,WP_006927508.1,1,46.0,52.75
NA,WP_006927507.1,1,52.0,60.46
NA,WP_006927506.1,1,52.0,58.96
NA,WP_006927505.1,1,48.0,51.45
NA,WP_006927504.1,1,48.0,55.88
amrS,WP_006927503.1,1,49.0,56.73
NA,WP_006927502.1,1,51.0,58.15
NA,WP_006927501.1,1,47.0,50.46
NA,WP_006927500.1,1,50.0,53.68
NA,WP_006927499.1,1,50.0,56.83
NA,WP_006927498.1,1,47.0,52.69
NA,WP_006927497.1,1,49.0,60.76
rmuC,WP_150125311.1,1,48.0,57.97
NA,WP_006927494.1,1,48.0,54.48
NA,WP_006927493.1,1,50.0,56.26
NA,WP_006927492.1,1,46.0,50.34
NA,WP_150109242.1,1,52.0,55.36
bcp,WP_006927491.1,1,47.0,57.33
NA,WP_006927490.1,1,48.0,50.87
NA,WP_006927489.1,1,50.0,61.04
NA,WP_006927488.1,1,50.0,59.92
hflX,WP_225868930.1,1,50.0,56.93
NA,WP_006927486.1,1,46.0,51.82
NA,WP_006927485.1,1,51.0,58.58
NA,WP_006927484.1,1,52.0,55.2
meaB,WP_006927483.1,1,50.0,56.45
mce,WP_006927482.1,1,47.0,53.12
NA,WP_006927481.1,1,51.0,61.14
NA,WP_006927480.1,1,51.0,54.07
NA,WP_006927479.1,1,53.0,58.0
NA,WP_006927478.1,1,51.0,57.8
NA,WP_006927477.1,1,49.0,57.69
cyaB,WP_006927476.1,1,43.0,40.85
NA,WP_006927475.1,1,46.0,55.71
NA,WP_006927473.1,1,47.0,50.43
NA,WP_006927470.1,1,46.0,49.75
NA,WP_006927464.1,1,46.0,57.52
NA,WP_006927463.1,1,51.0,58.67
